FID,vrt_code,vrtnaam,haven_vaar,meetpunt,plaatsnaam,bunkerboot,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
bunkerstation.1,226,Merwedekanaal (benoorden de Lek),,0.149,Utrecht,Yes,,1987,,,POINT (52.095600002000026 5.079100002000018)
bunkerstation.2,244,Vaarweg Stolpen-Schagen-Kolhorn-Medemblik-IJsselmeer,,29.213,Medemblik,Yes,,2922,,,POINT (52.771499999000014 5.109800000000007)
bunkerstation.3,119,Maas-Waalkanaal,,11.06,Nijmegen,Yes,,2947,,,POINT (51.84650000200003 5.816700000000026)
bunkerstation.4,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",,2.3,Bolnes,Yes,,3302,,,POINT (51.89530000100001 4.5870000009999785)
bunkerstation.5,981,Lelyhaven,,0.145,Harderwijk,Yes,,3883,,,POINT (52.355500000999996 5.620900000999995)
bunkerstation.6,1132,Werkhaven te Urk (voortzetting),,0.054,Urk,Yes,,3957,,,POINT (52.65839999899998 5.601300001000027)
bunkerstation.7,022,Van Harinxmakanaal,,1.8,Harlingen,Yes,,6201,,,POINT (53.179400000999976 5.439100000999986)
bunkerstation.8,236,"Zaan, Tap- of Tochtsloot, Markervaart en Alkmaardermeer",,0.902,Zaandam,Yes,,6775,,,POINT (52.425700000999996 4.83639999899998)
bunkerstation.9,089,Kanaal Beukers-Steenwijk,,7.195,Giethoorn,No,,7015,,,POINT (52.72120000000001 6.077199999000015)
bunkerstation.10,766,Emmahaven,,0.41,Eemshaven,Yes,,7567,,,POINT (53.44509999799999 6.826000001000011)
bunkerstation.11,253,Havens van Hoorn,,0.708,Hoorn Buitenhaven,No,,8049,,,POINT (52.63510000000002 5.063600000000008)
bunkerstation.12,051,Haven van Stavoren,,0.814,Stavoren,Yes,,8420,,,POINT (52.887099999999975 5.35880000100002)
bunkerstation.13,019,Vaarweg Veendam-Stadskanaal-Ter Apel,,21.225,Musselkanaal,No,,9090,,,POINT (52.955800001 6.983600002000003)
bunkerstation.14,088,Meppelerdiep,,9.716,Meppel,Yes,,9411,,,POINT (52.694200002 6.172800000999985)
bunkerstation.15,102,"Nieuwe Maas, Nieuwe Waterweg en Maasmond",,10.087,Rotterdam,No,,11970,,,POINT (51.917899999999975 4.498899999999992)
bunkerstation.16,079,Binnengracht (o. gedeelte) te Coevorden en Stieltjeskanaal,,3.447,Coevorden,No,,12218,,,POINT (52.67150000100003 6.780099999000015)
bunkerstation.17,109,Vaarweg Spijkerboor-Werkendam,,11.45,Werkendam,Yes,,12852,,,POINT (51.80600000200002 4.876499998999975)
bunkerstation.18,027,Vaarweg van de Slenk (Lauwersmeer) naar Leeuwarden,,19.002,Dokkum,No,,13200,,,POINT (53.32549999999998 6.0069000010000195)
bunkerstation.19,090,Kanaal van Steenwijk naar de Linde,,0.473,Steenwijk,No,,14129,,,POINT (52.78510000199998 6.093099999999993)
