gebouwnummer;aantal_adressen_in_pand;adressen;bouwjaar;gebouwstatus;max_huisnr;max_postcode;max_straatnaam;max_woonplaats;min_huisnr;min_postcode;min_straatnaam;min_woonplaats;status_id;verdeeld_over_aantal_straten;geometrie
0479100000000003;1;Arie de Bruijnstraat 1;1910;Pand in gebruik;1;1544ST;Arie de Bruijnstraat;Zaandijk;1;1544ST;Arie de Bruijnstraat;Zaandijk;11;1;MULTIPOLYGON(((115705.927 498822.02,115702.09 498769.129,115713.41 498734.462,115725.472 498738.199,115743.13 498743.962,115743.247 498743.599,115787.895 498757.352,115788.326 498755.935,115813.831 498764.056,115798.316 498812.188,115796.439 498818.01,115794.687 498823.447,115804.497 498826.576,115796.89 498850.42,115762.198 498839.469,115767.322 498823.468,115768.542 498819.658,115769.816 498815.681,115735.673 498804.746,115727.898 498829.023,115705.927 498822.02)))
0479100000000004;1;Industrieweg 38;1979;Pand in gebruik;38;1521NE;Industrieweg;Wormerveer;38;1521NE;Industrieweg;Wormerveer;11;1;MULTIPOLYGON(((113818.661 503062.099,113817.500117 503061.618358,113816.443874 503060.937902,113815.526312 503060.079563,113814.777 503059.071,113813.86216 503056.705396,113813.846982 503054.169102,113814.733445 503051.792718,113816.406 503049.886,113816.736859 503049.639092,113817.08194 503049.412486,113817.44 503049.207,113817.232 503037.623,113817.108 503031.316,113815.226 503031.341,113815.228 503031.471,113803.628 503031.723,113803.622 503031.394,113796.306 503031.537,113796.314 503031.938,113770.003 503032.452,113770.457 503055.719,113760.136 503055.921,113760.074 503052.74,113740.076 503053.13,113739.684 503033.067,113734.573 503033.167,113733.003 502952.794,113813.775 502951.216,113814.744 503000,113814.988 503015.86,113822.12 503015.75,113822.08 503013.89,113822.24 503013.89,113822.24 503013.96,113827.86 503013.85,113827.95 503018.66,113828.03 503018.66,113828.09 503021.57,113828.48 503021.56,113828.48 503021.23,113831.44 503021.17,113831.486 503024.08,113832.87 503024.05,113833.4 503051.77,113826.834 503051.894,113827.094133 503052.439487,113827.305671 503053.005593,113827.467 503053.588,113827.700778339 503054.838611238,113827.706366 503056.058694,113827.450589687 503057.429319033,113827.058977 503058.455048,113826.35750464 503059.619021758,113825.608033 503060.469095,113824.573567657 503061.289965206,113823.54 503061.842,113822.864608 503062.094318,113822.166794 503062.27563,113821.454 503062.384,113820.512996 503062.415024,113819.576344 503062.319447,113818.661 503062.099)))
0479100000000005;1;Sluispolderweg 12;1975;Pand in gebruik;12;1505HK;Sluispolderweg;Zaandam;12;1505HK;Sluispolderweg;Zaandam;11;1;MULTIPOLYGON(((118867.147 492793.241,118866.243 492813.123,118782.487 492809.316,118785.884 492734.593,118893.101 492739.467,118891.401 492776.871,118897.36 492777.142,118896.567 492794.579,118867.147 492793.241)))
0479100000000006;;Pand zonder adres;1990;Pand in gebruik;;;;;;;;;11;;MULTIPOLYGON(((116408.653 493039.763,116432.655 493146.348,116365.105 493161.621,116341.061 493055.045,116408.653 493039.763)))
0479100000000007;1;Handelsweg 45;1997;Pand in gebruik;45;1525RG;Handelsweg;Westknollendam;45;1525RG;Handelsweg;Westknollendam;11;1;MULTIPOLYGON(((113585.564 503481.815,113587.377 503481.808,113630.909 503481.226,113630.976 503487.401,113631.018 503490.383,113631.105 503496.294,113631.099 503496.555,113631.194 503506.236,113631.206 503506.497,113631.466 503527.581,113631.476 503530.601,113631.633 503542.701,113631.737 503551.478,113636.905 503551.449,113637.493 503601.864,113632.36 503601.953,113632.536 503616.997,113632.652 503626.728,113632.647 503626.96,113632.734 503632.902,113632.713 503635.868,113632.823 503642.048,113587.565 503642.564,113585.564 503481.815)))
0479100000000008;5;Vredeweg 10 t/m Vredeweg 8;1960;Pand in gebruik;14;1505HH;Vredeweg;Zaandam;6;1505HH;Vredeweg;Zaandam;11;1;MULTIPOLYGON(((117970.942 493172.488,117952.79 493170.09,117954.57 493157.05,117953.59 493156.92,117954.77 493148.3,117955.74 493148.44,117956.3 493144.28,117959.76 493144.74,117954.105 493109.116,117913.663 493115.557,117913.23 493128.35,117916.08 493129.33,117916.18 493129.04,117916.37 493129.13,117916.29 493129.36,117925.72 493132.72,117948.6 493140.81,117944.34 493152.87,117940.945 493151.634,117939.23 493151.01,117939.4 493150.48,117936.89 493149.63,117934.974 493150.773,117934.51 493151.05,117928.78 493149.01,117927.68 493152.18,117919.76 493149.45,117920.68 493146.9,117911.31 493143.57,117911.21 493143.89,117911.01 493143.82,117911.11 493143.5,117900.88 493139.88,117902.29 493097.54,117902.555 493090.374,117903.306 493068.004,117903.351 493066.971,117903.368 493065.939,117962.664 493056.504,117967.725 493088.095,117991.22 493084.29,117994.24 493103.36,118001.572 493149.198,118002.96 493149,118002.95 493148.85,118008.21 493148.02,118009.28 493153.99,118002.542 493155.268,118004.55 493167.82,117994.266 493169.492,117994.189 493169.017,117991.329 493169.494,117991.41 493169.957,117974.932 493172.636,117974.511 493170.055,117971.319 493169.633,117970.942 493172.488)))
0479100000000009;1;Provincialeweg 200;1987;Pand in gebruik;200;1506MG;Provincialeweg;Zaandam;200;1506MG;Provincialeweg;Zaandam;11;1;MULTIPOLYGON(((115892.86 495243.17,115903.56 495247.78,115903.86 495248.52,115904.63 495248.24,115909.8 495250.46,115910.09 495251.22,115910.89 495250.93,115921.22 495255.38,115921.56 495256.28,115910.438 495282.178,115940.637 495295.105,115933.826 495310.964,115934.964 495311.447,115933.417 495315.096,115898.117851 495299.879444,115897.660997 495300.942238,115895.366609 495299.973945,115895.826474 495298.884285,115889.239 495296.052,115888.77 495297.19,115887.75 495299.81,115885.42 495298.83,115882.19 495306.57,115884.49 495307.55,115878.05 495322.71,115878.369683 495322.844843,115877.601036 495324.717547,115874.661751 495323.451182,115874.198942 495321.945149,115872.824698 495322.659704,115859.138653 495316.763193,115860.942536 495312.368278,115860.047402 495310.730424,115861.815996 495310.240214,115863.120488 495307.061996,115862.225354 495305.424142,115863.993947 495304.933932,115865.298439 495301.755714,115864.403306 495300.11786,115866.171899 495299.62765,115867.476391 495296.449432,115866.501095 495294.777041,115868.34985 495294.321368,115869.654343 495291.14315,115869.302516 495290.499402,115868.469404 495290.140463,115871.062292 495284.122262,115872.566613 495284.770386,115879.58122 495268.489192,115878.047511 495267.828407,115880.02108 495263.247672,115882.32 495264.23,115882.37 495264.3,115882.99 495264.12,115884.09 495261.44,115883.85 495260.83,115883.76 495260.86,115883.47 495260.12,115884.2 495259.83,115884.24 495259.9,115884.87 495259.7,115885.96 495257.02,115885.75 495256.42,115885.63 495256.44,115885.32 495255.72,115886.07 495255.42,115886.1 495255.49,115886.73 495255.28,115887.84 495252.61,115887.59 495252.01,115887.51 495252.03,115887.2 495251.29,115887.95 495250.99,115887.97 495251.05,115888.61 495250.84,115889.7 495248.2,115889.46 495247.58,115889.38 495247.61,115889.07 495246.87,115889.82 495246.58,115889.85 495246.64,115890.47 495246.42,115891.98 495242.9,115892.81 495243.25,115892.86 495243.17)))
0479100000000010;1;Koningin Julianaweg 10;1976;Pand in gebruik;10;1502DZ;Koningin Julianaweg;Zaandam;10;1502DZ;Koningin Julianaweg;Zaandam;11;1;MULTIPOLYGON(((117590.64 496344.18,117585.082 496345.531,117585.701 496348.08,117578.126 496349.921,117581.21 496362.61,117561.419 496367.471,117559.089 496357.988,117540.439 496362.569,117547.703114725 496392.142022384,117558.784 496389.302,117567.748 496387.093,117572.62956495 496405.546485559,117560.351 496408.635,117540.342598 496413.639983,117534.831777 496414.993551,117534.06848 496411.885919,117532.12621 496412.362979,117531.88768 496411.391844,117532.373248 496411.272579,117531.419127 496407.388038,117532.87583 496407.030243,117531.683179 496402.174568,117529.741 496402.652,117520.278 496364.125,117509.279 496366.827,117481.999 496373.527,117469.783 496376.528,117472.912 496389.265,117446.02 496395.87,117428.482 496400.172,117424.809 496385.217,117423.728 496385.483,117419.95 496370.1,117419.443 496368.001,117415.733 496352.849,117460.043 496341.966,117463.707 496356.846,117464.824 496356.572,117466.37 496362.875,117475.801 496360.66,117475.725956 496357.989854,117476.827985 496355.556575,117478.884436 496353.851781,117481.479825 496353.219905,117484.089785 496353.788612,117486.187 496355.443,117488.211 496354.506,117489.47 496357.223,117494.514 496356.032,117485.599 496319.706,117485.03 496317.389,117504.65 496312.592,117505.202 496314.849,117513.047 496346.953,117517.127 496345.959,117517.98403 496342.862666,117519.860306 496340.254721,117522.523627 496338.457915,117525.64439 496337.694615,117528.83638 496338.059284,117531.704569 496339.506792,117533.894001 496341.858,117537.922 496340.812,117530.067 496308.774,117529.51 496306.504,117549.108 496301.698,117549.656 496303.931,117558.563 496340.247,117581.267 496334.666,117581.891 496337.204,117588.481 496335.584,117590.64 496344.18),(117545.487 496321.628,117541.866 496322.66,117542.846 496326.099,117546.467 496325.066,117545.487 496321.628),(117500.991 496332.578,117497.354 496333.516,117498.198 496336.79,117501.835 496335.853,117500.991 496332.578),(117452.296 496358.604,117432.47 496363.203,117437.272 496383.894,117457.098 496379.295,117452.296 496358.604)))
0479100000000011;1;Hoofdtocht 1;1992;Pand in gebruik (niet ingemeten);1;1507CJ;Hoofdtocht;Zaandam;1;1507CJ;Hoofdtocht;Zaandam;10;1;MULTIPOLYGON(((115383.293 493316.103,115414.689 493309.221,115413.398 493303.341,115428.856 493299.895,115430.158 493305.755,115434.852 493304.714,115437.303 493315.853,115451.931 493312.609,115444.824 493280.402,115442.48 493280.919,115436.15 493252.188,115438.478 493251.693,115435.394 493237.639,115481.621 493227.44,115505.654 493222.134,115505.032 493219.208,115510.741 493217.941,115511.461 493220.864,115515.714 493219.929,115515.964 493221.034,115519.165 493220.334,115525.014 493246.851,115522.381 493247.433,115522.742 493249.04,115525.363 493248.466,115531.207 493274.982,115528.59 493275.533,115528.948 493277.143,115531.584 493276.557,115532.512 493280.805,115533.26 493284.09,115539.379 493282.752,115543.135 493286.872,115543.601 493288.888,115541.893 493294.209,115535.758 493295.57,115537.413 493303.1,115534.792 493303.677,115535.131 493305.283,115537.78 493304.708,115543.642 493331.219,115541.011 493331.801,115541.373 493333.399,115543.993 493332.824,115549.857 493359.335,115547.23 493359.92,115547.586 493361.535,115550.216 493360.955,115555.97 493387.002,115556.065 493387.454,115553.433 493388.04,115553.785 493389.642,115556.425 493389.057,115562.18 493415.13,115562.27 493415.582,115559.082 493416.293,115559.321 493417.395,115555.041 493418.34,115555.69 493421.259,115549.976 493422.526,115549.327 493419.597,115532.241 493423.374,115507.796 493428.789,115508.166 493430.459,115522.246 493427.336,115523.82 493434.436,115524.905 493439.355,115527.675585 493438.624943,115530.540072 493438.563007,115533.339623 493439.172628,115535.919 493440.42,115538.581533 493442.725102,115540.472318 493445.696214,115541.432935 493449.084398,115541.382897 493452.605772,115540.326397 493455.965293,115538.351955 493458.881481,115535.625 493461.11,115534.562269 493461.677397,115533.448628 493462.136899,115532.295 493462.484,115530.44434 493462.739142,115528.739411 493462.746027,115527.04985 493462.517521,115525.408 493462.058,115524.331259 493461.617141,115523.301166 493461.076183,115522.327 493460.44,115520.334382 493458.642673,115518.77787 493456.456767,115517.731212 493453.985852,115517.244 493451.347,115511.215 493452.677,115508.837 493453.202,115493.53 493456.579,115489.093 493436.478,115488.558 493436.604,115488.899 493437.998,115487.913 493438.228,115485.674 493438.699,115485.383 493437.355,115484.642 493437.53,115480.949 493435.163,115480.859 493434.744,115477.319 493435.497,115478.083 493438.728,115477.653 493438.817,115451.565 493444.573,115450.98 493441.953,115449.398 493442.323,115449.968 493444.964,115423.487 493450.818,115422.892 493448.18,115421.282 493448.539,115421.863 493451.18,115395.342 493457.024,115394.765 493454.385,115393.163 493454.741,115393.741 493457.388,115367.233 493463.233,115366.65 493460.587,115365.063 493460.945,115365.647 493463.591,115362.102 493464.374,115358.076 493465.268,115359.43 493471.4,115355.323 493475.172,115353.321 493475.587,115347.995 493473.926,115346.624 493467.787,115342.626 493468.679,115339.11 493469.447,115338.516 493466.8,115336.92 493467.149,115337.507 493469.803,115311.044 493475.65,115310.457 493473.016,115308.85 493473.364,115309.439 493476.016,115282.874 493481.874,115282.286 493479.235,115280.693 493479.577,115281.265 493482.218,115254.749 493488.065,115254.026 493484.852,115252.96 493485.099,115251.991 493480.831,115249.089 493481.456,115247.823 493475.805,115250.762 493475.117,115231.086 493386.074,115189.413219 493198.456369,115225.03997 493190.543116,115223.053797 493181.60104,115270.513179 493171.059576,115272.499353 493180.001652,115320.645011 493169.307756,115347.907626 493292.048481,115357.683385 493289.877134,115364.657325 493321.274948,115354.881567 493323.446295,115358.264205 493338.675479,115243.677811 493364.108709,115245.61086 493372.811613,115237.41531 493374.630671,115239.540255 493384.197521,115269.134 493377.536,115329.461 493364.239,115328.938 493361.887,115348.238 493357.6,115348.76 493359.959,115380.979 493352.826,115373.328 493318.307,115383.293 493316.103)))
0479100000000012;7;Vredeweg 46 t/m Vredeweg 46 D 4;1969;Pand in gebruik;46;1505HH;Vredeweg;Zaandam;46;1505HH;Vredeweg;Zaandam;11;1;MULTIPOLYGON(((118457.537 493336.56,118460.41 493261.25,118462.51 493261.28,118467.43 493144.76,118483.93 493145.24,118483.93 493141.82,118517.86 493142.87,118517.95 493146.32,118658.59 493151.9,118651.6283 493325.912874,118584.177514 493323.482486,118583.53 493341.05,118580.816944 493340.977298,118578.253293 493405.478944,118508.011699 493380.557086,118488.114974 493370.644448,118491.949362 493362.906115,118488.687525 493361.288842,118489.621204 493343.130994,118469.737601 493342.39318,118469.938383 493336.982246,118457.537 493336.56)))
