FID,wvk_id,wvk_begdat,afstand,fk_veld1,fk_veld4,ibn,gdb_geomattr_data,shape
lichtmasten_wegvak.1,345273038,2021-10-01T00:00:00,21,034527303820211001,PKK0000084604,I,,POINT (172788.62959999964 436802.1409999989)
lichtmasten_wegvak.2,600141157,2021-10-01T00:00:00,18,060014115720211001,PKK0000084605,I,,POINT (172829.52899999917 436995.30310000107)
lichtmasten_wegvak.3,415275022,2021-10-01T00:00:00,312,041527502220211001,PKK0000084618,I,,POINT (207834.6677000001 437500.0610000007)
lichtmasten_wegvak.4,481307003,2021-10-01T00:00:00,0,048130700320211001,PKK0000084627,I,,POINT (240498.53200000152 453501.6466999985)
lichtmasten_wegvak.5,480312002,2021-10-01T00:00:00,33,048031200220211001,PKK0000084628,I,,POINT (240437.0938999988 456176.00030000135)
lichtmasten_wegvak.6,485322016,2021-10-01T00:00:00,20,048532201620211001,PKK0000084629,I,,POINT (242750.29289999977 461474.8240999989)
lichtmasten_wegvak.7,486322008,2021-10-01T00:00:00,6,048632200820211001,PKK0000084630,I,,POINT (243068.5507999994 461450.7373000011)
lichtmasten_wegvak.8,600114289,2021-10-01T00:00:00,12,060011428920211001,PKK0000084720,I,,POINT (94394.54300000146 404081.6132000014)
lichtmasten_wegvak.9,600114295,2021-10-01T00:00:00,24,060011429520211001,PKK0000084726,I,,POINT (92841.40790000185 399986.0357999988)
lichtmasten_wegvak.10,182196032,2021-10-01T00:00:00,28,018219603220211001,PKK0000084727,I,,POINT (91433.06929999962 398303.26029999927)
lichtmasten_wegvak.11,177188069,2021-10-01T00:00:00,2,017718806920211001,PKK0000084729,I,,POINT (88725.46330000088 394199.9455999993)
lichtmasten_wegvak.12,600135720,2021-09-01T00:00:00,10,060013572020210901,PKK0000083178,I,,POINT (154775.9437999986 433612.9813000001)
lichtmasten_wegvak.13,290347045,2021-10-01T00:00:00,19,029034704520211001,PKK0000084853,I,,POINT (145378.60759999976 473919.80640000105)
lichtmasten_wegvak.14,302369008,2021-10-01T00:00:00,293,030236900820211001,PKK0000084856,I,,POINT (151477.5736999996 484659.02439999953)
lichtmasten_wegvak.15,600140370,2021-10-01T00:00:00,20,060014037020211001,PKK0000084967,I,,POINT (172548.26419999823 483349.6440999992)
lichtmasten_wegvak.16,345366032,2021-10-01T00:00:00,20,034536603220211001,PKK0000084968,I,,POINT (172600.80519999936 483244.8341999985)
lichtmasten_wegvak.17,600139014,2021-10-01T00:00:00,14,060013901420211001,PKK0000085054,I,,POINT (158111.65929999948 576157.8533999994)
lichtmasten_wegvak.18,316552063,2021-10-01T00:00:00,29,031655206320211001,PKK0000085055,I,,POINT (158203.3674999997 576189.4631999992)
lichtmasten_wegvak.19,600142637,2021-10-01T00:00:00,6,060014263720211001,PKK0000085059,I,,POINT (177034.47520000115 580187.9193999991)
lichtmasten_wegvak.20,600166117,2021-10-01T00:00:00,7,060016611720211001,PKK0000085060,I,,POINT (178489.82550000027 579836.4459000006)
lichtmasten_wegvak.21,402545011,2021-10-01T00:00:00,428,040254501120211001,PKK0000085073,I,,POINT (201659.87370000035 572205.9164999984)
lichtmasten_wegvak.22,600147958,2021-10-01T00:00:00,2,060014795820211001,PKK0000085074,I,,POINT (201859.60159999877 572385.3139999993)
lichtmasten_wegvak.23,600466053,2021-10-01T00:00:00,27,060046605320211001,PKK0000085072,I,,POINT (197632.67819999903 573332.5998999998)
lichtmasten_wegvak.24,405471014,2021-10-01T00:00:00,35,040547101420211001,PKK0000085077,I,,POINT (202694.2553000003 535556.3310999982)
