FID,vrt_code,vrtnaam,haven_vaar,meetpunt,naam,straatnaam,postcode,woonplaats,tel_nr,fax_nr,mobiel_t_n,marifoonka,opmerking,kenmerk_id,id,se_anno_cad_data,gdb_geomattr_data,shape
inzamelpunt.1,150,"Maas, Julianakanaal, Bergsche Maas en Amer",,41.016,Tullemans BV,,,,0475-464985,,06-30172315,,Milieuboot Maasbracht -  Roermond - Stein,,16497804,,,POINT (51.146799999999985 5.8829000000000065)
inzamelpunt.2,051,Haven van Stavoren,,0.72,Inzamelstation Stavoren - De Groot,,,,0514-681210/020-6130225,,,,Bunkerstation De Groot,,16498048,,,POINT (52.887200001999986 5.361200000999986)
inzamelpunt.3,233c,Zijkanaal A en de haven van Beverwijk (De Pijp),,0,Zeeland Maritime Cleaning BV,,,,,,,,IJmuiden - Beverwijk,,16498253,,,POINT (52.464200000999995 4.664500002000011)
inzamelpunt.4,143,"Vaarweg van het Hollandsch Diep naar de Schelde-Rijnverbinding, Krammer en Grevelingenmeer",,4.24,Service kade Volkeraksluizen,,,,,,06-10951099,,Van Gansewinkel BV,,16499554,,,POINT (51.66470000100003 4.365400001000012)
inzamelpunt.5,060,Lemmer - Delfzijl,,3.4,Maritieme Afvalstoffen Inzameling Nederland (MAIN 3),,,,020-6130225,,06-29510717,,Milieuboot Delfzijl,,16499623,,,POINT (53.31270000000001 6.905000001000019)
inzamelpunt.6,235,Havens van Den Helder,,0.422,Maritieme Afvalstoffen Inzameling Nederland (MAIN),,,,020-6130225,,06-29510724,,Milieuboot Den Helder,,16499918,,,POINT (52.949599999999975 4.78860000100002)
inzamelpunt.7,101,"Boven-Rijn, Waal, Boven-Merwede, Beneden-Merwede en Noord",,29.37,Milieuboot Nijmegen Stroom&Visser,Kerkeplaat 35 ,3313 LC,Dordrecht,078-6213500 ,,06-53969971 / 065396546,,,,16500800,,,POINT (51.901400000000024 5.576499999000021)
inzamelpunt.8,024a4,Noorderhaven,,0.1,Maritieme Afvalstoffen Inzameling Nederland (MAIN) Harlingen,,,,020-6130225,,06-29510715,,Milieuboot Harlingen,,16501432,,,POINT (53.17550000199998 5.413099999999986)
inzamelpunt.9,230,Vaarweg van Amsterdam via de Houtribsluizen naar Lemmer,,32.182,Maritieme Afvalstoffen Inzameling Nederland (MAIN),Postbus 91,1780 AB,Den Helder,038-3313632 / 0223-632177,,,,Bunkerboot Verweij te Lelystad - Bataviahaven.,,16501495,,,POINT (52.517600000000016 5.432999998000014)
inzamelpunt.10,060,Lemmer - Delfzijl,,75.5,Maritieme Afvalstoffen Inzameling Nederland (MAIN 2),Postbus 91,1780 AB,Den Helder,0223-632177,,0653-887170,,Prinses Margrietkanaal / Fonejacht,,16501766,,,POINT (53.16460000000001 5.932700001000001)
inzamelpunt.11,111,Oude Maas,,1.691,Bilge Centrum Drechtsteden (BCD),Postbus 573,3330 AN,Zwijndrecht,078-6122293,,,,Dordrecht. Servicekade 's-Gravendeel. ,,16501934,,,POINT (51.81170000100002 4.651000001)
