FID,gis_code,id__oud_,code_paustabel,gebied_uiterwaard,naam_maatregel,tranche,waterlichaam,fase,gerealiseerd,deelprogramma,jaar_van_oplevering,type_doelbereik,hoeveelheid_doelbereik,hoevlh_doelbereik_op_basis,gdb_geomattr_data,shape
rws_on_puntmaatregelen.1,NL893a,NL123,"x9943
Y3048-a",Doorwerthse waarden,"Doorwerthse waarden, zomerdijkverlaging",1,Nederrijn en Lek,Gereed,Ja,RvdR,2013,ZOMD,1,MIRT 3,,POINT (181743.8361000009 441593.70809999853)
rws_on_puntmaatregelen.2,VZ008e,,Y3015,Zwarte Water - Streukelerzijl,Vispassage Streukelerzijl,2,Vecht - Zwarte water,Planstudie,Nee,WS (Vispassage),,VPRR,1,MIRT 2,,POINT (204182.07330000028 510721.9780000001)
rws_on_puntmaatregelen.3,OM965a,NL154a,Y3052,Gemaal Koekoek,Vispassage,3,Oude Maas,Planstudie,Nee,WS (Vispassage),,VPRR,1,MIRT 2,,POINT (123552.51330000162 441458.5416000001)
rws_on_puntmaatregelen.4,YS917c,Y55,x2304-b,Grote beek (Bronckhorst),Vispassage (cascade en aanpassing keerklep in het gemaal),1,IJssel,Gereed,Ja,WS (Vispassage),2015,VPRR,1,MIRT 4,,POINT (208983.02739999816 454355.02760000154)
rws_on_puntmaatregelen.5,YS921a,Y56,x2304-b,Baakse beek ,Vispassage,1,IJssel,Gereed,Ja,WS (Vispassage),2015,VPRR,1,MIRT 3,,POINT (211975.33659999818 456264.43989999965)
rws_on_puntmaatregelen.6,NL908b,NL131,"x9937a-b
x9938_c",Middelwaard,uiterwaardvergraving en nevengeul,1,Nederrijn en Lek,Gereed,Ja,RvdR,2015,ZOMD,1,MIRT 3,,POINT (168441.67480000108 440218.63980000094)
rws_on_puntmaatregelen.7,NL913b,NL133,"x9938
x9938-c",Tollewaard,aantakken strang,1,Nederrijn en Lek,Gereed,Ja,RvdR,2015,ZOMD,1,MIRT 3,,POINT (163956.95100000128 442429.4538999982)
rws_on_puntmaatregelen.8,NL922a,NL149,NL93_0141,Amerongen,Herstel/verbetering 2 aalgoten stuwcomplexen,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,VPRR,1,Inschatting,,POINT (156466.84789999947 442819.6691999994)
rws_on_puntmaatregelen.9,NL873a,NL148a,NL_140b,Loowaard-Kandia,Vispassage (Bekkenvistrap); Herstel verbinding Pannerdens Kanaal en Rijnstrangen,2,Nederrijn en Lek,Gereed,Ja,WS (Vispassage),2021,VPRR,1,MIRT 2,,POINT (196958.48310000077 436277.78290000185)
rws_on_puntmaatregelen.10,NL897a,NL148c,NL93_0140,Heelsumse beek en Leigraaf,"Herstel verbinding met zijwateren en optimalisering monding
Bekkentrap",1,Nederrijn en Lek,Gereed,Ja,WS (Vispassage),2015,VPRR,1,MIRT 3,,POINT (178628.7223000005 442353.5865000002)
rws_on_puntmaatregelen.11,NL902a,NL148d,Y3055,Kuijkgemaal,Herstel verbinding met zijwateren en optimalisering monding,3,Nederrijn en Lek,Planstudie,Nee,WS (Vispassage),,VPRR,1,MIRT 2,,POINT (174580.6414999999 440167.8271000013)
rws_on_puntmaatregelen.12,YS905a,Y115b,x2304-c,"Dierense hank (incl Ruitersbeek), Havikerwaard",(gaat waarschijnlijk voorlopig niet door) Vispassage (De Wit); Herstel verbinding IJssel-Hank,2,IJssel,Planstudie,Nee,WS (Vispassage),,VPRR,1,MIRT 2,,POINT (205509.1361999996 449718.9283999987)
rws_on_puntmaatregelen.13,YS902a,Y115c,x2304-c,Oude IJssel,Vispassage (Vertical slot); Herstel verbinding IJssel-Oude IJssel,2,IJssel,Gereed,Ja,WS (Vispassage),2019,VPRR,1,MIRT 2,,POINT (206079.6928000003 446861.6132000014)
rws_on_puntmaatregelen.14,YS927a,Y115h,x2304-b,Berkel ,Vispassage,1,IJssel,Gereed,Ja,WS (Vispassage),2015,VPRR,1,MIRT 4,,POINT (210164.86769999936 460813.5843999982)
rws_on_puntmaatregelen.15,YS942b,Y68,x2304-b,Schipbeek (Deventer),Vispassage (cascade vistrap),1,IJssel,Gereed,Ja,WS (Vispassage),2015,VPRR,1,MIRT 4,,POINT (208601.78159999847 472034.8264000006)
rws_on_puntmaatregelen.16,YS934b,Y115i,x2304-b,Lage Leiding; Voorster beek (Middelbeek),Vispassage (Vissluis). Via Uitvliet IJssel via deze vissluis de Lage Leiding in en via bypass richting Voorsterbeek,1,IJssel,Gereed,Ja,WS (vispassage),2012,VPRR,0.33,MIRT 4,,POINT (208092.95169999823 466113.31720000133)
rws_on_puntmaatregelen.17,YS944a,Y212,x2304-c,"Overijssels kanaal
",Herstel verbinding met zijwateren en optimalisering mondingen,2,IJssel,Verkenning,Nee,WS (Vispassage),,VPRR,1,Inschatting,,POINT (208382.42570000142 473269.24170000106)
rws_on_puntmaatregelen.18,OM951b,NL154b,Y3049,Sluis Vianen,Vispasseerbaar maken,2,Oude Maas,Planstudie,Nee,"WS, Prov, RWS",,VPRR,1,MIRT 2,,POINT (135104.35229999945 445271.8060999997)
rws_on_puntmaatregelen.19,VZ016a,VZ165a,Y3015,Zwarte Water; Kostverlorenzijl,Vispassage Kostverlorenzijl ,2,Vecht - Zwarte water,Gereed,Ja,WS (Vispassage),,VPRR,1,MIRT 2,,POINT (201959.5062999986 516848.90459999815)
rws_on_puntmaatregelen.20,VZ004a,,Y3015,Zwarte water - Westerveld,Vispassage Westerveld,2,Vecht - Zwarte water,Planstudie,Nee,WS (Vispassage),,VPRR,1,MIRT 2,,POINT (202706.4798000008 506775.6620000005)
rws_on_puntmaatregelen.21,YS982i,<Null>,Y3001,Aersoltweerde,Aanbrengen rivierhout (1 in 2014 en 2 in 2015),1,IJssel,Gereed,Ja,KRW1-WVV,2015,RIVH,0.03,MIRT 4,,POINT (198804.59849999845 502206.252700001)
rws_on_puntmaatregelen.22,BW929c,BW33, ,Hurwenen,Zomerdijk doorgraven; Nevengeul,1,"Boven-Rijn, Waal",Gereed,Ja,KRW1-SBB,2015,ZOMD,1,MIRT 3,,POINT (150349.07429999858 425460.0938999988)
rws_on_puntmaatregelen.23,BW929d1,BW33,Y3003,Hurwenen,"Aanbrengen rivierhout. N.B. Het rivierhout was ooit kwijt, maar locatie weer teruggevonden.",1,"Boven-Rijn, Waal",Gereed,Ja,KRW1-SBB,2015,RIVH,0.01,MIRT 3,,POINT (148851.74579999968 425425.1882000007)
rws_on_puntmaatregelen.24,NL922c,,Y3002,Maurik; in vistrap,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2013,RIVH,0.01,Inschatting,,POINT (156621.23160000145 442752.1420999989)
rws_on_puntmaatregelen.25,NL902c,,Y3002,Wageningen; zomerbed,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2015,RIVH,0.02,Inschatting,,POINT (174300 440528)
rws_on_puntmaatregelen.26,NL937a,,Y3002,Redichem; achter vooroever,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2015,RIVH,0.02,Inschatting,,POINT (144674 443319)
rws_on_puntmaatregelen.27,NL903a,,Y3002,Wageningen; kribvak,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.03,Inschatting,,POINT (173336.69619999826 440671.51399999857)
rws_on_puntmaatregelen.28,NL904a,,Y3002,Wageningen; kribvak,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.03,Inschatting,,POINT (172338.55359999835 440163.51300000027)
rws_on_puntmaatregelen.29,NL944b,,Y3002,Everdingen; strang,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.01,Inschatting,,POINT (138977 442282)
rws_on_puntmaatregelen.30,NL943c,,Y3002,Everdingen; achter vooroever,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.01,Inschatting,,POINT (140234 442271)
rws_on_puntmaatregelen.31,BW869b1,,Y3003,Klompenwaard,Rivierhout,1,"Boven-Rijn, Waal",Gereed,Ja,KRW1-SBB,2016,RIVH,0.04,Inschatting,,POINT (198495.71799999848 432995.5357999988)
rws_on_puntmaatregelen.32,BW920a1,,Y3003,Langsdam Ophemert,Rivierhout in oevergeul achter langsdam,2,"Boven-Rijn, Waal",Gereed,Ja,RWS,2018,RIVH,0.05,Oplevering,,POINT (156134.9989 428167.77010000125)
rws_on_puntmaatregelen.33,BW925c3,,Y3003,Heesseltsche uiterwaarden,Rivierhout,2,"Boven-Rijn, Waal",Gereed,Ja,NURG-RWS,2017,RIVH,0.01,Inschatting Ontwerpnota,,POINT (151104.14440000057 425622.50180000067)
rws_on_puntmaatregelen.34,YS919b1,,Y3001,Bronkhorster waarden,Rivierhout in kribvak,2,IJssel,Gereed,Ja,Stroomlijn,0,RIVH,0.01,Inschatting,,POINT (209790.874499999 456119.0368000008)
rws_on_puntmaatregelen.35,YS923b1,,Y3001,Reuversweerd (Cortenoever),Rivierhout in strang,1,IJssel,Gereed,Ja,KRW1-WVV,2016,RIVH,0.01,Inschatting,,POINT (210779.2958999984 458598.26300000027)
rws_on_puntmaatregelen.36,YS925d1,,Y3001,Stokebrandsweerd,Rivierhout in oevergeul,2,IJssel,Realisatie,Nee,RWS KRW2,,RIVH,0.06,PpWw 2021,,POINT (210422.86679999903 458799.8973999992)
rws_on_puntmaatregelen.37,YS932a1,,Y3001,Rijsselsche waarden,Rivierhout in kribvak,2,IJssel,Realisatie,Nee,RWS KRW2,,RIVH,0.01,PpWw 2021,,POINT (209962.12680000067 466000.68299999833)
rws_on_puntmaatregelen.38,YS933f1,,Y3001,Rammelwaard,Rivierhout in strang,1,IJssel,Gereed,Ja,KRW1-WVV,2016,RIVH,0.01,Inschatting,,POINT (209929.88819999993 465730.52760000154)
rws_on_puntmaatregelen.39,YS937a1,,Y3001,Ravenswaarden,Rivierhout in kribvak,2,IJssel,Gereed,Ja,Stroomlijn,0,RIVH,0.01,Inschatting,,POINT (208507.57699999958 468333.08740000054)
rws_on_puntmaatregelen.40,YS941b,,Y3001,De Weerd en Yperenberg (Wilpse klei),Rivierhout in nevengeul,2,IJssel,Planstudie,Nee,,,RIVH,0.1,Inschatting,,POINT (208736.61199999973 471039.7076999992)
rws_on_puntmaatregelen.41,YS950c1,,Y3001,Dorperwaarden Terwolde,Rivierhout in nevengeul,1,IJssel,Gereed,Ja,KRW1-WVV,2017,RIVH,0.01,Inschatting,,POINT (204261.8687000014 478111.92179999873)
rws_on_puntmaatregelen.42,YS958c,,Y3001,Welsumerwaarden,Rivierhout,1,IJssel,Gereed,Ja,KRW1-WVV,2016,RIVH,0.01,Inschatting,,POINT (203353.43580000103 484853.4382000007)
rws_on_puntmaatregelen.43,YS965d1,,Y3001,Vorchterwaarden,Rivierhout in strang,1,IJssel,Gereed,Ja,KRW1-WVV,2017,RIVH,0.01,Inschatting,,POINT (205074.9076000005 488763.9765999988)
rws_on_puntmaatregelen.44,YS967b1,,Y3001,Buitenwaarden Wijhe,Rivierhout in nevengeul,1,IJssel,Gereed,Ja,KRW1-WVV,2017,RIVH,0.01,Inschatting,,POINT (205991.6398999989 491645.54890000075)
rws_on_puntmaatregelen.45,NL917d,,,Amerongse Bovenpolder,Verbinding rivier en uiterwaardwateren,1,Nederrijn en Lek,Gereed,Ja,KRW1-SBB,2015,ZOMD,1,MIRT 4,,POINT (156606.86059999838 443250.48420000076)
rws_on_puntmaatregelen.46,NL891b,,,Stuw Driel,Aanleg bekkenvistrap,Oud,Nederrijn en Lek,Gereed,Ja,Oud,2001,VPRR,1,Inschatting,,POINT (183872.71119999886 441948.46350000054)
rws_on_puntmaatregelen.47,NL922d,,,Stuw Amerongen,Aanleg bekkenvistrap,Oud,Nederrijn en Lek,Gereed,Ja,Oud,2004,VPRR,1,Inschatting,,POINT (156699.85860000178 442748.0438000001)
rws_on_puntmaatregelen.48,NL947a,,,Stuw Hagestein,Aanleg bekkenvistrap,Oud,Nederrijn en Lek,Gereed,Ja,Oud,2004,VPRR,1,Inschatting,,POINT (137376.8550999984 444863.0177000016)
rws_on_puntmaatregelen.49,BW883b1,,Y3003,Lent-Nijmegen,Rivierhout,2,"Boven-Rijn, Waal",Gereed,Ja,RWS,0,RIVH,0.08,PpWw,,POINT (187177.04619999975 429959.4853999987)
rws_on_puntmaatregelen.50,YS982f,,Y3001,Aersoltweerde,Aanbrengen rivierhout (1 in 2014 en 2 in 2015),1,IJssel,Gereed,Ja,KRW1-WVV,2015,RIVH,0.03,MIRT 4,,POINT (199290.27529999986 502144.9023000002)
rws_on_puntmaatregelen.51,YS982h,,Y3001,Aersoltweerde,Aanbrengen rivierhout (1 in 2014 en 2 in 2015),1,IJssel,Gereed,Ja,KRW1-WVV,2015,RIVH,0.03,MIRT 4,,POINT (199148.88830000162 502198.97670000046)
rws_on_puntmaatregelen.52,YS982j,,Y3001,Aersoltweerde,Aanbrengen rivierhout (1 in 2014 en 2 in 2015),1,IJssel,Gereed,Ja,KRW1-WVV,2015,RIVH,0.03,MIRT 4,,POINT (198491.3973999992 502274.3830999993)
rws_on_puntmaatregelen.53,NL902d,,Y3002,Wageningen; zomerbed,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2015,RIVH,0.02,Inschatting,,POINT (174168.50200000033 440482.3365000002)
rws_on_puntmaatregelen.54,NL922e,,Y3002,Maurik; in vistrap,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2013,RIVH,0.02,Inschatting,,POINT (156660.12539999932 442766.03269999847)
rws_on_puntmaatregelen.55,NL943f,,Y3002,Everdingen; achter vooroever,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.01,Inschatting,,POINT (140206.28330000117 442286.3953000009)
rws_on_puntmaatregelen.56,NL943g,,Y3002,Everdingen; achter vooroever,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.01,Inschatting,,POINT (140617.71119999886 442138.88980000094)
rws_on_puntmaatregelen.57,NL944c,,Y3002,Everdingen; strang,Aanbrengen rivierhout,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,RIVH,0.02,Inschatting,,POINT (138560.8579000011 442553.44509999827)
rws_on_puntmaatregelen.58,NL917e,,Y3002,Put van Schoonhoven,Rivierhout; bomen zijn omgetrokken en als riffen op de oever van de plas gelegd; gedeeltelijk onder water; niet verankerd,1,Nederrijn en Lek,Gereed,Ja,KRW1-SBB,2015,RIVH,0.01,Inschatting,,POINT (160740.27199999988 444404.49529999867)
rws_on_puntmaatregelen.59,YS901b1,,Y3001,Monding Oude IJssel Doesburg,Plaatsen Rivierhout,2,IJssel,Realisatie,Nee,RWS,,RIVH,0.01,PpWw,,POINT (205726.2375999987 446780.30689999834)
rws_on_puntmaatregelen.60,YS971a1,,Y3001,Marlerwaarden,Plaatsen rivierhout,2,IJssel,Planstudie,Nee,Stroomlijn,0,RIVH,0.01,Inschatting,,POINT (204204.53269999847 494487.5892000012)
rws_on_puntmaatregelen.61,NL947b,NL149,NL93_0141,Hagestein,Herstel/verbetering 2 aalgoten stuwcomplex,1,Nederrijn en Lek,Gereed,Ja,RWS,2014,VPRR,1,Inschatting,,POINT (137578.64699999988 444781.9092000015)
rws_on_puntmaatregelen.62,NL947c,,,Hagestein,Aanleg 2 aalgoten bij bouw stuw (1960),Oud,Nederrijn en Lek,Gereed,Ja,RWS,1960,VPRR,1,Inschatting,,POINT (137575.48750000075 444787.0395000018)
rws_on_puntmaatregelen.63,NL922f,,,Amerongen,Aanleg 2 aalgoten bij bouw stuwcomplex (1965),Oud,Nederrijn en Lek,Gereed,Ja,RWS,1965,VPRR,1,Inschatting,,POINT (156460.71070000157 442838.9556999989)
rws_on_puntmaatregelen.64,NL917f,,Y3002,Put van Schoonhoven,Rivierhout; bomen zijn omgetrokken en als riffen op de oever van de plas gelegd; gedeeltelijk onder water; niet verankerd,1,Nederrijn en Lek,Gereed,Ja,KRW1-SBB,2015,RIVH,0.01,Inschatting,,POINT (160736.20210000128 444309.1649999991)
