Maand,Evenement,Locatie,Soort Evm,begintijd,Eindtijd
Januari,,,,,
04/01/2017,Kerstboomverbranding/ nieuwjaarsinstuif,Van Heukelompark,,,
15/01/2017,CZ-Nieuwjaarsduik,"Stadhuisbrug, Korte Minrebroederstraat",cultureel,,
22/01/2017,FC Utrecht-Ajax,Stadion Galgenwaard,voetbal,,
28/01/2017,Sneeuwbal Festival,Park Transwijk,muziek,,
29/01/2017,Martial Arts Festival,Stadion Galgenwaard,sport,,
Februari,,,,,
05/02/2017,FC Utrecht-Heereveen,Stadion Galgenwaard,voetbal,,
18/02/2017,FC Utrecht-Zwolle,Stadion Galgenwaard,voetbal,,
18/02/2017,A State Of Trance Festival,Jaarbeurs,muziek,,
Maart,,,,,
04/03/2017,Soenda Indoor Festival,De Fabrique,muziek,,
05/03/2017,FC Utrecht-ADO Den Haag,Stadion Galgenwaard,voetbal,,
05/03/2017,de Streekmarkt.nl,Domplein,markt,,
11/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
12/03/2017,CZ-Uitgesproken Utrecht,"Stadhuisbrug, Korte MInrebroederstraat, Neude, Jaarbeursplein (trappen), Lepelenburg, Lucas Bolwerk, Mariaplaats, Domplein, Vismarkt, Janskerkhof, Vredenburg",cultureel,,
12/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
12/03/2017,Maximapark seizoenslopen,Maximapark,sport,,
12/03/2017,Home Made Market,Vredenburg,markt,,
13/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
14/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
15/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
16/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
17/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
18/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
19/03/2017,Utrechtse Tennis Kampioenschappen (UTK),Verschillende tennisparken in Utrecht,sport,,
19/03/2017,Platen - CD – Beurs,Janskerkhof,markt,,
19/03/2017,Utrecht Marathon,Utrecht Science Park en het oostelijk deel van de stad,sport,,
21/03/2017,Tweetakt,de Neude,cultureel,,
24/03/2017,werktitel Switch,Het Spoorwegmuseum,cultureel,,
25/03/2017,werktitel Switch,Het Spoorwegmuseum,cultureel,,
April,,,,,
01/04/2017,Tweetakt,de Neude,cultureel,,
01/04/2017,FC Utrecht-Willem 11,Stadion Galgenwaard,voetbal,,
01/04/2017,Platen - CD - Beurs,Mariaplaats,markt,,
02/04/2017,Tweetakt,de Neude,cultureel,,
02/04/2017,de Streekmarkt.nl,Domplein,markt,,
02/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
03/04/2017,Tweetakt,de Neude,cultureel,,
03/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
03/04/2017,Tweetakt,"Ganzenmarkt,",cultureel,,
04/04/2017,Tweetakt,de Neude,cultureel,,
04/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
04/04/2017,Tweetakt,"Ganzenmarkt,",cultureel,,
05/04/2017,Tweetakt,de Neude,cultureel,,
05/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
05/04/2017,Tweetakt,"Ganzenmarkt,",cultureel,,
06/04/2017,Tweetakt,de Neude,cultureel,,
06/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
06/04/2017,Tweetakt,"Ganzenmarkt,",cultureel,,
06/04/2017,Platen - CD - Beurs,Vredenburg,markt,,
07/04/2017,Tweetakt,de Neude,cultureel,,
07/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
07/04/2017,Lentebock Festival,Tolsteegbarriere,food,,
08/04/2017,Tweetakt,de Neude,cultureel,,
08/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
08/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
08/04/2017,Grachtenrace ronDom Utrecht,Landgoed rhijnauwen - Start. Veilinghaven - Finish,sport,,
08/04/2017,Lentebock Festival,Tolsteegbarriere,food,,
09/04/2017,Tweetakt,de Neude,cultureel,,
09/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
09/04/2017,FC Utrecht-Utrecht?,Stadion Galgenwaard,voetbal,,
09/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
09/04/2017,Grachtenrace ronDom Utrecht,Landgoed rhijnauwen - Start. Veilinghaven - Finish,sport,,
09/04/2017,Braderie Marco Polo,Marco Pololaan,markt,,
09/04/2017,Home Made Market,Vredenburg,markt,,
09/04/2017,Lentebock Festival,Tolsteegbarriere,food,,
10/04/2017,Tweetakt,de Neude,cultureel,,
10/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
10/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
11/04/2017,Tweetakt,de Neude,cultureel,,
11/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
11/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
12/04/2017,Tweetakt,de Neude,cultureel,,
12/04/2017,Tweetakt,"Fort Ruigenhoek, Groenekan",cultureel,,
12/04/2017,Kermis Utrecht Griftpark,Griftpark,kermis,,
