zk_volgnr;subsidiejaar;subsidieregeling;naam_activiteit_of_projectnaam;resultaat;voorlopig_bedrag;definitief_bedrag;aanvrager;kvk
807492;2016;Amateurkunst en Cultuur;"Wie maakt Zaanstad?";Verleend;13598;;Stichting Babel - Zaans Architectuur Platform;34187379
863302;2016;Amateurkunst en Cultuur;Organiseren van geplande activiteiten;Verleend;20678;;Stichting Theatermijn;56569157
790576;2016;Amateurkunst en Cultuur;MusicalMeesters;Verleend;5077;;Stichting Culturele Staten;56895992
785237;2016;Amateurkunst en Cultuur;Geplande culturele activiteiten;Verleend;6006;;Stichting 't Lab;41231975
876717;2016;Amateurkunst en Cultuur;Organiseren Haltpop 2016;Verleend en Lager vastgesteld;;4750;Stichting Haltpop;34384992
1164465;2016;Amateurkunst en Cultuur;Nos Morabeza;Verleend en Lager vastgesteld;;3309;Stichting Kaapverdiaanse Omroep Zaanstad;41232031
777289;2016;Amateurkunst en Cultuur;Santiago de Musical;Verleend en Vastgesteld conform;;10000;Stichting Samenbindende Projecten Zaanstreek;64113671
1014013;2016;Amateurkunst en Cultuur;Pixel Festival;Verleend en Vastgesteld conform;;7500;Stichting Raaz;56515316
789325;2016;Amateurkunst en Cultuur;Geplande culturele activiteiten;Verleend en Vastgesteld conform;;6769;Stg. Tengel;41232182
801572;2016;Amateurkunst en Cultuur;Uitvoering Matthaus Passion van J.S. Bach;Verleend en Vastgesteld conform;;5096;Christelijke Oratoriumvereniging Zaanstreek, COV;40617193
1018255;2016;Amateurkunst en Cultuur;14-18 Wereldoorlog;Verleend en Vastgesteld conform;;7500;Stichting Nomade;41204090
917612;2016;Amateurkunst en Cultuur;Uit de klei;Verleend en Vastgesteld op nul;;0;Stichting De Kunstfirma;62488473
829437;2016;Amateurkunst en Cultuur;Jaarsubsidie;Verstrekt;;550;Zaans Kamerkoor;
884477;2016;Amateurkunst en Cultuur;the Music Games;Verstrekt;;282;Facetten van de kunst;34163377
888371;2016;Amateurkunst en Cultuur;optreden en masterclass met Nederlands Kamerkoor;Verstrekt;;265;Kamerkoor Krommenie;40618029
