Datum,Dag,Evenement,locatie,Bijzonderheden
januari,,,,
13/01/2019,zondag,Culturele Zondag Nieuwjaarsduik,"Stadhuisbrug, Janskerkhof",
18/01/2019,zaterdag,Glow in the Park,Skatebaan Ruigenhoek,versterkt geluid
19/01/2019,zondag,Glow in the Park,Skatebaan Ruigenhoek,versterkt geluid
26/01/2019,zaterdag,Sneeuwbal Winterfestival,Park Transwijk,versterkt geluid
27/01/2019,zaterdag,Run for Kika Winterrun ,Maximapark,
februari,,,,
22/02/2019,vrijdag,VVV-dagen,Hieronymusplantsoen,versterkt geluid
23/02/2019,zaterdag,VVV-dagen,Hieronymusplantsoen,versterkt geluid
23/02/2019,zaterdag,A State of Trance 900,Jaarbeurs,versterkt geluid
23/02/2019,woensdag,Centennium winterfestival,Lucasbolwerk,versterkt geluid
23/02/2019,zaterdag,Soenda de Fabrique,Westkanaaldijk,versterkt geluid
maart,,,,
02/03/2019,zaterdag,Blasphemy,Verlengde Hoogravenseweg 13,versterkt geluid
03/03/2019,zondag,Platen- CD beurs,Janskerkhof,
07/03/2019,donderdag,Café Theater Festival,diverse locaties (Utrecht),
08/03/2019,donderdag,Café Theater Festival,diverse locaties (Utrecht),
09/03/2019,zaterdag,Utrecht blaast,"Castellum Hoge Woerd, Mariaplaats, stadhuisbrug, Korte Minrebroederstraat,vismarkt,domplein, neude, plein hamburgerstraat",versterkt geluid
09/03/2019,donderdag,Café Theater Festival,diverse locaties (Utrecht),
10/03/2019,donderdag,Café Theater Festival,diverse locaties (Utrecht),
16/03/2019,zaterdag,Badeendrace,Vredenburgkade,
23/03/2019,vrijdag,Platen- CD beurs,Mariaplaats,
24/03/2019,zondag,Home Made Market,Mariaplaats,
29/03/2019,donderdag,Terrassenfestival spring and Japan,Janskerkhof,versterkt geluid
29/03/2019,vrijdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
30/03/2019,vrijdag,Terrassenfestival spring and Japan,Janskerkhof,versterkt geluid
30/03/2019,zaterdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
30/03/2019,donderdag,Bazaar Scouting Hoograven,Verlengde Hoogravenseweg 225,
31/03/2019,zondag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
april,,,,
01/04/2019,maandag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
02/04/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
02/04/2019,dinsdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
03/04/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
03/04/2019,woensdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
04/04/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
04/04/2019,donderdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
05/04/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
05/04/2019,vrijdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
05/04/2019,zondag,Lentebock Festival,Domplein,versterkt geluid
06/04/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
06/04/2019,zaterdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
06/04/2019,donderdag,Lentebock Festival,Domplein,versterkt geluid
07/04/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
07/04/2019,zondag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
07/04/2019,vrijdag,Lentebock Festival,Domplein,versterkt geluid
07/04/2019,zondag,Varsity,Janskerkhof,
08/04/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
08/04/2019,dinsdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
09/04/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
09/04/2019,dinsdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
10/04/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
10/04/2019,donderdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
11/04/2019,vrijdag,Platen- CD beurs,Janskerkhof,
11/04/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
11/04/2019,zondag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
12/04/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
12/04/2019,vrijdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
13/04/2019,zaterdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
13/04/2019,zaterdag,Braderie De Plantage,Plantage,
13/04/2019,zaterdag,Elfia,Kasteel de Haar,versterkt geluid
13/04/2019,zaterdag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
13/04/2019,donderdag,Kermis Utrecht,Griftpark,versterkt geluid
13/04/2019,zondag,Paasmarkt,"Amsterdamsestraatweg, Plantage",
13/04/2019,zaterdag,Rivierenwijkfeest ,"Merwedekade, Amstelstraat",versterkt geluid
13/04/2019,zaterdag,Braderie Ijsselsteinlaan,Ijsselsteinlaan,
14/04/2019,zondag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
14/04/2019,zondag,Culturele Zondag Go West,"Anthoniuskerk (tuin), Bankaplein, CAB-Rondom, Diversebinnentuinen Utrecht West, Herderplein, Majellapark,Moskeeplein, Munstluis, Park Oog in Al,Schimmelplein, Strand Oog in Al, Werkspoorkwartier, Westplein",versterkt geluid
14/04/2019,zondag,Elfia,Kasteel de Haar,versterkt geluid
14/04/2019,zondag,Festival Tweetakt,"Neude, Castellum Hoge Woerd, Fort Ruigenhoek",versterkt geluid
14/04/2019,vrijdag,Kermis Utrecht,Griftpark,versterkt geluid
15/04/2019,maandag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
15/04/2019,zaterdag,Kermis Utrecht,Griftpark,versterkt geluid
16/04/2019,dinsdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
16/04/2019,zondag,Kermis Utrecht,Griftpark,versterkt geluid
16/04/2019,dinsdag,Zomeravondcup,Maarschalkerweerd (atletiekbaan),
17/04/2019,woensdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
17/04/2019,maandag,Kermis Utrecht,Griftpark,versterkt geluid
18/04/2019,donderdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
18/04/2019,vrijdag,Kermis Utrecht,Griftpark,versterkt geluid
19/04/2019,vrijdag,Angstfabriek,RAUM/CAB Rondom/Park Nieuweroord,
