FID,cte,dtm,fixtxt,interp,layer,omschr,tctype,length,se_anno_cad_data
dtb_wegen_1993_2000_lijn.1,L0101,N, , ,1,hoogspanningsleiding,hoogspanningsleiding,359.93,
dtb_wegen_1993_2000_lijn.2,L0103,N, ,1,1,laagspanningsleiding,laagspanningsleiding,142.65,
dtb_wegen_1993_2000_lijn.3,R9009,N, , ,1,schrikhek,schrikhek,2.09,
dtb_wegen_1993_2000_lijn.4,R9009,N, , ,1,schrikhek,schrikhek,1.43,
dtb_wegen_1993_2000_lijn.5,R9009,N, , ,1,schrikhek,schrikhek,1.62,
dtb_wegen_1993_2000_lijn.6,R9009,N, , ,1,schrikhek,schrikhek,1.51,
dtb_wegen_1993_2000_lijn.7,R9009,N, , ,1,schrikhek,schrikhek,1.61,
dtb_wegen_1993_2000_lijn.8,R9009,N, , ,1,schrikhek,schrikhek,1.51,
dtb_wegen_1993_2000_lijn.9,R9009,N, , ,1,schrikhek,schrikhek,1.66,
dtb_wegen_1993_2000_lijn.10,R9009,N, , ,1,schrikhek,schrikhek,1.43,
dtb_wegen_1993_2000_lijn.11,R9009,N, , ,1,schrikhek,schrikhek,1.73,
dtb_wegen_1993_2000_lijn.12,R9009,N, , ,1,schrikhek,schrikhek,2.32,
dtb_wegen_1993_2000_lijn.13,R9009,N, , ,1,schrikhek,schrikhek,2.36,
dtb_wegen_1993_2000_lijn.14,R9009,N, , ,1,schrikhek,schrikhek,2.45,
dtb_wegen_1993_2000_lijn.15,R9009,N, , ,1,schrikhek,schrikhek,2.17,
dtb_wegen_1993_2000_lijn.16,R9009,N, , ,1,schrikhek,schrikhek,2.05,
dtb_wegen_1993_2000_lijn.17,R9009,N, , ,1,schrikhek,schrikhek,2.09,
dtb_wegen_1993_2000_lijn.18,R9009,N, , ,1,schrikhek,schrikhek,2.12,
dtb_wegen_1993_2000_lijn.19,R9009,N, , ,1,schrikhek,schrikhek,3.97,
dtb_wegen_1993_2000_lijn.20,R9009,N, , ,1,schrikhek,schrikhek,1.5,
dtb_wegen_1993_2000_lijn.21,R9009,N, , ,1,schrikhek,schrikhek,1.36,
dtb_wegen_1993_2000_lijn.22,R9009,N, , ,1,schrikhek,schrikhek,2.53,
dtb_wegen_1993_2000_lijn.23,R9009,N, , ,1,schrikhek,schrikhek,2.12,
dtb_wegen_1993_2000_lijn.24,R3101,J, , ,1,beschoeiing,beschoeiing,12.66,
dtb_wegen_1993_2000_lijn.25,R3101,J, , ,1,beschoeiing,beschoeiing,11.43,
dtb_wegen_1993_2000_lijn.26,R3101,J, , ,1,beschoeiing,beschoeiing,255.94,
dtb_wegen_1993_2000_lijn.27,R3101,J, , ,1,beschoeiing,beschoeiing,149.24,
dtb_wegen_1993_2000_lijn.28,R3101,J, , ,1,beschoeiing,beschoeiing,86.95,
dtb_wegen_1993_2000_lijn.29,R3101,J, , ,1,beschoeiing,beschoeiing,53.17,
dtb_wegen_1993_2000_lijn.30,R3101,J, , ,1,beschoeiing,beschoeiing,46.31,
dtb_wegen_1993_2000_lijn.31,R3101,J, , ,1,beschoeiing,beschoeiing,6.77,
dtb_wegen_1993_2000_lijn.32,R3101,J, , ,1,beschoeiing,beschoeiing,29.52,
dtb_wegen_1993_2000_lijn.33,R3101,J, , ,1,beschoeiing,beschoeiing,147.74,
dtb_wegen_1993_2000_lijn.34,R3101,J, , ,1,beschoeiing,beschoeiing,211.82,
dtb_wegen_1993_2000_lijn.35,R3101,J, , ,1,beschoeiing,beschoeiing,234.45,
dtb_wegen_1993_2000_lijn.36,W030701,J, , ,1,greppel,greppel,61.81,
dtb_wegen_1993_2000_lijn.37,W030701,J, , ,1,greppel,greppel,8.8,
dtb_wegen_1993_2000_lijn.38,W030701,J, , ,1,greppel,greppel,27.53,
dtb_wegen_1993_2000_lijn.39,W030701,J, , ,1,greppel,greppel,168.98,
dtb_wegen_1993_2000_lijn.40,W030701,J, , ,1,greppel,greppel,153.69,
dtb_wegen_1993_2000_lijn.41,W030701,J, , ,1,greppel,greppel,41.58,
dtb_wegen_1993_2000_lijn.42,W030701,J, , ,1,greppel,greppel,87.52,
dtb_wegen_1993_2000_lijn.43,W030701,J, , ,1,greppel,greppel,47.63,
dtb_wegen_1993_2000_lijn.44,W030701,J, , ,1,greppel,greppel,16.57,
dtb_wegen_1993_2000_lijn.45,W030701,J, , ,1,greppel,greppel,28.11,
dtb_wegen_1993_2000_lijn.46,W030701,J, , ,1,greppel,greppel,35.59,
dtb_wegen_1993_2000_lijn.47,W030701,J, , ,1,greppel,greppel,52.96,
dtb_wegen_1993_2000_lijn.48,W030701,J, , ,1,greppel,greppel,139.81,
dtb_wegen_1993_2000_lijn.49,W030701,J, , ,1,greppel,greppel,163.49,
dtb_wegen_1993_2000_lijn.50,W030701,J, , ,1,greppel,greppel,392.97,
dtb_wegen_1993_2000_lijn.51,W030701,J, , ,1,greppel,greppel,180.16,
dtb_wegen_1993_2000_lijn.52,W030701,J, , ,1,greppel,greppel,129.92,
dtb_wegen_1993_2000_lijn.53,W030701,J, , ,1,greppel,greppel,10.48,
dtb_wegen_1993_2000_lijn.54,W030701,J, , ,1,greppel,greppel,76.18,
dtb_wegen_1993_2000_lijn.55,W030701,J, , ,1,greppel,greppel,21.13,
dtb_wegen_1993_2000_lijn.56,W030701,J, , ,1,greppel,greppel,13.47,
dtb_wegen_1993_2000_lijn.57,W030701,J, , ,1,greppel,greppel,6.62,
dtb_wegen_1993_2000_lijn.58,W030701,J, , ,1,greppel,greppel,196.41,
dtb_wegen_1993_2000_lijn.59,W030701,J, , ,1,greppel,greppel,43.6,
dtb_wegen_1993_2000_lijn.60,W030701,J, , ,1,greppel,greppel,93.04,
dtb_wegen_1993_2000_lijn.61,W030701,J, , ,1,greppel,greppel,147.74,
dtb_wegen_1993_2000_lijn.62,W030701,J, , ,1,greppel,greppel,38.17,
dtb_wegen_1993_2000_lijn.63,W030701,J, , ,1,greppel,greppel,75.23,
dtb_wegen_1993_2000_lijn.64,W030701,J, , ,1,greppel,greppel,282.12,
dtb_wegen_1993_2000_lijn.65,W030701,J, , ,1,greppel,greppel,43.88,
dtb_wegen_1993_2000_lijn.66,W030701,J, , ,1,greppel,greppel,121.64,
dtb_wegen_1993_2000_lijn.67,W030701,J, , ,1,greppel,greppel,585.11,
dtb_wegen_1993_2000_lijn.68,W030701,J, , ,1,greppel,greppel,52.76,
