Ministerie;Handelsnaam;5000 - Vervoer en verblijfkosten overig;5110 - Verblijf extern;5210 - Wagenpark;Eindtotaal
AZ;7AM B.V.;;2;;2
AZ;Aileen B.V.;;;1;1
AZ;Athlon Car Lease Nederland B.V.;;;1;1
AZ;Beach Club Peukie B.V.;;1;;1
AZ;Birgitte Janssen;;1;;1
AZ;BMW Den Haag B.V.;;;1;1
AZ;BSA;;;1;1
AZ;Cafe/Restaurant Schlemmer;;1;;1
AZ;Centrum Quadraat;;1;;1
AZ;CTMabc;;1;;1
AZ;Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
AZ;FleetCor Technologieën B.V.;;;1;1
AZ;H. Stoker;;1;;1
AZ;Haagsche City Tax (H.C.T.);;;1;1
AZ;Happy Meat B.V.;;1;;1
AZ;Het Muntgebouw-Utrecht B.V.;;2;;2
AZ;Hotel Des Indes B.V.;;1;;1
AZ;HR Via Care B.V.;;;1;1
AZ;HTM Specials B.V.;;;1;1
AZ;Kasteel Oud-Poelgeest B.V.;;2;;2
AZ;KLM Information Services;;1;;1
AZ;Leaseplan Nederland N.V.;;;3;3
AZ;Meeting Circle Maarssen;;1;;1
AZ;Meetingselect B.V.;;1;;1
AZ;Moeskops B.V.;;1;;1
AZ;Munckhof Regie;;;1;1
AZ;Nieuwe of Litteraire Sociëteit De Witte;;2;;2
AZ;Novotel Breda;;1;;1
AZ;Novotel Den Haag;;2;;2
AZ;Oostduinhaghe Hotel B.V.;;1;;1
AZ;P. Bogaards;;1;;1
AZ;Pageshuis B.V.;;1;;1
AZ;Sancy Tres B.V.;;1;;1
AZ;Schiphol Nederland B.V.;;1;;1
AZ;Stg. ProDemos - Huis voor dem. en rechtsstaat;;1;;1
AZ;Stichting De Nieuwe Regentes;;1;;1
AZ;Stichting Humanity House;;2;;2
AZ;Stichting Instock;;1;;1
AZ;Stichting Internat. Perscentrum 'Nieuwspoort';;1;;1
AZ;Stichting Nationaal Veiligheidsinstituut;;1;;1
AZ;'t Goude Hooft Exploitatie B.V.;;1;;1
AZ;Taat & De Regt;;1;;1
AZ;Theater Diligentia;;2;;2
AZ;VCK Travel B.V.;;3;;3
AZ;Vincentius-Vereniging;;1;;1
AZ;Vitam;;1;;1
AZ;West-Tax;;;1;1
AZ;Wittebrug;;;1;1
BZ;Athlon Car Lease Nederland B.V.;;;2;2
BZ;Autobedrijf Brinkhuis;;;1;1
BZ;Bastion Hotel Het Loo B.V.;;;1;1
BZ;BMW Den Haag B.V.;;;4;4
BZ;BSA Schaderegeling B.V.;;;1;1
BZ;Haaglanden Lease;;;2;2
BZ;Hollandse Telecommunicatie Maatschappij;;;1;1
BZ;HR Via Care B.V.;;;2;2
BZ;Leaseplan Nederland N.V.;;;4;4
BZ;Mercedes-Benz Dealer Bedrijven B.V.;;;2;2
BZ;Mercure Hotel Amsterdam City;;;1;1
BZ;MP Carworks;;;1;1
BZ;Munckhof Taxi B.V.;;;2;2
BZ;Niham Westland B.V.;;;1;1
BZ;Park-line B.V.;;;1;1
BZ;Reiger Suspension B.V.;;;1;1
BZ;Schiphol Nederland B.V.;;;1;1
BZ;Schut-Copex B.V.;;;2;2
BZ;Stomerij Panda;;;1;1
BZ;Vlaardingse Taxicentrale B.V.;;;1;1
BZK;Anoniem 442;;;1;1
BZK;APCOA Parking Nederland B.V.;1;;;1
BZK;Ardea Auto Lisse;;;1;1
BZK;Ass. Autofauteuils B.V.;1;;;1
BZK;Athlon Car Lease Nederland B.V.;;;3;3
BZK;Athlon Car Lease Rental Services B.V.;;;6;6
BZK;Atlantic Hotel Exploitatie B.V.;;2;;2
BZK;Auto Ambacht Zoetermeer B.V.;;;1;1
BZK;Auto Borchwerf Roosendaal B.V.;;;1;1
BZK;Auto Lease Groningen B.V.;;;1;1
BZK;Autohaas B.V.;;;1;1
BZK;Avis Autoverhuur;;;2;2
BZK;B. Kerkhof & Zn. B.V.;;;1;1
BZK;Betam Truck & Carwash;;;1;1
BZK;Bilderberg Parkhotel Rotterdam;;1;;1
BZK;BMW Den Haag B.V.;;;1;1
BZK;Brezan Automaterialen B.V.;;;1;1
BZK;BSA Schaderegeling B.V.;;;1;1
BZK;Carglass B.V.;;;1;1
BZK;Carlton Beach Club;1;1;;1
BZK;Chauffeurstelefoon B.V.;1;;;1
BZK;Connexxion Taxi Services B.V.;;;2;2
BZK;DBS Spijkenisse B.V.;;;1;1
BZK;De Groot Autoservice;;;1;1
BZK;De Hofstad Taxicentrale B.V.;;;1;1
BZK;De Pomp Tweewielers;1;;;1
BZK;Eenhoorn Meeting Center;;2;;2
BZK;Engels Conference Center B.V.;;2;;2
BZK;Euromobil Nederland B.V.;1;;2;2
BZK;Europcar Autoverhuur B.V.;1;;;1
BZK;Exploitatie Maatschappij Komfort B.V.;;2;;2
BZK;Exploitatiemij. Grand Hotel Karel V B.V.;;1;;1
BZK;Firma van Laar;;;1;1
BZK;Fleetlogic B.V.;;;1;1
BZK;Golden Tulip Hotel Central;;1;;1
BZK;Grand Hotel De l'Empereur;;1;;1
BZK;Hampshire Hotel Management B.V.;1;;;1
BZK;Havengebouw Amsterdam B.V.;;1;;1
BZK;Heuver Den Ham B.V.;;;1;1
BZK;Holi Holding B.V.;;1;;1
BZK;HR Via Care B.V.;;;7;7
BZK;HTM Specials B.V.;;;1;1
BZK;Inalise B.V.;;;1;1
BZK;Jungheinrich Nederland B.V.;;;1;1
BZK;Kasteel Oud-Poelgeest B.V.;;1;;1
BZK;Keijser B.V.;1;;;1
BZK;Kemper Fietsen B.V.;;;1;1
BZK;Kerkhof en Zonen Beheer;;;1;1
BZK;Kings Shop;;;2;2
BZK;Landegent Holding B.V.;;;1;1
BZK;Landgoed de Horst;1;2;;2
BZK;LeasePlan A20;;;1;1
BZK;Leaseplan Nederland N.V.;;;7;7
BZK;Letterop;;;1;1
BZK;Mercure Den Haag Central;;1;;1
BZK;Mercure Hotel Zwolle;;1;;1
BZK;Motus B.V.;;2;;2
BZK;Munckhof Taxi B.V.;;;4;4
BZK;Museumkwartier B.V.;;1;;1
BZK;Noordzee Services B.V.;;;1;1
BZK;NXt Move Projects;1;;;1
BZK;Park-line B.V.;;;2;2
BZK;PdV Utrecht;;1;;1
BZK;Profile Tyre Center Blok;;;1;1
BZK;Q-Park Beheer B.V.;;;1;1
BZK;Regus;;2;;2
BZK;Remto Automaterialen;;;1;1
BZK;Schadecentrum Apeldoorn B.V.;;;1;1
BZK;Schiphol Nederland B.V.;;;1;1
BZK;Scooterking Utrecht;;;1;1
BZK;Steegro Banden;;;1;1
BZK;SternSchade;;;1;1
BZK;Stg. ZB - Planbur. en Bibliotheek van Zeeland;;1;;1
BZK;Stichting De Groene Garage;;;1;1
BZK;Still Intern Transport B.V.;;;1;1
BZK;Stokman Alkmaar B.V.;;;1;1
BZK;Taxibedrijf Van der Wijst;;;5;5
BZK;Travelcard Nederland B.V.;;;3;3
BZK;Truckland Zuid-Holland B.V.;;;1;1
BZK;Van der Spek Heftrucks B.V.;;;1;1
BZK;Van Stenis Carrosseriebouw B.V.;;;1;1
BZK;VCK Travel B.V.;4;;;4
BZK;Villa Augustus B.V.;1;;;1
BZK;Volkswagen Centrum Nijmegen;;;1;1
BZK;Wittebrug;;;1;1
BZK;WV NL B.V.;;;2;2
BZK;Xerox (Nederland) B.V.;;;1;1
DEF;A. de Jong T.H. Beheer;;;2;2
DEF;A.P.K. Centrum Osdorp B.V.;;;1;1
DEF;Aanhangwagen Centrum Eindhoven B.V.;;;1;1
DEF;Abiom Communication Systems (A.C.S.) B.V.;;;1;1
DEF;Aboma;;;1;1
DEF;Aebi Schmidt Nederland B.V.;;;2;2
DEF;Aep Auto Electric Parts & Tools;;;1;1
DEF;Aero Marche B.V.;;;1;1
DEF;Airsain;;;1;1
DEF;Albers & Klein;;;1;1
DEF;Albers Zeilmakerij B.V.;;;3;3
DEF;Al-Ko Kober B.V.;;;1;1
DEF;All Risk B.V.;;;1;1
DEF;Anoniem 1023;;;1;1
DEF;Anoniem 1103;;;1;1
DEF;Anoniem 1108;;;1;1
DEF;Anoniem 1180;;;1;1
DEF;Anoniem 1226;;;1;1
DEF;Anoniem 123;;;1;1
DEF;Anoniem 1297;;;1;1
DEF;Anoniem 1314;;;1;1
DEF;Anoniem 1351;;;7;7
DEF;Anoniem 1410;;;1;1
DEF;Anoniem 1411;;;1;1
DEF;Anoniem 1414;;;1;1
DEF;Anoniem 1481;;;1;1
DEF;Anoniem 189;;;1;1
DEF;Anoniem 226;;;1;1
DEF;Anoniem 229;;;2;2
DEF;Anoniem 322;;;1;1
DEF;Anoniem 394;;;1;1
DEF;Anoniem 451;;;1;1
DEF;Anoniem 508;;;1;1
DEF;Anoniem 519;;;1;1
DEF;Anoniem 53;;;2;2
DEF;Anoniem 549;;;1;1
DEF;Anoniem 555;;;2;2
DEF;Anoniem 559;;;1;1
DEF;Anoniem 575;;;1;1
DEF;Anoniem 85;;;1;1
DEF;Anoniem 97;;;1;1
DEF;Antonisen B.V.;;;4;4
DEF;ANWB B.V.;;;4;4
DEF;ARAMEX;;;4;4
DEF;Ardea Auto Rotterdam-West;;;1;1
DEF;Arend Auto B.V.;;;1;1
DEF;Ass. Autofauteuils B.V.;;;1;1
DEF;ASV Automobielbedrijven B.V.;;;4;4
DEF;Athlon Car Lease Nederland B.V.;;;5;5
DEF;Auto 123 Oss B.V.;;;2;2
DEF;Auto Rega B.V.;;;1;1
DEF;Auto Schadeherst. Centr. Amersfoort ASCA B.V.;;;2;2
DEF;Autobedrijf G. van den Akker;;;1;1
DEF;Autobedrijf J. ten Hove en Zn.;;;1;1
DEF;Autobedrijf van den Udenhout B.V.;;;2;2
DEF;Autocentrum Castricum B.V.;;;2;2
DEF;Automobielbedrijf Martin Schilder B.V.;;;1;1
DEF;Automobielbedrijf Stoomberg B.V.;;;1;1
DEF;Automotions MB Roosendaal;;;2;2
DEF;Autoplex Zevenaar B.V.;;;3;3
DEF;Autopoetsbedrijf Kleiboer V.O.F.;;;1;1
DEF;Autoschade J. Niesing B.V.;;;2;2
DEF;Autoschade Kraan Doorn B.V.;;;1;1
DEF;Autoschade Rijnders Amersfoort B.V.;;;3;3
DEF;Autoschade Tiemessen Vaassen B.V.;;;1;1
DEF;Autoverhuur Bultman B.V.;;;1;1
DEF;Aviquipo Holland B.V.;;;1;1
DEF;Axxicom Airport Caddy B.V.;;;1;1
DEF;B&B Boerderij de Fryhof V.O.F.;;1;;1
DEF;B.V. Automobielbedrijf Willem Schmidt;;;1;1
DEF;B.V. Rederij G. Doeksen en Zonen;;;2;2
