Leveranciers;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9520 - BZK Specifiek;9540 - EZ Specifiek;Eindtotaal
Compagnieshaven Enkhuizen B.V.;;;;;1;1
Conrad Electronic Benelux B.V.;1;;1;;1;1
Coolblue B.V.;;;;;1;1
Coop Groothandel B.V.;;;1;;;1
Co�perat. Tuinbouwveiling Zaltbommel e.o. BA;;;1;;;1
Cotraco Meat Traders B.V.;;;1;;;1
CRFS Ltd Building 7200;;;;;1;1
Croon Elektrotechniek B.V.;;;;;2;2
Da Vinci Laboratory Solutions B.V.;1;;;;;1
DAP Azul BVBA;;;;;1;1
DAP Gestel;;;;;1;1
Dayseaday Fresh B.V.;;;1;;;1
Dayseaday Frozen B.V.;;;1;;;1
De Bakwinkel;;;1;;;1
De Groot International B.V.;;;1;;;1
De Handelsschool B.V.;;;;;1;1
De Koningh Coding & Labeling B.V.;1;;;;;1
De Kruidenaer B.V.;;;1;;;1
De Nieuwe Band;;;1;;;1
De Notenbeurs B.V.;;;1;;;1
De Sierkamp V.O.F.;;;;;2;2
De smaakspecialist;;;1;;;1
De Tuinen;;;1;;;1
De Westfriesche Pindabranderij B.V.;;;1;;;1
Deen Supermarkten B.V.;;;1;;;1
Dekimo Goes B.V.;;;;;1;1
Del Tropic B.V.;;;1;;;1
Delicatezze D'Italia B.V.;;;1;;;1
Delinuts B.V.;;;1;;;1
Deloitte Consulting B.V.;;;;;1;1
Delta Ohm Benelux B.V.;1;;;;;1
Demir Nut Company;;;1;;;1
Demontage Werkplaats Zeeland (D.W.Z.) B.V.;;;;;1;1
Deniz Fruit B.V.;;;1;;;1
Detailresult Logistiek B.V.;;;1;;;1
Deva Food B.V.;;;1;;;1
DGMR Raadgevende Ingenieurs B.V.;;;;;1;1
Dierenartsen praktijk Schoonzicht;;;;;2;2
Dierenartsencombinatie ZuidOost;;;;;1;1
Dierenartsenpraktijk Boxmeer;;;;;1;1
Dierenartsenpraktijk Ell;;;;;1;1
Dierenartsenpraktijk Groesbeek en omstreken;;;;;1;1
Dierenartsenpraktijk Heerde-Epe;;;;;1;1
Dierenartsenpraktijk Horst e.o.;;;;;1;1
Dierenartsenpraktijk J.H.M. Maas B.V.;;;;;2;2
Dierenartsenpraktijk Kwakernaak B.V.;;;;;2;2
Dierenartsenpraktijk Midden Nederland;;;;;2;2
Dierenartsenpraktijk Schijndel-St. Oedenrode;;;;;2;2
Dierenartsenpraktijk Soestdijkerstraatweg;;;;;2;2
Dierenartsenpraktijk Tolsma Winterwijk;;;;;1;1
Dierenartsenpraktijk voor paarden Hippocrene;;;;;1;1
Dierenartsenpraktijk Vorstenbosch;;;;;1;1
Dierenartspraktijk de Eenhoorn B.V.;;;;;2;2
Dierendokter Jos B.V.;;;;;2;2
Dierenkliniek Achterstraat;;;;;1;1
Dierenkliniek Brandts;;;;;1;1
Dierenkliniek de Kempen;;;;;1;1
Dierenkliniek Gilze;;;;;1;1
Dierenkliniek Hoogveld Echt Roermond;;;;;1;1
Dierenkliniek Noord Nederland;;;;;1;1
Diergeneesk. Cntr. Bekenland lokatie Borculo;;;;;1;1
Difrax B.V.;;;1;;;1
Dikabo B.V.;;;;;1;1
"Dimopoulos-Narlian ""Himalaya Travel"" S.A.";;;;;1;1
Distrivers Gastvrij B.V.;;;1;;;1
Do It B.V.;;;1;;;1
Docfactory B.V.;;;;;1;1
Dongguan Hust Tony Instruments Co., Ltd;1;;;;;1
DrÃ¤ger Nederland B.V.;1;;;;;1
Dragon Herbs;;;1;;;1
Driessen United Blenders B.V.;;;;;1;1
DRRR GmbH;1;;;;;1
Duke Faunabeheer;;;;;1;1
DuretTrip Notarissen N.V.;;;;;1;1
Dutch Supplements B.V.;;;1;;;1
Duwel Fruit;;;1;;;1
Ecoloss Project B.V.;;;;;1;1
Edco Eindhoven B.V.;;;1;;;1
Eegema B.V.;;;;;1;1
Eijkelkamp Soil & Water B.V.;1;;;;;1
Elenbaas Zeegroenten;;;1;;;1
Elicar;;;;;1;1
Elscolab B.V.;1;;;;;1
Emobility Consulting;;;;;2;2
Emonta B.V.;;;1;;;1
Energetica Natura B.V.;;;1;;;1
Enes Impex V.O.F.;;;1;;;1
Entomologie-Speciaalzaak Vermandel V.O.F.;1;;;;;1
Epi Dekaepta (CH 17) Monoprosopi I.K.E.;;;;;1;1
Eppendorf Nederland B.V.;1;;;;;1
Eriks B.V.;1;;;;;1
