FID,fotonaam,fotonummer,fotodatum,fototijd,camera,diafragma,sluitertijd,x,y,z,roll,pitch,yaw,gdb_geomattr_data,shape
beeldmiddenoverzicht_lrl_2019.1,2019_07_23_15_34_37_005262769_RGB_lrl,5262769,2019-07-23,15:34:37,UC-EpII-1-82416042-f100,6.7,175,95673.5,487738.6,6210.745,-0.0042,-0.052,78.3819,,POINT (95673.5 487738.6000000015)
beeldmiddenoverzicht_lrl_2019.2,2019_07_23_15_34_43_005262770_RGB_lrl,5262770,2019-07-23,15:34:43,UC-EpII-1-82416042-f100,6.7,175,95835.255,488514.973,6207.762,-0.0302,-0.0199,78.4075,,POINT (95835.25499999896 488514.97300000116)
beeldmiddenoverzicht_lrl_2019.3,2019_07_23_15_34_48_005262771_RGB_lrl,5262771,2019-07-23,15:34:48,UC-EpII-1-82416042-f100,6.7,175,95978.433,489305.351,6208.789,-0.0061,0.0896,78.3805,,POINT (95978.43299999833 489305.3509999998)
beeldmiddenoverzicht_lrl_2019.4,2019_07_23_15_34_54_005262772_RGB_lrl,5262772,2019-07-23,15:34:54,UC-EpII-1-82416042-f100,6.7,175,96126.932,490109.584,6212.379,-0.014,0.0733,78.3497,,POINT (96126.93200000003 490109.58399999887)
beeldmiddenoverzicht_lrl_2019.5,2019_07_23_15_35_00_005262773_RGB_lrl,5262773,2019-07-23,15:35:00,UC-EpII-1-82416042-f100,6.7,175,96297.479,490895.791,6216.08,0.022,-0.3192,78.3528,,POINT (96297.47899999842 490895.79100000113)
beeldmiddenoverzicht_lrl_2019.6,2019_07_23_15_35_05_005262774_RGB_lrl,5262774,2019-07-23,15:35:05,UC-EpII-1-82416042-f100,6.7,175,96490.318,491675.916,6216.29,-0.0459,0.0634,78.3935,,POINT (96490.31799999997 491675.91600000113)
beeldmiddenoverzicht_lrl_2019.7,2019_07_23_15_35_11_005262775_RGB_lrl,5262775,2019-07-23,15:35:11,UC-EpII-1-82416042-f100,6.7,175,96670.669,492462.293,6213.135,-0.2375,-0.1802,78.4135,,POINT (96670.66899999976 492462.29300000146)
beeldmiddenoverzicht_lrl_2019.8,2019_07_23_15_35_16_005262776_RGB_lrl,5262776,2019-07-23,15:35:16,UC-EpII-1-82416042-f100,6.7,175,96818.954,493238.913,6209.993,-0.0266,0.0019,78.3933,,POINT (96818.95399999991 493238.9129999988)
beeldmiddenoverzicht_lrl_2019.9,2019_07_23_15_35_22_005262777_RGB_lrl,5262777,2019-07-23,15:35:22,UC-EpII-1-82416042-f100,6.7,175,96952.458,494033.589,6210.731,0.0048,0.1109,78.3414,,POINT (96952.45800000057 494033.58900000155)
beeldmiddenoverzicht_lrl_2019.10,2019_07_23_15_35_28_005262778_RGB_lrl,5262778,2019-07-23,15:35:28,UC-EpII-1-82416042-f100,6.7,175,97103.582,494838.923,6213.108,-0.2857,-0.856,78.3305,,POINT (97103.58199999854 494838.9230000004)
beeldmiddenoverzicht_lrl_2019.11,2019_07_23_15_35_33_005262779_RGB_lrl,5262779,2019-07-23,15:35:33,UC-EpII-1-82416042-f100,6.7,175,97270.856,495611.924,6214.105,-0.0494,-0.0354,78.3798,,POINT (97270.85599999875 495611.9239999987)
beeldmiddenoverzicht_lrl_2019.12,2019_07_23_15_35_39_005262780_RGB_lrl,5262780,2019-07-23,15:35:39,UC-EpII-1-82416042-f100,6.7,175,97445.946,496397.429,6212.531,-0.0624,-0.0875,78.38,,POINT (97445.9459999986 496397.4290000014)
beeldmiddenoverzicht_lrl_2019.13,2019_07_23_15_35_44_005262781_RGB_lrl,5262781,2019-07-23,15:35:44,UC-EpII-1-82416042-f100,6.7,175,97607.504,497188.289,6210.319,-0.0371,0.1682,78.3796,,POINT (97607.50400000066 497188.2890000008)
beeldmiddenoverzicht_lrl_2019.14,2019_07_23_15_35_50_005262782_RGB_lrl,5262782,2019-07-23,15:35:50,UC-EpII-1-82416042-f100,6.7,175,97764.734,497979.805,6210.621,-0.029,-0.0135,78.349,,POINT (97764.7340000011 497979.8049999997)
beeldmiddenoverzicht_lrl_2019.15,2019_07_23_15_35_56_005262783_RGB_lrl,5262783,2019-07-23,15:35:56,UC-EpII-1-82416042-f100,6.7,175,97927.486,498768.177,6209.327,-0.0294,0.0298,78.3678,,POINT (97927.48600000143 498768.1770000011)
beeldmiddenoverzicht_lrl_2019.16,2019_07_23_15_36_01_005262784_RGB_lrl,5262784,2019-07-23,15:36:01,UC-EpII-1-82416042-f100,6.7,175,98097.003,499557.332,6208.74,-0.0318,0.0213,78.3795,,POINT (98097.00299999863 499557.33199999854)
beeldmiddenoverzicht_lrl_2019.17,2019_07_23_15_36_07_005262785_RGB_lrl,5262785,2019-07-23,15:36:07,UC-EpII-1-82416042-f100,6.7,175,98274.326,500341.79,6210.633,-0.0544,-0.0579,78.4118,,POINT (98274.32600000128 500341.7899999991)
beeldmiddenoverzicht_lrl_2019.18,2019_07_23_15_36_12_005262786_RGB_lrl,5262786,2019-07-23,15:36:12,UC-EpII-1-82416042-f100,6.7,175,98450.36,501127.449,6209.276,-0.0375,0.0122,78.4011,,POINT (98450.3599999994 501127.44900000095)
beeldmiddenoverzicht_lrl_2019.19,2019_07_23_15_36_18_005262787_RGB_lrl,5262787,2019-07-23,15:36:18,UC-EpII-1-82416042-f100,6.7,175,98623.765,501913.085,6211.879,-0.0535,-0.0631,78.373,,POINT (98623.7650000006 501913.0850000009)
beeldmiddenoverzicht_lrl_2019.20,2019_07_23_15_36_24_005262788_RGB_lrl,5262788,2019-07-23,15:36:24,UC-EpII-1-82416042-f100,6.7,175,98785.475,502697.443,6211.62,-0.0269,0.0112,78.4514,,POINT (98785.47500000149 502697.44299999997)
beeldmiddenoverzicht_lrl_2019.21,2019_07_23_15_36_29_005262789_RGB_lrl,5262789,2019-07-23,15:36:29,UC-EpII-1-82416042-f100,6.7,175,98940.245,503485.019,6213.107,-0.0532,-0.0789,78.3554,,POINT (98940.24500000104 503485.01900000125)
beeldmiddenoverzicht_lrl_2019.22,2019_07_23_15_36_35_005262790_RGB_lrl,5262790,2019-07-23,15:36:35,UC-EpII-1-82416042-f100,6.7,175,99091.996,504270.711,6212.509,-0.036,0.1064,78.3625,,POINT (99091.99599999934 504270.7109999992)
beeldmiddenoverzicht_lrl_2019.23,2019_07_23_15_36_40_005262791_RGB_lrl,5262791,2019-07-23,15:36:40,UC-EpII-1-82416042-f100,6.7,175,99247.192,505058.883,6213.4,-0.0425,-0.0228,78.3375,,POINT (99247.19200000167 505058.8830000013)
beeldmiddenoverzicht_lrl_2019.24,2019_07_23_15_36_46_005262792_RGB_lrl,5262792,2019-07-23,15:36:46,UC-EpII-1-82416042-f100,6.7,175,99406.437,505860.564,6212.603,-0.0419,0.022,78.3486,,POINT (99406.43699999899 505860.5639999993)
beeldmiddenoverzicht_lrl_2019.25,2019_07_23_15_36_52_005262793_RGB_lrl,5262793,2019-07-23,15:36:52,UC-EpII-1-82416042-f100,6.7,175,99569.499,506647.075,6212.805,-0.0422,-0.0102,78.3684,,POINT (99569.4990000017 506647.07499999925)
beeldmiddenoverzicht_lrl_2019.26,2019_07_23_15_36_57_005262794_RGB_lrl,5262794,2019-07-23,15:36:57,UC-EpII-1-82416042-f100,6.7,175,99736.633,507422.621,6211.102,-0.0475,0.0091,78.3685,,POINT (99736.63300000131 507422.62099999934)
beeldmiddenoverzicht_lrl_2019.27,2019_07_23_15_37_03_005262795_RGB_lrl,5262795,2019-07-23,15:37:03,UC-EpII-1-82416042-f100,6.7,175,99912.748,508209.808,6209.36,-0.041,-0.0221,78.3746,,POINT (99912.74799999967 508209.80799999833)
beeldmiddenoverzicht_lrl_2019.28,2019_07_23_15_37_08_005262796_RGB_lrl,5262796,2019-07-23,15:37:08,UC-EpII-1-82416042-f100,6.7,175,100090.571,508999.104,6207.969,-0.0597,-0.0311,78.3959,,POINT (100090.5709999986 508999.1039999984)
beeldmiddenoverzicht_lrl_2019.29,2019_07_23_15_37_14_005262797_RGB_lrl,5262797,2019-07-23,15:37:14,UC-EpII-1-82416042-f100,6.7,175,100253.114,509789.641,6205.073,-0.0202,0.0274,78.4044,,POINT (100253.11400000006 509789.6409999989)
beeldmiddenoverzicht_lrl_2019.30,2019_07_23_15_37_19_005262798_RGB_lrl,5262798,2019-07-23,15:37:19,UC-EpII-1-82416042-f100,6.7,175,100399.667,510571.169,6205.629,-0.0122,0.188,78.3658,,POINT (100399.66699999943 510571.16899999976)
beeldmiddenoverzicht_lrl_2019.31,2019_07_23_15_37_25_005262799_RGB_lrl,5262799,2019-07-23,15:37:25,UC-EpII-1-82416042-f100,6.7,175,100557.947,511360.825,6208.061,-0.0257,0.0412,78.389,,POINT (100557.94700000063 511360.82499999925)
beeldmiddenoverzicht_lrl_2019.32,2019_07_23_15_37_31_005262800_RGB_lrl,5262800,2019-07-23,15:37:31,UC-EpII-1-82416042-f100,6.7,175,100732.691,512149.101,6209.44,-0.0341,-0.004,78.4047,,POINT (100732.69099999964 512149.1009999998)
beeldmiddenoverzicht_lrl_2019.33,2019_07_23_15_37_36_005262801_RGB_lrl,5262801,2019-07-23,15:37:36,UC-EpII-1-82416042-f100,6.7,175,100903.33,512934.899,6209,-0.0286,-0.0126,78.435,,POINT (100903.32999999821 512934.8990000002)
