SYSTEEM;FEITGROEP;PROJCODE;MATE;AANTAL;INITIEELBEDRAG
WAHV ;Snelheid;19TR05;A tem_10km;5964;226444
WAHV ;Snelheid;19TR05;B 11_tem_15km;818;83576
WAHV ;Snelheid;19TR05;C 16_tem_20km;315;45633
WAHV ;Snelheid;19TR05;D 20_tem_25km;173;32875
WAHV ;Snelheid;19TR05;E 25_tem_30km;89;20054
WAHV ;Snelheid;19TR06;A tem_10km;5995;234090
WAHV ;Snelheid;19TR06;B 11_tem_15km;663;67604
WAHV ;Snelheid;19TR06;C 16_tem_20km;266;38350
WAHV ;Snelheid;19TR06;D 20_tem_25km;111;22178
WAHV ;Snelheid;19TR06;E 25_tem_30km;61;15656
WAHV ;Snelheid;KL0601;A tem_10km;40660;1019755,4
WAHV ;Snelheid;KL0601;B 11_tem_15km;2419;205546
WAHV ;Snelheid;KL0601;C 16_tem_20km;1088;115972
WAHV ;Snelheid;KL0601;D 20_tem_25km;532;66054
WAHV ;Snelheid;KL0601;E 25_tem_30km;339;43083
WAHV ;Snelheid;KL0601;F 31_tem_39km;210;28375
WAHV ;Snelheid;KL0602;A tem_10km;82471;2268982
WAHV ;Snelheid;KL0602;B 11_tem_15km;4792;430928,7
WAHV ;Snelheid;KL0602;C 16_tem_20km;1920;224655
WAHV ;Snelheid;KL0602;D 20_tem_25km;907;129683
WAHV ;Snelheid;KL0602;E 25_tem_30km;556;85880,7
WAHV ;Snelheid;KL0602;F 31_tem_39km;321;63515
WAHV ;Snelheid;KL0604;A tem_10km;40879;1359246
WAHV ;Snelheid;KL0604;B 11_tem_15km;5989;505138
WAHV ;Snelheid;KL0604;C 16_tem_20km;2551;285819
WAHV ;Snelheid;KL0604;D 20_tem_25km;809;107639
WAHV ;Snelheid;KL0604;E 25_tem_30km;431;65982
WAHV ;Snelheid;KL0604;F 31_tem_39km;331;48458
WAHV ;Snelheid;KL0605;A tem_10km;16404;542520
WAHV ;Snelheid;KL0605;B 11_tem_15km;2433;205376
WAHV ;Snelheid;KL0605;C 16_tem_20km;1095;125337
WAHV ;Snelheid;KL0605;D 20_tem_25km;366;48624
WAHV ;Snelheid;KL0605;E 25_tem_30km;185;26773
WAHV ;Snelheid;KL0605;F 31_tem_39km;167;27880
WAHV ;Snelheid;KL0606;A tem_10km;60395;2087442,5
WAHV ;Snelheid;KL0606;B 11_tem_15km;8650;785420
WAHV ;Snelheid;KL0606;C 16_tem_20km;3544;440838
WAHV ;Snelheid;KL0606;D 20_tem_25km;1094;175323
WAHV ;Snelheid;KL0606;E 25_tem_30km;604;105863
WAHV ;Snelheid;KL0606;F 31_tem_39km;475;97604
WAHV ;Snelheid;KL0607;A tem_10km;62445;2148698,5
WAHV ;Snelheid;KL0607;B 11_tem_15km;8146;734303
WAHV ;Snelheid;KL0607;C 16_tem_20km;3399;423884,5
WAHV ;Snelheid;KL0607;D 20_tem_25km;1181;183787
WAHV ;Snelheid;KL0607;E 25_tem_30km;645;111923
WAHV ;Snelheid;KL0607;F 31_tem_39km;466;92311
WAHV ;Snelheid;KL0608;A tem_10km;38770;1300995
WAHV ;Snelheid;KL0608;B 11_tem_15km;4727;401411
WAHV ;Snelheid;KL0608;C 16_tem_20km;1737;193412
WAHV ;Snelheid;KL0608;D 20_tem_25km;513;69637
WAHV ;Snelheid;KL0608;E 25_tem_30km;246;39172
WAHV ;Snelheid;KL0608;F 31_tem_39km;167;33051
WAHV ;Snelheid;KL0609;A tem_10km;32734;1137272
WAHV ;Snelheid;KL0609;B 11_tem_15km;4592;396167
WAHV ;Snelheid;KL0609;C 16_tem_20km;1595;186686
WAHV ;Snelheid;KL0609;D 20_tem_25km;655;92950
WAHV ;Snelheid;KL0609;E 25_tem_30km;300;51801
WAHV ;Snelheid;KL0609;F 31_tem_39km;150;31694
WAHV ;Snelheid;KL0610;A tem_10km;49021;1745282
WAHV ;Snelheid;KL0610;B 11_tem_15km;6135;568481
WAHV ;Snelheid;KL0610;C 16_tem_20km;2221;295860
WAHV ;Snelheid;KL0610;D 20_tem_25km;915;164589
WAHV ;Snelheid;KL0610;E 25_tem_30km;492;101355
WAHV ;Snelheid;KL0610;F 31_tem_39km;290;73262
WAHV ;Snelheid;KL0611;A tem_10km;62776;2280984,5
