Handelsnaam;9302 - Laboratoriummaterialen;9303 - Laboratoriuminstrumenten;9304 - Aankoop onderzoeksmateriaal;9520 - BZK Specifiek;9540 - EZ Specifiek;Eindtotaal
*Technical University of Denmark;;;1;;;1
2hold4 B.V.;;;;;1;1
94 Wines B.V.;;;1;;;1
A Chatzipetrou;;;;;2;2
A. de Jong T.H. Beheer;1;2;;;;2
A. en D. van den Hurk;;;;;1;1
A.B.S. All Brake Systems B.V.;;;;;1;1
A.H. Lek;;;;;1;1
A.R.J. van Ingen, dierenarts;;;;;2;2
A.S. Watson B.V.;;;1;;;1
A18metaal B.V.;;1;;;;1
Aalberts A.G.F. Groothandel B.V.;;;1;;;1
AAP, Opvang voor Uitheemse Dieren, stichting;;;;;2;2
Aartsenfruit Breda B.V.;;;1;;;1
Aartsenfruit Venlo B.V.;;;1;;;1
AB Sciex Netherlands B.V.;1;5;;;;5
ABAB Belastingadviseurs en Juristen B.V.;;;;;1;1
ABN AMRO Bank N.V.;;;;;1;1
Access Communications B.V.;;;;;1;1
Accountantskantoor Silvis en Vos;;;;;1;1
Achterhoek Antennebouw Aalten B.V.;;;;;1;1
Adafresh B.V.;;;1;;;1
Adri & Zn. Schaal- en Schelpdierenhandel B.V.;;;1;;;1
Adriaanse van der Weel Advocaten;;;;;1;1
Adure Advocaten B.V.;;;;;1;1
AdVeKo;;;;;1;1
Advocatenkantoor Hoen;;;;;1;1
Advocatenkantoor Krijgsman & Legters;;;;;1;1
Advocatenkantoor Vaals;;;;;1;1
Advocatenkantoor Wolleswinkel;;;;;1;1
Afro Caribbean Food & Cosmetics B.V.;;;1;;;1
AGF Overtoom Groothandel & Horecalever. B.V.;;;1;;;1
AGF Siere B.V.;;;1;;;1
Agilent Technologies Netherlands B.V.;1;;;;3;3
Agilent Technologies Sanigi B.V.;1;;;;;1
Agrico Research;;;;;1;1
Agrifirm Exlan B.V.;;;;;1;1
Agrometius B.V.;;;;;1;1
AINIA, Parque Tecnologico de Valencia;;;;;1;1
Air Cargo Netherlands;;;;;1;1
Air Products Nederland B.V.;1;;;;;1
AIS-Scanology B.V.;1;;;;;1
AKD;;;;;1;1
Al Amana;;;1;;;1
Al Hoceima Import- Export B.V.;;;1;;;1
Albert Heijn B.V.;;;1;;;1
Aldi Best B.V.;;;1;;;1
Aldi Drachten B.V.;;;1;;;1
Aldi Groenlo B.V.;;;1;;;1
Aldi Ommen B.V.;;;1;;;1
Alfa Accountants en Adviseurs;;;;;1;1
Alflora B.V.;1;;;;;1
Alla Marca Food;;;1;;;1
Alla Marca Food Rotterdam;;;1;;;1
Allehand Wooden Toys B.V.;;;1;;;1
Allekabels B.V.;;;;;1;1
Allen & Overy LLP;;;;;1;1
Allround Cargo Handling B.V.;;;1;;;1
Allvital Products B.V.;;;1;;;1
Alphaco;;;;;1;1
Alpine Nederland B.V.;;;1;;;1
Alveolus Biomedical B.V.;;;1;;;1
Alwafa Levensmiddelen;;;1;;;1
Amaryllo MMG BV;;;;;1;1
Ambachtelijke Rokerij Gebr. Post;;;1;;;1
Ambelos B.V.;;;1;;;1
