OBJECTID,JAAR_VAN_E,jaar_van_e_int
1,1928,1928
2,1933,1933
3,1934,1934
4,1936,1936
5,1937,1937
6,1938,1938
7,1939,1939
8,1940,1940
9,1941,1941
10,1943,1943
11,1945,1945
12,1946,1946
13,1947,1947
14,1948,1948
15,1949,1949
16,1950,1950
17,1951,1951
18,1952,1952
19,1953,1953
20,1954,1954
21,1955,1955
22,1956,1956
23,1957,1957
24,1958,1958
25,1959,1959
26,1960,1960
27,1961,1961
28,1962,1962
29,1963,1963
30,1964,1964
31,1965,1965
32,1966,1966
33,1967,1967
34,1968,1968
35,1969,1969
36,1970,1970
37,1971,1971
38,1972,1972
39,1973,1973
40,1974,1974
41,1975,1975
42,1976,1976
43,1977,1977
44,1978,1978
45,1979,1979
46,1980,1980
47,1981,1981
48,1982,1982
49,1983,1983
50,1984,1984
51,1985,1985
52,1986,1986
53,1987,1987
54,1988,1988
55,1989,1989
56,1990,1990
57,1991,1991
58,1992,1992
59,1993,1993
60,1994,1994
61,1995,1995
62,1996,1996
63,1997,1997
64,1998,1998
65,1999,1999
66,2000,2000
67,2001,2001
68,2002,2002
69,2003,2003
70,2008,2008
