OBJECTID,PUIC,NAAM,LEVENSCYCLUS_STATUS,AANNEMER,MONITORING_SYSTEEM,KMLINT,KMLINT_OMSCHRIJVING,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KM_GEOCODE_T,OFFSET,OFFSET_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,BEDIENGEBIED_NAAM,BEDIENGEBIED_AFKORTING,BEDIENGEBIED_SOORT,X,Y,GELDIG_VANAF,PUBLICATIEDATUM,IN_GEBRUIK,PRORAIL_GEBIED,LATITUDE,LONGITUDE,GDB_GEOMATTR_DATA,KM_GEOCODE
1,ad60424f-f632-4fa8-a635-1e822044667a,,Bestaand,,Hotbox Detector,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,"89,179053",-1.149493,"-1,149493",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Dordrecht Stadspolders,DDRS,PPLG,110096.20699999,424366.151,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Zuid-Holland Zuid,51.8061194,4.73612176,,89.179053
2,80a6d9be-5af6-4b47-9f0b-5db2ce249f00,,Bestaand,,Quo Vadis,Ut-Btl,Utrecht Centraal - Boxtel ,117,,117,117__,Lunetten - Geldermalsen,"22,267952",-0.035237,"-0,035237",ProRail,Zuid,Z,Baan,Betuwe,320,Geldermalsen,22,Strukton Rail,Lekbrug Aansl. - Geldermalsen,LEK-GDM,Vrije baan,145861.95,435987.57,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-West,51.91230703,5.25439364,,22.267952
3,2c48795b-c9db-4a3b-b579-77054e53c691,,Bestaand,,Hotbox Detector,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,"89,179053",-1.149493,"-1,149493",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Dordrecht Stadspolders,DDRS,PPLG,110096.20699999,424366.151,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Onbekend,Zuid-Holland Zuid,51.8061194,4.73612176,,89.179053
4,a49b7edc-f766-4b18-80da-72b3fb08b818,,Onbekend,,Hotbox Detector,Brppd-Brgnd,Betuweroute Papendrecht - Betuweroute Giessendam ,152,a,152,152_a,Kijfhoek - Meteren Aansl.,"16,900000",0,"0,000000",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,A15trace,71,VolkerRail,Betuweroute Giessendam,BRGND,PPLG,117832.077,427856.918,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zee-Zevenaar,51.83806299,4.84790691,,16.9
5,2769590a-4665-4b8e-8480-450aa6bd6f60,,Onbekend,,Quo Vadis,Erpw-Erpmw,Europoort West - Stamlijn Marktweg ,474,c,474,474_c,Rotterdam Europoort 1,"200,168479",40.368442,"40,368442",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,,,,67632.869,439978.73599999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zee-Zevenaar,51.94139072,4.11658027,,200.168479
6,d32bc598-f341-4fb5-ae07-e67a95f5a88c,,Onbekend,,Hotbox Detector,Ut-Rtd,Utrecht Centraal - Rotterdam Centraal ,105,,105,105__,Woerden - Gouda,"18,030000",-0.000203,"-0,000203",ProRail,Randstad Noord,RN,Baan,Neerlands Midden,250,Woerden,14,ASSET Rail,Woerden,WD,PPLG,119756.355,453539.90399999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.06902478,4.87319185,,18.03
7,0f1b7622-834a-4136-9444-18bfc6ced927,,Onbekend,,Hotbox Detector,Hdr-Zd,Den Helder - Zaandam ,075,,75,075__,Alkmaar - Uitgeest,"55,560001",3e-05,"0,000030",ProRail,Randstad Noord,RN,Baan,Hollands Noorderkwartier,210,Alkmaar,7,VolkerRail,Alkmaar - Uitgeest,AMR-UTG,Vrije baan,106837.55,505497.34999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord-West,52.53499998,4.67736897,,55.560001
8,69b42d42-c6a8-4835-9006-e5929c20a141,,Onbekend,,Quo Vadis,Hvs-Utm,Hilversum - Utrecht Maliebaan ,095,,95,095__,Hilversum - Blauwkapel,"7,510000",0.000409,"0,000409",ProRail,Randstad Noord,RN,Baan,Eemland,200,Amersfoort,12,ASSET Rail,Hilversum - Blauwkapel,HVS-BKP,Vrije baan,140074.89799999,463713.00599999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.16137979,5.16907848,,7.51
9,dd228a83-99bb-455b-a14c-97726baff441,,Onbekend,,Hotbox Detector,Sgra-Asra,Amsterdam Singelgracht Aansl. - Amsterdam Riekerpolder Aansl. ,523,a,523,523_a,Amsterdam Sloterdijk,"53,914001",0.000352,"0,000352",ProRail,Randstad Noord,RN,Baan,Amsterdam,220,Amsterdam,9,VolkerRail,Amsterdam Erasmusgracht = Aansl.,AEG,PPLG,117496.98,487738.57799999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Midden,52.37623608,4.83645382,,53.914001
10,8eb7c5dc-637a-4062-8cf9-bc2975f7d286,,Onbekend,,Hotbox Detector,Zd-Ekz,Zaandam - Enkhuizen ,079,,79,079__,Zaandam - Hoorn,"9,549000",0,"0,000000",ProRail,Randstad Noord,RN,Baan,Hollands Noorderkwartier,210,Heerhugowaard,6,VolkerRail,Purmerend Overwhere - Zaandam Kogerveld,PMO-ZDK,Vrije baan,122794.43799999,499666.052,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Noord-West,52.48376726,4.91310046,,9.549
11,447b2ab9-efec-4cac-ae0c-9bee8bb7ecaf,,Onbekend,,Quo Vadis,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,"87,750000",-9e-06,"-0,000009",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Dordrecht Stadspolders - Sliedrecht,DDRS-SDT,Vrije baan,110512.907,425692.374,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,51.81807269,4.74199279,,87.75
12,3425f723-746b-47ac-b5f5-9c61958e3a8b,,Onbekend,,Quo Vadis,Mt-Vl,Maastricht - Venlo ,519,a,519,519_a,Roermond,"47,720000",0.000336,"0,000336",ProRail,Zuid,Z,Baan,De Peel,300,Venlo,27,ASSET Rail,Roermond - Swalmen,RM-SM,Vrije baan,198092.68799999,357316.156,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Oost,51.20360154,6.00379431,,47.72
13,7f5f4e68-0604-4c58-94e4-e27212d42b11,Locatie 2190: Wantij,Onbekend,Voestalpine Signaling,Hotbox Detector,Gdm-Ddr,Geldermalsen - Dordrecht ,118,,118,118__,Geldermalsen - Dordrecht,"89,178827",-0.264108,"-0,264108",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Dordrecht Stadspolders,DDRS,PPLG,110095.63,424366.85999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,51.80612572,4.7361133,,89.178827
14,94aa554f-b43a-4f7b-a502-d59cba0ff627,Locatie 2180: Elten (D),Onbekend,Voestalpine Signaling,Hotbox Detector,Zvg-Em,Zevenaar Grens - Emmerich (D) ,779,,779,779__,Emmerich (D) - Zevenaar Grens,"68,454045",16.519941,"16,519941",Derden - Overig - DB Netz,,,Baan,,,,,,Zevenaar Oost - Zevenaar Grens,ZVO-ZVG,Vrije baan,208142.98999999,431167.03999999,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,,51.86651745,6.15878375,,68.454045
15,804a5ec2-47cc-405c-807a-f94b3992b78a,Locatie 2170: Vaanplein,Bestaand,Voestalpine Signaling,Hotbox Detector,Brda-Whz,"Barendrecht Aansl. - Rotterdam, Emplacement Waalhaven Zuid ",950,d,950,950_d,Barendrecht Vork - Rotterdam Maasvlakte,"203,006265",-0.02493,"-0,024930",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,"Rotterdam, Waalhaven Zuid Aansl. Noord",WHZAN,PPLG,93643.94999999,431124.31,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zee-Zevenaar,51.86529203,4.49639746,,203.006265
16,99006233-eb12-4948-b8b2-024020496103,Betuweroute Stadion ,Bestaand,Volker Rail,Hotbox Detector,Bd-Rtd,Breda - Rotterdam Centraal ,163,,163,163__,Rotterdam Lombardijen - Rotterdam Centraal,"44,980341",4.387899,"4,387899",ProRail,Randstad Zuid,RZ,Baan,Rotterdam,120,Rotterdam,3,VolkerRail,Rotterdam Willemsspoortunnel - Rotterdam Stadion,WSPT-RTST,Vrije baan,94801.94899999,435203.177,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,51.90207695,4.51249559,,44.980341
17,2f99ebe2-0312-45fc-aef7-d23fde3bf905,Betuweroute Pernis,Bestaand,Volker Rail,Hotbox Detector,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,"11,412956",-0.498167,"-0,498167",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,"Rotterdam, Emplacement Pernis",PS,PPLG,85632.20299999,432618.984,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zee-Zevenaar,51.87778558,4.37979306,,11.412956
18,5d0c8c42-1a68-418d-a55a-50dff7d7b765,Betuweroute Dubbelda,Bestaand,Volker Rail,Hotbox Detector,Bd-Rtd,Breda - Rotterdam Centraal ,119,a,119,119_a,Lage Zwaluwe - Dordrecht,"25,171636",0.061515,"0,061515",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Willemsdorp - Dordrecht,WLD-DDR,Vrije baan,104755.124,421097.923,2022/12/22 01:00:00+00,2022/12/21 18:01:08+00,Ja,Zuid-Holland Zuid,51.77629001,4.65915903,,25.171636
