FID,wvk_id,wvk_begdat,nwb_versie,pve_code,gme_id,gme_naam,wpsnaam,stt_naam,wegnummer,wegbehsrt,wegbehcode,wegbehnaam,lengte,maxshd,dat_maxshd,begintijd,eindtijd,maxshd_alt,van,naar,maxshd_str,maxshd_adv,kenm_richt,fk_veld1,betrwbheid,gdb_geomattr_data,shape
max_snelheden_nacht.688873,600140408,2021-10-01T00:00:00,2022-12-01T00:00:00,NB,847,Someren,Lierop,Oeijenbraak,067,R,194,ZN District Midden,237,120,2021-12-16T00:00:00,6,19,100,233,237,0,0,H,060014040820211001,50%,,"LINESTRING (173941.82679999992 381660.69860000163, 173938.03020000085 381659.43930000067)"
max_snelheden_nacht.1480698,600140408,2021-10-01T00:00:00,2022-12-01T00:00:00,NB,847,Someren,Lierop,Oeijenbraak,067,R,194,ZN District Midden,237,120,2021-12-16T00:00:00,6,19,100,0,233,0,0,H,060014040820211001,100%,,"LINESTRING (174174.1240000017 381664.90900000185, 174095.6799999997 381662.4510000013, 173953.89299999923 381664.7010000013, 173941.82679999992 381660.69860000163)"
max_snelheden_nacht.1485166,600140409,2019-02-01T00:00:00,2022-12-01T00:00:00,NB,847,Someren,Lierop,Oeijenbraak,067,R,194,ZN District Midden,60,120,2021-12-16T00:00:00,6,19,100,26,60,0,0,H,060014040920190201,100%,,"LINESTRING (174207.39799999818 381669.4690000005, 174174.1240000017 381664.90900000185)"
max_snelheden_nacht.14164,600144220,2021-11-01T00:00:00,2022-12-01T00:00:00,GL,1734,Overbetuwe,Elst,ELST,A325,P,GL,Gelderland,585,100,2022-09-26T00:00:00,6,19,120,0,532,0,0,B,060014422020211101,50%,,"LINESTRING (188546.56799999997 436860.2179999985, 188541.1160000004 436849.381000001, 188532.71799999848 436779.72399999946, 188519.78550000116 436708.2776999995, 188519.17280000076 436705.18200000003, 188518.81579999998 436703.39350000024, 188517.71049999818 436698.5186999999, 188516.5870999992 436693.6475000009, 188515.37790000066 436688.7934000008, 188514.0800999999 436683.9569000006, 188509.5837999992 436669.9215000011, 188507.8359999992 436665.2404000014, 188505.97989999875 436660.6002999991, 188504.04239999875 436656.06980000064, 188501.97129999846 436651.5223999992, 188497.50189999864 436642.5742999986, 188496.48189999908 436640.6592999995, 188495.2463000007 436638.4151000008, 188492.7558999993 436634.0753999986, 188490.1686999984 436629.7982000001, 188487.4798000008 436625.58669999987, 188484.74399999902 436621.496199999, 188481.92960000038 436617.3638000004, 188478.99010000005 436613.3231999986, 188475.98270000145 436609.3324000016, 188472.96009999886 436605.48530000076, 188469.8136 436601.5991999991, 188466.5987999998 436597.77270000055, 188463.34230000153 436593.98270000145, 188460.06500000134 436590.2109999992, 188456.74379999936 436586.4774999991, 188454.7890000008 436584.3381999992, 188453.37680000067 436582.80260000005, 188449.99430000037 436579.124499999, 188446.61180000007 436575.44640000165, 188443.22929999977 436571.7681999989, 188439.84679999948 436568.09010000154, 188436.45650000125 436564.41899999976, 188433.063000001 436560.75079999864, 188429.66950000077 436557.08249999955, 188422.89939999953 436549.7307999991, 188419.53860000148 436546.0331000015, 188416.20960000157 436542.30700000003, 188412.89880000055 436538.56439999864, 188409.58839999884 436534.82129999995, 188406.24870000035 436530.88280000165, 188403.16539999843 436526.9763999991, 188400.26689999923 436522.90619999915, 188397.46189999953 436518.7681999989, 188394.45960000157 436513.9561999999, 188392.24419999868 436510.0540000014, 188389.9433999993 436505.61840000004, 188387.77320000157 436500.92810000107, 188384.21970000118 436491.5747000016, 188382.8249000013 436486.77419999987, 188381.59219999984 436481.9211000018, 188380.49170000106 436476.95369999856, 188379.53489999846 436471.97679999843, 188378.73420000076 436467.0406999998, 188378.0469999984 436462.0907999985, 188377.4354000017 436457.13170000166, 188376.85489999875 436452.1688000001, 188376.33289999887 436447.1986999996, 188375.8110000007 436442.2287000008, 188375.3044999987 436437.2567999996, 188374.80820000172 436432.2591999993, 188374.59860000014 436427.25989999995, 188374.54720000178 436422.2457000017, 188373.93279999867 436412.26570000127, 188373.70450000092 436407.2681999989, 188373.3302000016 436402.2846000008, 188372.8748999983 436397.308699999, 188372.47399999946 436392.32759999856, 188372.15900000185 436387.33839999884, 188371.89880000055 436382.3438999988, 188371.67269999906 436377.34629999846, 188371.51330000162 436375.01689999923)"
max_snelheden_nacht.20309,600144348,2022-04-01T00:00:00,2022-12-01T00:00:00,GL,202,Arnhem,Arnhem,Nijmeegseweg,A325,P,GL,Gelderland,1036,100,2022-09-26T00:00:00,6,19,120,0,1036,0,0,B,060014434820220401,50%,,"LINESTRING (188791.44460000098 440081.79360000044, 188792.97340000048 440036.2595000006, 188792.92269999906 440031.2831000015, 188792.89290000126 440028.99549999833, 188792.85060000047 440026.2980999984, 188792.7723999992 440021.3222000003, 188792.70430000126 440016.3462000005, 188792.64189999923 440011.3702000007, 188792.57939999923 440006.3942000009, 188792.51700000092 440001.4180999994, 188792.4545999989 439996.44209999964, 188792.39220000058 439991.46609999985, 188792.32970000058 439986.49010000005, 188792.27219999954 439981.51399999857, 188792.21770000085 439976.5379000008, 188792.16330000013 439971.5617999993, 188792.10880000144 439966.5855999999, 188792.05429999903 439961.6094999984, 188791.9998999983 439956.63340000063, 188791.94539999962 439951.65729999915, 188791.89090000093 439946.6812000014, 188791.8365000002 439941.7050999999, 188791.78200000152 439936.7289999984, 188791.7276000008 439931.75290000066, 188791.6972000003 439928.9930000007, 188791.67280000076 439926.7767999992, 188791.61780000106 439921.8007000014, 188791.56289999932 439916.82459999993, 188791.50789999962 439911.8484000005, 188791.4530000016 439906.872299999, 188791.40799999982 439901.89609999955, 188791.3718000017 439896.9197999984, 188791.3247999996 439891.94370000064, 188791.26790000126 439886.96759999916, 188791.22210000083 439881.9913999997, 188791.18659999967 439877.01509999856, 188791.12469999865 439872.0390000008, 188790.97789999843 439862.0872000009, 188790.94999999925 439857.11080000177, 188790.91070000082 439852.1345999986, 188790.8590000011 439847.15839999914, 188790.80739999935 439842.1823000014, 188790.75569999963 439837.2060999982, 188790.7041000016 439832.23000000045, 188790.67330000177 439828.99329999834, 188790.65940000117 439827.253800001, 188790.61980000138 439822.27749999985, 188790.5802000016 439817.3013000004, 188790.5406000018 439812.32499999925, 188790.5009999983 439807.3487999998, 188790.46130000055 439802.37249999866, 188790.42170000076 439797.39620000124, 188790.38210000098 439792.4200000018, 188790.3425000012 439787.44370000064, 188790.29949999973 439782.4675000012, 188790.251600001 439777.49130000174, 188790.20380000025 439772.51509999856, 188790.1559999995 439767.5390000008, 188790.10339999944 439762.56280000135, 188790.04340000078 439757.58680000156, 188789.9787000008 439752.61080000177, 188789.89869999886 439747.63489999995, 188789.82290000096 439742.65900000185, 188789.76159999892 439737.68299999833, 188789.7003000006 439732.7069000006, 188789.65459999815 439728.9967, 188789.63910000026 439727.73739999905, 188789.57779999822 439722.76089999825, 188789.5166000016 439717.78449999914, 188789.45529999956 439712.8081, 188789.39409999922 439707.8317000009, 188789.3328000009 439702.8553000018, 188789.27149999887 439697.87889999896, 188789.21029999852 439692.90249999985, 188789.1490000002 439687.92610000074, 188789.08769999817 439682.9497000016, 188789.02650000155 439677.9732999988, 188788.97190000117 439672.9968999997, 188788.93140000105 439668.02050000057, 188788.8909999989 439663.04410000145, 188788.85049999878 439658.0676999986, 188788.80999999866 439653.0912999995, 188788.76960000023 439648.1149000004, 188788.7291000001 439643.1385000013, 188788.6887000017 439638.1620000005, 188788.64820000157 439633.18560000136, 188788.6152999997 439628.21379999816, 188788.58680000156 439623.2373000011, 188788.53440000117 439618.2611999996, 188788.48189999908 439613.28510000184, 188788.4294999987 439608.30889999866, 188788.3770999983 439603.3328000009, 188788.32470000163 439598.3566999994, 188788.27219999954 439593.38049999997, 188788.21979999915 439588.4043999985, 188788.17049999908 439583.42819999903, 188788.1334999986 439578.4519000016, 188788.09650000185 439573.47560000047, 188788.0524000004 439568.499400001, 188787.97769999877 439563.5234999992, 188787.90309999883 439558.5476000011, 188787.8284999989 439553.5716999993, 188787.75389999896 439548.59589999914, 188787.6999000013 439545.00180000067, 188787.6757999994 439543.61630000174, 188787.5832999982 439538.6398999989, 188787.4968000017 439533.6634999998, 188787.4375 439528.6926999986, 188787.37409999967 439523.7166999988, 188787.31060000136 439518.74069999903, 188787.24929999933 439513.7646000013, 188787.19299999997 439508.7886000015, 188787.13659999892 439503.8125, 188787.08029999956 439498.8363999985, 188787.0240000002 439493.86030000076, 188786.96770000085 439488.8841999993, 188786.9114000015 439483.9081000015, 188786.8550999984 439478.93200000003, 188786.79879999906 439473.95589999855, 188786.7424999997 439468.9798000008, 188786.68620000035 439464.0036999993, 188786.6297999993 439459.02760000154, 188786.57349999994 439454.05160000175, 188786.51720000058 439449.07550000027, 188786.46090000123 439444.0993999988, 188786.40459999815 439439.123300001, 188786.3482999988 439434.14719999954, 188786.2916000001 439429.17770000175, 188786.23330000043 439424.20149999857, 188786.17500000075 439419.2252999991, 188786.11659999937 439414.24909999967, 188786.05829999968 439409.2727999985, 188786 439404.29659999907, 188785.94159999862 439399.3203999996, 188785.88329999894 439394.34420000017, 188785.82499999925 439389.3680000007, 188785.7666000016 439384.39169999957, 188785.7082999982 439379.4155000001, 188785.6499999985 439374.43930000067, 188785.59160000086 439369.4631000012, 188785.53330000117 439364.48690000176, 188785.4750000015 439359.5106999986, 188785.4166000001 439354.53440000117, 188785.35830000043 439349.5582000017, 188785.29890000075 439344.58199999854, 188785.2377000004 439339.6059000008, 188785.17650000006 439334.62970000133, 188785.11510000005 439329.65349999815, 188785.09420000017 439327.99859999865, 188785.05220000073 439324.6783999987, 188784.98939999938 439319.7023999989, 188784.92650000006 439314.72630000114, 188784.86360000074 439309.75030000135, 188784.80070000142 439304.77430000156, 188784.73790000007 439299.79830000177, 188784.67500000075 439294.8222000003, 188784.53970000148 439284.87029999867, 188784.4589000009 439279.8944000006, 188784.37810000032 439274.91849999875, 188784.29729999974 439269.9426999986, 188784.21660000086 439264.9668000005, 188784.13580000028 439259.9910000004, 188784.0549999997 439255.01509999856, 188783.95809999853 439250.0394000001, 188783.85220000148 439245.06379999965, 188783.73970000073 439240.0883000009, 188783.62730000168 439235.1127000004, 188783.36670000106 439225.0245000012, 188783.21090000123 439220.22190000117, 188783.00230000168 439215.24819999933, 188782.77529999986 439210.2756999992, 188782.53979999945 439205.3038999997, 188782.30420000106 439200.33199999854, 188782.06870000064 439195.3601000011, 188781.8220999986 439190.38899999857, 188781.56439999864 439185.41860000044, 188781.30669999868 439180.4481999986, 188781.04899999872 439175.4778999984, 188780.73180000111 439170.51150000095, 188780.38450000063 439165.5472000018, 188779.9397 439160.58960000053, 188779.5709999986 439155.62680000067, 188779.23710000142 439150.66160000116, 188778.92799999937 439145.69469999894, 188778.621199999 439140.72769999877, 188778.3049999997 439135.7613000013, 188777.9210000001 439130.79949999973, 188777.50710000098 439125.8396999985, 188777.17870000005 439121.98910000175, 188777.0789999999 439120.8830000013, 188776.6539000012 439115.92229999974, 188776.2386999987 439110.9609999992, 188775.85020000115 439105.998399999, 188775.47399999946 439101.03500000015, 188775.121199999 439096.0703999996, 188774.77279999852 439091.1055999994, 188774.41409999877 439086.14130000025, 188774.3326999992 439085.0502999984, 188774.0524000004 439081.20529999956, 188773.65670000017 439076.24390000105, 188773.2382999994 439071.2846999988, 188772.78599999845 439066.32880000025, 188772.3126000017 439061.375, 188772 439054, 188770.73959999904 439046.5471000001)"
max_snelheden_nacht.26920,377273014,2021-11-01T00:00:00,2022-12-01T00:00:00,GL,1734,Overbetuwe,Elst,A 325,A325,P,GL,Gelderland,1371,100,2022-09-26T00:00:00,6,19,120,0,1371,0,0,B,037727301420211101,50%,,"LINESTRING (188563.28500000015 436872.51399999857, 188569.62900000066 436911.9761000015, 188570.1041000001 436916.9384999983, 188570.57930000126 436921.90089999884, 188571.05440000072 436926.8632999994, 188571.52959999815 436931.8256999999, 188572.00470000133 436936.78810000047, 188572.48160000145 436941.7503999993, 188572.96409999952 436946.7120999992, 188573.44669999927 436951.67379999906, 188573.92920000106 436956.6354999989, 188574.41180000082 436961.5973000005, 188574.89429999888 436966.55900000036, 188575.37680000067 436971.5207000002, 188575.85940000042 436976.4824000001, 188576.3418999985 436981.44409999996, 188576.82440000027 436986.40579999983, 188577.30189999938 436991.3680000007, 188577.77809999883 436996.33029999956, 188578.25429999828 437001.2927000001, 188578.73050000146 437006.25499999896, 188579.2067000009 437011.21730000153, 188579.68290000036 437016.1796000004, 188580.15909999982 437021.14189999923, 188588.48169999942 437110.4866000004, 188588.87730000168 437115.45650000125, 188589.26579999924 437120.4270000011, 188589.63929999992 437125.39880000055, 188590.00730000064 437130.3713000007, 188590.37519999966 437135.34369999915, 188590.74350000173 437140.31599999964, 188591.11470000073 437145.28810000047, 188591.48600000143 437150.2602000013, 188591.85720000044 437155.2322999984, 188592.22839999944 437160.20439999923, 188592.59959999844 437165.17650000006, 188592.8343999982 437168.27899999917, 188592.98180000111 437170.20149999857, 188593.36679999903 437175.1719999984, 188593.54289999977 437177.38230000064, 188593.76319999993 437180.0788999982, 188594.16679999977 437185.0482000001, 188594.5705000013 437190.01740000024, 188594.97410000116 437194.9866999984, 188595.37779999897 437199.95600000024, 188595.7813999988 437204.9252000004, 188596.21299999952 437209.89180000126, 188596.6574999988 437214.85709999874, 188597.11879999936 437219.82090000063, 188597.58799999952 437224.78379999846, 188598.05730000138 437229.7468000017, 188598.52650000155 437234.70969999954, 188598.99610000104 437239.67269999906, 188599.4748999998 437244.6347000003, 188599.9536000006 437249.5967999995, 188600.43230000138 437254.5588000007, 188600.91110000014 437259.5208999999, 188601.38980000094 437264.4829000011, 188601.86850000173 437269.4450000003, 188602.3471999988 437274.4070000015, 188602.82600000128 437279.3691000007, 188603.30469999835 437284.3310999982, 188603.78339999914 437289.2930999994, 188604.26220000163 437294.2551999986, 188604.7408999987 437299.21719999984, 188605.2195999995 437304.179299999, 188605.7076999992 437309.1403999999, 188606.2003000006 437314.1011000015, 188606.69299999997 437319.061900001, 188607.18560000136 437324.02259999886, 188607.67819999903 437328.98330000043, 188608.1708999984 437333.9439999983, 188608.6634999998 437338.90469999984, 188609.1638999991 437343.86470000073, 188609.66440000013 437348.82459999993, 188610.16490000114 437353.7846000008, 188610.6559999995 437358.74540000036, 188611.14180000126 437363.7067999989, 188611.627700001 437368.6682000011, 188612.11349999905 437373.62950000167, 188612.59930000082 437378.5909000002, 188613.08520000055 437383.5522999987, 188613.5709999986 437388.51359999925, 188614.05680000037 437393.4750000015, 188614.5425999984 437398.4364, 188615.02849999815 437403.39770000055, 188615.51429999992 437408.35909999907, 188616.0001000017 437413.3203999996, 188616.48589999974 437418.28180000186, 188616.97040000185 437423.2285999991, 188617.4561999999 437428.19000000134, 188617.94200000167 437433.15150000155, 188618.4279000014 437438.11290000007, 188618.92590000108 437443.0731000006, 188619.4250999987 437448.0331999995, 188619.92330000177 437452.99329999834, 188620.4092000015 437457.95479999855, 188620.89510000125 437462.9162000008, 188621.38100000098 437467.877700001, 188621.86690000072 437472.8390999995, 188622.35280000046 437477.80050000176, 188622.83879999816 437482.76199999824, 188623.32470000163 437487.7234000005, 188623.78400000185 437492.6876000017, 188624.21759999916 437497.6545000002, 188624.5683999993 437502.62999999896, 188624.8724000007 437507.6103999987, 188625.16640000045 437512.5918000005, 188625.4759999998 437517.5716000013, 188625.85599999875 437523.34099999815, 188626.16950000077 437527.5247000009, 188626.57559999824 437532.49390000105, 188627.03810000047 437537.45760000125, 188627.5012000017 437542.42119999975, 188628.4811999984 437552.3431000002, 188629.0267000012 437557.29850000143, 188629.64660000056 437562.2467, 188630.30029999837 437567.19150000066, 188631.0091000013 437572.1308999993, 188631.73680000007 437577.0683999993, 188632.34470000118 437582.0177000016, 188632.95100000128 437586.96719999984, 188633.51319999993 437591.9210000001, 188634.07409999892 437596.875, 188634.59099999815 437601.8332999982, 188635.10680000111 437606.7917000018, 188635.57789999992 437611.75450000167, 188636.04930000007 437616.71730000153, 188636.53680000082 437621.6785000004, 188637.02430000156 437626.6396000013, 188637.51179999858 437631.60080000013, 188637.99929999933 437636.561999999, 188638.48820000142 437641.5230999999, 188638.9774999991 437646.48409999907, 188639.46680000052 437651.44509999827, 188639.95600000024 437656.4061000012, 188640.44530000165 437661.36719999835, 188640.93459999934 437666.32820000127, 188641.42379999906 437671.28920000046, 188641.91310000047 437676.25019999966, 188642.40239999816 437681.21119999886, 188642.8916000016 437686.17229999974, 188643.3808999993 437691.13329999894, 188643.8702000007 437696.09430000186, 188644.3594999984 437701.05530000106, 188644.84870000184 437706.01630000025, 188645.33799999952 437710.97740000114, 188645.82730000094 437715.93840000033, 188646.31610000134 437720.8949000016, 188646.80530000106 437725.8548000008, 188647.29450000077 437730.8159000017, 188647.78379999846 437735.77690000087, 188648.28009999916 437740.7373000011, 188648.77870000154 437745.69739999995, 188649.27739999816 437750.6574999988, 188649.7760999985 437755.6176000014, 188650.27470000088 437760.57770000026, 188650.77340000123 437765.5377999991, 188651.27210000157 437770.4979000017, 188651.77070000023 437775.4578999989, 188652.26940000057 437780.41800000146, 188652.76810000092 437785.3781000003, 188653.26669999957 437790.3381999992, 188654.7628000006 437805.2184999995, 188655.26529999822 437810.17819999903, 188655.77369999886 437815.1372999996, 188656.7811000012 437825.056499999, 188657.28319999948 437830.01619999856, 188657.7853000015 437834.9759999998, 188658.2873999998 437839.93569999933, 188658.78959999979 437844.8953999989, 188659.2917000018 437849.8552000001, 188659.7939000018 437854.81489999965, 188660.2960000001 437859.7747000009, 188660.79899999872 437864.73429999873, 188661.30629999936 437869.693500001, 188661.8136 437874.6526999995, 188662.32090000063 437879.61190000176, 188662.82820000127 437884.57119999826, 188663.33549999818 437889.5304000005, 188663.84279999882 437894.48959999904, 188664.35009999946 437899.4488000013, 188665.36470000073 437909.36719999835, 188665.87200000137 437914.3264000006, 188666.37929999828 437919.28559999913, 188666.88659999892 437924.2448000014, 188667.39400000125 437929.2039999999, 188668.4085999988 437939.1224000007, 188668.98090000078 437944.71379999816, 188669.4235999994 437949.03920000046, 188669.9312000014 437953.998399999, 188670.43879999965 437958.95749999955, 188670.94640000165 437963.9167000018, 188671.4539999999 437968.87590000033, 188671.96389999986 437973.8348999992, 188672.47940000147 437978.7932000011, 188672.99500000104 437983.751600001, 188673.51049999893 437988.7100000009, 188674.02600000054 437993.6682999991, 188674.5416000001 437998.626699999, 188675.05710000172 438003.5850000009, 188675.5725999996 438008.5434000008, 188676.08819999918 438013.501699999, 188676.6037000008 438018.46009999886, 188677.11930000037 438023.41849999875, 188677.63479999825 438028.37680000067, 188678.15029999986 438033.33520000055, 188678.66429999843 438038.2936999984, 188679.17700000107 438043.25239999965, 188679.68980000168 438048.2109999992, 188680.2050999999 438053.1693999991, 188680.72850000113 438058.12689999864, 188681.25180000067 438063.0844999999, 188681.77519999817 438068.04199999943, 188682.29850000143 438072.9996000007, 188682.82189999893 438077.95710000023, 188683.34530000016 438082.9145999998, 188683.8713000007 438087.8718999997, 188684.4063999988 438092.82820000127, 188684.94150000066 438097.78449999914, 188685.4849999994 438102.73999999836, 188686.05889999866 438107.69220000133, 188686.63280000165 438112.64449999854, 188687.20659999922 438117.5967000015, 188687.78049999848 438122.5489999987, 188688.1662000008 438125.8773000017, 188688.3542000018 438127.4998999983, 188688.92799999937 438132.4521000013, 188689.5011 438137.4043999985, 188690.07349999994 438142.3568000011, 188690.6457999982 438147.3090999983, 188691.21819999814 438152.26150000095, 188691.7835999988 438157.21460000053, 188692.3187999986 438162.1708999984, 188692.84980000183 438167.1275999993, 188693.3616000004 438172.08630000055, 188693.873399999 438177.04509999976, 188694.38529999927 438182.00389999896, 188694.89710000157 438186.9626000002, 188695.40890000015 438191.9213999994, 188695.92069999874 438196.88010000065, 188696.432599999 438201.83889999986, 188696.94440000132 438206.79769999906, 188697.4561999999 438211.7564000003, 188697.96799999848 438216.7151999995, 188698.4798000008 438221.67390000075, 188698.99170000106 438226.63269999996, 188698.86499999836 438236.6700000018)"
max_snelheden_nacht.27365,600145636,2021-11-01T00:00:00,2022-12-01T00:00:00,GL,1734,Overbetuwe,Elst,A 325,A325,P,GL,Gelderland,544,100,2022-09-26T00:00:00,6,19,120,0,544,0,0,B,060014563620211101,50%,,"LINESTRING (188546.56799999997 436860.2179999985, 188531.19170000032 436706.19319999963, 188530.6948999986 436701.22470000014, 188530.19799999893 436696.25620000064, 188529.70120000094 436691.2877999991, 188529.20069999993 436686.319600001, 188528.6964999996 436681.3519000001, 188528.19220000133 436676.3841000013, 188527.688000001 436671.41629999876, 188527.183699999 436666.44849999994, 188526.83700000122 436663.03280000016, 188526.68090000004 436661.49489999935, 188526.17669999972 436656.5273000002, 188525.68310000002 436651.55860000104, 188525.18989999965 436646.58989999816, 188524.7003000006 436641.6207999997, 188524.21510000154 436636.6512000002, 188523.72989999875 436631.6816999987, 188523.24480000138 436626.7122000009, 188522.7595999986 436621.7426000014, 188522.26850000024 436616.77369999886, 188521.77519999817 436611.8049999997, 188521.28390000015 436606.8361000009, 188520.7925999984 436601.86719999835, 188520.30139999837 436596.89820000157, 188519.81010000035 436591.929299999, 188519.3187999986 436586.9604000002, 188518.8275000006 436581.9915000014, 188518.33630000055 436577.02259999886, 188517.8449999988 436572.05370000005, 188517.3537000008 436567.08469999954, 188517.03189999983 436563.82990000024, 188516.86180000007 436562.10929999873, 188516.37049999833 436557.1403999999, 188515.87929999828 436552.1715000011, 188515.38800000027 436547.20259999856, 188514.90560000017 436542.2327999994, 188514.434799999 436537.26199999824, 188513.96389999986 436532.2910999991, 188513.4739000015 436527.3220999986, 188512.9840000011 436522.3531000018, 188512.49399999902 436517.3839999996, 188512.00400000066 436512.4149999991, 188511.51410000026 436507.4459999986, 188511.02409999818 436502.4769000001, 188510.53409999982 436497.5078999996, 188510.04419999942 436492.5388999991, 188509.55420000106 436487.5698999986, 188509.06419999897 436482.60080000013, 188508.57429999858 436477.6317999996, 188508.08430000022 436472.6627999991, 188506.61439999938 436457.75569999963, 188505.80849999934 436447.8009000011, 188505.40549999848 436442.82349999994, 188505.2564000003 436440.95809999853, 188504.9886999987 436437.8520000018, 188504.56269999966 436432.8764999993, 188504.13679999858 436427.90100000054, 188503.71090000123 436422.92550000176, 188503.28500000015 436417.94999999925, 188502.8590000011 436412.9745000005, 188502.43310000002 436407.9990000017, 188502.00719999894 436403.0234999992, 188501.1554000005 436393.07250000164, 188500.77259999886 436388.09259999916, 188500.38980000094 436383.1127999984, 188499.9481999986 436378.1387999989, 188499.50420000032 436373.16519999877, 188499.06019999832 436368.19150000066, 188498.61620000005 436363.2177999988, 188498.17220000178 436358.2441000007, 188497.72819999978 436353.27050000057, 188497.65929999948 436348.25890000165, 188493.92500000075 436318.5249999985)"
max_snelheden_nacht.48180,300178001,2020-12-01T00:00:00,2022-12-01T00:00:00,NB,823,Oirschot,Oirschot,Zwanenburg, ,G,823,Oirschot,690,100,2022-09-26T00:00:00,6,19,120,0,690,0,0,B,030017800120201201,50%,,"LINESTRING (150106 389311, 150128 389311, 150387 389307, 150429 389306, 150642 389300, 150766 389296, 150775.98600000143 389268.42749999836)"
max_snelheden_nacht.71761,600822384,2022-03-01T00:00:00,2022-12-01T00:00:00,LB,1903,Eijsden-Margraten,Eijsden,Rijksweg, ,G,1903,Eijsden-Margraten,20,100,2022-09-26T00:00:00,6,19,120,0,20,0,0,B,060082238420220301,50%,,"LINESTRING (178812.99980000034 311174.06969999894, 178814.11820000038 311170.439100001, 178815.59760000184 311167.4825000018, 178818.6512000002 311162.9065999985, 178820.2639000006 311158.7430000007, 178820.80359999835 311156.04630000144)"
max_snelheden_nacht.77006,600135225,2019-09-01T00:00:00,2022-12-01T00:00:00,FL,50,Zeewolde,Zeewolde,SPECTRUMDREEF, ,G,50,Zeewolde,56,100,2022-09-26T00:00:00,6,19,120,0,56,0,0,B,060013522520190901,50%,,"LINESTRING (150149.95600000024 488689.09540000185, 150118.66899999976 488736.08900000155)"
