FID,cte,thema,themb,omschr,datum,gradenhoek,hecto,z,eignam,layer,dtm,mutatie_co,dtb_id,se_anno_cad_data,gdb_geomattr_data,shape
dtb_punt.3328773,Q09,,,boom,2014-09-17T00:00:00,0,,,,1,0,N,46047557,,,POINT (44753.655900001526 413337.34479999915)
dtb_punt.3328774,Q09,,,boom,2014-09-17T00:00:00,0,,,,1,0,N,46047558,,,POINT (46023.54120000079 413465.5654999986)
dtb_punt.3328775,MD36,picknicktafel,,picknicktafel,2014-09-17T00:00:00,0,,,,1,0,N,46047560,,,POINT (46970.58100000024 412681.4745000005)
dtb_punt.3328776,Q09,,,boom,2014-09-17T00:00:00,0,,,,1,0,N,46047561,,,POINT (45653.36710000038 413353.78869999945)
dtb_punt.3328777,Q410303,vtl,,verklikker transportleiding,2014-09-17T00:00:00,0,,,,1,0,N,46047562,,,POINT (46875.52470000088 412939.12480000034)
dtb_punt.3328778,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047563,,,POINT (229513.9721999988 486888.66010000184)
dtb_punt.3328779,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047564,,,POINT (229565.82449999824 486884.3322999999)
dtb_punt.3328780,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047565,,,POINT (229557.6713999994 486883.3896000013)
dtb_punt.3328781,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047566,,,POINT (229530.01909999922 486887.3935999982)
dtb_punt.3328782,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047567,,,POINT (229504.53319999948 486886.7186000012)
dtb_punt.3328783,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047568,,,POINT (229498.24639999866 486889.44999999925)
dtb_punt.3328784,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46047569,,,POINT (229490.01410000026 486889.13800000027)
dtb_punt.3328785,Q09,,,boom,2015-03-12T00:00:00,0,,,,1,0,N,46048120,,,POINT (38251.40289999917 386662.1110999994)
dtb_punt.3328786,Q09,,,boom,2015-03-12T00:00:00,0,,,,1,0,N,46048121,,,POINT (38249.924400001764 386686.0445000008)
dtb_punt.3328787,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46048122,,,POINT (227685.90900000185 487074.2829999998)
dtb_punt.3328788,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46048123,,,POINT (227668.51300000027 487077.4310000017)
dtb_punt.3328789,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46048124,,,POINT (227672.35399999842 487073.2899999991)
dtb_punt.3328790,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46048125,,,POINT (227673.43200000003 487077.1229999997)
dtb_punt.3328791,Q09,,,boom,2016-03-17T00:00:00,0,,,,1,0,N,46048126,,,POINT (227690.4219999984 487072.2879999988)
