longitude,latitude,OBJECTNUMMER,Boomsoort,Wetenschappelijke_naam,Plantjaar,Stamomtrek,Stamdiameter,Beschermwaarde,Toelichting,Referentienummer_stadsdeel,Volgnummer,Groep,Weblink,COORDS,CENTERLNG2,CENTERLAT2,onbekend
4.898402,52.413653,1,Zilveresdoorn,Acer saccharinum,1960,300-400 cm,,Beeldbepalende waarde,,92,N001,Monumentale boom,,POINT(4.898402 52.413653),4,898402,52
4.898386,52.413603,2,Noordse esdoorn,Acer platanoides,1960,200-300 cm,,Beeldbepalende waarde,,93,N002,Monumentale boom,,POINT(4.898386 52.413603),4,898386,52
4.896247,52.411902,3,Zachte es,Fraxinus pennsylvanica,1960,100-200 cm,,Beeldbepalende waarde,,98,N003,Monumentale boom,,POINT(4.896247 52.411902),4,896247,52
4.895772,52.411572,4,Gele treurwilg,Salix sepulcralis `Tristis`,1950,300-400 cm,,Beeldbepalende waarde,,152,N004,Monumentale boom,,POINT(4.895772 52.411572),4,895772,52
4.898877,52.413586,5,Noordse bol esdoorn,Acer pl. `Globosum`,1960,100-200 cm,,Beeldbepalende waarde,,348,N005,Monumentale boom,,POINT(4.898877 52.413586),4,898877,52
4.899023,52.413561,6,Noordse bol esdoorn,Acer pl. `Globosum`,1960,100-200 cm,,Beeldbepalende waarde,,349,N006,Monumentale boom,,POINT(4.899023 52.413561),4,899023,52
4.899182,52.413536,7,Noordse bol esdoorn,Acer pl. `Globosum`,1960,100-200 cm,,Beeldbepalende waarde,,350,N007,Monumentale boom,,POINT(4.899182 52.413536),4,899182,52
4.892314,52.410882,8,Dubbelbloemige paardenkastanje,Aesculus hip. `Baumannii`,1950,200-300 cm,,Beeldbepalende waarde,,633,N008,Monumentale boom,,POINT(4.892314 52.410882),4,892314,52
4.892398,52.410836,9,Dubbelbloemige paardenkastanje,Aesculus hip. `Baumannii`,1950,200-300 cm,,Beeldbepalende waarde,,634,N009,Monumentale boom,,POINT(4.892398 52.410836),4,892398,52
4.891957,52.410565,10,Rode paardenkastanje,Aesculus x carnea,1960,200-300 cm,,Beeldbepalende waarde,,637,N010,Monumentale boom,,POINT(4.891957 52.410565),4,891957,52
4.89218,52.411467,11,Gewone vleugelnoot,Pterocarya fraxinifolia,1950,300-400 cm,,Beeldbepalende waarde,,688,N011,Monumentale boom,,POINT(4.89218 52.411467),4,89218,52
4.893495,52.414509,12,Gewone es,Fraxinus exc. `Westhofs Glorie`,1925,200-300 cm,,Beeldbepalende waarde,,1174,N012,Monumentale boom,,POINT(4.893495 52.414509),4,893495,52
4.890995,52.415177,13,Zilveresdoorn,Acer saccharinum `Wieri`,1960,200-300 cm,,Beeldbepalende waarde,,1199,N013,Monumentale boom,,POINT(4.890995 52.415177),4,890995,52
4.884015,52.412158,14,Zachte berk,Betula pubescens,1940,100-200 cm,,,,1252,N014,Monumentale boom,,POINT(4.884015 52.412158),4,884015,52
4.889397,52.411014,15,Japanse notenboom,Ginkgo biloba,1935,100-200 cm,,Beeldbepalende waarde,,1492,N015,Monumentale boom,,POINT(4.889397 52.411014),4,889397,52
4.89021,52.410654,16,Kolchische esdoorn,Acer cappadocicum,1935,100-200 cm,,Beeldbepalende waarde,,1503,N016,Monumentale boom,,POINT(4.89021 52.410654),4,89021,52
4.882981,52.412352,17,Pluim iep,Ulmus glabra `Exoniensis`,1960,100-200 cm,,,,1760,N017,Monumentale boom,,POINT(4.882981 52.412352),4,882981,52
4.883176,52.412258,18,Italiaanse populier,Populus nigra `Italica`,1950,200-300 cm,,,,1763,N018,Monumentale boom,,POINT(4.883176 52.412258),4,883176,52
4.899901,52.409598,19,Zilveresdoorn,Acer saccharinum,1960,300-400 cm,,Beeldbepalende waarde,,2898,N019,Monumentale boom,,POINT(4.899901 52.409598),4,899901,52
4.906946,52.391336,20,Hollandse iep,Ulmus x hol. `Belgica`,1955,200-300 cm,,Beeldbepalende waarde,,3685,N020,Monumentale boom,,POINT(4.906946 52.391336),4,906946,52
4.907708,52.391659,21,Hollandse iep,Ulmus x hol. `Belgica`,1930,200-300 cm,,Beeldbepalende waarde,,3699,N021,Monumentale boom,,POINT(4.907708 52.391659),4,907708,52
4.907769,52.391593,22,Hollandse iep,Ulmus x hol. `Belgica`,1930,200-300 cm,,Beeldbepalende waarde,,3700,N022,Monumentale boom,,POINT(4.907769 52.391593),4,907769,52
4.906268,52.384528,23,Hollandse iep,Ulmus x hol. `Belgica`,1960,200-300 cm,,Beeldbepalende waarde,,3992,N023,Monumentale boom,,POINT(4.906268 52.384528),4,906268,52
4.917086,52.389296,24,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4210,N024,Monumentale boom,,POINT(4.917086 52.389296),4,917086,52
4.916389,52.388806,25,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4215,N025,Monumentale boom,,POINT(4.916389 52.388806),4,916389,52
4.916229,52.388697,26,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4216,N026,Monumentale boom,,POINT(4.916229 52.388697),4,916229,52
4.916092,52.388598,27,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4217,N027,Monumentale boom,,POINT(4.916092 52.388598),4,916092,52
4.915497,52.388178,28,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4221,N028,Monumentale boom,,POINT(4.915497 52.388178),4,915497,52
4.915344,52.388071,29,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4222,N029,Monumentale boom,,POINT(4.915344 52.388071),4,915344,52
4.91521,52.387977,30,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4223,N030,Monumentale boom,,POINT(4.91521 52.387977),4,91521,52
4.91506,52.387876,31,Hollandse iep,Ulmus x hol. `Belgica`,1960,100-200 cm,,Beeldbepalende waarde,,4224,N031,Monumentale boom,,POINT(4.91506 52.387876),4,91506,52
4.914895,52.387754,32,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4226,N032,Monumentale boom,,POINT(4.914895 52.387754),4,914895,52
4.914774,52.38767,33,Hollandse iep,Ulmus x hol. `Belgica`,1960,200-300 cm,,Beeldbepalende waarde,,4227,N033,Monumentale boom,,POINT(4.914774 52.38767),4,914774,52
4.915217,52.387885,34,Hollandse iep,Ulmus x hol. `Belgica`,1960,200-300 cm,,Beeldbepalende waarde,,4297,N034,Monumentale boom,,POINT(4.915217 52.387885),4,915217,52
4.915352,52.387982,35,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4298,N035,Monumentale boom,,POINT(4.915352 52.387982),4,915352,52
4.916392,52.388711,36,Hollandse iep,Ulmus x hol. `Belgica`,1960,300-400 cm,,Beeldbepalende waarde,,4306,N036,Monumentale boom,,POINT(4.916392 52.388711),4,916392,52
4.915392,52.389927,37,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4554,N037,Monumentale boom,,POINT(4.915392 52.389927),4,915392,52
4.915247,52.38978,38,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4555,N038,Monumentale boom,,POINT(4.915247 52.38978),4,915247,52
4.915104,52.389643,39,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4556,N039,Monumentale boom,,POINT(4.915104 52.389643),4,915104,52
4.914911,52.389523,40,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4557,N040,Monumentale boom,,POINT(4.914911 52.389523),4,914911,52
4.914667,52.389396,41,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4558,N041,Monumentale boom,,POINT(4.914667 52.389396),4,914667,52
4.914445,52.389276,42,Gladde iep,Ulmus minor `Sarniensis`,1930,200-300 cm,,Beeldbepalende waarde,,4559,N042,Monumentale boom,,POINT(4.914445 52.389276),4,914445,52
4.914231,52.389166,43,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4560,N043,Monumentale boom,,POINT(4.914231 52.389166),4,914231,52
4.913972,52.389034,44,Gladde iep,Ulmus minor `Sarniensis`,1930,200-300 cm,,Beeldbepalende waarde,,4561,N044,Monumentale boom,,POINT(4.913972 52.389034),4,913972,52
4.913728,52.388956,45,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4562,N045,Monumentale boom,,POINT(4.913728 52.388956),4,913728,52
4.913464,52.388896,46,Gladde iep,Ulmus minor `Sarniensis`,1930,100-200 cm,,Beeldbepalende waarde,,4563,N046,Monumentale boom,,POINT(4.913464 52.388896),4,913464,52
4.91887,52.394722,47,Zomereik,Quercus robur,1930,200-300 cm,,Beeldbepalende waarde,,7457,N047,Monumentale boom,,POINT(4.91887 52.394722),4,91887,52
