FID,ID,GEMEENTE,WOONPLAATS,POSTCODEGEBIED_6,DD_BRONBESTAND,DD_BIJGEWERKT,GEOMETRIE
GEO_IND_POSTCODEGEBIED_6.729,729,Nijmegen,Nijmegen,6524KT,2022-04-06,2023-02-01,"POLYGON ((188019.156697592 427504.342849862, 188020.451722477 427507.86327962, 188021.272099783 427514.098180713, 188021.197679547 427514.958998026, 188022.100769108 427522.257372815, 188022.051213479 427522.80712658, 188022.945246345 427529.802063308, 188023.164414451 427530.409977873, 188024.037362243 427536.933886191, 188024.18766425 427537.344376503, 188025.452185316 427546.768451564, 188025.34229634 427547.998099031, 188026.153744532 427554.554352377, 188026.332148739 427555.048467011, 188027.312944649 427562.781431727, 188027.474621652 427563.229560387, 188028.515450423 427571.477421493, 188028.509306474 427571.542041416, 188029.488127938 427578.890396674, 188029.735506549 427579.575364775, 188030.252108554 427583.6913486, 188025.875677965 427588.788016802, 188022.286689471 427597.223110783, 188023.333773665 427619.670575448, 188018.600896687 427620.449250943, 188003.863000002 427622.874000002, 188000.856118142 427600.728950891, 187999.622433545 427591.643124688, 187999.616290097 427591.597879494, 187998.616147891 427584.232043621, 187997.420311782 427575.424963531, 187996.326473841 427567.369078388, 187996.323858134 427567.349814257, 187995.197592898 427559.055108931, 187995.189660715 427558.996690086, 187993.94893052 427549.858974544, 187993.147792166 427543.95875996, 187992.07553375 427536.061803451, 187991.914842426 427534.878345828, 187991.028179853 427528.348263462, 187990.662967488 427525.658551611, 187990.662923408 427525.658226973, 187989.533995308 427517.34391022, 187988.659910817 427510.906462764, 188019.156697592 427504.342849862))"
GEO_IND_POSTCODEGEBIED_6.730,730,Nijmegen,Nijmegen,6537TH,2022-04-06,2023-02-01,"POLYGON ((183019.60604238 425717.075404812, 183006.424282661 425761.316501285, 183005.944907817 425767.862619241, 183006.211741432 425771.8517112, 183005.893345187 425772.055678199, 183004.100260172 425773.204341771, 183004.100250809 425773.204347769, 183004.100238662 425773.20435555, 183002.087577479 425774.493681246, 182999.99759963 425775.832536572, 182997.942681062 425777.148932663, 182996.151237822 425778.296544502, 182992.471975904 425780.653507002, 182991.610922361 425781.205104294, 182990.594441936 425781.856269201, 182985.92577699 425784.847050625, 182985.878320289 425784.87745174, 182985.878305091 425784.877461477, 182985.878281371 425784.877476672, 182982.759452987 425786.875421288, 182981.287581193 425787.818313287, 182977.383611758 425790.31922509, 182976.202521986 425791.075839967, 182972.449384232 425793.480127875, 182969.838 425795.153000001, 182969.790501841 425795.14717359, 182967.447059672 425794.859712847, 182967.447015715 425794.859707455, 182964.33225863 425794.477632574, 182955.690413531 425793.417571758, 182955.346586012 425793.375395802, 182952.627685958 425793.041879131, 182949.211735174 425792.622858015, 182944.117760078 425791.998000321, 182940.596000001 425791.566, 182938.340704951 425789.359704176, 182932.617371512 425783.760717621, 182930.834330797 425782.016415791, 182930.359493678 425781.551895127, 182922.892358619 425774.246993317, 182921.952125002 425773.327187501, 182939.254619077 425755.84667062, 182940.79924486 425754.286152411, 182941.171611822 425753.90995422, 182945.267786572 425749.771634533, 182947.267964695 425747.750876873, 182948.423667293 425746.583283422, 182958.462159503 425736.441506648, 182962.004942057 425732.862272928, 182962.992864272 425731.864186127, 182964.630259897 425730.209943581, 182966.591117098 425728.22891141, 182969.371008563 425725.420418052, 182971.334317938 425723.436908476, 182973.968353019 425720.775772197, 182979.534426551 425715.152430157, 182980.051402446 425714.630135174, 182980.69415277 425713.980771687, 182982.957740203 425711.693894537, 182982.95774744 425711.693887226, 182993.905000001 425700.634, 183006.572999999 425712.826000001, 183017.875999998 425716.794, 183019.60604238 425717.075404812))"
GEO_IND_POSTCODEGEBIED_6.731,731,Nijmegen,Nijmegen,6533LD,2022-04-06,2023-02-01,"POLYGON ((186774.0830678 424900.572823176, 186774.083046302 424900.572735349, 186772.040426393 424892.227699604, 186771.756511818 424891.067778823, 186771.217530951 424888.865795684, 186770.440930339 424885.6930273, 186770.396525257 424885.51161225, 186769.110661956 424880.258273063, 186769.099293477 424880.211827633, 186767.628881441 424874.204522531, 186766.870620879 424871.106681634, 186766.870618455 424871.106671729, 186766.541022745 424869.760122638, 186766.081816878 424867.884056828, 186763.938525124 424859.127730595, 186761.895757658 424850.782092013, 186761.702050175 424849.990708427, 186760.574227498 424845.383037411, 186760.065557475 424843.304887918, 186758.821100291 424838.220711641, 186758.72327624 424837.821055692, 186757.293340511 424831.979114802, 186757.181197249 424831.520958329, 186756.052268204 424826.908767296, 186755.734159957 424825.609149739, 186753.716351943 424817.365481924, 186753.064537408 424814.702521691, 186753.064533327 424814.702505019, 186752.20041324 424811.172179587, 186751.911834563 424809.993203819, 186751.776475753 424809.440201223, 186751.432841732 424808.036299217, 186751.14954742 424806.878912498, 186750.025006163 424802.28464758, 186750.008730917 424802.218155763, 186748.906310263 424797.714263619, 186748.52436255 424796.153832672, 186747.204384672 424790.761119849, 186747.119976725 424790.416274814, 186745.98957985 424785.798087022, 186745.650101587 424784.411163186, 186740.814736667 424764.656487873, 186740.785 424764.535, 186741.596188376 424764.060482258, 186742.314394363 424763.640356066, 186748.170703558 424760.214613416, 186753.098469007 424757.332037428, 186754.404703404 424756.56793452, 186758.771500019 424754.013506311, 186762.78498398 424751.665754046, 186766.735012937 424749.35512081, 186767.267368491 424749.04371083, 186775.973766134 424743.950762911, 186787.17342516 424737.399341476, 186787.86305587 424736.995930854, 186793.372746592 424733.772948279, 186793.921359499 424733.452028298, 186795.140802919 424732.738695174, 186795.371871204 424732.603528049, 186798.390626242 424730.837658533, 186813.460999999 424722.022, 186819.285248666 424732.744630695, 186822.521901956 424738.703414376, 186824.921532973 424743.121212906, 186829.699413895 424751.917446645, 186831.364468926 424754.98286696, 186819.171633909 424761.18814184, 186816.148855495 424763.609724127, 186810.280919534 424766.626878969, 186809.777245058 424767.023847351, 186805.003257771 424769.397494014, 186804.331693859 424769.917283409, 186785.89250829 424779.328326805, 186785.816482568 424781.081308045, 186786.193871256 424785.507100495, 186786.207933627 424785.569644659, 186783.635092061 424794.934976833, 186783.116129719 424800.413269874, 186784.20806211 424811.462860668, 186783.657825248 424816.92206342, 186784.098531455 424818.645759182, 186784.256217977 424818.998726435, 186785.445638475 424823.824619423, 186785.520571272 424825.020895557, 186787.138299187 424831.510003101, 186787.351915834 424831.975710399, 186788.348590126 424835.974489165, 186788.879368717 424837.150403862, 186790.392330846 424843.061061034, 186790.865095784 424844.110661097, 186792.13602347 424849.162499507, 186792.303691908 424851.549794555, 186793.906115457 424855.53297546, 186794.702738923 424859.529612511, 186795.761855472 424862.209582469, 186796.290329533 424864.928731527, 186796.024028316 424865.54570374, 186794.418008193 424872.662669575, 186794.4449324 424879.903163522, 186796.327960304 424886.641017866, 186800.14798057 424893.122759045, 186800.092601637 424893.205733108, 186794.920572072 424898.224974278, 186789.398543286 424901.229797006, 186774.877641463 424903.819019686, 186774.0830678 424900.572823176))"
GEO_IND_POSTCODEGEBIED_6.732,732,Nijmegen,Nijmegen,6543SV,2022-04-06,2023-02-01,"POLYGON ((185840.589000002 427585.272999998, 185840.570545887 427585.298729894, 185826.809123461 427604.485776187, 185820.516110245 427613.259893583, 185779.497334157 427586.209131953, 185782.333977051 427582.215899378, 185782.33409178 427582.215737871, 185782.334172723 427582.215623925, 185782.334259042 427582.21550241, 185782.334376304 427582.215337338, 185782.33453736 427582.215110614, 185782.334616396 427582.214999352, 185782.336192522 427582.21278059, 185796.665145908 427581.684908791, 185800.025368467 427580.257092531, 185813.697601509 427559.508326548, 185817.479495877 427563.131762996, 185830.564984147 427575.668981255, 185840.589000002 427585.272999998))"
GEO_IND_POSTCODEGEBIED_6.733,733,Nijmegen,Nijmegen,6521DA,2022-04-06,2023-02-01,"POLYGON ((188317.616999999 428035.338, 188318.569584299 428030.764274111, 188318.788105354 428029.715069954, 188320.023371485 428023.784079195, 188320.047958643 428023.666026734, 188321.000625321 428019.091905315, 188322.107433056 428013.777693028, 188322.206189295 428013.303526106, 188322.945093833 428009.75575945, 188323.503874005 428007.072839589, 188324.637288097 428001.630879884, 188359.727785738 428012.585934168, 188359.27354237 428014.885933336, 188358.393738873 428017.059615315, 188357.060035595 428023.497709072, 188356.371593403 428025.251766884, 188355.87079727 428027.683803929, 188355.836432471 428029.016083766, 188354.855434703 428033.990726722, 188354.825841627 428035.301093442, 188353.913507918 428040.31719051, 188352.269755185 428044.594777518, 188351.229046281 428049.912088603, 188351.144516167 428050.146627467, 188349.115626084 428053.777883335, 188349.25067085 428058.373815472, 188348.41159962 428064.523743465, 188346.652926428 428070.025077844, 188343.738084112 428075.873727043, 188346.997297082 428080.813287323, 188349.428300937 428086.830197514, 188349.455519584 428097.323398424, 188348.920072502 428099.761405857, 188344.884147689 428107.457295404, 188344.264017599 428108.217504684, 188351.627925575 428117.827688406, 188355.720346327 428119.773388448, 188357.280353571 428124.686917593, 188347.682686699 428152.062039776, 188346.485117026 428150.686494281, 188346.02773103 428150.161134245, 188340.898277924 428144.269371726, 188340.45296047 428143.757873788, 188333.718587301 428136.022677344, 188332.797991039 428134.965267433, 188332.797817028 428134.965067561, 188332.797528311 428134.964735937, 188324.944320765 428125.944430473, 188322.824000001 428123.509, 188303.500867939 428122.2724761, 188297.184483297 428121.868278657, 188293.457866017 428121.629805343, 188295.228957883 428113.663305494, 188294.944424361 428108.328548098, 188293.616089951 428103.851804668, 188290.86972085 428098.850041591, 188291.570280887 428098.030250869, 188292.897906277 428095.578228086, 188313.691386581 428085.323781908, 188312.71387637 428081.236623186, 188311.774999999 428077.311000001, 188312.6623511 428070.935651192, 188294.527240067 428063.834021232, 188293.39833142 428059.442915275, 188290.541777129 428053.955244066, 188291.569511586 428053.206101457, 188296.048758618 428048.307339682, 188316.038730506 428046.677388128, 188317.616876203 428035.338889436, 188317.616937677 428035.338447764, 188317.616999999 428035.338))"
GEO_IND_POSTCODEGEBIED_6.743,743,Nijmegen,Nijmegen,6523ML,2022-04-06,2023-02-01,"POLYGON ((190465.459245979 426722.843958131, 190463.40636283 426717.60202744, 190450.927281934 426685.737341345, 190413.036199945 426713.072130957, 190415.53691538 426731.515298027, 190410.989672243 426744.344307707, 190379.248416017 426758.953996269, 190372.562254159 426759.162693301, 190363.1746093 426755.830182341, 190362.950013542 426755.853700934, 190338.122666511 426746.404427979, 190333.976901827 426746.769861858, 190303.309594232 426732.999233951, 190291.187174542 426698.648393751, 190309.984113809 426692.846804664, 190330.864697555 426686.402108267, 190343.370564347 426682.542229843, 190347.965671137 426681.123971209, 190367.01822206 426675.243488758, 190367.018814047 426675.243306044, 190367.01940296 426675.243124278, 190367.019546516 426675.24307997, 190385.408225549 426669.567498533, 190389.070999999 426668.436999999, 190397.34134864 426667.899962374, 190442.785633693 426664.949023787, 190442.785999998 426664.949000001, 190442.780924922 426664.935701895, 190421.77962994 426609.906487396, 190412.772 426586.304000001, 190420.331264345 426584.513388689, 190420.363506949 426584.59528597, 190427.563474414 426602.883441324, 190428.746971195 426605.889562267, 190429.597595962 426608.050177292, 190430.080376608 426609.276456092, 190430.080448039 426609.27663753, 190432.879425213 426616.386132069, 190434.444063456 426620.360364928, 190435.862234012 426623.962565015, 190438.940267527 426631.780871889, 190441.164198872 426637.429731017, 190448.852 426656.957, 190467.513785349 426655.430117806, 190477.474979285 426654.615106308, 190480.549150184 426654.363581777, 190517.410435965 426651.34764092, 190517.41064892 426651.347623496, 190520.09787001 426678.802577486, 190504.621770099 426703.032857395, 190494.623985856 426702.568408455, 190465.459245979 426722.843958131))"
GEO_IND_POSTCODEGEBIED_6.744,744,Nijmegen,Nijmegen,6537AK,2022-04-06,2023-02-01,"POLYGON ((183735.597617425 424068.876708391, 183740.65266829 424071.797722154, 183742.596274931 424072.920817034, 183744.087279444 424073.782380018, 183745.631194935 424074.674517113, 183755.460000001 424080.353999998, 183737.489 424113.120000001, 183742.188000001 424119.818999998, 183748.631273789 424123.473781382, 183741.929550042 424123.287526874, 183732.995198836 424124.714044213, 183708.040129958 424135.26218526, 183704.51550709 424137.788034548, 183681.9785 424123.458659359, 183681.044040056 424122.864515377, 183666.02 424113.311999999, 183673.939595342 424098.730383745, 183678.330844229 424090.645184517, 183682.562206041 424082.854370528, 183685.249115815 424077.907212808, 183686.886793661 424074.891908507, 183686.886940671 424074.891637832, 183691.106269653 424067.122978778, 183693.247695782 424063.180169492, 183694.535395268 424060.80924788, 183694.585387752 424060.717201356, 183696.201722012 424057.741195021, 183696.201740806 424057.741160417, 183696.201768273 424057.741109844, 183696.201792359 424057.741065497, 183697.224660798 424055.857752725, 183699.217628268 424052.188286597, 183700.558634875 424049.719215528, 183701.009 424048.890000001, 183721.100643013 424060.499767603, 183735.597617425 424068.876708391))"
GEO_IND_POSTCODEGEBIED_6.745,745,Nijmegen,Nijmegen,6524EH,2022-04-06,2023-02-01,"POLYGON ((187646.277253477 427736.459872182, 187639.314548035 427744.26402473, 187634.147621413 427750.98631181, 187629.29216775 427758.590254594, 187626.13501195 427764.977420177, 187623.41444353 427773.195387099, 187622.279343205 427780.28350471, 187622.328225175 427787.511994712, 187623.098620964 427791.522701037, 187622.556962506 427794.545151972, 187622.675285809 427801.500470749, 187623.528717451 427805.376109649, 187620.823246458 427809.370260568, 187616.787550695 427818.986760133, 187580.802361575 427823.624851175, 187580.004999999 427817.899, 187579.635960448 427815.236860515, 187579.454447389 427813.927480308, 187579.301636907 427812.825151802, 187578.796463218 427809.18098189, 187578.398394333 427806.309433587, 187577.731085152 427801.495667373, 187576.823538386 427794.948900023, 187576.680721447 427793.918661902, 187575.812203031 427787.653433243, 187575.7461995 427787.177303778, 187574.738669404 427779.909286979, 187574.523421818 427778.356556122, 187573.875141123 427773.680055643, 187573.782886309 427773.014557369, 187572.67188054 427765.000098429, 187572.413233588 427763.134297699, 187571.83402689 427758.956076097, 187571.360164065 427755.53777328, 187571.21685268 427754.503968377, 187570.957663407 427752.634255501, 187570.11003125 427746.519693986, 187646.277253477 427736.459872182))"
GEO_IND_POSTCODEGEBIED_6.746,746,Nijmegen,Nijmegen,6531SP,2022-04-06,2023-02-01,"POLYGON ((186917.785314513 426381.371371009, 186905.090413369 426394.267400631, 186893.994427669 426381.825969093, 186890.761996079 426378.875259883, 186888.658176399 426377.392050127, 186872.56251321 426372.771866531, 186870.922093218 426352.691158202, 186878.845654727 426296.096710544, 186888.245262347 426306.103823772, 186894.981059327 426313.274961736, 186903.625246029 426322.477830471, 186904.979503381 426323.919614767, 186906.560487149 426325.602779025, 186913.206733097 426332.678578189, 186919.831949702 426339.731988863, 186922.435718628 426342.504041858, 186927.264525632 426347.644939266, 186928.643513923 426349.113052885, 186932.142154988 426352.83781446, 186937.716241577 426358.772159582, 186938.846999999 426359.976, 186938.843058314 426359.980004134, 186917.785314513 426381.371371009))"
GEO_IND_POSTCODEGEBIED_6.747,747,Nijmegen,Nijmegen,6538EP,2022-04-06,2023-02-01,"POLYGON ((183921.761429041 424694.045811536, 183960.962125555 424679.326699086, 183967.272341383 424713.830961785, 183971.415338885 424736.484873807, 183972.313210898 424741.394438336, 183973.409658284 424747.389813085, 183974.295903681 424752.235803277, 183975.402116179 424758.284573665, 183976.061822232 424761.891846625, 183921.761429041 424730.5415, 183921.761429041 424694.045811536))"
