FID,FRACTIE,GEMETEN,LONGITUDE,LATITUDE,OMSCHRIJVING,ROVACODE,STRAAT,TYPE

Afvalcontainers.73287,GLAS,Nee,5.39041196396296,52.1572435039164,34022-Appelmarkt,34022,Appelmarkt thv 10 A,Bovengronds

Afvalcontainers.73288,GLAS,Nee,5.37728044749485,52.1399777096652,34079-Borneoplein,34079,Borneoplein thv 9,Bovengronds

Afvalcontainers.73289,GLAS,Nee,5.3858319239024,52.1438904981415,34235-Laurens Costerplein,34235,Laurens Costerpl hk Everard Meysterweg,Bovengronds

Afvalcontainers.73290,GLAS,Nee,5.37692064315564,52.1826454543913,Ambachtlaan,34010,Ambachtlaan thv Graveurstraat,Bovengronds

Afvalcontainers.73291,GLAS,Nee,5.40771313127076,52.1806917555281,34001-A Schweitzersngl/Cor Droebels,34001,A Schweitzersngl thv Cor Droebelstr,Bovengronds

Afvalcontainers.73292,GLAS,Nee,5.41317349384627,52.1666188908171,34395-Weg v/d Vrijheid,34395,Weg v/d Vrijheid thv v Randwijcklaan,Bovengronds

Afvalcontainers.73293,GLAS,Nee,5.39920061701221,52.1754604720026,34262-Nijenrode,34262,Nijerode thv Boy Edgarstraat,Bovengronds

Afvalcontainers.73294,GLAS,Nee,5.4032133336193,52.1681175708715,34304-Rietzangerstraat,34304,Rietzangerstraat thv 40,Bovengronds

Afvalcontainers.73295,GLAS,Nee,5.40309017344746,52.1655276252627,34412-Zangvogelweg,34412,Zangvogelweg hk Vinkenlaan,Bovengronds

Afvalcontainers.73296,GLAS,Nee,5.40758147428227,52.1824540836111,34349-Stradivariusstraat,34349,Stradivariusstr thv A Schweitzersngl,Bovengronds

Afvalcontainers.73297,GLAS,Nee,5.41741511353448,52.1662441431091,34391-Verzetsplein,34391,Verzetsplein hk Plompstraat,Bovengronds

Afvalcontainers.73298,GLAS,Nee,5.412746347847,52.1502653736273,34388-Verdiweg,34388,Verdiweg thv 185 t/m 283,Bovengronds

Afvalcontainers.73299,GLAS,Nee,5.3507051069533,52.1598153458131,34326-Soesterweg,34326,Soesterweg thv Enk,Bovengronds

Afvalcontainers.73300,GLAS,Ja,5.41334778949096,52.1892049916104,34468-Iersepond (Deka-markt),34468,Iersepond/Valutaboulevard,Ondergronds

Afvalcontainers.73301,GLAS,Ja,5.37561010899828,52.1873247609298,34448-Kraailandhof 1,34448,Kraailandhof hk Breelandhof,Ondergronds

Afvalcontainers.73302,GLAS,Ja,5.37789175369959,52.1459055347204,34376-Graaf Janlaan,34376,Graaf Janlaan thv V. Campenstraat,Ondergronds

Afvalcontainers.73303,GLAS,Ja,5.37563683064784,52.1873183688065,34449-Kraailandhof 2,34449,Kraailandhof hk Breelandhof,Ondergronds

Afvalcontainers.73304,GLAS,Ja,5.37716154128752,52.1991211380125,34295-Regenboog,34295,Regenboog thv (JUMBO),Bovengronds

Afvalcontainers.73305,GLAS,Nee,5.37997772458158,52.1930100567578,34286-Pastoor Pieckweg,34286,Pastoor Pieckweg thv Wellensiekerf,Bovengronds

Afvalcontainers.73306,GLAS,Nee,5.42625262970575,52.1870194179686,34085-Brennickmeijerlaan,34085,Brennickmeijerlaan hk A v Altenastr,Bovengronds

Afvalcontainers.73307,GLAS,Nee,5.41445050463484,52.1634230628136,34394-Weg v/d Vrijheid,34394,Weg v/d Vrijheid thv Lage weg,Bovengronds

Afvalcontainers.73308,GLAS,Nee,5.40868958415994,52.1556656076615,34307-Romeostraat,34307,Romeostraat thv 25 t/m 135,Bovengronds

Afvalcontainers.73309,GLAS,Nee,5.4120360783813,52.1638991248859,34361-Trekvogelweg,34361,Trekvogelweg thv Meeuwenstraat,Bovengronds

Afvalcontainers.73310,GLAS,Nee,5.39458192426557,52.1759158722481,34277-Overtoom,34277,Overtoom hk Queekhoven,Bovengronds

Afvalcontainers.73311,GLAS,Nee,5.39264947318317,52.1507378493838,34310-Rubensstraat,34310,Rubensstraat thv 167,Bovengronds

Afvalcontainers.73312,GLAS,Nee,5.39279105969545,52.1927581093068,34301-Reling,34301,Reling hk bakboord,Bovengronds

Afvalcontainers.73313,GLAS,Nee,5.37130358001501,52.1565008713884,34331-Soesterweg,34331,Soesterweg thv Paulus Borstraat,Bovengronds

Afvalcontainers.73314,GLAS,Nee,5.39128076957623,52.1691383883799,34283-Paladijnenweg,34283,Paladijnenweg thv (koperhorst),Bovengronds

Afvalcontainers.73315,GLAS,Nee,5.35069527775826,52.1597991690492,34325-Soesterweg,34325,Soesterweg thv Enk,Bovengronds

Afvalcontainers.73316,GLAS,Nee,5.37487343579557,52.1646861189085,34268-ROVA Brengstation,34268,Nijverheidsweg Noord (Brengstation),Bovengronds

Afvalcontainers.73317,GLAS,Nee,5.37484371581136,52.1646574398929,34265-ROVA Brengstation,34265,Nijverheidsweg Noord (Brengstation),Bovengronds

Afvalcontainers.73318,GLAS,Nee,5.38356582214465,52.1925954718464,34250-Martinuslaan,34250,Martinuslaan hk Pastorielaan,Bovengronds

Afvalcontainers.73319,GLAS,Nee,5.37482898747833,52.1646427363877,34266-ROVA Brengstation,34266,Nijverheidsweg Noord (Brengstation),Bovengronds

Afvalcontainers.73320,GLAS,Nee,5.37485870706643,52.1646727343772,34267-ROVA Brengstation,34267,Nijverheidsweg Noord (Brengstation),Bovengronds

Afvalcontainers.73321,GLAS,Nee,5.39249529264689,52.1836840025398,34157-Het Masker,34157,Het Masker thv Kleine Kreek,Bovengronds

Afvalcontainers.73322,GLAS,Nee,5.39179518593579,52.1886564703155,34229-Laan der Hoven,34229,Laan der Hoven thv Het Avontuur,Bovengronds

Afvalcontainers.73323,GLAS,Nee,5.37841318128121,52.203908784418,34226-Melkkruid,34226,Melkkruid hk Kruidendreef,Bovengronds

Afvalcontainers.73324,GLAS,Nee,5.36579892075648,52.160076358819,34271-Lekstraat,34271,Lekstraat thv Noorderwierweg,Bovengronds

Afvalcontainers.73325,GLAS,Nee,5.43155998545367,52.1875876309948,34088-Brennickmeijerlaan,34088,Brennickmeijerlaan thv Brink,Bovengronds

Afvalcontainers.73326,GLAS,Nee,5.41879515365952,52.1680523442026,34313-Rustenburgweg,34313,Rustenburgweg thv Mellemastraat,Bovengronds

Afvalcontainers.73327,GLAS,Nee,5.40714003222474,52.1693494741688,34358-Trekvogelweg,34358,Trekvogelweg hk Havikshorst,Bovengronds

Afvalcontainers.73328,GLAS,Nee,5.40363221604658,52.1862024695389,34352-Tamboerijnstraat,34352,Tamboerijnstraat hk Panfluitstraat,Bovengronds

Afvalcontainers.73329,GLAS,Ja,5.38629173846323,52.1643291278805,34458-Meridiaan,34458,Meridiaan,Ondergronds

Afvalcontainers.73330,GLAS,Ja,5.40538098627928,52.1481804202297,34462-Verdistraat,34462,Verdistraat thv Mozartweg,Ondergronds

Afvalcontainers.73331,GLAS,Ja,5.43047880320237,52.1937630093269,34461-Ursulapolder,34461,Ursulapolder thv P-plaats Jumbo,Ondergronds

Afvalcontainers.73332,GLAS,Ja,5.38865170742648,52.1582882659096,34447-'t Zand,34447,'t Zand thv 18,Ondergronds

Afvalcontainers.73333,GLAS,Ja,5.38570703338423,52.1558872977412,34444-Molenstraat,34444,Molenstraat thv (Kerk),Ondergronds

Afvalcontainers.73334,GLAS,Ja,5.37850966216774,52.1498624106546,34436-Appelweg,34436,Appelweg hk Utrechtseweg,Ondergronds

Afvalcontainers.73335,GLAS,Ja,5.39316713949574,52.1593700013699,34434-Coninckstraat,34434,Coninckstraat thv Celzusterenstraat,Ondergronds

Afvalcontainers.73336,GLAS,Ja,5.39203161198056,52.158785834354,34435-Flintplein,34435,Flintplein thv (P Plaats),Ondergronds

Afvalcontainers.73337,PAPIER,Ja,5.43059820304703,52.1964790191184,34756-Wouda Papier,34756,Wouda thv AH,Ondergronds

Afvalcontainers.73338,PAPIER,Ja,5.41317925997437,52.1570774351645,34704-Operaweg,34704,Operaweg thv Operaplein,Ondergronds

Afvalcontainers.73339,PAPIER,Ja,5.38178841791099,52.15678757543,34759-Smallepad,34759,Smallepad thv 28,Ondergronds

Afvalcontainers.73340,PAPIER,Ja,5.41991681006153,52.2036907233316,34725-Baak van Camperduin,34725,Baak van Camperduin thv 52,Ondergronds

Afvalcontainers.73341,PAPIER,Ja,5.39897367118982,52.1863682868827,34947-De Beurs,34947,De Beurs thv (P plaats Proffil),Ondergronds

Afvalcontainers.73342,PAPIER,Ja,5.39899703376584,52.1863792452971,34703-De Beurs,34703,De Beurs thv (P plaats Proffil),Ondergronds

Afvalcontainers.73343,PAPIER,Ja,5.40584439531121,52.1511201240944,34716-Bachweg,34716,Bachweg thv Wagnerstraat,Ondergronds

Afvalcontainers.73344,PAPIER,Ja,5.38098397956373,52.1584885621801,34722-Eemplein,34722,Eemplein thv Mediamarkt,Ondergronds

Afvalcontainers.73345,PAPIER,Ja,5.37078678755508,52.2060426740246,34565-Brasem PAPIER,34565,Brasem thv nr 22,Ondergronds

Afvalcontainers.73346,PAPIER,Ja,5.39538649489128,52.1560062751975,34581-Binnen de Veste,34581,Binnen de Veste thv 13,Ondergronds

Afvalcontainers.73347,PAPIER,Ja,5.39539797416461,52.1571913993718,34582-Binnen de Veste,34582,Binnen de Veste hk Achter de Kamp,Ondergronds

Afvalcontainers.73348,PAPIER,Ja,5.43560721389599,52.1979082184944,34567-Hindeloopenkade,34567,Hindeloopenkade thv 112,Ondergronds

Afvalcontainers.73349,PAPIER,Ja,5.36774222052561,52.2022445546471,34566-Zalm,34566,Zalm thv 31,Ondergronds

Afvalcontainers.73350,PAPIER,Ja,5.38370853801481,52.1590917441524,34728-Gaslaan,34728,Gaslaan tegen spoorlijn,Ondergronds

Afvalcontainers.73351,PAPIER,Nee,5.41752234941136,52.2049835895375,34763-Baak van Tholen P/K BVS,34763,Baak van Tholen,Bovengronds

Afvalcontainers.73352,PAPIER,Ja,5.42170685928493,52.2049027733044,34599-Baak van Kortgene,34599,Baak van Kortgene thv 14,Ondergronds

Afvalcontainers.73353,PAPIER,Nee,5.43051057426113,52.1965508140373,34775-Wouda locatie 2 PAP,34775,Wouda locatie 2,Bovengronds

Afvalcontainers.73354,PAPIER,Ja,5.38858108948179,52.1575139422038,34744-Havik,34744,Havik thv 27,Ondergronds

Afvalcontainers.73355,PAPIER,Nee,5.40925717200202,52.1690744618457,34768-Arendshorst,34768,Arendshorst thv 42,Bovengronds

