FID,cte,dtm,omschr,vdtxt,vntxt,se_anno_cad_data
dtb_rivieren_1993_2000_vlak.1,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.2,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.3,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.4,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.5,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.6,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.7,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.8,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.9,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.10,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.11,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.12,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.13,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.14,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.15,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.16,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.17,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.18,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.19,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.20,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.21,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.22,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.23,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.24,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.25,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.26,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.27,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.28,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.29,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.30,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.31,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.32,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.33,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.34,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.35,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.36,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.37,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.76,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.38,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.39,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.40,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.41,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.42,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.43,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.44,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.45,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.46,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.47,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.48,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.49,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.50,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.51,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.52,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.53,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.54,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.55,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.56,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.57,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.58,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.59,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.60,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.61,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.62,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.63,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.64,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.65,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.66,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.67,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.68,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.69,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.70,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.71,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.72,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.73,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.74,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.75,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.77,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.78,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.79,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.80,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.81,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.82,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.83,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.84,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.85,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.86,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.87,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.88,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.89,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.90,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.91,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.92,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.93,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.94,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.95,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.96,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.97,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.98,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.99,B01,N,gebouw, , ,
dtb_rivieren_1993_2000_vlak.100,B01,N,gebouw, , ,
