Leveranciers;4110 - Consumptieve diensten;4120 - Risicobeheersen;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;Eindtotaal
1000 Huizen, Buro v. Arch. en Arch.tek.;;;;;1;;;1
7AM Den Haag B.V.;1;;;;;;;1
A.J.J. Ros;1;;;;;;;1
Aalbers Holding B.V.;;2;;;;;;2
Acs International Schools Cobham;;;;;;;1;1
Ad Astra Advocaten;;;;;;;1;1
Ahrend Nederland B.V.;;;;;1;;;1
Airinc Research Uk Ltd Londen;;3;;;;;;3
Alpert+Leary;;;;;1;;;1
Alvero Kantoormeubelverhuur B.V.;1;;;;;;;1
Andriesse | Eyck;;;;;1;;;1
Annet Gelink Gallery B.V.;;;;;1;;;1
Art Kitchen Gallery Amsterdam;;;;;1;;;1
B.V. Leerdam Crystal;;;;;2;;;2
B+B Vakmedianet B.V.;1;;;;;;;1
Banketbakkerij H.F. Borsboom;1;;;;;;;1
Barbara Schoonhoven Rest.&Onderz. van Schild.;;;;;1;;;1
Barendsen Import-Export Aalsmeer;1;;;;;;;1
Barlow Bar & Restaurant Den Haag;1;;;;;;;1
Berenschot Groep B.V.;;2;;;;;;2
Billink B.V.;;;;;;1;;1
B-Lay B.V.;2;;;;;;;2
Bma Transport Makassar;;;;;;;1;1
Boek En Kantoor Dekkers Dordrecht;;;;;;1;;1
Boekbinderij Hudéjo/Van der Nat;;;;;;1;;1
Brinks V.O.F.;;;;;;;1;1
Cafe/Restaurant De Eeuwige Jachtvelden;1;;;;;;;1
Central Point Europe Bv Amstelveen;1;;;;;;;1
Centrum Quadraat;1;;;;;;;1
Chubb Fire & Security Twente;;6;;;;;;6
Claire Felicie;;;;;2;;;2
Cloose;1;;;;;;;1
Cm.Telecom Breda;1;;;;;;;1
COMPAREX Nederland B.V.;3;;;;;;;3
Comtest Engineering;1;;;;;;;1
Control Risks Group Amsterdam;;4;;;;;;4
Copex Air;;;3;;;;;3
Copex Air B.V.;;;7;;;;;7
Cortex B.V.;;4;;;;;;4
Creme Nederland Oosterhout;1;;;;;;;1
Crosslang;1;;;;;;;1
Customeyes B.V.;2;;;;;;;2
David Bade;;;;;1;;;1
De Gouden Wok Zuiderpark;1;;;;;;;1
De Pennenboer Hengelo;1;;;;;;;1
De Pier Horeca B.V.;1;;;;;;;1
De Vries Projekt Design B.V.;;;;;1;;;1
Dhl Accra;;;1;;;;;1
Discountoffice.nl B.V.;;;;;;1;;1
Dolph Kessler Fotografie;;;;;1;;;1
Down Under BEACH B.V.;1;;;;;;;1
Drukkerij Blank En Zonen Wormerveer;;;;;;1;;1
Emtek Ergonomics B.V.;1;;;;;;;1
Etikettenkoning B.V.;;;;;;1;;1
Eurest Amsterdam;;1;;;;;;1
Facilitylinq B.V.;;;;;2;;;2
Flatland Galerie;;;;;1;;;1
