FID,shape_leng,strooknaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_wschelde_2012.1,3159.61441048,l0304_grd,2012-02-02T00:00:00,,,"LINESTRING (34591.666999999434 388289.31799999997, 37423.11300000176 386887.1490000002)"
vlieglijnen_wschelde_2012.2,3250.10360621,l0305_grd,2012-02-02T00:00:00,,,"LINESTRING (34311.26199999824 387928.0720000006, 37177.596999999136 386395.9840000011)"
vlieglijnen_wschelde_2012.3,17619.1637364,l0306_grd,2012-02-02T00:00:00,,,"LINESTRING (34108.846000000834 387488.44000000134, 49849.74799999967 379572.69999999925)"
vlieglijnen_wschelde_2012.4,17800.9458736,l0307_grd,2012-02-02T00:00:00,,,"LINESTRING (33566.63899999857 387127.4979999997, 49527.79399999976 379246.1790000014)"
vlieglijnen_wschelde_2012.5,17804.0662615,l0308_grd,2012-02-02T00:00:00,,,"LINESTRING (33388.493000000715 386653.6719999984, 49364.51999999955 378795.4690000005)"
vlieglijnen_wschelde_2012.6,17887.5596499,l0309_grd,2012-02-02T00:00:00,,,"LINESTRING (32952.23099999875 386336.0370000005, 48979.642000000924 378393.311999999)"
vlieglijnen_wschelde_2012.7,17837.5700565,l0310_grd,2012-03-11T00:00:00,,,"LINESTRING (32763.28599999845 385821.15300000086, 48773.14900000021 377955.8350000009)"
vlieglijnen_wschelde_2012.8,17196.5463734,l0311_grd,2012-03-11T00:00:00,,,"LINESTRING (32078.97500000149 385618.79300000146, 47510.585999999195 378030.2109999992)"
vlieglijnen_wschelde_2012.9,17497.6198778,l0312_grd,2012-03-11T00:00:00,,,"LINESTRING (30468.05700000003 385826.2980000004, 46271.34400000051 378314.78599999845)"
vlieglijnen_wschelde_2012.10,11529.4126762,l0313_grd,2012-03-11T00:00:00,,,"LINESTRING (26994.712000001222 387006.2010000013, 37352.01900000125 381941.2679999992)"
vlieglijnen_wschelde_2012.11,23394.1607513,l0314_grd,2012-03-11T00:00:00,,,"LINESTRING (26794.403000000864 386576.68400000036, 47690.63599999994 376058.40399999917)"
vlieglijnen_wschelde_2012.12,22550.3175579,l0315_grd,2012-03-11T00:00:00,,,"LINESTRING (27189.651999998838 385855.06500000134, 47393.97500000149 375839.9699999988)"
vlieglijnen_wschelde_2012.13,12722.0266402,l0316_grd,2012-03-11T00:00:00,,,"LINESTRING (35818.550999999046 380986.51000000164, 47230.028000000864 375362.6180000007)"
vlieglijnen_wschelde_2012.14,16613.6739655,l0326_grd,2012-03-11T00:00:00,,,"LINESTRING (44804.98000000045 372181.3759999983, 53574.51900000125 386291.98699999973)"
vlieglijnen_wschelde_2012.15,18467.7928034,l0327_grd,2012-03-11T00:00:00,,,"LINESTRING (45151.052999999374 371804.94200000167, 54887.256999999285 387497.7960000001)"
vlieglijnen_wschelde_2012.16,15865.3979732,l0318_grd,2012-03-12T00:00:00,,,"LINESTRING (31738.451999999583 381870.6090000011, 45974.86300000176 374868.0780000016)"
vlieglijnen_wschelde_2012.17,16333.7006378,l0319_grd,2012-03-12T00:00:00,,,"LINESTRING (30971.02499999851 381692.59800000116, 45630.42000000179 374488.9930000007)"
vlieglijnen_wschelde_2012.18,17798.5536101,l0320_grd,2012-03-12T00:00:00,,,"LINESTRING (30175.60599999875 381532.1710000001, 46145.93299999833 373674.868999999)"
vlieglijnen_wschelde_2012.19,17866.3057197,l0321_grd,2012-03-12T00:00:00,,,"LINESTRING (29777.00800000131 381175.54100000113, 45808.88399999961 373289.8669999987)"
vlieglijnen_wschelde_2012.20,18891.1334483,l0322_grd,2012-03-12T00:00:00,,,"LINESTRING (28713.482999999076 381142.2010000013, 45659.36100000143 372792.8229999989)"
vlieglijnen_wschelde_2012.21,21003.3720028,l0323_grd,2012-03-12T00:00:00,,,"LINESTRING (26395.90799999982 381734.1259999983, 45239.19299999997 372456.61400000006)"
