OBJECTID,NAAM,ADRES,PC_PLAATS,SOORT_ONDE,WEBSITE
1,CBS De Hoeksteen,Jagerlaan 17,3701 XG  ZEIST,Basisonderwijs,http://www.cbsdehoeksteenzeist.nl/
2,CBS De Sluis,Koppelweg 131,3704 GG ZEIST,Basisonderwijs,http://www.desluiszeist.nl/
3,CBS De Wegwijzer,Willem Schmidtlaan 2,3705 LW  ZEIST,Basisonderwijs,http://www.wegwijzerzeist.nl/wp/
4,CBS Ichthus,De Génestetlaan 19,3705 BT  ZEIST,Basisonderwijs,http://www.cbsichthuszeist.nl/
5,"CBS Ichthus, locatie De Lindenhof",Nicolaas Beetslaan 2,3705 BH  ZEIST,Basisonderwijs,http://www.cbsichthuszeist.nl/
6,CBS Nije Kroost,Kroostweg 74 A,3704 EG  ZEIST,Basisonderwijs,http://www.cbsnijekroost.nl/
7,CBS Oud Zandbergen,Prins Alexanderweg 1 A,3712 AD  HUIS TER HEIDE,Basisonderwijs,http://www.cbsoudzandbergen.nl/
8,Christelijk College Zeist,Graaf Adolflaan 4,3708 XB  ZEIST,Voortgezet onderwijs,http://www.ccz.nu/
9,Christelijk Lyceum Zeist,Lindenlaan 23,3707 EP  ZEIST,Voortgezet onderwijs,http://www.clz.nl/
10,"Damiaanschool, locatie Centrum",Rozenstraat 21,3702 VM ZEIST,Basisonderwijs,http://www.damiaanschool.nl/
11,"Damiaanschool, locatie Leliestraat",Leliestraat 21,3702 CA  ZEIST,Basisonderwijs,http://www.damiaanschool.nl/
12,De Griffel,De Clomp 2002,3704 KC  ZEIST,Basisonderwijs,http://www.bsdegriffel.nl/
13,"De Breul, Katholieke Scholengemeenschap",Arnhemse Bovenweg 98,3708 AG  ZEIST,Voortgezet onderwijs,http://www.de-breul.nl/
14,De Kameleon,Schroeder van der Kolklaan 1,3734 VH  DEN DOLDER,Basisonderwijs,http://www.kameleondendolder.nl/
15,Dijnselburgschool Praktijkonderwijs,Bergweg 97,3707 AC  ZEIST,Praktijkonderwijs,http://www.dijnselburgschool.nl/
16,Jenaplanschool Het Spoor,Stationslaan 3,3701 EN  ZEIST,Basisonderwijs,http://hetspoor.rijnheuvelland.nl
17,CBS Kerckeboschschool,Oranje Nassaulaan 5,3708 GA  ZEIST,Basisonderwijs,http://www.kerckeboschschool.nl/
18,"Meerklank, locatie VSO",Laan van Eikenstein 2,3705 AR Zeist,Voortgezet speciaal onderwijs,http://www.meerklank.nl/
19,De Zonnehuisschool,Utrechtseweg 86,3702 AD ZEIST,Speciaal onderwijs,http://www.zonnehuizen.nl/onderwijs
20,De Zonnehuisschool,Utrechtseweg 119,3702 AB ZEIST,Speciaal onderwijs,http://www.zonnehuizen.nl/onderwijs
21,Noorderlicht,Noordweg 8,3704 GN ZEIST,Speciaal onderwijs,http://www.zonnehuizen.nl/onderwijs
22,OBS De Koppel,De Clomp 2006,3704 KC  ZEIST,Basisonderwijs,http://obsdekoppel.rijnheuvelland.nl
23,OBS De Koppel Pirapoleon,Schoolweg 16,3711 BP  AUSTERLITZ,Basisonderwijs,http://pirapoleon.rijnheuvelland.nl
24,OBS Op Dreef,Laan van Vollenhove 1457,3706 EW  ZEIST,Basisonderwijs,http://opdreef.rijnheuvelland.nl
25,Openbaar VMBO en MAVO Zeist,Blikkenburgerlaan 2,3703 CV  ZEIST,Voortgezet onderwijs,http://vmbo.osgs.nl/
26,Openbaar Lyceum Zeist,Blikkenburgerlaan 2,3703 CV  ZEIST,Voortgezet onderwijs,http://lyceum.osgs.nl/
27,"Openbare Montessorischool Zeist, locatie Griffensteyn",Laan van Cattenbroeck 76,3703 BP ZEIST,Basisonderwijs,http://montessorizeist.wereldkidz.nl/Montessori-Griffensteyn
28,"Damiaanschool, locatie Kerckebosch",Graaf Lodewijklaan 1,3708 DM  ZEIST,Basisonderwijs,http://www.damiaanschool.nl/
29,"Openbare Montessorischool Zeist, locatie Sumatralaan",Sumatralaan 1,3705 XL  ZEIST,Basisonderwijs,http://montessorizeist.wereldkidz.nl/Montessori-Sumatralaan
30,Rehobothschool voor Reformatorisch Basisonderwijs,Gerrit Jan van der Veenlaan 2,3705 PE  ZEIST,Basisonderwijs,http://www.rehobothzeist.nl/
31,SBO Tobiasschool Zeist,Prof. Lorentzlaan 16,3701 CC ZEIST,Speciaal basisonderwijs,http://www.tobiaszeist.nl/
32,SBO De Stuifheuvel,Graaf Lodewijklaan 2,3708 DM  ZEIST,Speciaal basisonderwijs,http://www.destuifheuvel.nl/
33,Stichtse Vrije School,Socrateslaan 24,3707 GL  ZEIST,Voortgezet onderwijs,http://www.stichtsevrijeschool.nl/
34,"Zeister Vrije School, locatie Socrateslaam",Socrateslaan 22,3707 GL  ZEIST,Basisonderwijs,http://www.zeistervrijeschool.nl/
35,Zeister Schoolvereniging,Verlengde Slotlaan 13,3707 CA  ZEIST,Basisonderwijs,http://www.zsv-zeist.nl/
36,"Zeister Vrije School, locatie Burg. Van Tuyll-laan",Burg. Van Tuyll-laan 35,3707 CV  ZEIST,Basisonderwijs,http://www.zeistervrijeschool.nl/
37,Bartiméus Onderwijs,Van Renesselaan 30A,3703 AJ  ZEIST,Speciaal onderwijs,http://www.bartimeusonderwijs.nl/
38,Comeniusschool,Zinzendorflaan 2 B,3703 CG  ZEIST,Basisonderwijs,http://www.comeniusschool.info/
39,Jordan - Montessori Lyceum Utrecht,Jordanlaan 3,3706 TE  ZEIST,Voortgezet onderwijs,http://www.hermanjordan.nl/
40,"Meerklank, locatie SO",Van Renesselaan 30A-1,3703 AJ ZEIST,Speciaal onderwijs,http://www.meerklank.nl/
41,Vrije school De Tobiasstroom,Prof. Lorentzlaan 16,3701 CC ZEIST,Voortgezet onderwijs,http://www.tobiaszeist.nl/
42,C.P. van Leersumschool,Verlengde Slotlaan 113,3700 AN  ZEIST,Speciaal onderwijs,http://www.vanleersumschool.nl/
43,Openbare Montessorischool Zeist (Brede School),Graaf Lodewijklaan 1,3708 DM  ZEIST,Basisonderwijs,http://montessorizeist.wereldkidz.nl/Montessori-Kerckebosch
44,VSO Heuvelrug College,Noordweg 12,3704 GN ZEIST,Speciaal onderwijs,
