OBJECTID,MAXIMALE_SNELHEID,IDENTIFICATIE_BEGIN,IDENTIFICATIE_EIND,KANTCODE_BEGIN,KANTCODE_EIND,KMLINT_BEGIN,KMLINT_EIND,REF_FYSIEKE_SPOORTAK_PUIC,REF_WISSEL_KRUISING_PUIC,X_BEGIN,Y_BEGIN,X_EIND,Y_EIND,LATITUDE_BEGIN,LONGITUDE_BEGIN,LATITUDE_EIND,LONGITUDE_EIND,KM_SPOORTAK_VAN,KM_SPOORTAK_VAN_T,KM_SPOORTAK_TOT,KM_SPOORTAK_TOT_T,REF_SPOORTAKDEEL_GUID,REF_FUNC_SPOORTAK_NAAM_LANG
1,140,335,1021A,V,V,Ama-Htba,Ama-Htba,779dd34f-7aca-4f4f-a91a-c045bdb07473,,156442.552,465469.704,157970.222,466948.87,52.17736854,5.4082938,52.19065701,5.43064121,0.0045,"0,004500",2.130934,"2,130934",c9732576-afd4-676b-6c5d-17b4a743d66b,017_335V_24.6
2,140,401B,421A,V,V,Ama-Htba,Ama-Htba,04aff25d-f270-4f9d-af69-2ceb4c9cf7c1,,167705.576,475089.66899999,167918.595,475340.905,52.26368632,5.57331858,52.2659394,5.57644855,0.004501,"0,004501",0.333889,"0,333889",8f2bd3b1-06ea-2e23-68a7-d5b0b769e895,017_401BV_39.6
3,140,333B,1023A,V,V,Ama-Htba,Ama-Htba,de9e2ad6-9c99-4350-bb58-b061283d52e7,,156429.541,465469.858,157982.35699999,466972.05499999,52.17736996,5.40810358,52.19086533,5.43081888,0.004501,"0,004501",2.165167,"2,165167",5707c0e2-cff0-a746-5bba-5daef7d18bbc,017_333BV_24.6
4,140,401A,423,R,V,Ama-Htba,Ama-Htba,63dbfb81-a924-4588-8cc9-6e41ead81155,,167678.5,475051.50099999,167925.177,475342.54399999,52.2633439,5.57292053,52.26595397,5.57654503,0.058132,"0,058132",0.43965,"0,439650",df8167a0-fb92-8bf7-3f0e-9e7c9dedaf6d,017_401AR_39.5
5,130,31A,35,L,V,Asd-Zp,Asd-Zp,cf4ef420-d9de-4c0c-9875-ae22f3d9d1e9,,194490.18799999,469195.054,194607.689,469198.48999999,52.20943856,5.96496449,52.20946101,5.96668391,0.04702,"0,047020",0.164845,"0,164845",b03f3a41-47ac-d68f-9e9e-47ecab5db16d,608_31AL_87.8
6,80,53A,55,L,L,Asd-Zp,Asd-Zp,e73f9c68-5c44-4299-b86b-20d29274eee3,,195227.98499999,469161.27899999,195258.93299999,469159.67599999,52.20908169,5.97575429,52.20906503,5.97620685,0.061145,"0,061145",0.092135,"0,092135",a0815ba7-1594-4da0-e684-569775f668d8,608_53AL_88.5
7,,33,59B/61A,L,S,Asd-Zp,Asd-Zp,e5a322c9-3e0e-4992-b338-fedd8a34bd50,,194630.548,469175.95699999,195223.69,469152.75599999,52.20925686,5.9670157,52.20900541,5.97569044,0.034065,"0,034065",0.627971,"0,627971",e0f040bc-6874-336c-afb1-05ddbf19adfe,608_33L_87.9
8,40,37B/903,57A/917,T,P,Asd-Zp,Asd-Zp,074ad6ac-43af-46f8-897e-a45ea7d25a1b,,194747.37299999,469158.74099999,195112.98699999,469149.983,52.20909372,5.96872279,52.20898855,5.97407057,0.023011,"0,023011",0.388964,"0,388964",1bfe88e9-f310-f394-2748-d6fda96be6e4,608_903T_88.0
9,60,35,53A,R,V,Asd-Zp,Asd-Zp,5f17f45c-253a-48d8-adbf-29e074a50090,,194658.90299999,469193.22399999,194687.16250774,469190.03602072,52.20941,5.96743254,52.20937932,5.9678456,0.047005,"0,047005",0.075451,"0,075451",2ea3e00f-00e7-7fae-9e15-0ba467d7e5af,608_35R_87.9
10,80,35,53A,R,V,Asd-Zp,Asd-Zp,5f17f45c-253a-48d8-adbf-29e074a50090,,194687.16250774,469190.03602072,195163.03099999,469164.715,52.20937932,5.9678456,52.20911731,5.97480444,0.075451,"0,075451",0.552,"0,552000",2ea3e00f-00e7-7fae-9e15-0ba467d7e5af,608_35R_87.9
11,60,31B,53B,V,L,Asd-Zp,Asd-Zp,1980168c-c22b-4d60-8160-2ae0a3992bb0,,194580.374,469184.038,194618.11463971,469181.10129774,52.20933309,5.96628261,52.20930398,5.9668344,0.0045,"0,004500",0.042355,"0,042355",25d97eb6-11de-3f85-a36f-b62b4dbc5e42,608_31BV_87.9
12,80,31B,53B,V,L,Asd-Zp,Asd-Zp,1980168c-c22b-4d60-8160-2ae0a3992bb0,,194618.11463971,469181.10129774,195205.502,469158.48599999,52.20930398,5.9668344,52.20905823,5.97542504,0.042355,"0,042355",0.630442,"0,630442",25d97eb6-11de-3f85-a36f-b62b4dbc5e42,608_31BV_87.9
13,40,33,37A,R,V,Asd-Zp,Asd-Zp,2cab9621-7938-4442-9778-d27196943620,,194630.241,469173.38099999,194668.818,469167.639,52.20923373,5.9670109,52.20917935,5.9675746,0.034088,"0,034088",0.073121,"0,073121",8d788873-72af-2b57-1326-d9c858c6d10a,608_33R_87.9
14,,59B/61A,ES_61AP,P,,Asd-Zp,Asd-Zp,7749e63b-b164-4712-ab80-29d9a278e241,,195275.601,469150.076,195316.09599999,469147.80599999,52.20897753,5.97644956,52.20895417,5.97704172,0.025991,"0,025991",0.066549,"0,066549",2828f054-d11a-9fe4-a8e0-e6f5ac7f29c2,608_61AP_88.6
15,,907,915,L,V,Asd-Zp,Asd-Zp,a23d0b5a-898c-409f-8e52-164e961b330e,,194928.016,469144.46999999,195057.529,469144.222,52.20895242,5.97136386,52.2089408,5.97325856,0.034065,"0,034065",0.163675,"0,163675",259bd968-6323-c5ed-4a69-50c16acd7d39,608_907L_88.2
16,80,61B,65,V,V,Asd-Zp,Asd-Zp,54f2281d-e2b8-4154-8ebe-68286db79f85,,195306.58199999,469153.15899999,195485.17199999,469147.61099999,52.20900298,5.97690317,52.20894004,5.97951521,0.003899,"0,003899",0.182657,"0,182657",260ed3ee-da02-9f2d-c3ce-33ef1fb3e943,608_61BV_88.6
17,40,915,ES_915R,R,,Asd-Zp,Asd-Zp,1484f122-ae88-4bf0-b71d-fc3d45a59a7e,,195096.081,469143.82699999,195314.706,469103.84299999,52.20893445,5.97382251,52.20855916,5.97701615,0.034088,"0,034088",0.258682,"0,258682",628086b6-423e-32cb-d4f4-193ccbf3219b,608_915R_88.4
18,40,909,ES_909L,L,,Asd-Zp,Asd-Zp,f1b644d4-474a-4138-8c15-75d0cd1bb9ae,,194972.125,469137.20199999,195239.61499999,469125.705,52.2088839,5.9720083,52.20876113,5.9759202,0.036494,"0,036494",0.304263,"0,304263",507000b5-17b5-a615-ea6e-0a8c2ff86f0a,608_909L_88.2
19,80,25/27A,51,T,R,Asd-Zp,Asd-Zp,f4bcf62f-cacc-40a9-abd5-34d4da46b718,,194409.314,469185.413,194542.2912994,469205.50629613,52.20935769,5.9637802,52.20952876,5.96572797,0.02301,"0,023010",0.157568,"0,157568",86a11dd9-a32c-6256-b712-97e9afb5aaad,608_27AT_87.7
20,80,25/27A,51,T,R,Asd-Zp,Asd-Zp,f4bcf62f-cacc-40a9-abd5-34d4da46b718,,194576.85641144,469206.01861618,195199.394,469169.54599999,52.20953089,5.96623372,52.20915808,5.97533699,0.192144,"0,192144",0.815796,"0,815796",86a11dd9-a32c-6256-b712-97e9afb5aaad,608_27AT_87.7
21,60,25/27A,51,T,R,Asd-Zp,Asd-Zp,f4bcf62f-cacc-40a9-abd5-34d4da46b718,,194542.2912994,469205.50629613,194576.85641144,469206.01861618,52.20952876,5.96572797,52.20953089,5.96623372,0.157568,"0,157568",0.192144,"0,192144",86a11dd9-a32c-6256-b712-97e9afb5aaad,608_27AT_87.7
22,40,57B,59A,V,V,Asd-Zp,Asd-Zp,c741618e-d449-461c-a793-d061e9fb45cc,,195191.318,469150.32199999,195197.231,469150.021,52.20898589,5.97521656,52.20898275,5.97530303,0.0045,"0,004500",0.010421,"0,010421",4ea7f401-1473-3472-b54b-caed1f2aefee,608_57BV_88.5
23,80,67,71,V,V,Asd-Zp,Asd-Zp,a8c57b2c-cd0d-4043-9e7c-711b63790224,,195549.79699999,469149.684,195550.64999999,469149.712,52.20895392,5.98046089,52.20895411,5.98047338,0.0039,"0,003900",0.004753,"0,004753",e2020ff3-7133-3047-498e-ecd0237b7be0,608_67V_88.9
24,80,69,83B,V,R,Asd-Zp,Asd-Zp,9f277cad-35db-43d7-8e65-d91d8d36da3f,,195549.66899999,469153.68199999,195756.87313948,469169.47098972,52.20898986,5.9804595,52.20911649,5.98349272,0.0039,"0,003900",0.211941,"0,211941",aec46814-0557-8f7c-73ac-7d3d4ebe1aaf,608_69V_88.9
25,130,69,83B,V,R,Asd-Zp,Apd-Dv,9f277cad-35db-43d7-8e65-d91d8d36da3f,,195756.87313948,469169.47098972,207144.23737651,474766.25437493,52.20911649,5.98349272,52.25845621,6.15094419,0.288445,"0,288445",13.163594,"13,163594",606087b3-5c28-4c97-4d22-0e466e4951f2,608_69V_88.9
26,40,69,83B,V,R,Apd-Dv,Apd-Dv,9f277cad-35db-43d7-8e65-d91d8d36da3f,,207144.23737651,474766.25437493,207173.43299999,474783.787,52.25845621,6.15094419,52.25861101,6.15137448,13.183544,"13,183544",13.197651,"13,197651",af79d2ae-3d9a-1d89-452f-a0ee8dc4a355,608_69V_88.9
27,40,37A,57B,L,R,Asd-Zp,Asd-Zp,fd455e77-0a0f-4f82-959e-81cae25b1254,,194707.326,469165.541,195152.80499999,469152.337,52.20915772,5.96813772,52.20900681,5.97465337,0.034065,"0,034065",0.479957,"0,479957",1989de33-6196-d478-2f3c-5a40eff9ca0c,608_37AL_88.0
