NUMMER;PLAATS;AFWIJKING;AFLEZING;MAAIVELD;STIJGBUIS;JAARNR;WEEKNR;DDMUTATIE;STATUS;JAAR;INDICATIE_ACTIEF;DD_VERVALLEN;INDICATIENR;LON;LAT;RD_X;RD_Y;WIJKBUURTNR;WIJK;BUURTNAAM;GEMEENTE_CODE;GEMEENTE_NAAM;LANDCODE;LANDNAAM
6001;Eksterlaan;;1,060;-2,425;-2,015;2015;22;28-05-2015;V;2015;1;;;4,3611644577;51,9343808903;84438,2290000000;438932,8990000000;6.4;Holy Zuid;VOGELBUURT NOORD;0622;Vlaardingen;NL;Nederland
6002;Duifstraat 16;;1,840;-1,947;-1,385;2015;22;28-05-2015;V;2015;1;;;4,3574144943;51,9332469937;84178,5650000000;438810,4020000000;6.4;Holy Zuid;VOGELBUURT NOORD;0622;Vlaardingen;NL;Nederland
1027;Havenstraat 14a;;0,910;1,750;1,690;2015;22;28-05-2015;V;2016;1;;;4,3447139790;51,9124126811;83271,9110000000;436505,0700000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1028;Havenstraat 46;;0,740;1,788;1,742;2015;22;28-05-2015;V;2016;1;;;4,3444756374;51,9117812446;83254,5050000000;436435,0590000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1029;Havenstraat 76;;0,950;1,735;1,580;2015;22;28-05-2015;V;2016;1;;;4,3442712944;51,9112144787;83239,5410000000;436372,2090000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
4007;Ida Maria de Raathstraat;;0,790;0,704;0,572;2015;22;28-05-2015;V;2015;1;;;4,3467501339;51,9091682310;83406,8340000000;436142,1230000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4006;Emmastraat 22;;0,780;0,469;0,200;2015;22;28-05-2015;V;2015;1;;;4,3468267889;51,9099975695;83413,4290000000;436234,3100000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4026;Hofsingel 14;;0,880;0,464;0,327;2015;22;28-05-2015;V;2015;1;;;4,3468907225;51,9106431970;83418,8560000000;436306,0720000000;4.1;Oostwijk;HOFBUURT;0622;Vlaardingen;NL;Nederland
4027;Hofsingel 50;;0,880;0,049;-0,038;2015;22;28-05-2015;V;2015;1;;;4,3502889678;51,9106080700;83652,6130000000;436298,8230000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4023;Oranjepark 010;;0,820;0,112;0,059;2015;22;28-05-2015;V;2015;1;;;4,3504897210;51,9118119621;83668,3360000000;436432,5570000000;4.1;Oostwijk;HOFBUURT;0622;Vlaardingen;NL;Nederland
4010;Parkweg;;1,190;0,229;0,002;2015;22;28-05-2015;V;2015;1;;;4,3536222261;51,9117037049;83883,6880000000;436417,4440000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4029;Binnensingel 1;;1,120;0,115;-0,112;2015;22;28-05-2015;V;2015;1;;;4,3523055781;51,9106011627;83791,3530000000;436296,0770000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4030;Hogelaan 22;;1,690;0,389;0,229;2015;22;28-05-2015;V;2015;1;;;4,3535118531;51,9105584212;83874,2820000000;436290,1410000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4031;Eikestraat;;1,210;0,260;0,056;2015;22;28-05-2015;V;2015;1;;;4,3545089990;51,9105028904;83942,8020000000;436282,9880000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4032;Emmaplein t.o. 17;;1,770;0,301;0,214;2015;22;28-05-2015;V;2015;1;;;4,3551012860;51,9100079697;83982,7720000000;436227,3500000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4009;Schiedamseweg 111;;0,870;-0,115;-0,228;2015;22;28-05-2015;V;2015;1;;;4,3549304900;51,9095178604;83970,2460000000;436172,9930000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4001;Verploegh Chasseplein 7;;1,410;0,171;0,076;2015;22;28-05-2015;V;2015;1;;;4,3516452784;51,9096310353;83744,3840000000;436188,7990000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4033;Schiedamseweg 96;;1,500;0,006;-0,119;2015;22;28-05-2015;V;2015;1;;;4,3541379266;51,9092673687;83915,3170000000;436145,9010000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4034;Schiedamseweg 120;;0,930;0,031;0,066;2015;22;28-05-2015;V;2015;1;;;4,3564231717;51,9092661770;84072,5540000000;436143,5360000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4002;Boslaan 1;;0,660;0,205;0,072;2015;22;28-05-2015;V;2015;1;;;4,3568156043;51,9074046933;84096,6200000000;435936,0660000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4003;Binnensingel 205;;1,500;0,556;0,918;2015;22;28-05-2015;V;2015;1;;;4,3532847357;51,9059244274;83851,3220000000;435774,8390000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4013;Spoorsingel;;2,340;0,357;1,197;2015;22;28-05-2015;V;2015;1;;;4,3494729885;51,9045707709;83586,8810000000;435627,9850000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4004;1e Van Leijden Gaelstraat 19;;1,710;0,379;0,878;2015;22;28-05-2015;V;2015;1;;;4,3486255999;51,9051404530;83529,4750000000;435692,1940000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
4012;Merwedehof 13;;0,920;0,118;0,108;2015;22;28-05-2015;V;2015;1;;;4,3477328719;51,9058832228;83469,2260000000;435775,7040000000;4.2;Oostwijk;OOSTBUURT;0622;Vlaardingen;NL;Nederland
1020;Marisstraat 12;;1,010;-0,449;-0,596;2015;22;28-05-2015;V;2016;2;01-07-2017;;4,3411544778;51,9115826213;83025,6840000000;436416,2460000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1018;Rembrandtstraat 15;;0,810;-0,578;-0,713;2015;22;28-05-2015;V;2016;1;;;4,3419202071;51,9132044981;83080,9630000000;436595,9190000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1017;Groen v Prinstererstraat 78;;1,010;-0,468;-0,564;2015;22;28-05-2015;V;2016;1;;;4,3396688606;51,9134387305;82926,4460000000;436624,2070000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1016;Broekweg 29;;1,260;-0,793;-0,922;2015;22;28-05-2015;V;2016;1;;;4,3399446023;51,9148367784;82947,6580000000;436779,4640000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1019;van der Driftstraat 47;;1,370;-0,517;-0,672;2015;22;28-05-2015;V;2016;1;;;4,3369861677;51,9128379065;82740,9120000000;436560,0300000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1032;Schoutplein (midden);;1,020;-0,401;-0,447;2015;22;28-05-2015;V;2016;1;;;4,3401532145;51,9111354685;82956,0780000000;436367,4930000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1012;Schoutplein 11;;0,350;-0,728;-0,739;2015;22;28-05-2015;V;2016;1;;;4,3398557219;51,9111762789;82935,6750000000;436372,3280000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
1031;Baljuwstraat 1;;0,820;-0,498;-0,532;2015;22;28-05-2015;V;2016;1;;;4,3384725802;51,9105398439;82839,4890000000;436302,8980000000;1.3;Centrum;CENTRUM;0622;Vlaardingen;NL;Nederland
7005;Elzendreef 1;;0,890;-2,240;-2,314;2015;22;28-05-2015;V;2015;1;;;4,3467404370;51,9398925740;83455,1020000000;439560,1700000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7019;Malusdreef 8;;0,950;-1,954;-2,020;2015;22;28-05-2015;V;2015;1;;;4,3478508960;51,9389767496;83529,9990000000;439457,1930000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7020;Esdoorndreef 22;;1,140;-2,243;-2,295;2015;22;28-05-2015;V;2015;1;;;4,3472814306;51,9379753790;83489,2480000000;439346,3520000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7018;Acaciadreef 36;;1,070;-1,929;-1,959;2015;22;28-05-2015;V;2015;1;;;4,3457502228;51,9375947016;83383,3520000000;439305,5100000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7009;Kornoeljedreef  73;;0,700;-1,811;-1,930;2015;22;28-05-2015;V;2015;1;;;4,3454619860;51,9364453119;83361,6990000000;439177,9260000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
7011;Lariksdreef 27;;0,890;-1,892;-1,914;2015;22;28-05-2015;V;2015;1;;;4,3425205340;51,9354275132;83157,8040000000;439067,6010000000;7.1;Holy Noord;DREVENBUURT;0622;Vlaardingen;NL;Nederland
