FID,jaar,type_ws,hoofdgeb,gebied,locatie,gdb_geomattr_data,shape
steilrand_maas_2011.1,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152124.08799999952 418369.9279999994, 152124.88100000098 418370.08300000057, 152125.27899999917 418370.6319999993, 152125.8999999985 418370.9120000005, 152126.186999999 418371.3929999992, 152126.62099999934 418371.6009999998, 152127.2419999987 418372.3720000014, 152127.99500000104 418373.10599999875, 152128.74500000104 418374.01900000125, 152129.51900000125 418374.6079999991, 152130.30000000075 418375.186999999, 152130.66000000015 418375.7129999995, 152130.9699999988 418376.4310000017, 152131.44000000134 418377.4219999984, 152131.99599999934 418377.74599999934, 152132.25299999863 418377.9310000017, 152133.23800000176 418377.72100000083, 152133.73299999908 418377.9620000012, 152134.16600000113 418378.2329999991, 152134.9690000005 418377.8220000006, 152135.54399999976 418377.73800000176, 152136.00499999896 418378.0450000018, 152136.6330000013 418378.06700000167, 152137.13199999928 418378.3260000013, 152137.33700000122 418379.9299999997, 152137.73600000143 418380.3280000016, 152138.5949999988 418380.6469999999, 152139.6710000001 418381.0870000012, 152140.51099999994 418380.8779999986, 152140.74399999902 418381.59800000116, 152141.4530000016 418381.8209999986, 152143.59099999815 418382.26099999994, 152144.49799999967 418382.26000000164, 152145.12999999896 418382.35599999875, 152145.66099999845 418382.7969999984)"
steilrand_maas_2011.2,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152151.9840000011 418380.2749999985, 152153.0469999984 418380.55999999866, 152153.1160000004 418380.5789999999, 152154.2740000002 418380.88899999857, 152155.20800000057 418381.60599999875, 152156.0089999996 418382.99500000104, 152157.3830000013 418384.8909999989, 152157.3740000017 418385.6950000003, 152157.94000000134 418386.7899999991, 152158.40399999917 418386.83199999854, 152159.53500000015 418387.77600000054, 152160.813000001 418390.1559999995, 152161.48299999908 418390.9510000013, 152162.7039999999 418391.1460000016, 152162.78400000185 418391.15300000086, 152164.67399999872 418391.3280000016, 152165.2199999988 418391.5249999985, 152166.60300000012 418392.0240000002, 152167.98200000077 418392.23699999973, 152169.10300000012 418392.7419999987, 152170.16899999976 418393.2030000016)"
steilrand_maas_2011.3,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152186.85799999908 418391.8929999992, 152188.90799999982 418392.4770000018, 152190.95100000128 418393.33999999985, 152192.21499999985 418393.67599999905, 152193.57600000128 418393.7820000015, 152194.80299999937 418394.4620000012, 152195.99399999902 418395.37999999896, 152196.48999999836 418395.91800000146, 152196.73600000143 418396.8539999984, 152196.81500000134 418397.8139999993, 152197.28200000152 418398.381000001, 152198.44799999893 418398.53400000185, 152199.26300000027 418398.1710000001, 152199.8139999993 418397.68499999866, 152200.34099999815 418397.4519999996, 152201.0460000001 418397.58900000155, 152201.688000001 418397.6499999985, 152202.61899999902 418398.20899999887, 152203.03500000015 418398.81500000134, 152203.60700000077 418398.7960000001, 152204.33300000057 418399.2109999992, 152205.19399999827 418400.09099999815, 152205.86400000006 418400.76199999824, 152206.5089999996 418401.0480000004, 152207.2039999999 418401.3960000016, 152207.70600000024 418401.86499999836, 152208.1330000013 418402.23900000006, 152208.45699999854 418402.8830000013, 152208.5549999997 418403.58999999985, 152208.46299999952 418404.18200000003, 152208.72700000182 418404.7010000013, 152209.3280000016 418404.7989999987, 152210.18499999866 418405.38699999824, 152211.55099999905 418406.1000000015, 152214.1000000015 418406.86300000176, 152215.09600000083 418407.5009999983, 152216.0859999992 418407.88699999824, 152217.0089999996 418408.0760000013, 152217.84699999914 418407.5089999996, 152218.52600000054 418407.45699999854, 152219.2419999987 418407.70899999887, 152220.2340000011 418407.8839999996, 152221.75200000033 418408.05799999833, 152223.18200000003 418407.8299999982, 152223.9219999984 418407.79300000146, 152224.3669999987 418408.3350000009, 152224.6259999983 418409.06799999997, 152225.71700000018 418409.7719999999, 152227.311999999 418409.8759999983, 152228.4059999995 418410.07499999925, 152229.0610000007 418410.6000000015, 152229.74399999902 418410.98900000006, 152230.92799999937 418411.34099999815, 152231.7190000005 418411.5760000013, 152232.07400000095 418412.50400000066, 152232.33700000122 418413.0210000016, 152232.85599999875 418413.25499999896, 152233.27699999884 418413.9750000015, 152233.8449999988 418414.9840000011, 152234.02899999917 418416.27600000054, 152234.31599999964 418417.45800000057, 152234.92799999937 418418.7820000015, 152235.8040000014 418419.4699999988, 152235.71499999985 418420.1319999993, 152236.6799999997 418421.1939999983, 152237.8209999986 418422.3929999992, 152238.8139999993 418422.80700000003, 152239.4140000008 418423.5329999998, 152240.42399999872 418424.1770000011, 152240.48099999875 418424.20899999887, 152241.73600000143 418424.8830000013, 152242.811999999 418425.4290000014, 152242.9549999982 418425.5020000003, 152243.29399999976 418425.6270000003, 152244.62700000033 418426.1169999987, 152245.09699999914 418426.2950000018, 152245.79800000042 418426.55999999866, 152246.16000000015 418426.493999999, 152246.83199999854 418426.37099999934, 152247.41299999878 418426.59099999815, 152247.73000000045 418426.7109999992, 152248.62299999967 418426.76300000027, 152249.2589999996 418426.6330000013, 152249.70100000128 418426.1550000012, 152249.99500000104 418425.8370000012, 152250.46599999815 418425.5480000004, 152250.61400000006 418425.64499999955, 152251.58300000057 418426.27600000054, 152252.16899999976 418425.88500000164, 152253.12200000137 418425.6169999987, 152253.7410000004 418425.31500000134, 152254.55799999833 418424.8060000017, 152255.49300000072 418425.0480000004, 152257.6719999984 418426.37999999896)"
steilrand_maas_2011.4,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152303.24700000137 418439.311999999, 152305.45800000057 418440.48999999836, 152305.84099999815 418441.6700000018, 152307.0249999985 418441.7989999987, 152307.26199999824 418442.4829999991, 152307.59299999848 418442.6779999994, 152308.03700000048 418442.86499999836, 152309.02899999917 418442.7820000015, 152309.23900000006 418444.05000000075, 152309.48099999875 418445.1730000004, 152310.5460000001 418445.2019999996, 152311.2899999991 418445.3680000007)"
steilrand_maas_2011.5,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152618.54300000146 418668.91800000146, 152620.20800000057 418669.41899999976, 152621.45100000128 418668.9829999991, 152623.07400000095 418669.4439999983, 152625.8299999982 418670.2259999998, 152627.3110000007 418670.7199999988, 152628.20899999887 418671.36400000006, 152629.87200000137 418672.5700000003, 152632.40100000054 418674.28599999845, 152633.45699999854 418675.1779999994, 152633.37700000033 418676.05900000036, 152633.3759999983 418676.0639999993, 152633.3830000013 418676.0709999986, 152634.0300000012 418676.73099999875, 152636.96700000018 418678.55900000036, 152638.08399999887 418678.7030000016, 152639.48000000045 418680.7170000002, 152640.50299999863 418681.83300000057, 152641.9840000011 418682.54399999976, 152643.3759999983 418683.3759999983, 152645.20600000024 418684.95699999854, 152646.6490000002 418686.8920000009, 152647.2950000018 418688.3280000016, 152648.38199999928 418689.23600000143, 152649.6009999998 418689.6079999991, 152651.44900000095 418691.7019999996, 152652.28200000152 418692.27800000086, 152652.9360000007 418693.3900000006, 152654.38500000164 418694.69200000167, 152655.0780000016 418695.75, 152655.80799999833 418696.5329999998, 152657.05000000075 418697.1490000002, 152658.61899999902 418697.8060000017)"
steilrand_maas_2011.6,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152888.5450000018 418863.66699999943, 152887.65900000185 418862.78599999845, 152887.12700000033 418862.6079999991, 152886.98000000045 418862.0399999991, 152886.4699999988 418861.34099999815, 152886.62000000104 418860.3229999989, 152886.7490000017 418859.5769999996, 152886.3350000009 418858.86199999973, 152886.26999999955 418858.3599999994)"
steilrand_maas_2011.7,2011,Rivieren,Maas,Zandmaas,Beugen,,"LINESTRING (194636.1889999993 411087.2270000018, 194635.75200000033 411085.12099999934, 194636.19099999964 411083.63800000027, 194635.4919999987 411083.09899999946, 194635.05299999937 411081.5029999986, 194635.23699999973 411080.3269999996, 194635.16099999845 411079.70699999854, 194634.69700000063 411079.0329999998, 194634.35200000182 411078.1030000001, 194634.27199999988 411076.97399999946, 194634.19099999964 411075.6779999994, 194633.18499999866 411074.1700000018)"
steilrand_maas_2011.8,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Den Bosch Oude Schans,,"LINESTRING (147521.39600000158 416729.3220000006, 147524.47700000182 416729.34099999815, 147526.54199999943 416729.311999999, 147528.27100000158 416729.311999999, 147530.36100000143 416729.1550000012, 147532.37700000033 416729.3429999985, 147533.9690000005 416729.2719999999, 147535.54899999872 416729.16600000113, 147537.188000001 416728.79199999943, 147538.72700000182 416728.62900000066, 147540.40199999884 416728.69900000095, 147542.02899999917 416728.6739999987, 147542.99599999934 416728.4820000008, 147544.7659999989 416728.3990000002, 147546.00699999928 416728.1400000006, 147547.11100000143 416727.6979999989, 147548.61899999902 416727.02600000054, 147549.4530000016 416726.6020000018, 147549.89600000158 416726.3779999986, 147550.58199999854 416725.8379999995, 147551.16600000113 416726.02699999884, 147551.72300000116 416726.48699999973, 147551.65199999884 416727.4439999983, 147551.41600000113 416728.01999999955, 147551.53700000048 416728.68499999866, 147552.11499999836 416728.79199999943, 147553.15100000054 416728.56799999997, 147554.34200000018 416728.37000000104, 147555.00200000033 416728.0520000011, 147555.2650000006 416727.5170000009, 147555.33700000122 416727.061999999, 147555.57499999925 416726.3729999997, 147555.61899999902 416725.6860000007, 147555.8669999987 416724.93400000036, 147556.62099999934 416724.45600000024, 147557.39299999923 416724.3680000007, 147557.90700000152 416724.7879999988, 147557.76399999857 416725.7989999987, 147557.78700000048 416726.3680000007, 147558.5309999995 416727.16000000015, 147558.98699999973 416727.118999999, 147559.42700000107 416726.4780000001, 147559.7509999983 416726.0610000007, 147560.4609999992 416725.96400000155, 147561.02100000158 416726.1979999989, 147561.94000000134 416726.30999999866, 147562.78400000185 416726.37999999896, 147563.44200000167 416726.3060000017, 147563.9699999988 416726.131000001, 147564.30600000173 416725.8449999988, 147564.84099999815 416725.9299999997, 147565.38199999928 416726.59699999914, 147566.0949999988 416726.6770000011, 147566.6499999985 416726.7329999991, 147567.30299999937 416726.7719999999, 147568.13199999928 416726.9510000013, 147568.8040000014 416727.04100000113, 147569.55200000107 416726.90100000054, 147570.2109999992 416727.0219999999, 147570.52100000158 416726.69900000095, 147571.45899999887 416726.9930000007, 147572.56700000167 416727.13599999994, 147573.67700000107 416727.0529999994, 147574.5610000007 416726.9780000001, 147575.27299999818 416726.83300000057, 147575.95699999854 416726.7960000001, 147577.24300000072 416726.6279999986, 147578.34299999848 416726.51099999994, 147580.60200000182 416726.1099999994, 147582.9149999991 416726.0879999995, 147584.42700000107 416726.01999999955, 147585.7749999985 416726.25)"
steilrand_maas_2011.19,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Zandmeren (bij Kerkdriel),,"LINESTRING (152968.80799999833 418997.8370000012, 152969.53299999982 418999.12000000104, 152969.90300000086 419000.73699999973, 152969.41299999878 419001.368999999, 152969.01399999857 419002.00499999896, 152968.9910000004 419003.1330000013, 152969.32400000095 419004.59099999815, 152970.46700000018 419005.83300000057, 152971.8139999993 419006.2349999994, 152972.7109999992 419006.11300000176, 152973.26799999923 419007.0520000011, 152975.12999999896 419007.14400000125, 152975.92500000075 419007.01199999824, 152976.14799999818 419007.9840000011, 152976.70199999958 419008.0229999982, 152977.5780000016 419009.47399999946, 152977.9530000016 419010.4629999995, 152978.7109999992 419011.756000001, 152979.37299999967 419012.8359999992, 152979.84800000116 419013.6860000007, 152980.33999999985 419014.31700000167, 152980.7509999983 419015.4629999995, 152981.52899999917 419015.9789999984, 152981.8449999988 419017.58100000024, 152982.49399999902 419018.8229999989, 152983.83100000024 419019.28400000185)"
steilrand_maas_2011.9,2011,Rivieren,Maas,Afgedamde Maas en Getijdenmaas,Den Bosch Oude Schans,,"LINESTRING (147594.24300000072 416725.61199999973, 147592.64299999923 416724.1970000006, 147591.89400000125 416721.78599999845, 147591.80999999866 416719.8680000007, 147591.8280000016 416718.2259999998, 147592.2349999994 416716.9820000008, 147593.28200000152 416716.1649999991, 147594.2580000013 416715.2049999982, 147595.05099999905 416713.7650000006, 147595.80299999937 416712.1959999986, 147596.7659999989 416710.80000000075, 147597.8509999998 416709.80099999905, 147598.9690000005 416708.51900000125, 147600.15199999884 416707.5489999987, 147602.1409999989 416706.11300000176, 147604.33399999887 416704.6460000016, 147606.20100000128 416703.76199999824, 147609.01799999923 416702.9970000014, 147612.0799999982 416702.01199999824, 147616.16800000146 416700.8669999987, 147618.0940000005 416699.9290000014, 147619.98000000045 416699.37000000104, 147621.55700000003 416698.73699999973, 147623.07699999958 416698.1649999991, 147625.0709999986 416697.4510000013, 147629.51099999994 416695.811999999, 147633.89699999988 416695.1429999992, 147638.7740000002 416694.6810000017, 147642.42799999937 416694.68499999866, 147644.64499999955 416694.9149999991, 147646.48099999875 416695.375, 147647.6719999984 416695.3960000016, 147649.1259999983 416695.55799999833, 147651.06599999964 416696.27800000086, 147653.0949999988 416696.87000000104, 147656.3049999997 416698.08999999985, 147660.125 416699.01999999955, 147664.67799999937 416699.77600000054, 147668.29300000146 416701.0020000003, 147671.3509999998 416702.2430000007, 147673.56899999827 416702.95699999854, 147675.62099999934 416704.1550000012, 147677.05900000036 416705.22199999914, 147678.79199999943 416705.5240000002, 147682.81599999964 416705.493999999, 147686.4530000016 416705.80099999905, 147688.6240000017 416706.02899999917, 147690.36199999973 416706.33100000024)"
