FID,hectomtrng,afstand,wvk_id,wvk_begdat,zijde,hecto_lttr,gdb_geomattr_data,shape
mutaties_hectopunten.45,42,1326,323271021,2021-11-01T00:00:00, , ,,POINT (162480.33159999922 434786.84490000084)
mutaties_hectopunten.46,43,1227,323271021,2021-11-01T00:00:00, , ,,POINT (162460.26419999823 434884.5306000002)
mutaties_hectopunten.47,44,1127,323271021,2021-11-01T00:00:00, , ,,POINT (162437.00329999998 434981.65850000083)
mutaties_hectopunten.48,45,1027,323271021,2021-11-01T00:00:00, , ,,POINT (162410.3392000012 435077.71460000053)
mutaties_hectopunten.49,46,927,323271021,2021-11-01T00:00:00, , ,,POINT (162377.82079999894 435171.9226000011)
mutaties_hectopunten.50,47,827,323271021,2021-11-01T00:00:00, , ,,POINT (162344.41070000082 435266.11290000007)
mutaties_hectopunten.51,48,728,323271021,2021-11-01T00:00:00, , ,,POINT (162307.67720000073 435358.84739999846)
mutaties_hectopunten.52,49,628,323271021,2021-11-01T00:00:00, , ,,POINT (162266.90850000083 435449.79300000146)
mutaties_hectopunten.53,50,526,323271021,2021-11-01T00:00:00, , ,,POINT (162221.68230000138 435541.01139999926)
mutaties_hectopunten.54,51,429,323271021,2021-11-01T00:00:00, , ,,POINT (162175.17689999938 435626.9715999998)
mutaties_hectopunten.55,52,329,323271021,2021-11-01T00:00:00, , ,,POINT (162125.90720000118 435713.6917000003)
mutaties_hectopunten.56,53,229,323271021,2021-11-01T00:00:00, , ,,POINT (162073.39139999822 435798.57389999926)
mutaties_hectopunten.57,54,129,323271021,2021-11-01T00:00:00, , ,,POINT (162019.9123999998 435882.56500000134)
mutaties_hectopunten.58,55,26,323271021,2021-11-01T00:00:00, , ,,POINT (161953.26089999825 435961.6939999983)
mutaties_hectopunten.59,56,112,323272030,2021-11-01T00:00:00, , ,,POINT (161897.4800999984 436044.0898000002)
mutaties_hectopunten.60,57,14,323272030,2021-11-01T00:00:00, , ,,POINT (161842.51570000127 436125.51370000094)
mutaties_hectopunten.61,58,60,323272043,2021-11-01T00:00:00, , ,,POINT (161786.6323999986 436206.53229999915)
mutaties_hectopunten.62,25,5,325266013,2023-01-01T00:00:00, , ,,POINT (162603.73860000074 433096.0991999991)
mutaties_hectopunten.63,26,105,325266013,2023-01-01T00:00:00, , ,,POINT (162603.19060000032 433195.58199999854)
mutaties_hectopunten.64,27,205,325266013,2023-01-01T00:00:00, , ,,POINT (162602.69179999828 433295.8570000008)
mutaties_hectopunten.65,28,305,325266013,2023-01-01T00:00:00, , ,,POINT (162602.19570000097 433395.60599999875)
mutaties_hectopunten.66,25,315,325266016,2023-01-01T00:00:00, , ,,POINT (162594.46620000154 433095.78079999983)
mutaties_hectopunten.67,26,215,325266016,2023-01-01T00:00:00, , ,,POINT (162594.5 433195.26300000027)
mutaties_hectopunten.68,27,115,325266016,2023-01-01T00:00:00, , ,,POINT (162593.97769999877 433295.5399999991)
mutaties_hectopunten.69,28,15,325266016,2023-01-01T00:00:00, , ,,POINT (162593.28539999947 433395.02800000086)
mutaties_hectopunten.70,29,209,325267002,2023-01-01T00:00:00, , ,,POINT (162592.2595999986 433495.5639999993)
mutaties_hectopunten.71,30,109,325267002,2023-01-01T00:00:00, , ,,POINT (162591.1860000007 433595.0480000004)
mutaties_hectopunten.72,31,9,325267002,2023-01-01T00:00:00, , ,,POINT (162590.10599999875 433695.0689999983)
mutaties_hectopunten.73,1555,55,333232007,2023-01-01T00:00:00,Re, ,,POINT (167003.49720000103 415996.43459999934)
mutaties_hectopunten.74,1556,159,333232007,2023-01-01T00:00:00,Re, ,,POINT (167105.93149999902 415978.688000001)
mutaties_hectopunten.75,1557,260,333232007,2023-01-01T00:00:00,Re, ,,POINT (167206.5711000003 415970.5571000017)
mutaties_hectopunten.76,1558,357,333232007,2023-01-01T00:00:00,Re, ,,POINT (167303.53620000184 415971.42330000177)
mutaties_hectopunten.77,1559,29,334231011,2023-01-01T00:00:00,Re, ,,POINT (167405.87319999933 415981.47129999846)
mutaties_hectopunten.78,1560,130,334231011,2023-01-01T00:00:00,Re, ,,POINT (167505.06439999864 416000.29509999976)
mutaties_hectopunten.79,1561,231,334231011,2023-01-01T00:00:00,Re, ,,POINT (167602.11620000005 416028.1123000011)
mutaties_hectopunten.80,1562,332,334231011,2023-01-01T00:00:00,Re, ,,POINT (167695.92020000145 416065.47300000116)
mutaties_hectopunten.81,1560,41,334231015,2023-01-01T00:00:00, ,a,,POINT (167514.02859999985 415977.87260000035)
mutaties_hectopunten.82,1561,142,334231015,2023-01-01T00:00:00, ,a,,POINT (167592.67709999904 415924.47239999846)
mutaties_hectopunten.83,1409,64,335273075,2023-01-01T00:00:00, ,b,,POINT (167812.77809999883 436670.3535999991)
mutaties_hectopunten.84,1410,122,335273075,2023-01-01T00:00:00, ,b,,POINT (167870.7382999994 436674.3216000013)
mutaties_hectopunten.85,1411,176,335273075,2023-01-01T00:00:00, ,b,,POINT (167924.46240000054 436678.6565999985)
mutaties_hectopunten.86,1412,310,335273075,2023-01-01T00:00:00, ,b,,POINT (168039.87559999898 436740.3599999994)
mutaties_hectopunten.87,1413,379,335273075,2023-01-01T00:00:00, ,b,,POINT (168092.11930000037 436785.26410000026)
mutaties_hectopunten.88,1414,465,335273075,2023-01-01T00:00:00, ,b,,POINT (168169.59800000116 436821.7628000006)
mutaties_hectopunten.89,1411,17,335273077,2023-01-01T00:00:00, ,a,,POINT (167829.64130000025 436818.01040000096)
mutaties_hectopunten.90,1412,110,335273077,2023-01-01T00:00:00, ,a,,POINT (167922.37049999833 436811.878800001)
mutaties_hectopunten.91,1413,238,335273077,2023-01-01T00:00:00, ,a,,POINT (167952.01520000026 436708.8905000016)
mutaties_hectopunten.92,1414,328,335273077,2023-01-01T00:00:00, ,a,,POINT (167868.07459999993 436684.26300000027)
mutaties_hectopunten.93,1415,403,335273077,2023-01-01T00:00:00, ,a,,POINT (167793.26260000095 436678.9571999982)
mutaties_hectopunten.94,51,141,340183012,2023-01-01T00:00:00, , ,,POINT (170240.15300000086 391499.3878000006)
mutaties_hectopunten.95,52,59,340183012,2023-01-01T00:00:00, , ,,POINT (170249.42639999837 391580.3328000009)
mutaties_hectopunten.96,346,18,341301012,2023-01-01T00:00:00, , ,,POINT (170808.80070000142 450797.41899999976)
mutaties_hectopunten.97,347,117,341301012,2023-01-01T00:00:00, , ,,POINT (170907.14059999958 450807.9921000004)
mutaties_hectopunten.98,348,215,341301012,2023-01-01T00:00:00, , ,,POINT (171002.4063999988 450830.70059999824)
mutaties_hectopunten.99,103,212,341301021,2021-10-01T00:00:00, ,d,,POINT (170845.6121999994 450987.5203000009)
mutaties_hectopunten.100,104,124,341301021,2021-10-01T00:00:00, ,d,,POINT (170796.76949999854 450926.1378999986)
mutaties_hectopunten.101,101,338,341302007,2021-10-01T00:00:00, ,c,,POINT (170784.5923999995 450838.43930000067)
mutaties_hectopunten.102,102,235,341302007,2021-10-01T00:00:00, ,c,,POINT (170786.83680000156 450941.21290000156)
mutaties_hectopunten.103,103,130,341302007,2021-10-01T00:00:00, ,c,,POINT (170842.89559999853 451027.7012999989)
mutaties_hectopunten.104,104,39,341302007,2021-10-01T00:00:00, ,c,,POINT (170890.7708999999 451104.8275000006)
mutaties_hectopunten.105,1092,46,344365036,2021-11-01T00:00:00, , ,,POINT (172361.83839999884 482920.52010000125)
mutaties_hectopunten.106,1093,144,344365036,2021-11-01T00:00:00, , ,,POINT (172283.51949999854 482861.3319000006)
mutaties_hectopunten.107,1072,45,344369053,2023-01-01T00:00:00, , ,,POINT (172182.31060000136 484716.56340000033)
mutaties_hectopunten.108,1073,145,344369053,2023-01-01T00:00:00, , ,,POINT (172259.99870000035 484653.6816999987)
mutaties_hectopunten.109,1074,244,344369053,2023-01-01T00:00:00, , ,,POINT (172329.19900000095 484583.2151999995)
mutaties_hectopunten.110,1075,343,344369053,2023-01-01T00:00:00, , ,,POINT (172388.38969999924 484503.9726999998)
mutaties_hectopunten.111,1076,442,344369053,2023-01-01T00:00:00, , ,,POINT (172436.4822999984 484417.51579999924)
mutaties_hectopunten.112,1077,541,344369053,2023-01-01T00:00:00, , ,,POINT (172473.25699999928 484325.67130000144)
