Rijlabels;1000 - Personele exploitatie overig;1110 - Verhuiskosten personeel (binnen- en buitenland);1120 - Arbeidsomstandigheden en personele zorg (incl. BHV middelen);1130 - Representatie voor eigen personeel;1140 - Instroom, doorstroom en uitstroom van personeel;1150 - Studie en opleiding;1160 - Personeelsevenementen, - bijeenkomsten en recepties;1180 - Reis en verblijfkosten;3140 - Uitbesteden juridische adviesopdrachten;4000 - Diensten en middelen overig;4110 - Consumptieve diensten;4120 - Risicobeheersen;4130 - Schoonmaak;4210 - Post-, koeriers- en transportdiensten;4310 - Documentmanagement, Documentontwikkeling en -verwerking;4410 - Afvalzorgmanagement;4510 - Inrichting van gebouwen;4610 - Benodigdheden en hulpmiddelen;4710 - Bankdiensten;5110 - Verblijf extern;5210 - Wagenpark;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;7000 - Huisvesting overig;7110 - Gebruik en onderhoud gebouw en terreinen;7210 - Verbruik van energie en water;7310 - Verhuizen;7410 - Verwerven en afstoten;8110 - Vakliteratuur, abonnementen en overige informatie;8310 - Relatiegeschenken (niet voor eigen personeel);8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;9530 - DEF specifiek;Eindtotaal
September;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1;;;;1
!pet handel B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
@The Academy btw vrij B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
123Accu B.V.;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
123disposables.com B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
123magazijninrichting.nl B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
1892 Eten & Drinken;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2 Beren;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
21 The Netherlands;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2BIRDSMEDIA;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
2Cheap B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
2Restore;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
4 Seasons Events;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
4Ustore;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
50PlusIT B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1
53 Graden Noord B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
A&R Groep B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A. Nobel en Zn. Bunkerservice B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
A. v. Tilburg Handelsond. en Techniek B.V.;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
A.A.H. Alligator B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
A.C.H. Auto Complete;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
A.M.S. Firma A. Vos & Zoons;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
A1-City B.V.;;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1
A1-Plaza B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
aadesign;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;1
AA-Equipment Launch Tech Benelux B.V.;;;;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AAF-International B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Aann.-/Wegenbouwbedrijf H.S. Hendrikse/Zn. BV;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aannemingsbedrijf Tatenhove B.V.;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1
AA-Pro;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Aata International B.V.;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
ABB Vastgoed II B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
abcfinance B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;1
Abcouwer Administratie Advies & Opleiding;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
ABCstore;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;1
About Flowers;;;;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1
ABP-Reclame;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academie voor Psychologica;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Academy Payroll Professionals;;;;;;1;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acaleph Opleiding Training en Adviezen B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACCO Brands Benelux B.V.;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
Accor Hospitality Nederland N.V.;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
AccreDidact B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACE Productions;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ACES Direct B.V.;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1
Acess Benelux B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Acin Instrumenten B.V.;;;;;;;;;;;;1;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;1
ACTA Dental Education B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Acteursbureau Kapok B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1
Actieve Ruimte;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Active Health Center Ypenburg;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
AD(H)D Coaching Joure;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adama Business Kleding;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adelborstenvereniging;;;;;;1;1;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adesign;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adfo Groep B.V.;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;1
ADKA B.V.;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adpix;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
ADS Propulsion B.V.;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;1;1
ADS-Expo B.V.;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advanced Sealing Technology B.V.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1
Adventure and Thrill;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Adventure Veluwe B.V.;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advies, Recht & Toezicht;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
Advocatenpraktijk Van der Meijden;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1
