FID,ZOEK_POSTCODE,ZOEK_ADRES,X,Y,STRAAT,HUISNUMMER,HUISLETTER,HUIS_TOEVOEGING,POSTCODE,WOONPLAATS,WIJ_NAAM,WEBSITE,GEOM
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_284b,"9752VE, 46",'t Harde 46 9752VE Haren Gn,236931,575586,'t Harde,46,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236931 575586)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_284c,"9752VE, 48",'t Harde 48 9752VE Haren Gn,236934,575580,'t Harde,48,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236934 575580)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_284d,"9752VC, 5",'t Harde 5 9752VC Haren Gn,236678,575886,'t Harde,5,,,9752VC,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236678 575886)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_284e,"9752VE, 50",'t Harde 50 9752VE Haren Gn,236947,575555,'t Harde,50,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236947 575555)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_284f,"9752VE, 52",'t Harde 52 9752VE Haren Gn,236953,575538,'t Harde,52,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236953 575538)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2850,"9752VE, 54",'t Harde 54 9752VE Haren Gn,236957,575532,'t Harde,54,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236957 575532)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2851,"9752VE, 56",'t Harde 56 9752VE Haren Gn,236964,575518,'t Harde,56,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236964 575518)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2852,"9752VE, 58",'t Harde 58 9752VE Haren Gn,236967,575512,'t Harde,58,,,9752VE,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236967 575512)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2853,"9752VD, 6",'t Harde 6 9752VD Haren Gn,236759,575990,'t Harde,6,,,9752VD,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236759 575990)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2854,"9752VC, 7",'t Harde 7 9752VC Haren Gn,236691,575852,'t Harde,7,,,9752VC,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236691 575852)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2855,"9752VD, 8",'t Harde 8 9752VD Haren Gn,236751,575949,'t Harde,8,,,9752VD,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236751 575949)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2856,"9752VC, 9",'t Harde 9 9752VC Haren Gn,236700,575820,'t Harde,9,,,9752VC,Haren Gn,WIJ Haren,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-haren"" target=""_blank"">Website WIJ Haren</A>",POINT (236700 575820)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2857,"9712GP, 10",'t Klooster 10 9712GP Groningen,233692,582161,'t Klooster,10,,,9712GP,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233692 582161)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2858,"9712GP, 12",'t Klooster 12 9712GP Groningen,233694,582158,'t Klooster,12,,,9712GP,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233694 582158)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_2859,"9712GP, 2",'t Klooster 2 9712GP Groningen,233686,582181,'t Klooster,2,,,9712GP,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233686 582181)
BAG_zoekpostcode_WIJ_wijken.fid-214b96d3_1861f3a11df_285a,"9712GP, 4",'t Klooster 4 9712GP Groningen,233689,582171,'t Klooster,4,,,9712GP,Groningen,WIJ Schilderswijk-Centrum,"<A HREF=""https://wij.groningen.nl/wij-in-de-wijk/wij-schilderswijk-centrum"" target=""_blank"">Website WIJ Schilderswijk</A>",POINT (233689 582171)
