VBO_ID,BOUWJAAR,STRAATNAAM,HUISNUMMER,HUISLETTER,TOEVOEGING,POSTCODE,BUURTNAAM,WIJKNAAM,GEBIEDSNAAM,XCOORD,YCOORD
0202030000433208,0,Frieslandsingel,15,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190767.667,440449.378
0202030000433211,0,Frieslandsingel,17,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190766.078,440440.509
0202030000433214,0,Frieslandsingel,19,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190764.49,440431.652
0202030000433217,0,Frieslandsingel,21,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190762.904,440422.803
0202030000433220,0,Frieslandsingel,23,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190761.317,440413.944
0202030000433223,0,Frieslandsingel,25,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190759.731,440405.1
0202030000433430,0,Frieslandsingel,11,,,6835JA,Holthuizen,Vredenburg/Kronenburg,VKR,190769.514,440459.582
0202030000433259,0,Klingelbeekseweg,69,,,6812DE,Klingelbeek,Klingelbeek e.o.,Noord-West,188200.948,443710.319
0202030000433262,0,Klingelbeekseweg,67,,,6812DE,Klingelbeek,Klingelbeek e.o.,Noord-West,188209.488,443712.008
0202030000433334,0,Klingelbeekseweg,71,,,6812DE,Klingelbeek,Klingelbeek e.o.,Noord-West,188192.189,443708.582
0202030000433094,0,Gelderse Rooslaan,71,,,6841BE,Malburgen-West,Malburgen-West,Malburgen,189978.193,442746.622
0202030000433097,0,Gelderse Rooslaan,73,,,6841BE,Malburgen-West,Malburgen-West,Malburgen,189985.86,442743.856
0202030000433100,0,Gelderse Rooslaan,77,,,6841BE,Malburgen-West,Malburgen-West,Malburgen,190005.651,442713.464
0202030000433103,0,Gelderse Rooslaan,79,,,6841BE,Malburgen-West,Malburgen-West,Malburgen,190001.771,442706.398
0202030000433448,0,Gelderse Rooslaan,75,,,6841BE,Malburgen-West,Malburgen-West,Malburgen,189993.601,442741.08
0202030000433289,0,De Pas,4,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189139.731,439835.312
0202030000433292,0,De Pas,6,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189130.738,439835.462
0202030000433295,0,De Pas,8,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189121.729,439835.611
0202030000433298,0,De Pas,10,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189112.74,439835.759
0202030000433301,0,De Pas,12,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189103.741,439835.908
0202030000433304,0,De Pas,14,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189094.756,439836.056
0202030000433307,0,De Pas,16,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189085.723,439836.205
0202030000433310,0,De Pas,18,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189085.212,439803.898
0202030000433313,0,De Pas,20,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189094.289,439803.76
0202030000433316,0,De Pas,22,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189103.221,439803.62
0202030000433319,0,De Pas,26,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189121.302,439803.344
0202030000433322,0,De Pas,28,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189130.216,439803.205
0202030000433325,0,De Pas,30,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189139.231,439803.067
0202030000433328,0,De Pas,32,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189148.262,439802.928
0202030000433481,0,De Pas,24,,,6836BK,Rijkerswoerd-West,Rijkerswoerd,VKR,189112.244,439803.483
0202030000433490,0,Molenweg,58,,,6842BG,Elden,Elden,Elden en De Laar,188871.699,440832.889
0202030000433493,0,Molenweg,56,,,6842BG,Elden,Elden,Elden en De Laar,188883.576,440846.034
0202030000433496,0,Molenweg,60,,,6842BG,Elden,Elden,Elden en De Laar,188859.848,440819.576
0202030000433406,0,Erasmussingel,25,,,6836KJ,Rijkerswoerd-Oost,Rijkerswoerd,VKR,190081.6,439851.933
0202030000433409,0,Erasmussingel,27,,,6836KJ,Rijkerswoerd-Oost,Rijkerswoerd,VKR,190076.128,439842.963
0202030000433412,0,Erasmussingel,29,,,6836KJ,Rijkerswoerd-Oost,Rijkerswoerd,VKR,190070.905,439834.477
0202030000433415,0,Erasmussingel,31,,,6836KJ,Rijkerswoerd-Oost,Rijkerswoerd,VKR,190065.664,439825.949
0202030000433385,0,Erasmussingel,11,,,6836KJ,Rijkerswoerd-Oost,Rijkerswoerd,VKR,190100.578,439926.309
0202030000433388,0,Erasmussingel,13,,,6836KJ,Rijkerswoerd-Oost,Rijkerswoerd,VKR,190108.02,439915.118
