FID,omschr,type_div,hectobord,afritnr,afritnaam,wegdeelltr,kmtr,wegnummer,fk_veld4,ibn,gdb_geomattr_data,shape
divergenties_kenmerk.1,Haarlemmermeer-aansluiting,U,147.9c,28,'RUINEN'VBW. c,R,148.12199402,028,KPK0001203104,I,,POINT (226505.0267000012 532864.2628999986)
divergenties_kenmerk.2,Halfklaverblad-aansluiting,U,102.2a,34,'RAAMSDONK'VBW. a,R,102.13500214,059,KPK0001203458,I,,POINT (119549.6015000008 410867.96169999987)
divergenties_kenmerk.3,Niet indeelbaar,U,0.0#,,'KP.HOOIPOLDER'UTRECHT VBW. p,R,102.2440033,059,KPK0001203459,I,,POINT (119658.5636 410896.22260000184)
divergenties_kenmerk.4,,U,98.8n,,BS.PPL.'STEELHOVEN',R,98.9509964,059,KPK0001203460,I,,POINT (116515.20589999855 409908.40410000086)
divergenties_kenmerk.5,T-aansluiting halfklaverblad,U,100.2c,33,'OOSTERHOUT'VBW. c,R,100.31500244,059,KPK0001203461,I,,POINT (117814.27210000157 410352.4688999988)
divergenties_kenmerk.6,Halfklaverblad-aansluiting,U,110.2a,36,'SPRANG-CAPELLE-WEST'VBW. a,R,110.08799744,059,KPK0001203474,I,,POINT (127315.08300000057 411925.00180000067)
divergenties_kenmerk.7,Halfklaverblad-aansluiting,U,110.2c,36,'SPRANG-CAPELLE-WEST'VBW. c,R,110.33000183,059,KPK0001203475,I,,POINT (127560.65709999949 411947.9215000011)
divergenties_kenmerk.8,Haarlemmermeer-aansluiting,U,124.5a,43,'NIEUWKUIJK'VBW. a,R,124.42099762,059,KPK0001203496,I,,POINT (141326.5502000004 411867.74439999834)
divergenties_kenmerk.9,Haarlemmermeer-aansluiting,U,125.3c,43,'NIEUWKUIJK'VBW. c,R,125.40000153,059,KPK0001203498,I,,POINT (142290.3856999986 411660.94310000166)
divergenties_kenmerk.10,Pseudo T-aansluiting Haarlemmermeer,U,127.2f,44,'VLIJMEN'VBW. f,R,127.43099976,059,KPK0001203499,I,,POINT (144242.0727000013 411737.21709999815)
divergenties_kenmerk.11,T-knooppunt,U,128.4a,45,'RING-WEST 's-HERTOGENBOSCH-WEST'VBW. a,R,128.17700195,059,KPK0001203502,I,,POINT (144958.7199999988 411912.5351999998)
divergenties_kenmerk.12,Haarlemmermeer-aansluiting,U,130.0a,46,'ENGELEN'VBW. a,R,129.78500366,059,KPK0001203503,I,,POINT (146108.90069999918 413002.6490999982)
divergenties_kenmerk.13,Haarlemmermeer-aansluiting,U,17.4a,2,'BERKEL-ENSCHOT'VBW. a,R,17.34700012,065,KPK0001223086,I,,POINT (138545.88980000094 399023.21599999815)
divergenties_kenmerk.14,Haarlemmermeer-aansluiting,U,10.2a,5,'NUTH'VBW. a,R,9.98999977,076,KPK0001223375,I,,POINT (189429.7703000009 327536.2177999988)
divergenties_kenmerk.15,Haarlemmermeer-aansluiting,U,3.9a,2,'MEERSSEN'VBW. a,R,3.73000002,079,KPK0001223441,I,,POINT (182035.59820000082 320842.1022000015)
divergenties_kenmerk.16,Halfklaverblad-aansluiting,U,9.3a,4,'HULSBERG'VBW. a,R,9.09399986,079,KPK0001223444,I,,POINT (187148.6999000013 321486.35770000145)
divergenties_kenmerk.17,Niet indeelbaar,U,0.0#,,'LELYSTAD' (N309),R,75.73799896,006,KPK0001204205,I,,POINT (163046.50950000063 499097.9365000017)
divergenties_kenmerk.18,T-aansluiting halfklaverblad,U,103.5c,35,'HUIZEN'VBW. c,R,103.76699829,027,KPK0001149823,I,,POINT (146954.32550000027 476953.67170000076)
divergenties_kenmerk.19,Pseudo Haarlemmermeer-aansluiting,U,128.4a,25,'ZUIDWOLDE'VBW. a,R,128.19400024,028,KPK0001140123,I,,POINT (222289.84329999983 522399.2617999986)
divergenties_kenmerk.20,Pseudo T-knooppunt,U,172.0h,,'KP.ASSEN'EEMSHAVEN VBW. h,R,172.14199829,028,KPK0001140170,I,,POINT (231878.6409999989 555150.3590000011)
divergenties_kenmerk.21,Haarlemmermeer-aansluiting,U,195.2a,38,'HAREN'VBW. a,R,195.04600525,028,KPK0001140198,I,,POINT (235675.59299999848 575807.7144000009)
divergenties_kenmerk.22,Haarlemmermeer-aansluiting,U,174.3c,33,'ASSEN-WEST'VBW. c,R,174.36799622,028,KPK0001140175,I,,POINT (231428 557262.870000001)
divergenties_kenmerk.23,T-aansluiting halfklaverblad,U,166.7a,32,'OLDENZAAL'VBW. a,R,166.48500061,001,KPK0001219083,I,,POINT (256929.47289999947 479490.55790000036)
divergenties_kenmerk.24,Halfklaverblad-aansluiting,U,185.8c,35,'VRIES'VBW. c,R,185.97000122,028,KPK0001203137,I,,POINT (236525.12209999934 567087.7991000004)
divergenties_kenmerk.25,Haarlemmermeer-aansluiting,U,195.8c,38,'HAREN'VBW. c,R,195.86099243,028,KPK0001203148,I,,POINT (235465.1596999988 576613.6092999987)
divergenties_kenmerk.26,Niet indeelbaar,D,114.2c,,'IND.WAALWIJK 1000-4000'VBW. c,R,114.20400238,059,KPK0001203543,I,,POINT (131385.24599999934 411420.58779999986)
divergenties_kenmerk.27,Pseudo Klaverbladknooppunt,U,114.9s,,'KP.EWIJK'EINDHOVEN VBW. s,R,115.02700043,073,KPK0001223324,I,,POINT (176860.436999999 430255.5637000017)
divergenties_kenmerk.28,Pseudo Haarlemmermeer-aansluiting,U,10.6a,5,'KLIMMEN'VBW. a,R,10.40999985,079,KPK0001223446,I,,POINT (188446.00710000098 321484.7221999988)
divergenties_kenmerk.29,Pseudo Haarlemmermeer-aansluiting,U,14.1a,6,'VOERENDAAL'VBW. a,R,13.95199966,079,KPK0001223447,I,,POINT (191901.34409999847 321082.97619999945)
divergenties_kenmerk.30,Pseudo Klaverbladknooppunt,U,16.8x,,'KP.KUNDERBERG'HEERLEN-CENTRUM RANG.BAAN x,R,16.6420002,079,KPK0001223449,I,,POINT (194328.42430000007 320583.39169999957)
divergenties_kenmerk.31,Niet indeelbaar,U,0.0#,,HALFWEG,R,6.07399988,200,KPK0001223484,I,,POINT (111767.9952000007 488651.6143999994)
divergenties_kenmerk.32,Haarlemmermeer-aansluiting,U,8.8a,,'KP.ROTTEPOLDERPLEIN'ALKMAAR VBW. a,R,8.70300007,200,KPK0001223489,I,,POINT (109216.32620000094 488840.6711000018)
divergenties_kenmerk.33,Haarlemmermeer-aansluiting,U,9.7c,,'KP.ROTTEPOLDERPLEIN'ALKMAAR VBW. c,R,9.82499981,200,KPK0001223491,I,,POINT (108108.49439999834 488717.69849999994)
divergenties_kenmerk.34,Pseudo Haarlemmermeer-aansluiting,U,11.2a,,'HAARLEM-CENTRUM'VBW. a,R,11.07299995,200,KPK0001223492,I,,POINT (106860.97040000185 488600.59120000154)
divergenties_kenmerk.35,,U,0.0#,,BUSBAAN,R,11.56900024,200,KPK0001223494,I,,POINT (106422.35799999908 488555.8211000003)
divergenties_kenmerk.36,,U,11.0n,,BS.'DE LIEDE',R,11.11699963,200,KPK0001223495,I,,POINT (106818.4048999995 488580.27859999985)
divergenties_kenmerk.37,,U,0.0#,,BUSBAAN,R,11.78999996,200,KPK0001223496,I,,POINT (106185.3478000015 488518.6057999991)
divergenties_kenmerk.38,Haarlemmermeer-aansluiting,U,0.0#,,'ZWANENBURG',R,7.28399992,200,KPK0001223499,I,,POINT (110611.59169999883 488924.3434000015)
