Leverancier;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6410 - Spraak en dataverbindingen;6510 - Aan een externe partij uitbestede ICT-dienstverlening;Eindtotaal
Axiell ALM Netherlands B.V.;;;1;;;;1
Axway B.V.;;;;2;;;2
B.V. Technisch Bureau Jacot;;2;;;;;2
BCT B.V.;;;;1;;;1
Bourgonje Geluid- en Lichtservice B.V.;;2;;;;2;3
BPI Services B.V.;;2;;;;;2
BT NEDERLAND N.V.;;;;2;;;2
Bumicom Telecommunicatie B.V.;;1;;1;;;1
Bureau BlauwGeel B.V.;;;1;;;;1
Buyitdirect.com B.V.;4;1;;;;;4
Centralpoint Nijmegen B.V.;7;5;7;4;3;4;7
CM.COM Netherlands B.V.;;;;;1;;1
COMPAREX Nederland B.V.;;;7;4;;3;7
Conscia Nederland B.V.;2;;1;;;;2
Coosto Holding B.V.;;;;2;;;2
DBA.NL B.V.;;;;2;;;2
Docspro B.V.;;;;1;;;1
DTG B.V.;;;;;1;;1
DTX B.V.;;;;;;2;2
Easy Systems B.V.;;;2;1;;;2
EMMA Communicatie B.V.;;;;;;2;2
Eurotempest B.V.;1;;;;;;1
Flexxer B.V.;;;;2;;;2
For Conference B.V.;;;;;1;;1
Gartner Nederland B.V.;;;;;;2;2
GW Cross Media B.V.;;;;;;2;2
Hewlett-Packard Nederland B.V.;;;;;;2;2
Holland Catering Specialisten Loc. Woudestein;;1;;;;;1
Icorp.NL B.V.;;;;1;;;1
Infographica;;;2;;;;2
ING Bank N.V.;1;;1;;;;1
Insight Enterprises Netherlands B.V.;;;3;2;;3;4
IT Value B.V.;;;;;;1;1
Jacot Audiovisueel Rental B.V.;;;;;;1;1
Klinkende Taal B.V.;;;2;;;;2
KPN B.V.;;;;;2;3;3
KPN Contact lokatie Eindhoven;;;;2;1;;2
KPN Mobiel;;;;;1;;1
KPN Ventures B.V.;;;;;1;;1
KPN winkel;;;;2;;;2
Liters B.V.;;;3;1;;;3
Log*in Consultants Nederland B.V.;;;;;;1;1
Mavim B.V.;;;;2;;;2
Micro Focus Nederland B.V.;;;;1;;;1
Motiv It Masters B.V.;;;;;;2;2
Multi-Post Nederland B.V.;;1;;;;;1
Nielsen Media Research B.V.;;;1;;;;1
Noyz Boyz Advanced Audio Services B.V.;1;;;;;;1
NPQ Nederland B.V.;;;;1;;;1
Pardon Consult;;;;1;;;1
Pinewood B.V.;;;;;;2;2
PQR B.V.;;;;;;1;1
Preware IT B.V.;;;;1;;;1
Prisma-IT B.V.;;;;2;;;2
Protinus IT B.V.;3;3;4;2;;;5
Reconi B.V.;;;1;;;;1
Sectra Communications B.V.;;;;;4;;4
Softcrow B.V.;;;;1;;;1
SoftwareONE B.V.;;;;2;;;2
Solvinity B.V.;;;;;;1;1
Square Information Solutions;;;;2;;;2
StreamProfit;2;;;;;;2
Technolution B.V.;1;;;;;;1
Tele2 Nederland B.V.;;;;4;2;;4
Telindus-ISIT B.V.;;;;7;;;7
The Information Lab Netherlands B.V.;;;1;;;;1
TOPdesk Nederland B.V.;;;;1;;;1
Trusted-ID B.V.;;;;2;;;2
Unica Installatietechniek;;1;;;;;1
UNIT4 Business Software B.V.;;;;2;;;2
Vodafone;;;;;3;;3
Winkwaves B.V.;;;2;;;;2
Wortell System Integrations & Services B.V.;;;2;;;;2
Xerox (Nederland) B.V.;1;2;;;;;2
Ziggo B.V.;;;;1;;;1
Eindtotaal;7;6;7;7;5;6;8
