BRIN NUMMER;VESTIGINGSNUMMER;INSTELLINGSNAAM VESTIGING;GEMEENTENUMMER;GEMEENTENAAM;POSTCODE LEERLING;PLAATSNAAM LEERLING;GEMEENTENUMMER LEERLING;GEMEENTENAAM LEERLING;LEER- OF VERBLIJFSJAAR 1;LEER- OF VERBLIJFSJAAR 2;LEER- OF VERBLIJFSJAAR 3;LEER- OF VERBLIJFSJAAR 4;LEER- OF VERBLIJFSJAAR 5;LEER- OF VERBLIJFSJAAR 6;TOTAAL
01UH;00;Maartenscollege;0014;GRONINGEN;40;ONBEKEND;9940;geen vaste woon- of verblijfplaats;1;0;1;0;0;1;3
01UH;00;Maartenscollege;0014;GRONINGEN;7931;FLUITENBERG;0118;Hoogeveen;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;7991;DWINGELOO;1701;Westerveld;1;0;1;0;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;8608;SNEEK;1900;S｣dwest-Fryslハ;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;8916;LEEUWARDEN;0080;Leeuwarden;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;8917;LEEUWARDEN;0080;Leeuwarden;0;0;0;1;0;1;2
01UH;00;Maartenscollege;0014;GRONINGEN;8922;LEEUWARDEN;0080;Leeuwarden;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9164;BUREN FR;0060;Ameland;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9204;DRACHTEN;0090;Smallingerland;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9249;FRIESCHEPALEN;0086;Opsterland;0;0;0;1;1;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9261;EASTERMAR;0737;Tytsjerksteradiel;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9285;BUITENPOST;0059;Achtkarspelen;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9301;RODEN;1699;Noordenveld;2;0;1;0;1;0;4
01UH;00;Maartenscollege;0014;GRONINGEN;9302;RODEN;1699;Noordenveld;1;0;1;0;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9312;NIETAP;1699;Noordenveld;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9321;PEIZE;1699;Noordenveld;6;1;3;0;1;4;15
01UH;00;Maartenscollege;0014;GRONINGEN;9331;NORG;1699;Noordenveld;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9351;LEEK;1969;Westerkwartier;0;0;0;1;0;1;2
01UH;00;Maartenscollege;0014;GRONINGEN;9356;TOLBERT;1969;Westerkwartier;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9402;ASSEN;0106;Assen;0;0;1;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9403;ASSEN;0106;Assen;0;2;2;1;0;0;5
01UH;00;Maartenscollege;0014;GRONINGEN;9404;ASSEN;0106;Assen;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9408;ASSEN;0106;Assen;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9412;BEILEN;1731;Midden-Drenthe;0;0;0;0;1;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9413;BEILEN;1731;Midden-Drenthe;0;0;1;0;0;1;2
01UH;00;Maartenscollege;0014;GRONINGEN;9415;HIJKEN;1731;Midden-Drenthe;0;1;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9417;SPIER;1731;Midden-Drenthe;0;0;0;1;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9461;GIETEN;1680;Aa en Hunze;2;0;0;1;0;1;4
01UH;00;Maartenscollege;0014;GRONINGEN;9462;GASSELTE;1680;Aa en Hunze;8;4;0;0;1;0;13
01UH;00;Maartenscollege;0014;GRONINGEN;9463;EEXT;1680;Aa en Hunze;2;1;0;1;0;0;4
01UH;00;Maartenscollege;0014;GRONINGEN;9468;ANNEN;1680;Aa en Hunze;5;0;8;5;6;0;24
01UH;00;Maartenscollege;0014;GRONINGEN;9469;SCHIPBORG;1680;Aa en Hunze;0;0;1;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9471;ZUIDLAREN;1730;Tynaarlo;4;14;16;15;4;2;55
01UH;00;Maartenscollege;0014;GRONINGEN;9472;ZUIDLAREN;1730;Tynaarlo;1;6;7;5;5;1;25
01UH;00;Maartenscollege;0014;GRONINGEN;9473;DE GROEVE;1730;Tynaarlo;0;0;1;0;0;1;2
01UH;00;Maartenscollege;0014;GRONINGEN;9474;ZUIDLAARDERVEEN;1730;Tynaarlo;1;1;0;2;1;0;5
01UH;00;Maartenscollege;0014;GRONINGEN;9475;MIDLAREN;1730;Tynaarlo;2;1;2;1;3;0;9
01UH;00;Maartenscollege;0014;GRONINGEN;9479;NOORDLAREN;0014;Groningen;0;1;0;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9481;VRIES;1730;Tynaarlo;1;1;2;1;0;0;5
01UH;00;Maartenscollege;0014;GRONINGEN;9482;TYNAARLO;1730;Tynaarlo;0;0;1;0;2;1;4
01UH;00;Maartenscollege;0014;GRONINGEN;9483;ZEEGSE;1730;Tynaarlo;0;0;0;2;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9491;ZEIJEN;1730;Tynaarlo;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9493;DE PUNT;1730;Tynaarlo;0;2;1;0;0;0;3
01UH;00;Maartenscollege;0014;GRONINGEN;9494;YDE;1730;Tynaarlo;0;0;2;1;0;0;3
01UH;00;Maartenscollege;0014;GRONINGEN;9495;WINDE;1730;Tynaarlo;0;1;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9496;BUNNE;1730;Tynaarlo;0;0;1;1;0;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9514;GASSELTERNIJVEEN;1680;Aa en Hunze;0;2;0;0;1;1;4
01UH;00;Maartenscollege;0014;GRONINGEN;9525;DROUWENERVEEN;1681;Borger-Odoorn;1;0;0;0;0;0;1
01UH;00;Maartenscollege;0014;GRONINGEN;9528;BUINEN;1681;Borger-Odoorn;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9531;BORGER;1681;Borger-Odoorn;0;0;0;0;0;1;1
01UH;00;Maartenscollege;0014;GRONINGEN;9581;MUSSELKANAAL;0037;Stadskanaal;0;1;0;0;1;0;2
01UH;00;Maartenscollege;0014;GRONINGEN;9601;HOOGEZAND;1952;Midden-Groningen;1;0;0;0;0;0;1
