systeem;feitgroep;projcode;mate;aantal;initieelbedrag
WAHV ;Snelheid;19TR05;A tem_10km;3625;138010
WAHV ;Snelheid;19TR05;B 11_tem_15km;526;53633
WAHV ;Snelheid;19TR05;C 16_tem_20km;192;28420
WAHV ;Snelheid;19TR05;D 20_tem_25km;96;19302
WAHV ;Snelheid;19TR05;E 25_tem_30km;63;15703
WAHV ;Snelheid;19TR06;A tem_10km;3800;149128
WAHV ;Snelheid;19TR06;B 11_tem_15km;428;43770
WAHV ;Snelheid;19TR06;C 16_tem_20km;162;23741
WAHV ;Snelheid;19TR06;D 20_tem_25km;70;14097
WAHV ;Snelheid;19TR06;E 25_tem_30km;39;10199
WAHV ;Snelheid;KL0601;A tem_10km;31813;785720
WAHV ;Snelheid;KL0601;B 11_tem_15km;1881;158926
WAHV ;Snelheid;KL0601;C 16_tem_20km;869;93005
WAHV ;Snelheid;KL0601;D 20_tem_25km;418;52980
WAHV ;Snelheid;KL0601;E 25_tem_30km;276;37023
WAHV ;Snelheid;KL0601;F 31_tem_39km;175;26753
WAHV ;Snelheid;KL0602;A tem_10km;57807;1578383
WAHV ;Snelheid;KL0602;B 11_tem_15km;3367;306452
WAHV ;Snelheid;KL0602;C 16_tem_20km;1323;156959
WAHV ;Snelheid;KL0602;D 20_tem_25km;611;88416
WAHV ;Snelheid;KL0602;E 25_tem_30km;383;62727
WAHV ;Snelheid;KL0602;F 31_tem_39km;216;46093
WAHV ;Snelheid;KL0604;A tem_10km;29220;975064
WAHV ;Snelheid;KL0604;B 11_tem_15km;4266;363501
WAHV ;Snelheid;KL0604;C 16_tem_20km;1844;210770
WAHV ;Snelheid;KL0604;D 20_tem_25km;570;78675
WAHV ;Snelheid;KL0604;E 25_tem_30km;300;49269
WAHV ;Snelheid;KL0604;F 31_tem_39km;218;33461
WAHV ;Snelheid;KL0605;A tem_10km;11776;391622
WAHV ;Snelheid;KL0605;B 11_tem_15km;1747;149793
WAHV ;Snelheid;KL0605;C 16_tem_20km;767;90296
WAHV ;Snelheid;KL0605;D 20_tem_25km;259;34182
WAHV ;Snelheid;KL0605;E 25_tem_30km;107;15948
WAHV ;Snelheid;KL0605;F 31_tem_39km;105;17277
WAHV ;Snelheid;KL0606;A tem_10km;41418;1430693
WAHV ;Snelheid;KL0606;B 11_tem_15km;5988;544965
WAHV ;Snelheid;KL0606;C 16_tem_20km;2437;302132
WAHV ;Snelheid;KL0606;D 20_tem_25km;754;122049
WAHV ;Snelheid;KL0606;E 25_tem_30km;412;71141
WAHV ;Snelheid;KL0606;F 31_tem_39km;330;67655
WAHV ;Snelheid;KL0607;A tem_10km;43233;1488185
WAHV ;Snelheid;KL0607;B 11_tem_15km;5585;504157
WAHV ;Snelheid;KL0607;C 16_tem_20km;2302;286363
WAHV ;Snelheid;KL0607;D 20_tem_25km;768;119647
WAHV ;Snelheid;KL0607;E 25_tem_30km;409;70983
WAHV ;Snelheid;KL0607;F 31_tem_39km;295;56950
WAHV ;Snelheid;KL0608;A tem_10km;27411;922571
WAHV ;Snelheid;KL0608;B 11_tem_15km;3320;282819
WAHV ;Snelheid;KL0608;C 16_tem_20km;1196;135454
WAHV ;Snelheid;KL0608;D 20_tem_25km;340;47767
WAHV ;Snelheid;KL0608;E 25_tem_30km;165;25361
WAHV ;Snelheid;KL0608;F 31_tem_39km;114;24592
WAHV ;Snelheid;KL0609;A tem_10km;24145;844130
WAHV ;Snelheid;KL0609;B 11_tem_15km;3433;300311
WAHV ;Snelheid;KL0609;C 16_tem_20km;1191;142828
WAHV ;Snelheid;KL0609;D 20_tem_25km;492;72761
WAHV ;Snelheid;KL0609;E 25_tem_30km;223;39998
WAHV ;Snelheid;KL0609;F 31_tem_39km;102;22165
WAHV ;Snelheid;KL0610;A tem_10km;35986;1279139
WAHV ;Snelheid;KL0610;B 11_tem_15km;4523;421586
WAHV ;Snelheid;KL0610;C 16_tem_20km;1618;217712
WAHV ;Snelheid;KL0610;D 20_tem_25km;664;120624
WAHV ;Snelheid;KL0610;E 25_tem_30km;365;75122
WAHV ;Snelheid;KL0610;F 31_tem_39km;211;54096
WAHV ;Snelheid;KL0611;A tem_10km;49328;1795679,5
WAHV ;Snelheid;KL0611;B 11_tem_15km;5724;528178
WAHV ;Snelheid;KL0611;C 16_tem_20km;2122;280153
WAHV ;Snelheid;KL0611;D 20_tem_25km;880;156330
WAHV ;Snelheid;KL0611;E 25_tem_30km;450;92615
WAHV ;Snelheid;KL0611;F 31_tem_39km;229;61517
WAHV ;Snelheid;KL0612;A tem_10km;43112;1568756
WAHV ;Snelheid;KL0612;B 11_tem_15km;8332;784909
WAHV ;Snelheid;KL0612;C 16_tem_20km;3332;440558
WAHV ;Snelheid;KL0612;D 20_tem_25km;875;153048
WAHV ;Snelheid;KL0612;E 25_tem_30km;386;76964
WAHV ;Snelheid;KL0612;F 31_tem_39km;204;43773
WAHV ;Snelheid;KL0613;A tem_10km;46382;1660295
WAHV ;Snelheid;KL0613;B 11_tem_15km;7914;744386
WAHV ;Snelheid;KL0613;C 16_tem_20km;3190;423114
WAHV ;Snelheid;KL0613;D 20_tem_25km;884;159119
WAHV ;Snelheid;KL0613;E 25_tem_30km;366;79035
WAHV ;Snelheid;KL0613;F 31_tem_39km;223;57072
WAHV ;Snelheid;KL0614;A tem_10km;65522;2181510
WAHV ;Snelheid;KL0614;B 11_tem_15km;8992;771109
WAHV ;Snelheid;KL0614;C 16_tem_20km;3667;426412
WAHV ;Snelheid;KL0614;D 20_tem_25km;1250;193479
WAHV ;Snelheid;KL0614;E 25_tem_30km;595;107141
WAHV ;Snelheid;KL0614;F 31_tem_39km;505;98005
WAHV ;Snelheid;KL0615;A tem_10km;48480;1585699
WAHV ;Snelheid;KL0615;B 11_tem_15km;5977;498556
WAHV ;Snelheid;KL0615;C 16_tem_20km;2582;291934,5
WAHV ;Snelheid;KL0615;D 20_tem_25km;867;123244
WAHV ;Snelheid;KL0615;E 25_tem_30km;458;77777
WAHV ;Snelheid;KL0615;F 31_tem_39km;373;70543
WAHV ;Snelheid;KL0618;A tem_10km;9237;300941
WAHV ;Snelheid;KL0618;B 11_tem_15km;588;61310
WAHV ;Snelheid;KL0618;C 16_tem_20km;229;35529
WAHV ;Snelheid;KL0618;D 20_tem_25km;99;20471
WAHV ;Snelheid;KL0618;E 25_tem_30km;39;9345
WAHV ;Snelheid;KL0618;F 31_tem_39km;17;4480
WAHV ;Snelheid;KL0619;A tem_10km;13953;465065
WAHV ;Snelheid;KL0619;B 11_tem_15km;806;83072
WAHV ;Snelheid;KL0619;C 16_tem_20km;326;49759
WAHV ;Snelheid;KL0619;D 20_tem_25km;139;25031
WAHV ;Snelheid;KL0619;E 25_tem_30km;74;14931
WAHV ;Snelheid;KL0619;F 31_tem_39km;32;8423
WAHV ;Snelheid;KL0620;A tem_10km;122826;4286756
WAHV ;Snelheid;KL0620;B 11_tem_15km;22613;1973555
WAHV ;Snelheid;KL0620;C 16_tem_20km;10802;1352365
WAHV ;Snelheid;KL0620;D 20_tem_25km;5434;911935
WAHV ;Snelheid;KL0620;E 25_tem_30km;3092;618157
WAHV ;Snelheid;KL0620;F 31_tem_39km;1811;470301
WAHV ;Snelheid;KL0621;A tem_10km;127849;4337293
WAHV ;Snelheid;KL0621;B 11_tem_15km;22176;1944930
WAHV ;Snelheid;KL0621;C 16_tem_20km;10274;1292662
WAHV ;Snelheid;KL0621;D 20_tem_25km;5085;841761
WAHV ;Snelheid;KL0621;E 25_tem_30km;2862;558432
WAHV ;Snelheid;KL0621;F 31_tem_39km;1458;360666,5
WAHV ;Snelheid;KL0622;A tem_10km;65322;2400622
WAHV ;Snelheid;KL0622;B 11_tem_15km;14108;1316590
WAHV ;Snelheid;KL0622;C 16_tem_20km;5710;771728
WAHV ;Snelheid;KL0622;D 20_tem_25km;2181;396064
WAHV ;Snelheid;KL0622;E 25_tem_30km;907;193784
WAHV ;Snelheid;KL0622;F 31_tem_39km;410;104086
WAHV ;Snelheid;KL0623;A tem_10km;47413;1741526
WAHV ;Snelheid;KL0623;B 11_tem_15km;10240;957194
WAHV ;Snelheid;KL0623;C 16_tem_20km;3993;542591
WAHV ;Snelheid;KL0623;D 20_tem_25km;1512;274187
WAHV ;Snelheid;KL0623;E 25_tem_30km;639;133380
WAHV ;Snelheid;KL0623;F 31_tem_39km;240;62249
WAHV ;Snelheid;KL0624;A tem_10km;20468;792219
WAHV ;Snelheid;KL0624;B 11_tem_15km;2275;216998
WAHV ;Snelheid;KL0624;C 16_tem_20km;834;114971
WAHV ;Snelheid;KL0624;D 20_tem_25km;290;52622
WAHV ;Snelheid;KL0624;E 25_tem_30km;137;30962
WAHV ;Snelheid;KL0624;F 31_tem_39km;60;15569
WAHV ;Snelheid;KL0625;A tem_10km;11660;426796
WAHV ;Snelheid;KL0625;B 11_tem_15km;1613;153535
