Waarde,Unieke paginaweergaves,Paginaweergaves,Totale tijd gespendeerd door de bezoekers (in sec),Aangeklikt in zoekresultaten,nb_hits_with_time_generation,min_time_generation,max_time_generation,Binnenkomsten,Acties na het hier in te voeren.,Totale tijd gespendeerd(in sec)na het hier in te voeren.,Bounces,Vertrekken,Unieke bezoekers (dagelijks totaal),Unieke ingangen (dagelijks totaal),Unieke uitgangen (dagelijks totaal),Gem. tijd op pagina,Bounce Ratio,Exit ratio,Gem. generatie tijd,Metadata: url,Metadata: segment,
startpagina/index,46225,67410,3003903,3190,52543,0.001,180.995,35851,283214,15044395,6743,10834,43990,34112,10310,65,19%,23%,0.467,http://www.utrecht.nl/startpagina/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2F,
contact/afspraak-maken/index,22797,32958,1002729,367,24370,0.001,102.599,6020,27621,2317510,998,2099,21712,5658,2006,44,17%,9%,0.51,http://www.utrecht.nl/contact/afspraak-maken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2Fafspraak-maken%2F,
Loket/prodcat/products/ - Andere,21665,26974,2199442,3942,21468,0.001,41.923,5648,25281,1989495,2611,5695,3649,1020,1012,102,46%,26%,0.466,,,
Formulieren/flow/ - Andere,17410,27883,2082394,19,24498,0.001,194.757,284,2915,184344,93,2052,2767,48,291,120,33%,12%,0.791,,,
Loket/start.do,13238,19321,1424082,265,15271,0.001,35.775,1649,7631,657973,876,5261,12930,1580,5168,108,53%,40%,0.254,https://pki.utrecht.nl/Loket/start.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fstart.do,
publiekszaken/loket-burgerzaken/index,12710,18206,1253376,338,13543,0.001,107.91,6858,49554,3455087,1246,2904,12219,6551,2756,99,18%,23%,0.511,http://www.utrecht.nl/publiekszaken/loket-burgerzaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fpubliekszaken%2Floket-burgerzaken%2F,
parkeren/parkeren-bezoeker/parkeerplattegrond-utrecht/index,11905,14750,617836,150,10079,0.001,131.776,6016,19945,1498030,1308,2208,11508,5772,2105,52,22%,19%,0.579,http://www.utrecht.nl/parkeren/parkeren-bezoeker/parkeerplattegrond-utrecht/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2Fparkeerplattegrond-utrecht%2F,
contact/index,9959,13122,1319676,261,10009,0.001,291.803,3884,16061,1444823,1888,4180,9584,3648,3984,133,49%,42%,0.593,http://www.utrecht.nl/contact/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fcontact%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=429,7491,9159,925123,76,6579,0.001,37.994,4454,23205,1880186,1392,2449,7193,4192,2351,123,31%,33%,0.552,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=429,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D429,
parkeren/index,6890,8333,303847,91,6041,0.001,131.597,4474,29876,1655465,477,879,6738,4382,862,44,11%,13%,0.574,http://www.utrecht.nl/parkeren/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/index,6810,9910,494917,85,6473,0.001,670.271,3594,20093,1273888,548,1464,6558,3466,1410,73,15%,21%,0.643,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/index,6505,8549,326982,46,5236,0.001,83.525,2283,10349,879492,358,718,6205,2169,669,50,16%,11%,0.647,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/index,5904,7674,303861,41,4993,0.001,131.595,2226,8890,684449,346,669,5641,2111,637,51,16%,11%,0.677,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/index,5673,7717,405408,53,5181,0.001,38.479,3212,17138,1175909,587,1158,5461,3074,1090,71,18%,20%,0.572,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2F,
sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/activiteitenrooster/index,4751,5365,816243,4,2759,0.001,32.399,710,1887,292248,494,2641,4454,621,2462,172,70%,56%,0.567,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-den-hommel/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-den-hommel%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
startpagina/wonen-en-wijken/index,4593,6774,191074,100,5274,0.001,127.637,201,1471,84362,61,343,4498,197,337,42,30%,7%,0.474,http://www.utrecht.nl/startpagina/wonen-en-wijken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fwonen-en-wijken%2F,
Loket/prodcat/products/getProductDetailsAction.do?id=448,4576,6070,505892,110,5002,0.001,33.84,2747,19323,1273993,500,926,4425,2632,901,111,18%,20%,0.714,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?id=448,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fid%3D448,
afval/index,4546,6043,467352,97,4232,0.001,131.524,2011,8246,617018,710,1458,4423,1947,1414,103,35%,32%,0.588,http://www.utrecht.nl/afval/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fafval%2F,
gemeentezaken/index,4402,5808,176144,128,4448,0.001,21.673,394,3706,240759,40,274,4299,387,271,40,10%,6%,0.46,http://www.utrecht.nl/gemeentezaken/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fgemeentezaken%2F,
sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/activiteitenrooster/index,4373,4883,690819,6,2677,0.001,44.463,588,1677,228963,395,2562,4107,530,2401,158,67%,59%,0.631,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-de-kwakel/openingstijden-tarieven/activiteitenrooster/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-de-kwakel%2Fopeningstijden-tarieven%2Factiviteitenrooster%2F,
parkeren/parkeren-bewoner/index,4365,6093,237766,56,4411,0.001,159.415,1144,9499,577939,164,470,4149,1090,435,54,14%,11%,0.535,http://www.utrecht.nl/parkeren/parkeren-bewoner/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bewoner%2F,
Loket/start.do?osadcampaign=ProductenDiensten,4216,5316,180742,103,4491,0.001,23.015,864,8873,487286,109,269,4101,819,247,43,13%,6%,0.283,https://pki.utrecht.nl/Loket/start.do?osadcampaign=ProductenDiensten,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fstart.do%3Fosadcampaign%3DProductenDiensten,
Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort en identiteitskaart,4096,4991,312696,534,3815,0.004,183.112,450,2361,169195,171,634,4003,413,610,76,38%,15%,0.456,https://pki.utrecht.nl/Loket/prodcat/products/getProductDetailsAction.do?name=Paspoort+en+identiteitskaart,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fproducts%2FgetProductDetailsAction.do%3Fname%3DPaspoort+en+identiteitskaart,
Loket/knowledgebase/faqs/ - Andere,3961,4585,268472,1405,3815,0.001,16.172,417,1613,117809,231,753,1648,200,330,68,55%,19%,0.37,,,
stadskantoor/index,3949,5211,538587,76,3787,0.001,523.901,2078,7360,656205,866,1718,3809,1984,1661,136,42%,44%,0.685,http://www.utrecht.nl/stadskantoor/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstadskantoor%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/index,3775,5262,275657,34,3280,0.001,23.422,2048,12012,876970,325,720,3642,1967,684,73,16%,19%,0.559,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2F,
Loket/search/searchAction.do,3744,5771,149507,175,4790,0.001,31.877,11,93,9486,2,156,3703,11,156,40,18%,4%,0.537,https://pki.utrecht.nl/Loket/search/searchAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fsearch%2FsearchAction.do,
Loket/prodcat/process/checkPreconditionsAction.do?name=Een verhuizing doorgeven&processName=Aanvragen,3555,4247,406101,4,3263,0.001,25.846,148,741,65688,57,848,3443,136,824,114,39%,24%,0.264,https://pki.utrecht.nl/Loket/prodcat/process/checkPreconditionsAction.do?name=Een%2Bverhuizing%2Bdoorgeven&processName=Aanvragen,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fprodcat%2Fprocess%2FcheckPreconditionsAction.do%3Fname%3DEen%2Bverhuizing%2Bdoorgeven%26processName%3DAanvragen,
parkeren/tarieven-2015/index,3521,4690,409791,49,3256,0.001,131.19,1092,4157,307031,419,1337,3439,1053,1301,116,38%,38%,0.55,http://www.utrecht.nl/parkeren/tarieven-2015/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Ftarieven-2015%2F,
parkeren/parkeren-bezoeker/index,3391,4442,100065,20,3204,0.001,12.508,338,1728,101609,57,183,3343,327,175,30,17%,5%,0.487,http://www.utrecht.nl/parkeren/parkeren-bezoeker/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fparkeren%2Fparkeren-bezoeker%2F,
verkeer-en-vervoer/milieuzone/index,3340,4663,310769,38,3380,0.001,53.609,2368,9008,659307,720,1183,3230,2282,1141,93,30%,35%,0.522,http://www.utrecht.nl/verkeer-en-vervoer/milieuzone/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fverkeer-en-vervoer%2Fmilieuzone%2F,
sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/index,3161,4284,175173,21,2466,0.001,43.224,1066,4532,368224,197,391,3003,992,351,55,18%,12%,0.615,http://www.utrecht.nl/sport-in-utrecht/zwembaden/zwembad-fletiomare/openingstijden-tarieven/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fsport-in-utrecht%2Fzwembaden%2Fzwembad-fletiomare%2Fopeningstijden-tarieven%2F,
Loket/form/view/viewPageAction.do?process=prodcat&name=start,3071,3993,85005,79,3298,0.001,9.333,28,234,21230,7,125,3050,27,122,28,25%,4%,0.209,https://pki.utrecht.nl/Loket/form/view/viewPageAction.do?process=prodcat&name=start,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fform%2Fview%2FviewPageAction.do%3Fprocess%3Dprodcat%26name%3Dstart,
Loket/knowledgebase/start/startPageAction.do,2983,3798,163501,54,3044,0.001,27.063,64,304,22735,30,335,2962,61,329,55,47%,11%,0.707,https://pki.utrecht.nl/Loket/knowledgebase/start/startPageAction.do,pageUrl==https%3A%2F%2Fpki.utrecht.nl%2FLoket%2Fknowledgebase%2Fstart%2FstartPageAction.do,
startpagina/milieu-en-afval/index,2919,3992,131452,79,2915,0.001,37.587,731,5232,344504,82,249,2870,721,242,45,11%,9%,0.479,http://www.utrecht.nl/startpagina/milieu-en-afval/,pageUrl==http%3A%2F%2Fwww.utrecht.nl%2Fstartpagina%2Fmilieu-en-afval%2F,
