ID,SUBTYPE,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VLAKPUNT,KM_GEOCODE_VLAKPUNT_T,REGIO_NAAM,REGIO_AFKORTING,BEHEERDER,X_VLAKPUNT,Y_VLAKPUNT,LATITUDE_VLAKPUNT,LONGITUDE_VLAKPUNT,STRAAT,HUISNUMMER,HUISLETTER,POSTCODE,WOONPLAATS,GEBWBAGID,NAAM,BGTBRONHOUDER,BGTBRONHOUDERCODE,BGTSTATUS,NUMAANDUIDINGVISUALISATIE,OPPERVLAKTE,POSITIONELE_NAUWKEURIGHEID_MM,RELATIEVEHOOGTELIGGING,STATUS
4070163,gebouw,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,10.722398,"10,722398",Randstad Noord,RN,ProRail,139703.5555,485295.168485,52.3553433460376,5.1626756786835,Iskurstraat,48,,1363RC,Almere,0034100000104471,,Almere,G0034,bestaand,,67.312,283,0,gerealiseerd
4071218,gebouw,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,10.706804,"10,706804",Randstad Noord,RN,ProRail,139713.859,485260.044733,52.3550279566171,5.16282851265211,Arinnastraat,24,,1363RB,Almere,0034100000105521,,Almere,G0034,bestaand,,61.527,283,0,gerealiseerd
4071670,gebouw,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,10.699707,"10,699707",Randstad Noord,RN,ProRail,139685.0215,485277.364873,52.3551828192828,5.16240443990401,Iskurstraat,38,,1363RC,Almere,0034100000104476,,Almere,G0034,bestaand,,67.318,283,0,gerealiseerd
4071712,gebouw,128,,128,128__,Diemen Aansl. - Weesp Aansl.,Asd-Zp,Amsterdam Centraal - Zutphen ,13.116829,"13,116829",Randstad Noord,RN,ProRail,131594.175246,480482.593,52.311804764264,5.04397839905483,Stationsplein,2,,1382AD,Weesp,0457100000057563,,Amsterdam,G0363,bestaand,,1011.846,283,0,gerealiseerd
4071715,schakelstation,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,27.000805,"27,000805",Randstad Noord,RN,ProRail,153821.505503,492090.695,52.4166298497949,5.36988205389563,,,,,,0995100000723755,Lage Vaart,Lelystad,G0995,bestaand,,28.604,283,0,gerealiseerd
4071722,gebouw,135,,135,135__,Weesp Aansl. - Lelystad Industrieterrein,Wp-Llso,Weesp - Lelystad Opstel. ,46.312219,"46,312219",Randstad Noord,RN,ProRail,163561.186,506800.78,52.5487685368106,5.51342073639133,,,,,,0995100000729979,,Lelystad,G0995,bestaand,,31.6,283,0,gerealiseerd
4071723,gebouw,087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,27.204512,"27,204512",Randstad Noord,RN,ProRail,140495.973,472013.997226,52.235998334613,5.17487767844088,,,,,,0402100001483569,,,G0402,bestaand,,9.448,283,0,gerealiseerd
4071781,onderstation,161,,161,161__,Lelystad Industrieterrein - Hattemerbroek,Llsoa-Zl,Lelystad Opstelterrein Aansl. - Zwolle ,7.541794,"7,541794",Randstad Noord,RN,ProRail,164868.758492,506660.8825,52.5474891609481,5.53269379511099,,,,,,0995100000817941,,Lelystad,G0995,bestaand,,142.412,283,0,gerealiseerd
4071782,gebouw,663,a,663,663_a,Rotterdam Barendrecht,Bd-Rtd,Breda - Rotterdam Centraal ,40.64573,"40,645730",Randstad Zuid,RZ,ProRail,96714.1175,431293.757077,51.8671443916517,4.54093835398582,Fennaweg,28,h,2991ZA,Barendrecht,0489100000261296,,Barendrecht,G0489,bestaand,,36.591,283,0,gerealiseerd
4071784,relaishuis,087,,87,087__,Weesp Aansl. - Hilversum,Asd-Zp,Amsterdam Centraal - Zutphen ,16.435405,"16,435405",Randstad Noord,RN,ProRail,134393.812702,478804.8445,52.2968378342623,5.08513449428441,Keverdijk,1,c,1381HL,Weesp,0457100000059961,,Amsterdam,G0363,bestaand,,70.687,283,0,gerealiseerd
