FID,id,dienst,objecttype,catalogusn,herkomst,oorspr_nr,omschrijvi,se_anno_cad_data,gdb_geomattr_data,shape
archeologie.1,91,Limburg,Archeologie,A41, , ,Via Belgica,,,POINT (191417.51399999857 321364.4450000003)
archeologie.2,93,Limburg,Archeologie,A43, , ,Pannenbakkerij,,,POINT (208419.11400000006 373976.0089999996)
archeologie.3,94,Limburg,Archeologie,A44, , ,Inheems-Romeinse nederzetting,,,POINT (198790.6959999986 391260.4780000001)
archeologie.4,95,Limburg,Archeologie,A45, , ,Brug bij Cuijk,,,POINT (189427.82600000128 415792.7340000011)
archeologie.5,11,Noord-Nederland,Archeologie,A1,AMK Drenthe,12176,Boomstamkano van Pesse,,,POINT (226746.70100000128 531348.7250000015)
archeologie.6,12,Noord-Nederland,Archeologie,A2,AMK Drenthe,9024,Hunebedden D19 en D20 op Marelesch bij Borger,,,POINT (248925.11199999973 552563.311999999)
archeologie.7,13,Noord-Nederland,Archeologie,A3,AMK Drenthe,8941,Urnenveld in Kniphorstbosch bij Anloo,,,POINT (243602.05900000036 563477.8359999992)
archeologie.8,14,Noord-Nederland,Archeologie,A4,AMK Drenthe,9686,Celtic field en bewoning bij Emmen,,,POINT (253658.3139999993 538341.7419999987)
archeologie.9,15,Noord-Nederland,Archeologie,A5,AMK Groningen,791,"Resten van het klooster ""maria virgo"" bij Van Starckenborghkanaal",,,POINT (232432.17500000075 585066.936999999)
archeologie.10,21,Oost-Nederland,Archeologie,A6,AMK Gelderland,12.559,Prehistorische bewoningssporen bij Kesteren,,,POINT (166841.15700000152 436905.9629999995)
archeologie.11,25,Oost-Nederland,Archeologie,A10,AMK Gelderland,3199,Gerechtsplaats 'Het Herenhul' bij Ugchelen,,,POINT (193291.65399999917 465377.1719999984)
archeologie.12,22,Oost-Nederland,Archeologie,A7,AMK Gelderland,12.848,"IJzerkuilen, slakkenhopen en houtskool bij Apeldoorn",,,POINT (192557.14799999818 465751.7569999993)
archeologie.13,24,Oost-Nederland,Archeologie,A9,AMK Gelderland,4.366 e.a.,Huisterpen bij Kamperveen,,,POINT (193868.41800000146 502527.88800000027)
archeologie.14,23,Oost-Nederland,Archeologie,A8,AMK Gelderland,1120,Walburcht 'De Duno' bij Heveadorp,,,POINT (184213.30200000107 442672.811999999)
archeologie.15,31,IJsselmeergebied,Archeologie,A11,AMK Flevoland,12.417,Jagers uit het Paleolithicum bij Zeewolde,,,POINT (151716.73000000045 481030.7199999988)
archeologie.16,33,IJsselmeergebied,Archeologie,A13,AMK Flevoland,12.510,De oudste boeren van de delta in Swifterbant,,,POINT (169099.34600000083 512239.83300000057)
archeologie.17,32,IJsselmeergebied,Archeologie,A12,AMK Flevoland,1.677/11.952,Jagers-verzamelaars uit het Mesolithicum,,,POINT (175398.91600000113 519210.2010000013)
archeologie.18,35,IJsselmeergebied,Archeologie,A15,AMK Flevoland,12.541,Scheepswrak 20 bij Ens,,,POINT (174162.26999999955 517252.8440000005)
archeologie.19,34,IJsselmeergebied,Archeologie,A14,AMK Flevoland,12.151,Door de zee verzwolgen nederzettingen in het Kuinderbos,,,POINT (178637.39400000125 538149.2039999999)
archeologie.20,41,Utrecht,Archeologie,A16, , ,Sporen van bewoning,,,POINT (142130.08900000155 446052.66899999976)
archeologie.21,42,Utrecht,Archeologie,A17, , ,Castellum Fectio en vicus,,,POINT (139928.61800000072 452292.12900000066)
