FID,OVW_STARTDATUM,SENSOR_ID,SENSORTYPE,LOCATIEOMSCHRIJVING,OPMERKING,LATITUDE,LONGITUDE,MEETMOMENT,BODEMVOCHTIGHEIDPERCENTAGE,GEOMETRIE,OVW_MAX_SIZE

Bodemvocht.6200301,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,21/10/2020 21:00:26,8,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200302,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,21/10/2020 23:59:20,8,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200303,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 02:58:19,8,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200304,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 05:57:18,8,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200305,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 08:56:18,8,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200306,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 11:55:21,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200307,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 14:54:19,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200308,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 17:53:11,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200309,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 20:52:06,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200310,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,22/10/2020 23:51:07,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200311,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 02:50:11,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200312,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 05:49:21,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200313,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 08:48:36,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200314,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 11:47:51,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200315,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 14:47:00,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200316,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 17:45:57,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200317,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 20:44:52,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200318,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,23/10/2020 23:43:49,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200319,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 02:42:51,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200320,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 05:41:56,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200321,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 08:41:01,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200322,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 11:40:05,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200323,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 14:39:05,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200324,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 17:37:59,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200325,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 20:36:53,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200326,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,24/10/2020 23:35:49,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200327,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,25/10/2020 02:34:47,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200328,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,25/10/2020 04:33:44,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200329,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,25/10/2020 07:32:41,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200330,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,25/10/2020 10:31:42,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200181,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 01:27:09,7,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200182,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 04:26:24,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200183,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 07:25:40,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200184,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 10:24:58,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200185,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 13:24:14,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200186,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 16:23:24,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200187,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 19:22:35,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200188,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,26/10/2020 22:21:47,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200189,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,27/10/2020 01:21:01,6,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200190,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,06/10/2020 13:37:16,23,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200191,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,06/10/2020 16:36:13,23,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200192,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,06/10/2020 19:35:09,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200193,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,06/10/2020 22:34:08,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200194,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 01:33:12,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200195,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 04:32:20,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200196,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 07:31:28,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200197,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 10:30:34,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200198,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 13:29:34,23,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200199,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 16:28:29,23,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200200,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 19:27:23,23,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200201,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,07/10/2020 22:26:21,24,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200202,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 01:25:22,22,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200203,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 04:24:29,23,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200204,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 07:23:38,22,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200205,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 10:22:47,29,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200206,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 13:21:50,27,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200207,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 16:20:47,28,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200208,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 19:19:39,29,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200209,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,08/10/2020 22:18:34,27,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200210,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,09/10/2020 01:17:34,27,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200211,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,10/10/2020 16:06:14,25,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200212,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,10/10/2020 19:05:28,34,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200213,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,10/10/2020 22:04:48,31,POINT (47.975235466892244 3.313610199241911),0

Bodemvocht.6200214,2023-02-03,50,bodemvochtigheid  40cm,Piet Mondriaanplein t.h.v. 313,gebied: Stationsgebied,52.154739,5.374832,11/10/2020 01:04:13,29,POINT (47.975235466892244 3.313610199241911),0

