objectid;id;stadsdeel;buurt;straat;eigenaar;onderhouder;lengte;verhardingstype;wegdeel;shape_len;geo_shape;geo_point_2d
46231;23993.0;Park Philips van Lennep;Lievendaal;STD.P. Philips van Lennep;BOR;BOR Stedelijk;;Beton;Rijbaan;30.289729459848598;"{""coordinates"": [[5.429285862840492, 51.44828769536883], [5.4292814180816755, 51.448288020573756], [5.429123024694083, 51.44821312145571], [5.4289174444694135, 51.44822864710971], [5.428892157175519, 51.448230876404374]], ""type"": ""LineString""}";51.448234806931076, 5.429093503377148
46234;23996.0;Woensel noord 1;Castiliëlaan;;;;;Elementen;Rijbaan;80.3323893152068;"{""coordinates"": [[5.454547517473462, 51.488721531359936], [5.454466608601916, 51.48874671042325], [5.454440512011239, 51.48883916472582], [5.454392142750785, 51.489010489262064], [5.454382760500322, 51.48904334817437], [5.454368708583719, 51.48909256012544], [5.4543433118520905, 51.489181454497086], [5.454317501214741, 51.48927288389908], [5.45447878585384, 51.489357149148816]], ""type"": ""LineString""}";51.489049368012765, 5.454405453702252
46235;23997.0;Woensel noord 1;Jagershoef;Klaartje Donzestraat;BOR;BOR Stedelijk;;Elementen;Fietspad;2.98332502587298;"{""coordinates"": [[5.463623382140438, 51.472950368087204], [5.463659748714259, 51.47296462626837]], ""type"": ""LineString""}";51.47295749717779, 5.4636415654273485
46236;23998.0;Woensel noord 1;Jagershoef;Klaartje Donzestraat;BOR;BOR Stedelijk;;Elementen;Fietspad;49.3457206106814;"{""coordinates"": [[5.463020955466276, 51.47271543834315], [5.463070427325703, 51.47273448900772], [5.463274582885609, 51.472814714274556], [5.463579367813833, 51.472933110906844], [5.463623382140438, 51.472950368087204]], ""type"": ""LineString""}";51.47283297058119, 5.463322142191881
46237;23999.0;Woensel noord 1;Jagershoef;Ritsaertstraat;BOR;BOR Stedelijk;;Elementen;Rijbaan;15.2609502325379;"{""coordinates"": [[5.469980965105009, 51.47400001087321], [5.469989145055438, 51.47413709096842]], ""type"": ""LineString""}";51.47406855092082, 5.469985055080223
46247;24009.0;Gestel;Hanevoet;Keverberg;BOR;BOR Stedelijk;;Elementen;Fietspad;0.49874663908642;"{""coordinates"": [[5.440526814549539, 51.41691474090581], [5.440525569050612, 51.41691915582268]], ""type"": ""LineString""}";51.416916948364246, 5.440526191800076
46248;24010.0;Gestel;Hanevoet;Meerveldhovenseweg;BOR Stedelijk;BOR Stedelijk;;Elementen;Fietspad;0.49963972019846503;"{""coordinates"": [[5.44016167664455, 51.41769505508679], [5.440162637520386, 51.41769060434886]], ""type"": ""LineString""}";51.41769282971782, 5.440162157082468
46249;25588.0;Gestel;Genderdal;Karel de Grotelaan;BOR;BOR Stedelijk;;Elementen;Rijbaan;0.497749826720211;"{""coordinates"": [[5.459531107134221, 51.42807432643515], [5.459526547852498, 51.428070877615994]], ""type"": ""LineString""}";51.428072602025566, 5.45952882749336
46250;25589.0;Gestel;Genderdal;Karel de Grotelaan;BOR;BOR Stedelijk;;Asfalt;Rijbaan;36.8939715276408;"{""coordinates"": [[5.45977197723882, 51.428365175095124], [5.459762261828728, 51.42834289372109], [5.459751949864724, 51.42832071698683], [5.459741041359147, 51.428298652083235], [5.459736527238596, 51.428290169583065], [5.4597287613934, 51.42827586354583], [5.459720460842943, 51.42826167649194], [5.45971162703553, 51.428247614712426], [5.459702265734702, 51.428233685394524], [5.459692382706621, 51.42821989752322], [5.459681983714728, 51.42820625828566], [5.459678109855913, 51.42820072816591], [5.459673991665355, 51.42819526741107], [5.459669634900413, 51.42818987961295], [5.459665041004785, 51.42818456836617], [5.459660214300752, 51.42817933906113], [5.459655159106417, 51.42817419439185], [5.4596097436803435, 51.42813380056719], [5.459531107134221, 51.42807432643515]], ""type"": ""LineString""}";51.42820687405819, 5.459667287729977
46251;25590.0;Gestel;Blaarthem;Karel de Grotelaan;BOR Stedelijk;BOR Stedelijk;;Asfalt;Rijbaan;0.5787911996973599;"{""coordinates"": [[5.459774083147822, 51.42837020834156], [5.4597733845317835, 51.4283685296918], [5.459772683041424, 51.42836685194271], [5.45977197723882, 51.428365175095124]], ""type"": ""LineString""}";51.428367690775616, 5.4597730324457086
