Uitvgavenummer verbruikboek,EU Type goedkeuringssleutel,EEG variantcode,EEG Uitvoeringscode,Uitvoering wijzigingsnummer,Verbruikcategorie uitvoering
1,e1*92/53*0001*00,H002A00,CBAA24,1,
1,e1*92/53*0001*00,H002A00,CBAA25,1,
1,e1*92/53*0001*00,H002A00,CCAA24,1,
1,e1*92/53*0001*00,H002A00,CCAA25,1,
1,e1*92/53*0001*00,H002A00,NKAA24,1,
1,e1*92/53*0001*00,H002A00,NKAA25,1,
1,e1*92/53*0001*00,H002A00,NLAA24,1,
1,e1*92/53*0001*00,H002A00,NLAA25,1,
1,e1*92/53*0001*00,H002G00,CBAA24,1,
1,e1*92/53*0001*00,H002G00,CBAA25,1,
1,e1*92/53*0001*00,H002G00,CCAA24,1,
1,e1*92/53*0001*00,H002G00,CCAA25,1,
1,e1*92/53*0001*00,H002G00,NKAA24,1,
1,e1*92/53*0001*00,H002G00,NKAA25,1,
1,e1*92/53*0001*00,H002G00,NLAA24,1,
1,e1*92/53*0001*00,H002G00,NLAA25,1,
1,e1*92/53*0001*00,H010A00,CEAA24,1,
1,e1*92/53*0001*00,H010A00,CEAA25,1,
1,e1*92/53*0001*00,H010A00,CFAA24,1,
1,e1*92/53*0001*00,H010A00,CFAA25,1,
1,e1*92/53*0001*00,H010A00,NMAA24,1,
1,e1*92/53*0001*00,H010A00,NMAA25,1,
1,e1*92/53*0001*00,H010G00,CEAA24,1,
1,e1*92/53*0001*00,H010G00,CEAA25,1,
1,e1*92/53*0001*00,H010G00,CFAA24,1,
1,e1*92/53*0001*00,H010G00,CFAA25,1,
1,e1*92/53*0001*00,H010G00,NMAA24,1,
1,e1*92/53*0001*00,H010G00,NMAA25,1,
1,e1*92/53*0001*00,H034C00,CBAA24,1,
1,e1*92/53*0001*00,H034C00,CBAA25,1,
1,e1*92/53*0001*00,H034C00,CCAA24,1,
1,e1*92/53*0001*00,H034C00,CCAA25,1,
1,e1*92/53*0001*00,H034C00,NKAA24,1,
1,e1*92/53*0001*00,H034C00,NKAA25,1,
1,e1*92/53*0001*00,H034C00,NLAA24,1,
1,e1*92/53*0001*00,H034C00,NLAA25,1,
1,e1*92/53*0001*00,H036D01,CEAA24,1,
1,e1*92/53*0001*00,H036D01,CEAA25,1,
1,e1*92/53*0001*00,H036D01,NMAA24,1,
1,e1*92/53*0001*00,H036D01,NMAA25,1,
1,e1*92/53*0001*00,H036D02,CEAA24,1,
1,e1*92/53*0001*00,H036D02,CEAA25,1,
1,e1*92/53*0001*00,H036D02,NMAA24,1,
1,e1*92/53*0001*00,H036D02,NMAA25,1,
1,e1*92/53*0001*00,H053F00,EEAA24,1,
1,e1*92/53*0001*00,H053F00,EEAA25,1,
1,e1*92/53*0001*00,H053F00,NPAA24,1,
1,e1*92/53*0001*00,H053F00,NPAA25,1,
1,e1*92/53*0001*01,H002A00,CBAA24,1,
1,e1*92/53*0001*01,H002A00,CBAA25,1,
1,e1*92/53*0001*01,H002A00,CCAA24,1,
1,e1*92/53*0001*01,H002A00,CCAA25,1,
1,e1*92/53*0001*01,H002A00,NKAA24,1,
1,e1*92/53*0001*01,H002A00,NKAA25,1,
1,e1*92/53*0001*01,H002A00,NLAA24,1,
1,e1*92/53*0001*01,H002A00,NLAA25,1,
1,e1*92/53*0001*01,H002G00,CBAA24,1,
1,e1*92/53*0001*01,H002G00,CBAA25,1,
1,e1*92/53*0001*01,H002G00,CCAA24,1,
1,e1*92/53*0001*01,H002G00,CCAA25,1,
1,e1*92/53*0001*01,H002G00,NKAA24,1,
1,e1*92/53*0001*01,H002G00,NKAA25,1,
1,e1*92/53*0001*01,H002G00,NLAA24,1,
1,e1*92/53*0001*01,H002G00,NLAA25,1,
1,e1*92/53*0001*01,H004A00,CBAA24,1,
1,e1*92/53*0001*01,H004A00,CBAA25,1,
1,e1*92/53*0001*01,H004A00,CCAA24,1,
1,e1*92/53*0001*01,H004A00,CCAA25,1,
1,e1*92/53*0001*01,H004A00,NKAA24,1,
1,e1*92/53*0001*01,H004A00,NKAA25,1,
1,e1*92/53*0001*01,H004A00,NLAA24,1,
1,e1*92/53*0001*01,H004A00,NLAA25,1,
1,e1*92/53*0001*01,H004G00,CBAA24,1,
1,e1*92/53*0001*01,H004G00,CBAA25,1,
1,e1*92/53*0001*01,H004G00,CCAA24,1,
1,e1*92/53*0001*01,H004G00,CCAA25,1,
1,e1*92/53*0001*01,H004G00,NKAA24,1,
1,e1*92/53*0001*01,H004G00,NKAA25,1,
1,e1*92/53*0001*01,H004G00,NLAA24,1,
1,e1*92/53*0001*01,H004G00,NLAA25,1,
1,e1*92/53*0001*01,H010A00,CEAA24,1,
1,e1*92/53*0001*01,H010A00,CEAA25,1,
1,e1*92/53*0001*01,H010A00,CFAA24,1,
1,e1*92/53*0001*01,H010A00,CFAA25,1,
1,e1*92/53*0001*01,H010A00,NMAA24,1,
1,e1*92/53*0001*01,H010A00,NMAA25,1,
1,e1*92/53*0001*01,H010G00,CEAA24,1,
1,e1*92/53*0001*01,H010G00,CEAA25,1,
1,e1*92/53*0001*01,H010G00,CFAA24,1,
1,e1*92/53*0001*01,H010G00,CFAA25,1,
1,e1*92/53*0001*01,H010G00,NMAA24,1,
1,e1*92/53*0001*01,H010G00,NMAA25,1,
1,e1*92/53*0001*01,H034C00,CBAA24,1,
1,e1*92/53*0001*01,H034C00,CBAA25,1,
1,e1*92/53*0001*01,H034C00,CCAA24,1,
1,e1*92/53*0001*01,H034C00,CCAA25,1,
1,e1*92/53*0001*01,H034C00,NKAA24,1,
1,e1*92/53*0001*01,H034C00,NKAA25,1,
1,e1*92/53*0001*01,H034C00,NLAA24,1,
1,e1*92/53*0001*01,H034C00,NLAA25,1,
1,e1*92/53*0001*01,H036D01,CEAA24,1,
1,e1*92/53*0001*01,H036D01,CEAA25,1,
1,e1*92/53*0001*01,H036D01,NMAA24,1,
1,e1*92/53*0001*01,H036D01,NMAA25,1,
1,e1*92/53*0001*01,H036D02,CEAA24,1,
1,e1*92/53*0001*01,H036D02,CEAA25,1,
1,e1*92/53*0001*01,H036D02,NMAA24,1,
1,e1*92/53*0001*01,H036D02,NMAA25,1,
1,e1*92/53*0001*01,H053F00,EEAA24,1,
1,e1*92/53*0001*01,H053F00,EEAA25,1,
1,e1*92/53*0001*01,H053F00,NPAA24,1,
1,e1*92/53*0001*01,H053F00,NPAA25,1,
1,e1*92/53*0001*02,H002A00,CBAA24,1,
1,e1*92/53*0001*02,H002A00,CBAA25,1,
1,e1*92/53*0001*02,H002A00,CCAA24,1,
1,e1*92/53*0001*02,H002A00,CCAA25,1,
1,e1*92/53*0001*02,H002A00,NKAA24,1,
1,e1*92/53*0001*02,H002A00,NKAA25,1,
1,e1*92/53*0001*02,H002A00,NLAA24,1,
1,e1*92/53*0001*02,H002A00,NLAA25,1,
1,e1*92/53*0001*02,H002G00,CBAA24,1,
1,e1*92/53*0001*02,H002G00,CBAA25,1,
1,e1*92/53*0001*02,H002G00,CCAA24,1,
1,e1*92/53*0001*02,H002G00,CCAA25,1,
1,e1*92/53*0001*02,H002G00,NKAA24,1,
1,e1*92/53*0001*02,H002G00,NKAA25,1,
1,e1*92/53*0001*02,H002G00,NLAA24,1,
1,e1*92/53*0001*02,H002G00,NLAA25,1,
1,e1*92/53*0001*02,H004A00,CBAA24,1,
1,e1*92/53*0001*02,H004A00,CBAA25,1,
1,e1*92/53*0001*02,H004A00,CCAA24,1,
