FID,length,filenaam,br_links,br_rechts,vliegdatum,stroken,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_kust_2007.1,1735.39,ameland2_03,63.09999847,-45.90000153,27-3-2007,1,,,"LINESTRING (171307.7969999984 604681.75, 170128.438000001 605954.813000001)"
vlieglijnen_kust_2007.2,3476.294,ameland2_04,209.19999695,-178.80000305,27-3-2007,2,,,"LINESTRING (172074.563000001 604051.75, 169773.9690000005 606657.875)"
vlieglijnen_kust_2007.3,5781.997,ameland2_05,211.30000305,-418.5,27-3-2007,3,,,"LINESTRING (173614.8280000016 602778.188000001, 169723.7659999989 607055)"
vlieglijnen_kust_2007.4,6272.986,ameland2_06,198.6000061,-219.6000061,27-3-2007,4,,,"LINESTRING (174045.25 602709.25, 169840.6090000011 607364.5)"
vlieglijnen_kust_2007.5,5633.439,ameland2_07,212.8999939,-376.8999939,27-3-2007,5,,,"LINESTRING (173798.2340000011 603379.5, 170025.2340000011 607562.813000001)"
vlieglijnen_kust_2007.6,6490.887,ameland2_08,194.30000305,-191,27-3-2007,6,,,"LINESTRING (174581.2340000011 602940.813000001, 170238.9059999995 607765.313000001)"
vlieglijnen_kust_2007.7,5613.445,ameland2_09,186.80000305,-291.3999939,27-3-2007,7,,,"LINESTRING (174173.1559999995 603779.375, 170433.5 607965.75)"
vlieglijnen_kust_2007.8,3709.917,ameland2_10,332.1000061,-375.5,27-3-2007,8,,,"LINESTRING (174607.2030000016 603573.875, 172447 606590)"
vlieglijnen_kust_2007.9,4037.877,ameland2_11,511.70001221,-559.79998779,27-3-2007,9,,,"LINESTRING (175369.2030000016 603400.938000001, 172610.7030000016 606349.688000001)"
vlieglijnen_kust_2007.10,1799.604,ameland_02,109.40000153,-169.69999695,27-3-2007,10,,,"LINESTRING (173556.0469999984 609379.25, 171759.2659999989 609278.5)"
vlieglijnen_kust_2007.11,3942.478,ameland_03,194.19999695,-217.5,27-3-2007,11,,,"LINESTRING (175350.6090000011 609189.25, 171408.9530000016 609108.75)"
vlieglijnen_kust_2007.12,5297.2,ameland_04,192.5,-200.80000305,27-3-2007,12,,,"LINESTRING (176402.4690000005 609006.75, 171109.2340000011 608801.813000001)"
vlieglijnen_kust_2007.13,367.834,ameland_05,11.19999981,-20.70000076,27-3-2007,13,,,"LINESTRING (189518.9530000016 609431.625, 189152.813000001 609396.375)"
vlieglijnen_kust_2007.14,22323.141,ameland_06,194.69999695,-207.1000061,27-3-2007,14,,,"LINESTRING (193072.063000001 609372.875, 170765.4690000005 608513.5)"
vlieglijnen_kust_2007.15,23185.777,ameland_07,189.80000305,-214.80000305,27-3-2007,15,,,"LINESTRING (193698.875 609208.938000001, 170535.2969999984 608194.563000001)"
vlieglijnen_kust_2007.16,23633.551,ameland_08,194.69999695,-216.19999695,27-3-2007,16,,,"LINESTRING (193911.0940000005 608955.063000001, 170300.313000001 607917.875)"
vlieglijnen_kust_2007.17,23990.932,ameland_09,252,-213.3999939,27-3-2007,17,,,"LINESTRING (193923.0309999995 608682.938000001, 169954.875 607637.813000001)"
vlieglijnen_kust_2007.18,24000.275,ameland_10,697.59997559,-613.29998779,27-3-2007,18,,,"LINESTRING (193834.875 608398.438000001, 169856.938000001 607363.188000001)"
vlieglijnen_kust_2007.19,24000.275,ameland_11,697.59997559,-613.29998779,27-3-2007,19,,,"LINESTRING (193834.875 608398.438000001, 169856.938000001 607363.188000001)"
vlieglijnen_kust_2007.20,3666.256,ameland_13,266.8999939,-195.3999939,27-3-2007,20,,,"LINESTRING (193782.2340000011 608113.438000001, 190117.2809999995 608015.688000001)"
vlieglijnen_kust_2007.21,3856.508,ameland_15,226.8999939,-187.6000061,27-3-2007,21,,,"LINESTRING (193583.4690000005 607852.563000001, 189730.3280000016 607691.438000001)"
vlieglijnen_kust_2007.22,4322.338,ameland_17,940.79998779,-709.90002441,27-3-2007,22,,,"LINESTRING (193057.8440000005 607266.5, 189040.063000001 608860.25)"
