objectid;locatieid;locatie;lopend_gem;jrgem_2010;jrgem_2011;jrgem_2012;jrgem_2013;jrgem_2014;jrgem_2015;jrgem_2016;jrgem_2017;jrgem_2018;jrgem_2019;jrgem_2020;jrgem_2021;jrgem_2022;jrgem_2023;jrgem_2024;jrgem_2025;jrgem_2026;jrgem_2027;jrgem_2028;jrgem_2029;jrgem_2030;geo_shape;geo_point_2d
327;18;Spijndhof (de Bergen);15;25;25;23;23;21;20;19;20;18;18;14;14;0;0;0;0;;;;;;"{""coordinates"": [5.47458398660303, 51.437499438093425], ""type"": ""Point""}";51.437499438093425, 5.47458398660303
321;12;Rouenlaan (Achtse barrier);16;28;27;26;25;23;22;22;23;21;19;15;15;0;0;0;0;;;;;;"{""coordinates"": [5.446971284675929, 51.49281510890626], ""type"": ""Point""}";51.49281510890626, 5.446971284675929
329;20;Insulindelaan (Ring);19;32;29;28;28;27;25;25;25;24;22;16;16;0;0;0;0;;;;;;"{""coordinates"": [5.494594064830358, 51.45175670652173], ""type"": ""Point""}";51.45175670652173, 5.494594064830358
338;29;Genovevalaan (RIVM meetpunt);19;35;34;32;30;29;26;26;25;23;23;17;18;0;0;0;0;;;;;;"{""coordinates"": [5.472283654087984, 51.46876371060275], ""type"": ""Point""}";51.46876371060275, 5.472283654087984
39;2;Leenderweg (binnen Ring);19;33;36;33;30;31;29;28;28;25;24;18;19;0;0;0;0;;;;;;"{""coordinates"": [5.491023539659272, 51.42530627897835], ""type"": ""Point""}";51.42530627897835, 5.491023539659272
339;30;Noordbrabantlaan (RIVM meetpunt);21;38;38;35;34;33;31;30;29;26;25;19;21;0;0;0;0;;;;;;"{""coordinates"": [5.444764319103526, 51.44419659551281], ""type"": ""Point""}";51.44419659551281, 5.444764319103526
345;36;Mauritsstraat B;22;0;35;35;33;32;29;29;29;27;25;19;22;0;0;0;0;;;;;;"{""coordinates"": [5.470152216579902, 51.43632516485014], ""type"": ""Point""}";51.43632516485014, 5.470152216579902
346;37;Vestdijk 2d;22;0;0;0;0;0;38;39;37;31;24;19;21;0;0;0;0;;;;;;"{""coordinates"": [5.47939375781233, 51.44056985420932], ""type"": ""Point""}";51.44056985420932, 5.47939375781233
323;14;Botenlaan (Ring);23;40;38;37;34;34;33;32;31;29;28;22;23;0;0;0;0;;;;;;"{""coordinates"": [5.45131435313653, 51.437730314480035], ""type"": ""Point""}";51.437730314480035, 5.45131435313653
41;4;Leenderweg (buiten Ring);24;38;42;38;37;38;34;34;33;32;30;24;24;0;0;0;0;;;;;;"{""coordinates"": [5.495383653580532, 51.42074504454155], ""type"": ""Point""}";51.42074504454155, 5.495383653580532
333;24;Maaseikstraat (H.Dunantpark);12;22;21;20;19;18;17;16;17;15;14;12;12;0;0;0;0;;;;;;"{""coordinates"": [5.473253210247097, 51.4791898330412], ""type"": ""Point""}";51.4791898330412, 5.473253210247097
38;1;Sterrenlaan;13;30;28;26;22;21;20;19;19;17;17;12;14;0;0;0;0;;;;;;"{""coordinates"": [5.491766691656577, 51.46724674207094], ""type"": ""Point""}";51.46724674207094, 5.491766691656577
47;10;Amstelstraat (Acht);14;26;24;23;22;20;19;19;19;18;18;13;14;0;0;0;0;;;;;;"{""coordinates"": [5.429781830102228, 51.481092501801726], ""type"": ""Point""}";51.481092501801726, 5.429781830102228
336;27;Grasland (Meerhoven);15;28;27;25;23;23;20;20;20;19;18;14;14;0;0;0;0;;;;;;"{""coordinates"": [5.416439551313597, 51.44006341235461], ""type"": ""Point""}";51.44006341235461, 5.416439551313597
40;3;Boschdijk (buiten Ring noord);18;31;29;27;26;25;23;23;23;21;20;16;17;0;0;0;0;;;;;;"{""coordinates"": [5.437035016901425, 51.47905817961743], ""type"": ""Point""}";51.47905817961743, 5.437035016901425
48;11;Twickel (Ooienvaartsnest);18;29;32;31;28;28;28;25;27;23;23;17;18;0;0;0;0;;;;;;"{""coordinates"": [5.431429538390617, 51.413703843754185], ""type"": ""Point""}";51.413703843754185, 5.431429538390617
45;8;Karel de Grotelaan;19;28;29;29;27;25;25;24;24;22;21;18;19;0;0;0;0;;;;;;"{""coordinates"": [5.459194046889786, 51.427577488403045], ""type"": ""Point""}";51.427577488403045, 5.459194046889786
330;21;Vestdijk (binnenring);21;36;34;33;31;29;27;27;26;24;23;18;20;0;0;0;0;;;;;;"{""coordinates"": [5.481835284884376, 51.438851058544614], ""type"": ""Point""}";51.438851058544614, 5.481835284884376
42;5;Aalsterweg (buiten Ring);22;42;40;40;37;37;32;32;31;29;27;20;21;0;0;0;0;;;;;;"{""coordinates"": [5.4849344909286915, 51.421985735688544], ""type"": ""Point""}";51.421985735688544, 5.4849344909286915
325;16;Jeroen Boschlaan (Ring);26;45;41;39;37;37;34;33;35;32;31;24;26;0;0;0;0;;;;;;"{""coordinates"": [5.5044166312035205, 51.43925298478845], ""type"": ""Point""}";51.43925298478845, 5.5044166312035205
344;35;John F. Kennedylaan B;26;0;40;42;38;39;36;34;37;31;33;25;27;0;0;0;0;;;;;;"{""coordinates"": [5.485939924395987, 51.45475759110215], ""type"": ""Point""}";51.45475759110215, 5.485939924395987
337;28;Referentiepunt ZW (buitengebied Waalre);10;18;15;17;16;14;14;14;14;14;13;10;9;0;0;0;0;;;;;;"{""coordinates"": [5.462934598628906, 51.394236033605836], ""type"": ""Point""}";51.394236033605836, 5.462934598628906
335;26;Eijerven (Putten);11;20;21;19;18;17;16;16;17;15;14;11;11;0;0;0;0;;;;;;"{""coordinates"": [5.5136058553387075, 51.41808400929456], ""type"": ""Point""}";51.41808400929456, 5.5136058553387075
334;25;Donk (Tongelre);13;23;22;21;20;19;19;18;19;16;16;13;13;0;0;0;0;;;;;;"{""coordinates"": [5.523431446900151, 51.44445471565375], ""type"": ""Point""}";51.44445471565375, 5.523431446900151
322;13;Vesaliuslaan (Kortonjo);14;28;27;27;24;23;22;21;20;18;17;13;14;0;0;0;0;;;;;;"{""coordinates"": [5.483506893130736, 51.413160031206196], ""type"": ""Point""}";51.413160031206196, 5.483506893130736
328;19;Fuutlaan;15;27;26;25;23;23;22;21;22;18;18;13;15;0;0;0;0;;;;;;"{""coordinates"": [5.48962523168767, 51.44289835711257], ""type"": ""Point""}";51.44289835711257, 5.48962523168767
44;7;Boschdijk (buiten Ring zuid);19;31;31;30;28;27;25;25;25;23;22;18;18;0;0;0;0;;;;;;"{""coordinates"": [5.460591047762822, 51.45581002791683], ""type"": ""Point""}";51.45581002791683, 5.460591047762822
331;22;Wal / Keizersgracht (binnenring);21;42;39;38;34;35;33;32;30;28;26;18;20;0;0;0;0;;;;;;"{""coordinates"": [5.479110955724393, 51.435842035530385], ""type"": ""Point""}";51.435842035530385, 5.479110955724393
326;17;Leostraat (Ring);22;38;35;33;32;31;29;28;28;27;24;20;21;0;0;0;0;;;;;;"{""coordinates"": [5.491293604171709, 51.42393975803498], ""type"": ""Point""}";51.42393975803498, 5.491293604171709
332;23;Mauritsstraat (westtangent);23;38;32;31;29;32;27;29;30;29;28;21;23;0;0;0;0;;;;;;"{""coordinates"": [5.471013622953916, 51.43551556702005], ""type"": ""Point""}";51.43551556702005, 5.471013622953916
46;9;Eisenhouwerlaan;25;37;38;38;35;36;33;32;33;30;30;25;25;0;0;0;0;;;;;;"{""coordinates"": [5.5203237251976285, 51.45404922041589], ""type"": ""Point""}";51.45404922041589, 5.5203237251976285
43;6;Kennedylaan;36;50;53;54;48;47;46;44;48;43;42;33;35;0;0;0;0;;;;;;"{""coordinates"": [5.4858393489654285, 51.45482059698455], ""type"": ""Point""}";51.45482059698455, 5.4858393489654285
