FID,datum,se_anno_cad_data
dtb2000_2000_2007_omhullende.1,1990-04-28T00:00:00,
dtb2000_2000_2007_omhullende.2,1992-05-14T00:00:00,
dtb2000_2000_2007_omhullende.3,1998-11-12T00:00:00,
dtb2000_2000_2007_omhullende.4,1998-11-21T00:00:00,
dtb2000_2000_2007_omhullende.5,1999-03-05T00:00:00,
dtb2000_2000_2007_omhullende.6,1999-03-16T00:00:00,
dtb2000_2000_2007_omhullende.19,2001-11-16T00:00:00,
dtb2000_2000_2007_omhullende.20,2001-11-30T00:00:00,
dtb2000_2000_2007_omhullende.7,2000-04-01T00:00:00,
dtb2000_2000_2007_omhullende.8,2000-04-14T00:00:00,
dtb2000_2000_2007_omhullende.9,2000-05-20T00:00:00,
dtb2000_2000_2007_omhullende.10,2000-08-24T00:00:00,
dtb2000_2000_2007_omhullende.11,2001-01-09T00:00:00,
dtb2000_2000_2007_omhullende.12,2001-01-15T00:00:00,
dtb2000_2000_2007_omhullende.13,2001-02-22T00:00:00,
dtb2000_2000_2007_omhullende.14,2001-04-07T00:00:00,
dtb2000_2000_2007_omhullende.15,2001-04-20T00:00:00,
dtb2000_2000_2007_omhullende.16,2001-05-21T00:00:00,
dtb2000_2000_2007_omhullende.17,2001-10-08T00:00:00,
dtb2000_2000_2007_omhullende.18,2001-11-15T00:00:00,
dtb2000_2000_2007_omhullende.21,2001-12-20T00:00:00,
dtb2000_2000_2007_omhullende.22,2002-01-22T00:00:00,
dtb2000_2000_2007_omhullende.23,2002-02-08T00:00:00,
dtb2000_2000_2007_omhullende.24,2002-02-22T00:00:00,
dtb2000_2000_2007_omhullende.29,2002-05-06T00:00:00,
dtb2000_2000_2007_omhullende.30,2002-05-29T00:00:00,
dtb2000_2000_2007_omhullende.25,2002-03-26T00:00:00,
dtb2000_2000_2007_omhullende.26,2002-03-30T00:00:00,
dtb2000_2000_2007_omhullende.27,2002-04-13T00:00:00,
dtb2000_2000_2007_omhullende.28,2002-04-14T00:00:00,
dtb2000_2000_2007_omhullende.31,2002-09-02T00:00:00,
dtb2000_2000_2007_omhullende.32,2002-12-03T00:00:00,
dtb2000_2000_2007_omhullende.33,2003-01-09T00:00:00,
dtb2000_2000_2007_omhullende.34,2003-03-06T00:00:00,
dtb2000_2000_2007_omhullende.35,2003-03-17T00:00:00,
