FID,fotonaam,fotonummer,fotodatum,fototijd,camera,diafragma,sluitertijd,x,y,z,roll,pitch,yaw,gdb_geomattr_data,shape
beeldmiddenoverzicht_hrl_2020.1,2020_04_19_12_35_16_101016307_RGB_hrl,101016307,2020-04-19,12:35:16,431S11383X716118-f210-Rev01,8,175,137768.559,533456.091,4290.218,0.1741,0.3433,-179.8241,,POINT (137768.55900000036 533456.0909999982)
beeldmiddenoverzicht_hrl_2020.2,2020_04_19_12_35_19_101016308_RGB_hrl,101016308,2020-04-19,12:35:19,431S11383X716118-f210-Rev01,8,175,137510.493,533453.185,4290.675,0.8546,1.212,-179.7396,,POINT (137510.49300000072 533453.1849999987)
beeldmiddenoverzicht_hrl_2020.3,2020_04_19_12_35_23_101016309_RGB_hrl,101016309,2020-04-19,12:35:23,431S11383X716118-f210-Rev01,8,175,137251.693,533449.526,4292.403,-1.0581,1.3987,-179.6387,,POINT (137251.69299999997 533449.5260000005)
beeldmiddenoverzicht_hrl_2020.4,2020_04_19_12_35_26_101016310_RGB_hrl,101016310,2020-04-19,12:35:26,431S11383X716118-f210-Rev01,8,175,136994.496,533448.757,4294.897,-0.3549,1.1218,-179.623,,POINT (136994.49599999934 533448.7569999993)
beeldmiddenoverzicht_hrl_2020.5,2020_04_19_12_35_29_101016311_RGB_hrl,101016311,2020-04-19,12:35:29,431S11383X716118-f210-Rev01,8,175,136731.598,533450.657,4298.888,0.6228,0.9359,-179.5655,,POINT (136731.59800000116 533450.6570000015)
beeldmiddenoverzicht_hrl_2020.6,2020_04_19_12_35_33_101016312_RGB_hrl,101016312,2020-04-19,12:35:33,431S11383X716118-f210-Rev01,8,175,136476.709,533451.462,4301.271,0.381,0.894,-179.6378,,POINT (136476.70899999887 533451.4620000012)
beeldmiddenoverzicht_hrl_2020.7,2020_04_19_12_35_36_101016313_RGB_hrl,101016313,2020-04-19,12:35:36,431S11383X716118-f210-Rev01,8,175,136215.649,533451.29,4305.199,1.0969,1.3504,-179.6536,,POINT (136215.6490000002 533451.2899999991)
beeldmiddenoverzicht_hrl_2020.8,2020_04_19_12_35_40_101016314_RGB_hrl,101016314,2020-04-19,12:35:40,431S11383X716118-f210-Rev01,8,175,135955.225,533448.887,4306.959,0.5957,1.0863,-179.6078,,POINT (135955.2250000015 533448.8869999982)
beeldmiddenoverzicht_hrl_2020.9,2020_04_19_12_35_43_101016315_RGB_hrl,101016315,2020-04-19,12:35:43,431S11383X716118-f210-Rev01,8,175,135700.236,533444.183,4304.019,-0.5478,0.9865,-179.8145,,POINT (135700.23600000143 533444.1829999983)
beeldmiddenoverzicht_hrl_2020.10,2020_04_19_12_35_47_101016316_RGB_hrl,101016316,2020-04-19,12:35:47,431S11383X716118-f210-Rev01,8,175,135435.069,533444.696,4298.058,-0.9693,2.322,-179.8167,,POINT (135435.06899999827 533444.6959999986)
beeldmiddenoverzicht_hrl_2020.11,2020_04_19_12_35_50_101016317_RGB_hrl,101016317,2020-04-19,12:35:50,431S11383X716118-f210-Rev01,8,175,135183.036,533452.311,4294.93,-0.1033,0.6416,-179.4993,,POINT (135183.03599999845 533452.3110000007)
beeldmiddenoverzicht_hrl_2020.12,2020_04_19_12_35_53_101016318_RGB_hrl,101016318,2020-04-19,12:35:53,431S11383X716118-f210-Rev01,8,175,134922.519,533461.825,4296.693,0.7766,1.2153,-179.531,,POINT (134922.51900000125 533461.8249999993)
