Datum,Week,Maand,Dag,Musis_Kwartier,Gelerijdersplein,Kronenburg
20170101,52,januari,zondag,0,0,0
20170102,1,januari,maandag,407,327,388
20170103,1,januari,dinsdag,417,370,353
20170104,1,januari,woensdag,402,306,324
20170105,1,januari,donderdag,435,336,343
20170106,1,januari,vrijdag,314,279,363
20170107,1,januari,zaterdag,148,31,100
20170108,1,januari,zondag,0,0,0
20170109,2,januari,maandag,220,153,328
20170110,2,januari,dinsdag,322,217,431
20170111,2,januari,woensdag,186,258,319
20170112,2,januari,donderdag,275,210,322
20170113,2,januari,vrijdag,124,118,170
20170114,2,januari,zaterdag,310,154,164
20170115,2,januari,zondag,240,182,0
20170116,3,januari,maandag,112,120,192
20170117,3,januari,dinsdag,184,128,292
20170118,3,januari,woensdag,184,162,294
20170119,3,januari,donderdag,271,223,324
20170120,3,januari,vrijdag,477,305,347
20170121,3,januari,zaterdag,575,365,338
20170122,3,januari,zondag,127,134,0
20170123,4,januari,maandag,189,212,246
20170124,4,januari,dinsdag,202,171,289
20170125,4,januari,woensdag,255,243,364
20170126,4,januari,donderdag,255,252,385
20170127,4,januari,vrijdag,419,319,448
20170128,4,januari,zaterdag,674,413,432
20170129,4,januari,zondag,303,197,168
20170130,5,januari,maandag,145,146,297
20170131,5,januari,dinsdag,303,118,397
20170201,5,februari,woensdag,302,276,461
20170202,5,februari,donderdag,395,385,456
20170203,5,februari,vrijdag,577,454,442
20170204,5,februari,zaterdag,703,508,409
20170205,5,februari,zondag,209,201,0
20170206,6,februari,maandag,254,212,330
20170207,6,februari,dinsdag,235,180,255
20170208,6,februari,woensdag,240,176,323
20170209,6,februari,donderdag,250,285,333
20170210,6,februari,vrijdag,344,216,297
20170211,6,februari,zaterdag,346,174,221
20170212,6,februari,zondag,430,340,0
20170213,7,februari,maandag,220,236,312
20170214,7,februari,dinsdag,269,287,446
20170215,7,februari,woensdag,421,384,497
20170216,7,februari,donderdag,286,330,406
20170217,7,februari,vrijdag,423,283,433
20170218,7,februari,zaterdag,821,494,523
20170219,7,februari,zondag,275,173,0
