OBJECTID_1,PC5CODE,OBJECTID,pc5,TotaalVastgoedbjecten,TotaalVastgoedobjectenElektra,TotaalVastgoedobjectenGas,TotaalCO2uitstootKg,TotaalVerbruikElektrakWh,TotaalVerbruikGasM3,AantalVastgoedobjectenParticuli,AantalVastgoedobjectenElektraPa,AantalVastgoedobjectenGasPartic,CO2uitstootParticulierKg,VerbruikElektraParticulierkWh,VerbruikGasParticulierM3,GemiddeldeCO2UitstootParticulie,GemiddeldVerbruikElektraParticu,GemiddeldVerbruikGasParticulier,AantalVastgoedobjectenZakelijk,AantalVastgoedobjectenElektraZa,AantalVastgoedobjectenGasZakeli,CO2UitstootZakelijkKg,VerbruikElektraZakelijkkWh,VerbruikGasZakelijkM3,GemiddeldeCO2uitstootZakelijkKg,GemiddeldVerbruikElektraZakelij,GemiddeldVerbruikGasZakelijkm3,AantalVastgoedobjectenOpwekZonn,OpwekZonneenergieKVkWh,AantalVastgoedobjectenOpwekOver,OpwekOverigkWh,ElektraverbruikPerHuishoudenkWh,GasverbruikPerHuishoudenKg,GasverbruikPerHuishouden_Jaar_G,GasverbruikPerZakelijkeAansluit,MaxSimpTol,MinSimpTol,Shape__Area,Shape__Length
1,2491A,5971,2491A,132,126,116,8435000,10685111,1197070,46,45,39,232937,235854,52687,5064,5241,1351,86,81,77,8202063,10449257,1144383,95373,129003,14862,3,,0,,4717.08,1053.74,42.75915,470.3823,25,25,475054.987876892,4114.14820830466
2,2491B,5972,2491B,107,95,89,18893596,21363376,3533261,13,10,11,60793,51914,16946,4676,5191,1541,94,85,78,18832803,21311462,3516315,200349,250723,45081,0,,0,,,,48.77265,1426.81365,25,25,1427606.61352158,11140.4141140486
3,2491C,5973,2491C,80,67,61,2540402,3481295,273280,24,14,23,136966,92570,46264,5707,6612,2011,56,53,38,2403436,3388725,227016,42919,63938,5974,1,,0,,,,63.64815,189.0771,25,25,121340.719482422,1991.55033480088
4,2491D,5974,2491D,53,52,48,1873115,2094016,358228,12,12,12,91722,92917,20731,7644,7743,1728,41,40,36,1781393,2001099,337497,43449,50027,9375,0,,1,,,,54.6912,296.71875,25,25,136768.297199249,3652.9812977416
5,2491E,5975,2491E,74,67,62,6394873,7528122,1097349,30,28,23,178330,124849,58803,5944,4459,2557,44,39,39,6216543,7403273,1038546,141285,189828,26629,0,,1,,1664.65333333333,784.04,80.92905,842.80785,25,25,1321680.80683517,6316.37391341887
6,2492J,5976,2492J,388,381,355,8129598,11630438,712157,272,266,262,721242,623199,198626,2652,2343,758,116,115,93,7408356,11007239,513531,63865,95715,5522,0,,0,,13848.8666666667,4413.91111111111,23.9907,174.7713,25,25,197722.366405487,2981.64304799475
7,2492K,5977,2492K,216,214,209,790987,800224,179132,177,175,176,548554,491516,145258,3099,2809,825,39,39,33,242433,308708,33874,6216,7916,1026,2,,0,,2397.63902439024,708.575609756098,26.11125,32.4729,25,25,75272.3945198059,1314.08833289288
8,2492L,5978,2492L,394,377,391,1700482,1557917,438939,318,306,317,1318736,1201189,342716,4147,3925,1081,76,71,74,381746,356728,96223,5023,5024,1300,15,35436.5,1,,3383.63098591549,965.397183098592,34.21365,41.145,25,25,170959.016605377,1726.06444840296
9,2492M,5979,2492M,440,422,431,2033746,1927989,503501,340,324,335,1449888,1341651,369839,4264,4141,1104,100,98,96,583858,586338,133662,5839,5983,1392,18,26239.5,0,,3049.20681818182,840.543181818182,34.9416,44.0568,25,25,236299.381343842,3155.42448146021
10,2492N,5980,2492N,560,541,550,2630784,2354716,697473,453,438,448,1850350,1616703,503649,4085,3691,1124,107,103,102,780434,738013,193824,7294,7165,1900,17,29350.5,0,,3201.39207920792,997.324752475248,35.5746,60.135,25,25,169471.652381897,2179.47808107604
11,2492P,5981,2492P,645,630,638,2652781,2418810,688586,536,529,534,1998513,1800901,525832,3729,3404,985,109,101,104,654268,617909,162754,6002,6118,1565,15,24598.15,0,,2976.6958677686,869.143801652893,31.17525,49.53225,25,25,238367.193664551,2644.67099918027
12,2492R,5982,2492R,450,440,446,1942533,1704335,526391,364,356,361,1541385,1349025,418798,4235,3789,1160,86,84,85,401148,355310,107593,4665,4230,1266,9,13209,1,,3031.51685393258,941.119101123596,36.714,40.0689,25,25,115123.934024811,1886.65677936801
13,2492S,5983,2492S,311,306,308,1253157,1152591,321982,258,255,255,981238,903248,251866,3803,3542,988,53,51,53,271919,249343,70116,5131,4889,1323,4,,0,,3169.29122807018,883.740350877193,31.2702,41.87295,25,25,122090.219200134,1761.10462788117
14,2492T,5984,2492T,427,418,423,2130764,1949166,550986,287,282,285,1334399,1184726,356972,4649,4201,1253,140,136,138,796365,764440,194014,5688,5621,1406,10,23766,0,,3077.21038961039,927.2,39.65745,44.4999,25,25,213404.98456192,4586.48982941108
15,2492V,5985,2492V,243,226,242,1028164,917106,273636,187,173,187,751475,672258,199350,4019,3886,1066,56,53,55,276689,244848,74286,4941,4620,1351,16,18759.5,1,,2860.67234042553,848.297872340426,33.7389,42.75915,25,25,67087.8360214233,1500.97782744465
16,2492W,5986,2492W,407,381,407,1759213,1573970,466613,312,293,312,1306718,1154603,351406,4188,3941,1126,95,88,95,452495,419367,115207,4763,4766,1213,26,39563.25,0,,2923.04556962025,889.635443037975,35.6379,38.39145,25,25,175140.14112854,3412.7551859129
17,2492Z,5987,2492Z,29,26,26,292949,191164,101215,13,13,11,101318,83166,29354,7794,6397,2669,16,13,15,191631,107998,71861,11977,8308,4791,3,,0,,3326.64,1174.16,84.47385,151.63515,25,25,135280.950611115,2834.84916649361
18,2493A,5988,2493A,383,377,382,1643947,1616181,387865,282,276,282,1136151,1087124,277948,4029,3939,986,101,101,100,507796,529057,109917,5028,5238,1099,6,11475,0,,3019.78888888889,772.077777777778,31.2069,34.78335,25,25,183879.620277405,2404.9234419173
19,2493B,5989,2493B,441,432,439,1772128,1707332,429664,339,333,339,1319135,1243237,329003,3891,3733,971,102,99,100,452993,464095,100661,4441,4688,1007,9,14818.05,0,,2960.0880952381,783.340476190476,30.73215,31.87155,25,25,126831.513626099,2303.06003354035
20,2493C,5990,2493C,557,545,551,2116396,1953061,541624,458,447,456,1635812,1450313,438274,3572,3245,961,99,98,95,480584,502748,103350,4854,5130,1088,11,27038.5,0,,3718.75128205128,1123.77948717949,30.41565,34.4352,25,25,109205.844089508,1408.107014857
21,2493Z,5991,2493Z,340,310,321,2157651,1939996,569131,219,202,211,1022614,863304,288351,4669,4274,1367,121,108,110,1135037,1076692,280780,9380,9969,2553,28,63238.3,1,,3083.22857142857,1029.825,43.26555,80.80245,25,25,536027.372058868,4748.45652185506
22,2495A,5992,2495A,299,279,253,4814419,5334394,936588,112,101,85,409878,331182,120495,3660,3279,1418,187,178,168,4404541,5003212,816093,23554,28108,4858,4,,0,,5519.7,2008.25,44.8797,153.7557,25,25,1701816.58984375,8930.36990298702
23,2496H,5993,2496H,431,431,0,1032266,1749603,,340,340,0,752788,1275912,,,3753,,91,91,0,279478,473691,,,5205,,8,17790.5,0,,3037.88571428571,,,,25,25,142844.133140564,1623.47080378813
24,2496L,5994,2496L,540,540,0,3398911,5760865,,430,430,0,816227,1383435,,,3217,,110,110,0,2582684,4377430,,,39795,,7,13039,0,,3502.36708860759,,,,25,25,204045.743869781,3628.38239181094
25,2496M,5995,2496M,369,369,2,,1362642,,289,289,2,,891129,,,3083,,80,80,0,278193,471513,,,5894,,5,,0,,2475.35833333333,,,,25,25,84595.9030380249,1761.26933229199
26,2496N,5996,2496N,343,343,0,736817,1248841,,259,259,0,523941,888035,,,3429,,84,84,0,212876,360806,,,4295,,7,12036,2,,2650.85074626866,,,,25,25,83964.2971878052,2019.99114001905
27,2496P,5997,2496P,400,400,0,972112,1647647,,323,323,0,681257,1154673,,,3575,,77,77,0,290855,492974,,,6402,,1,,0,,3038.61315789474,,,,25,25,104590.470012665,1961.31015200495
28,2496R,5998,2496R,203,203,0,1047094,1774735,,147,147,0,249715,423246,,,2879,,56,56,0,797379,1351489,,,24134,,0,,0,,2730.61935483871,,,,25,25,76831.7710533142,1436.7891762044
29,2496S,5999,2496S,367,367,2,,3545619,,274,274,2,,646562,,,2360,,93,93,0,1710443,2899057,,,31173,,0,,0,,2486.77692307692,,,,25,25,70616.179309845,1788.05385591466
30,2496T,6000,2496T,163,163,0,357328,605640,,133,133,0,257377,436232,,,3280,,30,30,0,99951,169408,,,5647,,0,,0,,2814.4,,,,25,25,17104.9906845093,997.448675649834
31,2496V,6001,2496V,355,355,2,,2517023,,215,215,0,618477,1048266,,,4876,,140,140,2,,1468757,,,10491,,12,22627,2,,2995.04571428571,,,,25,25,837062.674751282,6098.77650190946
32,2496W,6002,2496W,284,284,0,908465,1539772,,173,173,0,494123,837497,,,4841,,111,111,0,414342,702275,,,6327,,19,33196.75,0,,2991.06071428571,,,,25,25,128074.004039764,2360.93126176365
33,2497A,6003,2497A,523,523,0,1225912,2077816,,406,406,0,913437,1548198,,,3813,,117,117,0,312475,529618,,,4527,,12,17646,0,,3065.73861386139,,,,25,25,124199.293437958,1760.95092901616
34,2497B,6004,2497B,417,406,274,1580150,1663342,336392,323,317,223,1185670,1186855,272711,3671,3744,1223,94,89,51,394480,476487,63681,4197,5354,1249,18,43945,0,,2967.1375,681.7775,38.70795,39.53085,25,25,174811.743858337,3957.03149267069
35,2497C,6005,2497C,506,497,436,2486312,2515232,563104,390,384,330,1510151,1383701,389757,3872,3603,1181,116,113,106,976161,1131531,173347,8415,10014,1635,4,,1,,2882.71041666667,811.99375,37.37865,51.74775,25,25,113758.914581299,2310.16703648642
36,2497D,6006,2497D,485,470,343,2047356,2240983,407402,375,365,287,1303898,1213172,330408,3477,3324,1151,110,105,56,743458,1027811,76994,6759,9789,1375,15,30960.4,0,,2888.50476190476,786.685714285714,36.42915,43.51875,25,25,81871.5617637634,1399.52360374178
37,2497E,6007,2497E,80,80,0,289161,490104,,73,73,0,112424,190549,,,2610,,7,7,0,176737,299555,,,42794,,1,,0,,2722.12857142857,,,,25,25,30796.0106887817,792.097076569099
