OBJECTID,GUID,REF_FYSIEKE_SPOORTAK_PUIC,REF_FYSIEKE_SPOORTAK_NAAM,LENGTE,X_BEGIN,Y_BEGIN,Z_BEGIN,X_EIND,Y_EIND,Z_EIND,GEOCODE,SUBCODE,GEOCODE_NR,GEOSUBCODE,GEOCODE_NAAM,KMLINT,KMLINT_OMSCHRIJVING,KM_GEOCODE_VAN,KM_GEOCODE_VAN_T,KM_GEOCODE_TOT,KM_GEOCODE_TOT_T,BEHEERDER,ONDERHOUDSREGIO_NAAM,ONDERHOUDSREGIO_AFKORTING,TECHNIEKVELD,PGO_GEBIED_NAAM,PGO_GEBIED_NR,OPC_GEBIED_NAAM,OPC_GEBIED_NR,PCA,PRORAIL_GEBIED,REF_FUNC_SPOORTAK_NAAM_LANG
1,f7cbcde7-668a-4584-b43e-6b40fcc45a63,3a27e2b2-a311-47a4-abd2-e647bfdec966,421L,373.089681,187289.854,434870.555,9.604,187311.45883542,434498.09282317,9.70199771,512,a,512,512_a,Ressen = Bemmel,Ah-Vl,Arnhem - Venlo ,10.5,"10,500000",10.87019,"10,870190",ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,510_421L_10.4
2,d77f96ba-ba78-44a3-8013-58de1bee78a6,670b2fba-7139-46cc-af00-10a779add995,415L,730.439234,187315.439,434499.35,9.63100033,187365.77,433770.703,9.54800027,512,a,512,512_a,Ressen = Bemmel,Ah-Vl,Arnhem - Venlo ,10.868979,"10,868979",11.59997,"11,599970",ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,510_415L_10.3
3,db224ac6-78d3-4fa1-a24e-0fc5f7108257,c5cd9e16-5373-4c95-a706-b68c8ef7ddd1,223AV,35.388653,83871.662,432477.1,3.643,83906.877,432480.601,3.812,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",13.186009,"13,186009",13.150801,"13,150801",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_223AV_17.2
4,5715609f-a931-4e81-870c-c497a5ef7f6a,cef3bbc2-3095-4a26-bc4e-1bd21f0bd1f4,221V,917.172463,79942.59,431668.493,4.095,80855.31385202,431757.03113651,3.98683824,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",17.224518,"17,224518",16.306027,"16,306027",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_221V_17.2
5,9230e885-69f6-40de-9559-3b46e658d88a,a3a25fcc-19f8-498f-91cc-fa40fc491eda,1123BV,602.443111,107814.364,478385.435,0,107344.23293874,478010.86453918,-3.01325836,133,a,133,133_a,Amsterdam Riekerpolder - Warmond,Asra-Wmd,Amsterdam Riekerpolder Aansl. - Warmond ,19.282331,"19,282331",19.883918,"19,883918",ProRail,Randstad Noord,RN,Baan,Kennemerland,240,Haarlem,8,Strukton Rail,Noord-West,133_1123BV_19.3
6,ba505b40-2457-4da0-bcdb-fadad3a9e85b,ef15ee64-f5d2-45f2-a067-18999b7f0d49,875L,82.465221,96451.53909187,431993.02374363,-0.48338593,96489.029,431919.573,-0.347,664,b,664,664_b,Rotterdam Lombardijen,Bd-Rtd,Breda - Rotterdam Centraal ,41.382546,"41,382546",41.3,"41,300000",ProRail,Randstad Zuid,RZ,Baan,Dordrecht,140,Dordrecht,5,ASSET Rail,Zuid-Holland Zuid,664_875L_41.9
7,0ce22a26-1bff-429a-b142-4c1b8d9fb5c6,3a27e2b2-a311-47a4-abd2-e647bfdec966,421L,486.452688,187311.459,434498.09,9.702,187339.907,434012.475,9.548,512,a,512,512_a,Ressen = Bemmel,Ah-Vl,Arnhem - Venlo ,10.870193,"10,870193",11.357529,"11,357529",ProRail,Noord-Oost,NO,Baan,Gelre,400,Maas en Waal,28,ASSET Rail,Oost,510_421L_10.4
8,988cf1bd-4c38-42e8-be33-12041d3bb076,a1c5fa98-36c6-4bc5-9fd1-cb6c958759c3,271V,415.017743,83866.525,432489.101,3.789,83455.04256674,432438.86563544,3.61024953,950,a,950,950_a,Barendrecht Vork - Rotterdam Maasvlakte,Whz-Bot,"Rotterdam, Emplacement Waalhaven Zuid - Rotterdam, Botlek",13.189206,"13,189206",13.602839,"13,602839",ProRail,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,950_271V_13.2
9,a7573968-2c1a-4395-b233-ea57e5e60e9d,d7529bd6-01fc-48a1-a705-8484957c68e5,22R,61.639918,62144.85315566,440211.61577904,5.16079311,62124.232,440269.704,5.098,475,a,475,475_a,Rotterdam Maasvlakte,Mvt-Mvtm,"Rotterdam, Emplacement Maasvlakte - Maasvlakte Missouriweg ",1.412651,"1,412651",1.350809,"1,350809",Strukton Rail Short Line,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,475_22R_2.1
10,e6fa798f-32f5-4f77-9e84-da5bc14c62d7,d7529bd6-01fc-48a1-a705-8484957c68e5,22R,564.06703,62507.936,439821.474,4.917,62169.12910407,440143.14179186,5.15982772,475,a,475,475_a,Rotterdam Maasvlakte,Mvt-Mvtm,"Rotterdam, Emplacement Maasvlakte - Maasvlakte Missouriweg ",2.052619,"2,052619",1.485208,"1,485208",Strukton Rail Short Line,Randstad Zuid,RZ,Baan,Zee-Zevenaar,130,Europoort,4,VolkerRail,Zee-Zevenaar,475_22R_2.1
