Id,"Titel kunstwerk","Achternaam Kunstenaar","Voornaam Kunstenaar","Tussenvoegsel Kunstenaar",Jaartal,Collectie,Wijk,Adres,"Materiaal 1","Materiaal 2","Materiaal 3","Materiaal 4","Materiaal 5",latitude,longitude,Omschrijving,Samenvatting,"Foto 1","Foto 2","Foto 3","Foto 4","Foto 5"
16309,"De Bloemenkoopman",Levano,Heleen,,1977,Heiloo,Centrum,"Winkelcentrum 't Loo ",Brons,,,,,52.606029155995174,4.712346971500665,"<p>'De Bloemenkoopman' is het eerste grote beeld dat door Heleen Levano is gemaakt. Het silhouet van een marktman op de Westermarkt heeft als inspiratiebron gediend. Met haar beelden geeft de kunstenaar graag een indruk van het dagelijks leven.</p>",,http://beheer.kunstwacht.nl/cache/0/b/d/0bda3471637719c7b7750c68ffc08500_700_540.jpg,,,,
16310,"Drie Muzikantjes","Bakker (1937 - 2014)","Jits (Willem Frederik)",,1978,Heiloo,Vennewater,"'t Veld 1",Brons,,,,,52.59852164466822,4.693569601513445,"<p>Het beeld van de drie muzikantjes staat op een toepasselijke plek, de Muziekschool in Heiloo. Het is in 1978 door de gemeente Heiloo aangeschaft ter gelegenheid van de opening van de Muziekschool op de locatie 't Veld.</p>",,http://beheer.kunstwacht.nl/cache/b/d/e/bdef472b3efc7cb636fd40a9f1caa744_700_540.jpg,,,,
16311,"Het Geitje","Jonk (1931-1988)",Bert,,1992,Heiloo,Zuidoost,"De Hucht 2-4 ",Brons,,,,,52.589754236389695,4.711457253433764,"<p>'Het Geitje' is door de gemeente aangeschaft ter verfraaiing van het gebouw waar een wijkcentrum en twee scholen zijn gevestigd. Bert jonk heeft hiervoor een beeld van een geit ontworpenomdat een geit een leuk dier is voor kinderen. Het beeld is naast een bank geplaatst en is een duidelijk ontmoetingspunt geworden voor ouders, de schooljeugd en de gebruikers van het wijkcentrum.&nbsp;</p>",,http://beheer.kunstwacht.nl/cache/4/1/9/419134a4b64a408aa54019eec56c4172_700_540.jpg,,,,
16312,Hek,Strobos,Evert,,,Heiloo,"Het Die","Kanaalweg ",Cortenstaal,,,,,52.59499181699166,4.721219781786203,"<p>Het 'Hek' bij de rioolwaterzuivering is gemaakt in opdracht van de stichting Kunst en Bedrijf uit Amsterdam. De opdracht luidde dat het afsluitend moest zijn en goed van vormgeving.</p>",,http://beheer.kunstwacht.nl/cache/b/e/b/beb32bd5873d994562864d2b3130ea67_700_540.jpg,http://beheer.kunstwacht.nl/cache/4/0/c/40cebc2e97c84341c04b454871db1a98_700_540.jpg,,,
16313,"Herakles met Hydra","Jonk (1928-1994)",Nic,,1976,Heiloo,Vennewater,"Het Zevenhuizen ",Brons,,,,,52.59645815813084,4.686511997133493,"<p>&nbsp;'Herakles en Hydra' zijn personages uit de Griekse mythologie. Herakles moet in dit verhaal Hydra, een negenkoppige slang, doden. Zodra er een kop van Hydra werd afgeslagen groeide er twee nieuwe koppen. Uiteindelijk heeft Herakles de slang verslagen met behulp van zijn neef Lolaus.</p>",,http://beheer.kunstwacht.nl/cache/a/1/8/a18412aadb1dfd36ac4a96b7906c9db7_700_540.jpg,,,,
16314,"Het Kasteel",Gerlach,Toni,,1992,Heiloo,Zuidoost,"De Hucht ",Baksteen,,,,,52.590923532599405,4.711931229103357,"<p>'Het Kasteel' in Ypestein is een gemetseld kunstwerk dat vlak bij de basisscholen in Ypestein is geplaatst en is bestemd voor de jeugd als speel- en klimobject. Toni Gerlach heeft het eigenhandig gemaakt zonder ontwerp. De wijkvereniging heeft het in 1992 kunnen kopen dankzij een schenking van de Grosmarkt.</p>",,http://beheer.kunstwacht.nl/cache/5/d/7/5d792d8092bd44190a0542cafd269843_700_540.jpg,,,,
16315,"Kick it out",Hamelynck,Guusje,,,Heiloo,Zuidoost,"De Hucht ",Brons,,,,,52.58886386384684,4.711282134521753,"<p>Het beeld van drie dansende meisjes ofwel 'Kick it out' is door Bouwfonds Woningbouw aangeboden aan de gemeente Heiloo bij de afronding van de wijk Ypestein. Het beeld is bedoeld om de energie en vreugde van jonge mensen over te brengen op degene die ernaar kijkt.</p>",,http://beheer.kunstwacht.nl/cache/e/9/8/e98aee5295eaf388b142b448583eef4d_700_540.jpg,,,,
16316,Knooppunt,Wilmink,Truce,,2013,Heiloo,"Het Die","Kanaalweg ",Cortenstaal,,,,,52.595650658283276,4.719269396737218,"<p>Het kunstwerk 'Knooppunt' is (rond 1980) door Truce Wilmink gemaakt in opdracht van de toenmalige P.T.T. Het symboliseert de drie verschillende, maar met elkaar verbonden, functies van de P.T.T.: post, telefoon en telegraaf. Het kunstwerk heeft tot 2009 bij het postkantoor aan de Zeeweg gestaan. Het kunstwerk heeft moeten wijken voor een appartementencomplex en heeft in 2013 een nieuwe locatie gekregen.</p>",,http://beheer.kunstwacht.nl/cache/2/f/e/2fe0f0a28b75789e56762725e8469ab5_700_540.jpg,,,,
16317,"'t Loo",Hopman,W.,,,Heiloo,Centrum,"Winkelcentrum 't Loo ",Brons,,,,,52.60558156672749,4.712107898667455,,,http://beheer.kunstwacht.nl/cache/a/e/d/aed8477c9f578999dc05796e97d5a05d_700_540.jpg,,,,
16318,"De Man van Vught",Reyers,W.,,1973,Heiloo,Centrum,"Maas Geesteranusweg ",Brons,,,,,52.60176030284183,4.713573516346514,"<p>'De Man van Vught' is een beeld van een magere mannenfiguur met de handen op zijn rug gebonden. Het staat symbool voor de vrijheid. De uitgemergelde, geboeide man staat ondanks alles rechtop en geeft met zijn opgeheven hoofd uitdrukking aan trost en onverzettelijkheid.</p> <p>De jaarlijkse herdenking op 4 mei vindt plaats bij dit beeld omdat het herinnert aan de trosts en onverzettelijkheid van de mensen die gestreden hebben voor het heroveren van de vrijheid.</p>",,http://beheer.kunstwacht.nl/cache/5/0/f/50f7794606a49500040648b12529d771_700_540.jpg,http://beheer.kunstwacht.nl/cache/c/d/2/cd21d7ee0fc7834712582e4eb2e61816_700_540.jpg,,,
