sAssetTypeName,sAssetLocationName,sLocationIdent,latitude,longitude,sName
Duikelrek - meerdelig,01.02.718 Weverstraat 35,01.02.718,51.86591,4.660818,Duikelsolo
Type 2A - Enkelpunts - 1 richting,01.02.718 Weverstraat 35,01.02.718,51.86593,4.660763,Zwaan
Rubbertegels 30x30,01.02.718 Weverstraat 35,01.02.718,0,0,Hobbeleend ondergrond
Rubbertegels 50x50,01.02.718 Weverstraat 35,01.02.718,0,0,Combo ondergrond
Rubbertegels 50x50,01.02.718 Weverstraat 35,01.02.718,0,0,Duikelsolo ondergrond
Rubbertegels 30x30,01.02.718 Weverstraat 35,01.02.718,0,0,Zwaan ondergrond
Type 2A - Enkelpunts - 1 richting,01.02.718 Weverstraat 35,01.02.718,51.86581,4.660955,Hobbeleend
Anders (Specifceer in veld),01.02.718 Weverstraat 35,01.02.718,51.86582,4.660895,Combo
Klimtoestellen,01.01.725 Lammetjeswiel 5 speelveld,01.01.725,51.86747,4.648752,Enif
Boomschors,01.01.725 Lammetjeswiel 5 speelveld,01.01.725,0,0,Enif ondergrond
Gras,01.01.725 Lammetjeswiel 5 speelveld,01.01.725,0,0,Super Nova ondergrond
Gras,01.01.725 Lammetjeswiel 5 speelveld,01.01.725,0,0,Miniplay ondergrond
Carrousel,01.01.725 Lammetjeswiel 5 speelveld,01.01.725,51.8674,4.648993,Super Nova
Vrijstaand - Type 1,01.01.725 Lammetjeswiel 5 speelveld,01.01.725,51.86742,4.648779,Miniplay glijbaan
Skateboard - Jump Box,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,51.87291,4.639662,Jump-box
Skateboard - Midi Ramp,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,51.87279,4.6397,Kwart-ramp (brug-zijde)
Skateboard - Anders,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,51.87293,4.639645,Flat wedge-Olliebox
Asfaltbeton,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,0,0,Jump-ramp Ondergrond
Asfaltbeton,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,0,0,Kwart-ramp (brug-zijde) Ondergrond
Asfaltbeton,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,0,0,Flat wedge-Olliebox ondergrond
Asfaltbeton,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,0,0,Piano ondergrond
Asfaltbeton,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,0,0,Jump-box Ondergrond
Skateboard - Midi Ramp,01.01.709 Rijnstraat 434 Skateparkje,01.01.709,51.87294,4.6396,Kwart-ramp
Anders (specificeer in naam veld),01.01.709 Rijnstraat 434 Skateparkje,01.01.709,51.87286,4.639663,Piano
Carrousel,01.02.724 Seringstraat 2,01.02.724,51.86563,4.655375,Tourniquet
Balanceerbalk,01.02.724 Seringstraat 2,01.02.724,51.86562,4.655438,Twist
Anders (Specifceer in veld),01.02.724 Seringstraat 2,01.02.724,51.86562,4.655306,Combonatie
Rubbertegels 50x50,01.02.724 Seringstraat 2,01.02.724,0,0,Tourniquet ondergrond
Rubbertegels 50x50,01.02.724 Seringstraat 2,01.02.724,0,0,Combo ondergrond
Betontegels 30 x 30,01.02.724 Seringstraat 2,01.02.724,0,0,Twist ondergrond
Gras / grond,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Doelwand 2 ondergrond
Rubbertegels 50x50,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Jungleplay ondergrond
Betontegels 30 x 30,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Geelhuis ondergrond
Gras / grond,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Doelwand 1 ondergrond
Rubbertegels 30x30,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Zeehond ondergrond
Rubbertegels 50x50,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Klimbol ondergrond
Rubbertegels 50x50,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,0,0,Miniplay ondergrond
Frame,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.87192,4.654566,Miniplay
Frame,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.87179,4.654427,Klimbol
Combinatie - Kind,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.8718,4.654502,Jungleplay
Type 2A - Enkelpunts - 1 richting,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.87177,4.654357,Zeehond
Ballenvanger,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.8719,4.654461,Doelwand 1
Speelhuis,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.87188,4.654429,Geelhuis
Ballenvanger,01.01.730 Rietvoorn 16 ( achter de huizen),01.01.730,51.87192,4.654533,Doelwand 2
Type 1 - wip 1 richting,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,51.85222,4.670156,
Rubbertegels 50x50,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,0,0,Hondewip ondergrond
Anders (specificeer in naam veld),01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,51.85241,4.670242,Schommel
Rubbertegels 50x50,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,0,0,Schommel  ondergrond
Glijbaan aan huisje,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,51.85227,4.670085,Hooiberg
Rubbertegels 50x50,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,0,0,Hooiberg ondergrond
Tafeltennistafel,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,51.8522,4.669878,Tafeltennistafel
Betontegels 30 x 30,01.02.728 Staalindustrieweg (woonwagenkamp),01.02.728,0,0,Tafeltennistafel ondergrond
Speeltafel,01.02.701 De Spil 23 (achter huizen ),01.02.701,51.87138,4.658522,Klaverblad 6 stuks
Betontegels 30 x 30,01.02.701 De Spil 23 (achter huizen ),01.02.701,0,0,Klaverblad 6 stuks Ondergrond
Veiligheidsgras,01.02.701 De Spil 23 (achter huizen ),01.02.701,0,0,Kunstgras
Veiligheidsgras,01.02.701 De Spil 23 (achter huizen ),01.02.701,0,0,Mini Spica Ondergrond
Type 1 - Rotatie om 1 as,01.02.701 De Spil 23 (achter huizen ),01.02.701,51.87126,4.65834,
Combinatietoestellen,01.02.701 De Spil 23 (achter huizen ),01.02.701,51.87137,4.658425,
Veiligheidsgras,01.02.701 De Spil 23 (achter huizen ),01.02.701,0,0,Veiligheidsgras
Carrousel,01.02.701 De Spil 23 (achter huizen ),01.02.701,51.87135,4.658545,
Type 2A - Enkelpunts - 1 richting,01.03.706 Touwslagerstraat 26,01.03.706,51.86383,4.666975,Schildpad
Schommel,01.03.706 Touwslagerstraat 26,01.03.706,51.86383,4.667041,Zonnebloem
Anders (specificeer in naam veld),01.03.706 Touwslagerstraat 26,01.03.706,51.8639,4.666945,Glijbaan
Rubbertegels 50x50,01.03.706 Touwslagerstraat 26,01.03.706,0,0,Glijbaan ondergrond
Rubbertegels 50x50,01.03.706 Touwslagerstraat 26,01.03.706,0,0,Zonnebloem ondergrond
Betontegels 30 x 30,01.03.706 Touwslagerstraat 26,01.03.706,0,0,Schildpad ondergrond
Valdempend Kunstgras,01.01.737 Noord en Landzigt,,0,0,Vrijstaande glijbaan Ondergrond
Valdempend Kunstgras,01.01.737 Noord en Landzigt,,0,0,Driedelige rekstokcombinatie Ondergrond
Duikelrek - meerdelig,01.01.737 Noord en Landzigt,,51.86904,4.641415,
Vrijstaand - Type 2 uitloop - Traditioneel,01.01.737 Noord en Landzigt,,51.86895,4.64147,
