IMGEO_ONDERSTEUNEND_WATER_CODE;IMGEO_ONDERSTEUNEND_WATER_OMSC;WERKPAKKET_VLAK_CODE;WERKPAKKET_VLAK_OMSC;GROEN_VAKKEN_CODE;GROEN_VAKKEN_OMSC;BOUWJAAR;LEEFTIJD;OPPERVLAKTE;THEORETISCH_VERVANGINGSJAAR;BUURT_CODE;BUURT_OMSC;WIJK_CODE;WIJK_OMSC;STADSDEEL_CODE;STADSDEEL_OMSC;BEHEERDER_CODE;BEHEERDER_OMSC;EIGENAAR_CODE;EIGENAAR_OMSC;BEHEERGEBIEDEN_CODE;BEHEERGEBIEDEN_OMSC;COUNTER;ID;GUID
oever, slootkant;oever, slootkant;123;Weide moeras;GGG01;Grote groengebieden;;;208.21;;91;Kijkduin;15;Kijkduin en Ockenburgh;1;Loosduinen;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;14165;Pyrolalaan;277708;97492;{A9DA0729-238C-499F-A3E4-3C3A59494DDA}
oever, slootkant;oever, slootkant;123;Weide moeras;GGG01;Grote groengebieden;;;557.92;;91;Kijkduin;15;Kijkduin en Ockenburgh;1;Loosduinen;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;60949;Westduinpark;277709;99211;{D339F014-408B-4B44-9471-6369EF8EAB8A}
oever, slootkant;oever, slootkant;123;Weide moeras;GGG01;Grote groengebieden;;;30.24;;91;Kijkduin;15;Kijkduin en Ockenburgh;1;Loosduinen;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag; 4305;Driedistellaan;277710;99213;{CD7C5D1F-1635-491B-903F-1E0DEC312DD9}
oever, slootkant;oever, slootkant;123;Weide moeras;GGG01;Grote groengebieden;;;154.68;;91;Kijkduin;15;Kijkduin en Ockenburgh;1;Loosduinen;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;12255;Muurpeperlaan;277711;99217;{1854A524-DDB9-4A09-900D-126AA00B0B38}
oever, slootkant;oever, slootkant; 88;Berm talud;;;2005;14;101.32;;53;Vruchtenbuurt;19;Vruchtenbuurt;3;Segbroek;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;11930;Mient;277712;99612;{0730B8B2-0CDB-472B-98C8-A9D10D38DC7E}
oever, slootkant;oever, slootkant; 88;Berm talud;;;2005;14;46.64;;53;Vruchtenbuurt;19;Vruchtenbuurt;3;Segbroek;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;11930;Mient;277713;99617;{E0ACC735-FED3-45E7-AE4D-C89F31B38D6B}
oever, slootkant;oever, slootkant; 88;Berm talud;;;2005;14;73.72;;53;Vruchtenbuurt;19;Vruchtenbuurt;3;Segbroek;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;11930;Mient;277714;99618;{BA47A08F-17A9-434D-83C5-59503C7A141B}
oever, slootkant;oever, slootkant; 88;Berm talud;;;2005;14;3.68;;53;Vruchtenbuurt;19;Vruchtenbuurt;3;Segbroek;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;11930;Mient;277715;99623;{C06A556E-7902-4213-B2D8-C3A9AC14B9E6}
oever, slootkant;oever, slootkant;123;Weide moeras;GGG01;Grote groengebieden;1999;20;141.53;;36;Zuiderpark;35;Zuiderpark;2;Escamp;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;20665;Zuiderpark;277716;96028;{09EDE8D7-EC96-3FE1-E053-293C0B0AF01F}
oever, slootkant;oever, slootkant;123;Weide moeras;;;2005;14;13.3;;96;Zijden, Steden en Zichten;33;Bouwlust;2;Escamp;DSB/DPZ;DSB/DPZ;;Gemeente Den Haag;11715;Melis Stokezijde;277717;96040;{09EDE8D8-F1E3-3FE1-E053-293C0B0AF01F}
