FID,projcode,projectnaa,vo_,inr_b,nvo,spl_,ontp,fase,gerd_,fase2,opp_,lngt,m3,partijen,beheer,doel_maatr,kader,bpn_vak,km_,opmerkinge,area_meter,perimeter_,hectares,aanspr__pl,aanspr__ui,area,perimeter,id,naam,sourcethm,acres,krw,se_anno_cad_data,gdb_geomattr_data,shape
krw_projecten_planstudie.1,HOIJ30,Groot-hitland/werkhaven, ,ja, , , ,planvorm,2007,planvorm,2, , , , ,sanering+herinrichting,Oeverplan,R16a,"13,75-14,05", ,20023.273,755.472,2.002,J.Mertodirjo,D.Hoogeveen (AVN),,755.472,0, , ,0, ,,,"POLYGON ((102206.48600000143 438804.2179999985, 102205.95129999891 438803.6832999997, 102223.59769999981 438843.7886000015, 102268.51559999958 438909.5614, 102299.53040000051 438957.15300000086, 102316.64209999889 438988.1678000018, 102341.23999999836 439015.4395000003, 102377.06740000099 439030.94689999893, 102420.38120000064 439046.98900000006, 102424.12440000102 439037.3636999987, 102419.31170000136 439017.57840000093, 102422.52019999921 438977.47309999913, 102442.84019999951 438958.22250000015, 102391.50539999828 438932.5551000014, 102366.37269999832 438920.25609999895, 102329.47580000013 438891.3803000003, 102292.57889999822 438854.4833999984, 102270.11989999935 438831.48959999904, 102240.17449999973 438779.620099999, 102206.48600000143 438804.2179999985))"
krw_projecten_planstudie.2,HOIJ21,Watertoren, , ,ja, , ,planvorm,2007,planvorm,"0,1", , , , ,sanering+herinrichting,Oeverplan,L15c,"14,20-14,30", ,2070.525,239.218,0.207,J.Mertodirjo,D.Hoogeveen (AVN),,239.218,0, , ,0, ,,,"POLYGON ((102187.23550000042 438452.3603999987, 102188.3049999997 438452.3603999987, 102205.95129999891 438492.4657999985, 102231.61870000139 438541.12689999864, 102241.24399999902 438530.4321999997, 102231.08399999887 438498.88259999827, 102220.92399999872 438468.93730000034, 102214.50710000098 438440.5962000005, 102197.93019999936 438442.73519999906, 102187.23550000042 438452.3603999987))"
krw_projecten_planstudie.3,HOIJ28,Staalvis, , ,ja, , ,planvorm,2007,planvorm,"0,3", , , , ,sanering+herinrichting,Oeverplan, ,"13.9-14,2", ,3322.197,585.251,0.332,J.Mertodirjo,D.Hoogeveen (AVN),,585.251,0, , ,0, ,,,"MULTIPOLYGON (((102241.01900000125 438553.57250000164, 102232.15349999815 438558.23860000074, 102235.36190000176 438571.6070000008, 102261.02930000052 438629.35869999975, 102281.8841000013 438665.18609999865, 102311.29470000044 438706.8957000002, 102332.14950000122 438729.8894000016, 102359.95580000058 438755.55680000037, 102377.60220000148 438770.5295000002, 102396.31799999997 438783.8979999982, 102400.59589999914 438775.87689999864, 102391.50539999828 438770.5295000002, 102375.99799999967 438757.69579999894, 102351.934799999 438734.1673000008, 102334.82310000062 438714.3819999993, 102318.7809999995 438698.8746000007, 102306.48200000077 438681.2283000015, 102291.50939999893 438656.0956000015, 102270.11989999935 438613.3165999986, 102251.40399999917 438576.41959999874, 102241.01900000125 438553.57250000164)), ((102240.70930000022 438552.89119999856, 102241.01900000125 438553.57250000164, 102242.3134999983 438552.89119999856, 102240.70930000022 438552.89119999856)))"
krw_projecten_planstudie.4,HOIJ22,Harman, , ,ja, , ,planvorm,2007,planvorm,"0,1", , , , ,sanering+herinrichting,Oeverplan,L15ab,"13,75-13,85", ,1357.307,203.52,0.136,J.Mertodirjo,D.Hoogeveen (AVN),,203.52,0, , ,0, ,,,"MULTIPOLYGON (((102445.49879999831 438803.05359999835, 102440.70129999891 438806.89169999957, 102443.3748999983 438813.30849999934, 102452.46550000086 438822.3990999982, 102462.09079999849 438832.5590999983, 102478.13289999962 438844.3233000003, 102498.45289999992 438855.0181000009, 102511.82140000165 438856.0876000002, 102512.35610000044 438849.13599999994, 102501.6614000015 438840.5802000016, 102479.2023999989 438819.7254000008, 102462.62550000101 438807.42639999837, 102445.49879999831 438803.05359999835)), ((102437.49280000106 438801.0095999986, 102445.49879999831 438803.05359999835, 102446.0485999994 438802.6138000004, 102437.49280000106 438801.0095999986)))"
krw_projecten_planstudie.5,HOIJ31,Riethoek,ja,ja, , , ,planvorm,2006,planvorm,"0,8", , , , ,sanering+herinrichting,Oeverplan,R18a,"15,05-15,20", ,10263.091,489.246,1.026,J.Mertodirjo,D.Hoogeveen (AVN),,489.246,0, , ,0, ,,,"POLYGON ((101684.47780000046 437964.4657999985, 101702.62090000138 437924.188000001, 101739.99579999968 437870.12139999866, 101737.45580000058 437862.1383999996, 101731.64999999851 437855.243999999, 101716.77259999886 437847.26099999994, 101705.88670000061 437836.0122999996, 101692.45980000123 437826.01669999957, 101611.54230000079 437780.4941999987, 101604.64790000021 437776.86560000107, 101600.16099999845 437794.53489999846, 101630.9272999987 437831.0251000002, 101646.66820000112 437883.9717000015, 101665.98649999872 437930.47879999876, 101673.14149999991 437955.52109999955, 101684.47780000046 437964.4657999985))"
krw_projecten_planstudie.6,HOIJ9,Loswal 3,ja,ja, ,ja, ,gereed,2004,gereed > 2001,"0,5", , , ,ZHL/SBB,sanering+herinrichting,Oeverplan,"R19,20","15,5-15,9", ,11250.6,1351.422,1.125,J.Mertodirjo, ,,1351.422,0, , ,0, ,,,"MULTIPOLYGON (((100941.54839999974 437934.7718000002, 100942.26080000028 437945.4571999982, 100994.85280000046 437944.0731999986, 101041.35990000144 437940.4957999997, 101092.87550000101 437931.1942999996, 101147.96860000119 437915.4534999989, 101184.10099999979 437902.57459999993, 101227.746199999 437886.1182000004, 101273.53779999912 437870.3773000017, 101286.4167000018 437866.0843000002, 101322.19150000066 437860.3603999987, 101357.96620000154 437867.5152999982, 101393.02540000156 437875.3858000003, 101410.19729999825 437855.3519000001, 101436.67060000077 437821.72370000184, 101466.72129999846 437805.26729999855, 101501.42280000076 437787.37999999896, 101524.4550999999 437775.77699999884, 101536.06670000032 437773.96269999817, 101565.82149999961 437776.86560000107, 101566.53280000016 437766.63060000166, 101534.61529999971 437765.9796999991, 101524.81799999997 437769.24540000036, 101500.70729999989 437780.2250000015, 101461.35509999841 437795.2503999993, 101401.96909999847 437813.8531999998, 101303.94640000165 437843.90399999917, 101232.39689999819 437866.7998000011, 101173.72639999911 437893.2730999999, 101115.05579999834 437913.30700000003, 101036.70919999853 437929.04780000076, 100983.76260000095 437932.62530000135, 100941.54839999974 437934.7718000002)), ((100942.26080000028 437945.4571999982, 100940.47520000115 437945.5042000003, 100942.2639000006 437945.5042000003, 100942.26080000028 437945.4571999982)))"
krw_projecten_planstudie.7,HOIJ48,Omon, ,ja, , , ,planvorm,2007,planvorm,"0,8", , , , ,sanering+herinrichting,Oeverplan,L14a,"13,30-13,50", ,7293.876,460.578,0.729,J.Mertodirjo,D.Hoogeveen (AVN),,460.578,0, , ,0, ,,,"POLYGON ((102694.57869999856 438863.4717000015, 102695.11340000108 438863.4717000015, 102692.97450000048 438873.09699999914, 102703.66930000111 438874.1664999984, 102730.40619999915 438875.23600000143, 102736.82299999893 438875.7707000002, 102765.69889999926 438877.3748999983, 102802.59580000117 438877.3748999983, 102814.9877000004 438862.4582999982, 102874.25070000067 438881.1180999987, 102884.41070000082 438883.2569999993, 102889.75809999928 438876.8401999995, 102896.17489999905 438865.0758999996, 102897.77910000086 438850.1033000015, 102895.64020000026 438836.20010000095, 102881.73699999973 438828.71379999816, 102868.90329999849 438826.0401000008, 102829.33269999921 438832.99170000106, 102787.62310000136 438841.5474999994, 102733.61459999904 438851.70749999955, 102694.57869999856 438863.4717000015))"
krw_projecten_planstudie.8,HOIJ35,IJsseldijk noord fase III, , ,ja, , ,gereed,2003,gereed > 2001,"0,1", , , , ,sanering+herinrichting,Oeverplan,L10e,"10,15-10,25", ,4148.301,515.903,0.415,J.Mertodirjo,D.Hoogeveen (AVN),,515.903,0, , ,0, ,,,"MULTIPOLYGON (((103901.9103000015 441424.5694000013, 103910.46079999954 441389.36140000075, 103901.9103000015 441389.8114, 103894.95870000124 441397.29769999906, 103882.6596999988 441435.26410000026, 103874.10390000045 441459.8621000014, 103860.73539999872 441488.20320000127, 103850.57539999858 441513.33579999954, 103833.46379999816 441538.4684999995, 103814.74799999967 441566.80959999934, 103794.96269999817 441587.6644000001, 103789.61529999971 441601.03290000185, 103794.4279000014 441604.77600000054, 103798.70580000058 441605.310800001, 103819.56060000136 441584.45600000024, 103833.99859999865 441571.0874999985, 103846.2974999994 441555.0454000011, 103860.73539999872 441535.2600999996, 103870.89550000057 441515.47480000183, 103880.52070000023 441493.55050000176, 103888.54179999977 441467.8830999993, 103901.9103000015 441424.5694000013)), ((103910.46079999954 441389.36140000075, 103912.07030000165 441389.2765999995, 103911.00079999864 441387.1376999989, 103910.46079999954 441389.36140000075)))"
krw_projecten_planstudie.9,HOIJ37,Lageweg II, , ,ja, , ,realisatie,2005,uitvoering,"0,1", , , , ,sanering+herinrichting,Oeverplan,L10cd,"9,70-10,00", ,3684.969,679.689,0.368,J.Mertodirjo,D.Hoogeveen (AVN),,679.689,0, , ,0, ,,,"POLYGON ((103767.69099999964 441653.97190000117, 103767.15630000085 441653.97190000117, 103756.46159999818 441663.5971999988, 103749.51000000164 441676.96559999883, 103745.76680000126 441691.93829999864, 103737.2109999992 441709.58469999954, 103724.37730000168 441734.182599999, 103714.21730000153 441755.0373999998, 103706.19619999826 441770.5447999984, 103689.08460000157 441799.95540000126, 103676.78559999913 441818.13650000095, 103658.06980000064 441841.66490000114, 103639.35390000045 441859.3112999983, 103619.56859999895 441881.2355000004, 103602.45699999854 441898.3471000008, 103590.69280000031 441910.11140000075, 103578.39380000159 441923.4798000008, 103598.71389999986 441921.875599999, 103596.04019999877 441919.2019000016, 103600.85280000046 441917.5976999998, 103615.29069999978 441903.6944999993, 103643.63190000132 441877.49240000173, 103646.4721999988 441874.32180000097, 103648.45980000123 441872.1030000001, 103666.62559999898 441851.8249000013, 103683.73719999939 441827.2270000018, 103697.10559999943 441807.4417000003, 103711.54360000044 441786.58689999953, 103730.25939999893 441751.2941999994, 103744.69729999825 441716.0014999993, 103750.04470000044 441695.1466999985, 103760.73950000107 441670.54879999906, 103767.69099999964 441653.97190000117))"
krw_projecten_planstudie.10,HOIJ36,Lageweg I, , ,ja, , ,gereed,2004,gereed > 2001,"0,07", , , , ,sanering+herinrichting,Oeverplan,L10b,"9,55-9,65", ,1365.958,240.214,0.137,J.Mertodirjo,D.Hoogeveen (AVN),,240.214,0, , ,0, ,,,"POLYGON ((103490.16209999844 442034.70529999956, 103499.7873999998 442022.40630000085, 103515.2947999984 442007.9684000015, 103539.35799999908 441976.9536000006, 103554.33060000092 441961.98099999875, 103559.14330000058 441958.2377999984, 103559.67799999937 441948.0777999982, 103555.4001000002 441942.73039999977, 103542.56639999896 441955.0293999985, 103521.17689999938 441980.1620000005, 103501.3916000016 442002.08630000055, 103489.09259999916 442017.05900000036, 103484.81469999999 442026.6842, 103490.16209999844 442034.70529999956))"
