FID,jaar,bed_zosnol,bed_zosmar,bed_rupmar,bedzostot,bio_zosnol,bio_zosmar,bio_rupmar,biozostot,bio_tot,type_ws,hoofdgeb,gebied,deelgeb,gdb_geomattr_data,shape
zostera_noltei_2007.326,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600500.0001999997, 258399.9998999983 600500.0001999997, 258399.9998999983 600520.0001000017, 258419.9998999983 600520.0001000017, 258419.9998999983 600500.0001999997))"
zostera_noltei_2007.328,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600299.9998999983, 258399.9998999983 600299.9998999983, 258399.9998999983 600319.9998999983, 258419.9998999983 600319.9998999983, 258419.9998999983 600299.9998999983))"
zostera_noltei_2007.333,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258439.9998999983 600319.9998999983, 258419.9998999983 600319.9998999983, 258419.9998999983 600339.9998999983, 258439.9998999983 600339.9998999983, 258439.9998999983 600319.9998999983))"
zostera_noltei_2007.335,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258419.9998999983 600319.9998999983, 258399.9998999983 600319.9998999983, 258399.9998999983 600339.9998999983, 258419.9998999983 600339.9998999983, 258419.9998999983 600319.9998999983))"
zostera_noltei_2007.340,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258559.9998999983 600640.0001000017, 258539.9998999983 600640.0001000017, 258539.9998999983 600660.0001000017, 258559.9998999983 600660.0001000017, 258559.9998999983 600640.0001000017))"
zostera_noltei_2007.342,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258500 600640.0001000017, 258480 600640.0001000017, 258480 600660.0001000017, 258500 600660.0001000017, 258500 600640.0001000017))"
zostera_noltei_2007.345,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258480 600640.0001000017, 258459.99980000034 600640.0001000017, 258459.99980000034 600660.0001000017, 258480 600660.0001000017, 258480 600640.0001000017))"
zostera_noltei_2007.346,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258519.9998999983 600640.0001000017, 258500 600640.0001000017, 258500 600660.0001000017, 258519.9998999983 600660.0001000017, 258519.9998999983 600640.0001000017))"
zostera_noltei_2007.348,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258539.9998999983 600640.0001000017, 258519.9998999983 600640.0001000017, 258519.9998999983 600660.0001000017, 258539.9998999983 600660.0001000017, 258539.9998999983 600640.0001000017))"
zostera_noltei_2007.352,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258539.9998999983 600660.0001000017, 258519.9998999983 600660.0001000017, 258519.9998999983 600680, 258539.9998999983 600680, 258539.9998999983 600660.0001000017))"
zostera_noltei_2007.353,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258559.9998999983 600660.0001000017, 258539.9998999983 600660.0001000017, 258539.9998999983 600680, 258559.9998999983 600680, 258559.9998999983 600660.0001000017))"
zostera_noltei_2007.355,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258500 600660.0001000017, 258480 600660.0001000017, 258480 600680, 258500 600680, 258500 600660.0001000017))"
zostera_noltei_2007.356,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258480 600660.0001000017, 258459.99980000034 600660.0001000017, 258459.99980000034 600680, 258480 600680, 258480 600660.0001000017))"
zostera_noltei_2007.357,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258519.9998999983 600660.0001000017, 258500 600660.0001000017, 258500 600680, 258519.9998999983 600680, 258519.9998999983 600660.0001000017))"
zostera_noltei_2007.360,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258539.9998999983 600680, 258519.9998999983 600680, 258519.9998999983 600700, 258539.9998999983 600700, 258539.9998999983 600680))"
zostera_noltei_2007.361,2007,0,0.5,0,0,0,0,0,0,0,Kust- en Overgangswater,Waddenzee,Eems-Dollard,Eems,,"POLYGON ((258500 600680, 258480 600680, 258480 600700, 258500 600700, 258500 600680))"
