FID,datummutatie,naammuteerder,bron,status,genormeerd,rwsdienst,waterlichaam,objectcode,kribid,kribkophoogte,opmerkingen,gdb_geomattr_data,shape
kribkophoogtes_legger.1,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,B8A2A6D4-32AE-4747-84C9-24DED9509BF7,40F5098A-5C18-44DB-B3E3-C12BBDCE3B51,4.78,,,POINT (210173.05000000075 465735.2199999988)
kribkophoogtes_legger.2,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,9E2A6DA4-A2B8-4ABF-83D9-9E494B333EBD,3C1DB6D1-E080-4D3D-A67F-8C661D6E08F6,1.66,,,POINT (205615.12000000104 492644.83999999985)
kribkophoogtes_legger.3,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,F9561C84-C926-40EF-824C-D9876CB84364,A6122632-B5E7-41FE-BEE4-D27F294D861A,4.07,,,POINT (207959.55999999866 472673.94000000134)
kribkophoogtes_legger.4,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,853F7018-F97A-42C6-B96F-A7F1A1CA6925,CD020FA5-56C6-4BFC-B78B-A093AEB0902A,3.2,,,POINT (203138.94999999925 482376.37999999896)
kribkophoogtes_legger.5,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,8D093567-890E-4FC8-9997-F2495471D4A6,A5B761B9-DD62-4BA8-934B-3CBCDAC5FBEC,1.8,,,POINT (203535.30000000075 495805.80999999866)
kribkophoogtes_legger.6,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,CAC577CB-F474-4AB6-83E7-91BD89C5092D,6D97FBC1-77A9-4BE8-BF15-59EBD60BB7CA,4.25,,,POINT (208371.8900000006 471561.62000000104)
kribkophoogtes_legger.7,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,00D76FFF-5738-4AEC-AF2F-67326B015792,4A48251A-EF53-445C-B8FA-654D80495519,3.22,,,POINT (203317.6700000018 485273.37999999896)
kribkophoogtes_legger.8,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,8EF3D8F1-90D5-4468-BECE-4FBA5B689A6A,1F309989-3D92-41CF-9281-831278E08E76,2.13,,,POINT (205211.12000000104 489792.37999999896)
kribkophoogtes_legger.9,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,65892C5B-727B-47CB-A3F6-1DE386D94BF9,E3F7CBC8-A617-4D2F-AFB0-CC9D07EA89E7,2.43,,,POINT (205041.05999999866 488385.80999999866)
kribkophoogtes_legger.10,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,66CAB5A0-44AF-4A33-8FAA-47339DC9E254,A7623BFB-581C-4E62-ADFE-4D2E76648EA2,5.84,,,POINT (209661.19999999925 459879.25)
kribkophoogtes_legger.11,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,6D1C1BA5-7E60-4690-A146-D14B7C2F8CAC,805EED52-A373-4FB2-A6DE-B0929A20BFBD,3.05,,,POINT (203743.87999999896 480843.80999999866)
kribkophoogtes_legger.12,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,CED8A14D-4910-4753-ACFF-D6CA353AB6F6,96EEC06C-E965-4977-8798-DF1795971BEF,0.78,,,POINT (198385.69000000134 502627.7800000012)
kribkophoogtes_legger.13,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,6F1B7CCA-C517-427D-A687-D530592DFAC3,4484EC9F-9BF4-4403-B2CE-39DC9D412F9F,2.25,,,POINT (202803.44000000134 487516.0300000012)
kribkophoogtes_legger.14,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,A8A8D668-222B-49C2-BB13-E91EC886DC00,41D83294-BE37-443A-9911-663BAD549142,3.11,,,POINT (203039.80999999866 481609.80999999866)
kribkophoogtes_legger.15,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,415631F4-6287-4FCD-9F05-0D66B74F693D,24C167FE-5D27-4599-AE9A-B038CADAC4D9,5,,,POINT (209335.05000000075 463184.44000000134)
kribkophoogtes_legger.16,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,B5CB20FA-6CC2-46C3-BA7B-7351FC4828D5,DAD0DC34-722F-4AC5-86D2-7AB700A30BFE,4.5,,,POINT (208449.80999999866 468438.05999999866)
kribkophoogtes_legger.17,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,5C60FD9E-91CA-420C-8719-907D895DE0A7,1B9D7B6B-F45F-4C3E-8D36-3983EFE6F15C,4.89,,,POINT (207643.66000000015 467529.7800000012)
kribkophoogtes_legger.18,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,A0222958-0597-4947-B2F3-07D36DEF360D,D930F4E3-EC6A-4CBB-AEB4-68782037E49E,1.21,,,POINT (201394.19000000134 499749.37999999896)
kribkophoogtes_legger.19,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,8BA23263-DE81-4249-BE8E-60CF653F666A,755A83B9-EC46-4084-A65A-24B985C8EBED,3.57,,,POINT (205129.62000000104 476293.33999999985)
kribkophoogtes_legger.20,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,67269935-0AAF-4919-9F29-18C8A0E6E255,5EA839D3-9229-4FDD-9203-4673F76AE1BD,1.27,,,POINT (202354.76999999955 499267.30999999866)
kribkophoogtes_legger.21,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,8846C9BB-D210-464E-A0BE-21016AB6C13B,C25A5E80-AEDE-4B7A-90BD-E2D92E2D5043,1.66,,,POINT (204513.05999999866 494689.30999999866)
kribkophoogtes_legger.22,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,369FA10C-25C0-4FF6-A226-688FCB40BE2F,CBF154C1-DC8D-4F5F-9243-D899D0097BB5,3.63,,,POINT (205739.76999999955 475050.0300000012)
kribkophoogtes_legger.23,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,BB9E6D43-D6BA-4736-97DD-611E99AB76AF,D422BD6D-87FD-460F-9F9B-993ACF58201A,2.88,,,POINT (203558.6700000018 483798.37999999896)
kribkophoogtes_legger.24,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,59394DBF-0200-45CC-B397-3CBA2A8E4B14,53CDCF74-2C2A-4A0E-A1C0-FD755E861C0C,1.58,,,POINT (203178.01999999955 498470.69000000134)
kribkophoogtes_legger.25,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,78D5FFEC-BE29-41B0-A9EC-BBB364455331,465EFF0F-DB10-4631-8EF7-2D581E554F8B,4.88,,,POINT (209317.23000000045 466262.16000000015)
kribkophoogtes_legger.26,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,DE121EDE-964E-4281-907B-EBDB3430E412,DB060164-9CAB-4063-9C6C-A66552A02C24,4.31,,,POINT (209892.80000000075 469653.66000000015)
kribkophoogtes_legger.27,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,B73BB244-C495-415A-83E2-4C657C93D0A3,58977CEF-58B4-4B31-ACB2-3FF0EB804CF7,3.6,,,POINT (204463.58999999985 477347.58999999985)
kribkophoogtes_legger.28,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,A8C81941-D1A4-4352-A3C0-02E2495B1510,D0747657-F3F2-4E0F-96CB-3F77B9D77E9F,2.85,,,POINT (203217.4699999988 482617.9699999988)
kribkophoogtes_legger.29,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,49F9DF63-C980-4499-BE67-4DBE6DC5E5A5,5EAFC2D0-DB1E-4F4E-894C-0524CAE66F94,0.79,,,POINT (197682.33999999985 503568.5300000012)
kribkophoogtes_legger.30,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,DC585163-1862-4469-A682-A71D7FB13F28,DE6D2F22-6835-4EA1-972F-17D5893C80A5,1.59,,,POINT (203604.25 496852.4699999988)
kribkophoogtes_legger.31,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,67362455-45F7-4E3E-BE30-C6AF113F5D87,1F379CA1-5BF8-4866-B04E-6094EC7BC52E,2.71,,,POINT (203351.8299999982 485459.16000000015)
kribkophoogtes_legger.32,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,ABB790E5-6927-4C41-B59B-F87F582879F6,271E9742-3319-4879-AF45-7A5A785EDB33,1.71,,,POINT (205609.0799999982 490298.87999999896)
kribkophoogtes_legger.33,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,32C10566-728F-4DF2-904E-FB86818DCB4D,A88E2D8C-E047-4908-9DA2-9443AA9BDDB1,2.11,,,POINT (205221.5300000012 488451.2800000012)
kribkophoogtes_legger.34,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,C68ADF47-90DE-4906-93AD-EA8304D924EB,BC54DF76-6C62-4C51-AE9E-A675D0CB9746,5.85,,,POINT (209854.3900000006 460310.4699999988)
kribkophoogtes_legger.35,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,DAEF5A0B-64D7-4A04-A0DA-CBB1619F39EA,73D99636-4ED3-4A92-B0F9-83A9408788AA,4.9,,,POINT (207622.3900000006 467768.2800000012)
kribkophoogtes_legger.36,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,0A10A4EE-213E-4D3A-B76B-728D1D2581A8,7A5F13F8-8D60-472F-93F7-37B743922E59,4.69,,,POINT (208926.23000000045 466672.44000000134)
kribkophoogtes_legger.37,2022-07-04T00:00:00,RHDHV,Baseline,Vastgesteld,0,ON,IJssel,DB2A28D2-C1B3-448C-8ABE-8D05EDF315AE,27706936-3CCB-42A6-A0BA-24F2072C81CA,3.56,,,POINT (205150.69999999925 476018.08999999985)
