FID,length,filenaam,vliegdatum,se_anno_cad_data,gdb_geomattr_data,shape
vlieglijnen_voordlta_2008.1,7096.43,Vd0101,2008-05-14T00:00:00,,,"LINESTRING (45053.26999999955 420837.6559999995, 37956.85200000182 420852.5940000005)"
vlieglijnen_voordlta_2008.2,6771.42,Vd0101r,2008-05-14T00:00:00,,,"LINESTRING (43474.26999999955 420838.375, 36702.8909999989 420860.9059999995)"
vlieglijnen_voordlta_2008.3,9424.15,Vd0102,2008-05-18T00:00:00,,,"LINESTRING (46416.30900000036 420543.625, 36992.449000000954 420617.625)"
vlieglijnen_voordlta_2008.4,11647.5,Vd0103,2008-05-18T00:00:00,,,"LINESTRING (45684.64799999818 420312.438000001, 34037.33999999985 420380.563000001)"
vlieglijnen_voordlta_2008.5,13990.8,Vd0104,2008-05-18T00:00:00,,,"LINESTRING (48502.1409999989 420003.0309999995, 34512.26199999824 420167.4059999995)"
vlieglijnen_voordlta_2008.6,14688.8,Vd0105,2008-05-18T00:00:00,,,"LINESTRING (47189.5 419803.875, 32501 419894.938000001)"
vlieglijnen_voordlta_2008.7,14902.9,Vd0106,2008-05-18T00:00:00,,,"LINESTRING (48904.33999999985 419527.75, 34001.94099999964 419651.2190000005)"
vlieglijnen_voordlta_2008.8,15135.6,Vd0107,2008-05-18T00:00:00,,,"LINESTRING (47360.539000000805 419305.125, 32225.300999999046 419403.2809999995)"
vlieglijnen_voordlta_2008.9,15743,Vd0108,2008-05-18T00:00:00,,,"LINESTRING (49225.539000000805 419022.438000001, 33483.1799999997 419161.063000001)"
vlieglijnen_voordlta_2008.10,15342.6,Vd0109,2008-05-18T00:00:00,,,"LINESTRING (47628.050999999046 418801.813000001, 32285.920000001788 418917.938000001)"
vlieglijnen_voordlta_2008.11,15293.1,Vd0110,2008-05-18T00:00:00,,,"LINESTRING (49297.82800000161 418532.875, 34005.3590000011 418667.75)"
vlieglijnen_voordlta_2008.12,15343.5,Vd0111,2008-05-18T00:00:00,,,"LINESTRING (47860.1409999989 418322, 32516.920000001788 418414.2809999995)"
vlieglijnen_voordlta_2008.13,15433.4,Vd0112,2008-05-18T00:00:00,,,"LINESTRING (49660.73800000176 418038.313000001, 34227.89799999818 418165.4059999995)"
vlieglijnen_voordlta_2008.14,15503.4,Vd0113,2008-05-18T00:00:00,,,"LINESTRING (48496.19099999964 417890.3440000005, 32992.76199999824 417898.125)"
vlieglijnen_voordlta_2008.15,8429.36,Vd0114,2008-05-14T00:00:00,,,"LINESTRING (41298.51999999955 417640.688000001, 32869.17199999839 417653.5309999995)"
vlieglijnen_voordlta_2008.16,1371.29,Vd0115,2008-05-14T00:00:00,,,"LINESTRING (39362.64799999818 417414.063000001, 37991.73000000045 417381.938000001)"
vlieglijnen_voordlta_2008.17,6540.48,Vd0201,2008-05-18T00:00:00,,,"LINESTRING (47589.76999999955 427297.6559999995, 42304.94099999964 423444.2809999995)"
vlieglijnen_voordlta_2008.18,7821.68,Vd0202,2008-05-18T00:00:00,,,"LINESTRING (49697.53099999949 428513.0940000005, 43345.3909999989 423949.2190000005)"
vlieglijnen_voordlta_2008.19,8664.94,Vd0203,2008-05-18T00:00:00,,,"LINESTRING (49035.23000000045 427835.375, 42072.67199999839 422677.4690000005)"
vlieglijnen_voordlta_2008.20,8627.52,Vd0204,2008-05-18T00:00:00,,,"LINESTRING (50420.58999999985 428465.188000001, 43465.73800000176 423359.875)"
vlieglijnen_voordlta_2008.21,8637.77,Vd0205,2008-05-18T00:00:00,,,"LINESTRING (49162.55900000036 427201.25, 42151.3590000011 422156.0309999995)"
vlieglijnen_voordlta_2008.22,8757.26,Vd0206,2008-05-18T00:00:00,,,"LINESTRING (50584.5700000003 427973.6559999995, 43516.629000000656 422803.188000001)"
vlieglijnen_voordlta_2008.23,3905.55,Vd0207,2008-05-18T00:00:00,,,"LINESTRING (45609.03099999949 424040.625, 42460.879000000656 421729.25)"
vlieglijnen_voordlta_2008.24,3160.87,Vd0208,2008-05-18T00:00:00,,,"LINESTRING (43815.53099999949 422430.1559999995, 46398.199000000954 424252.5)"
vlieglijnen_voordlta_2008.25,6384.18,Vd0301,2008-05-14T00:00:00,,,"LINESTRING (62972.44099999964 426034.313000001, 58734.85200000182 430809.313000001)"
vlieglijnen_voordlta_2008.26,4486.52,Vd0302,2008-05-14T00:00:00,,,"LINESTRING (61624.21900000051 427235.9690000005, 58609.07800000161 430558.2809999995)"
