DOSSIERNR;REGISTR_OMS;INGANGSDATUM;EINDDATUM;STRAAT;HUISNR;LOKATIE;STADSDEEL;X_KOORD;Y_KOORD;COUNTER;LONG;LAT
00068IPM17;Sea Side Market op 20 augustus 2017 verleend;2017-08-20;2017-08-20;Gevers Deynootplein;30;Gevers Deynootplein 30 - Gevers Deynootplein (gevers Deynootplein);SCHEVENINGEN;79304.166;458881.436;90;4.282106862223653;52.11297643636202
00069IPM17;Sea Side Market op 23 en 24 september 2017 (VERLEEND) verleend;2017-09-23;2007-09-24;Gevers Deynootplein;30;Gevers Deynootplein 30 - Gevers Deynootplein (Gevers Deynootplein);SCHEVENINGEN;79304.166;458881.436;91;4.282106862223653;52.11297643636202
00073IPM17;The Hague Food Festival op 22 en 23 juli 2017 verleend;2017-07-22;2017-07-23;Huijgenspark;20;Huijgenspark 20 - Stationsweg (Huygenspark);CENTRUM;81789.932;454470.956;92;4.319337908864566;52.07367509319752
00092IPM17;Haagse Wereld Hapjes van 18 tot en met 21 mei 2018 verleend;2018-05-18;2018-05-21;Lange Voorhout;1;Lange Voorhout 1 - Lange Voorhout (Lange Voorhout);CENTRUM;81118.763;455303.686;93;4.309369371428719;52.08106950617021
00109IPM17;Oranje Braderie Koningstraat op 26 en 27 april 2017 verleend;2017-04-26;2017-04-27;Koningstraat;0;Koningstraat  - Hoefkade (Braderie Koningstraat tussen Groenewegje/Hoofdskade tot Hoefkade);CENTRUM;81349.328;454102.621;94;4.312991676631247;52.07030653583531
00125IPM17;13-4-2018 t/m 15-4-2018 verleend;2018-04-13;2018-04-15;Kerkplein;0;Kerkplein  - Plein (Centrum, Kerkplein);CENTRUM;80990.463;454938.984;95;4.307577064605387;52.077774889318846
00127IPM17;het organiseren van de Haagsche Kunst- en Antiekdagen op de Lange Voorhout. De aanvraag is ingediend voor de periode van 25 augustus 2018 tot en met 26 augustus 2018. verleend;2018-08-25;2018-08-26;Lange Voorhout;0;Lange Voorhout  - Plein (Centrum, Plein en Lange Voorhout);CENTRUM;81252.232;455426.005;96;4.311289744471343;52.08218654846781
00128IPM17;Zondagsmarkt op 30 april 2017 (VERLEEND) verleend;2017-04-30;2017-04-30;Loosduinse Hoofdstraat;0;Loosduinse Hoofdstraat  - Loosduinse Hoofdstraat (Winkelcentrum Loosduinse Hoofdplein);LOOSDUINEN;76000.468;452302.981;97;4.235408243989123;52.05339686532397
00152IPM17;Sea Side Market 19 tot en met 21 mei, 21 en 22 juli, 25 en 26 augustus en 29 en 30 september 2018 verleend;2018-05-19;2018-05-21;Gevers Deynootplein;0;Gevers Deynootplein  - Gevers Deynootplein (Gevers Deynootplein);SCHEVENINGEN;79324.287;458852.236;98;4.282407047697872;52.11271677940753
00166IPM17;Houtwijk Kerstmarkt op 9 december 2017 verleend;2017-12-09;2017-12-09;Hildo Kroplaan;0;Hildo Kroplaan  - Hildo Kroplaan (Loosduinen, Winkelcentra Houtwijk);LOOSDUINEN;77046.294;452525.906;99;4.250602388954583;52.055548312799395
00168IPM17;Kerstmarkt in Ypenburg.  verleend;2017-12-17;2017-12-17;Oude Kustlijn;0;Oude Kustlijn ;LEIDSCHENVEEN-YPENBURG;85185.039;450816.431;100;4.369599319738154;52.041270550697135
00178IPM17;Summer of Love Market van 6 juli tot en met 8 juli 2018 verleend;2018-07-06;2018-07-08;Lange Voorhout;0;Lange Voorhout  - Plein (Centrum, pleinen);CENTRUM;81252.232;455426.005;101;4.311289744471343;52.08218654846781
00001IPM18;"Stoffenbeurs op 24 juni 2018 
 verleend";2018-06-24;2018-06-24;Schalk Burgerplein;0;Schalk Burgerplein  - Schalk Burgerplein (Centrum, wijkpark Transvaal-Schalk Burgerplein);CENTRUM;80066.478;453806.8;102;4.2943491843488415;52.067476010953506
00007IPM18;braderie/curiosa op 7 april en 23 juni bij winkelcentrum Leyenburg.  verleend;2018-04-07;2018-04-07;Leyweg;1;Leyweg 1;LOOSDUINEN;77760.078;453187.768;103;4.260858079038967;52.06159619401367
00047IPM18;vrijmarkt boekhorststraat, 27 april verleend;2017-04-27;2017-04-27;Boekhorststraat;1;"Boekhorststraat 1 - Boekhorststraat (Centrum, Boekhorsstraat tussen Prinsegracht en Zuidwal.
)";CENTRUM;81057.055;454625.52;104;4.308616245736976;52.074966762034656
00069IPM18;"het organiseren van de incidentele private markt genaamd Sea Side Market op de locatie Boulevard ten hoogte van de Palace Promonade. 
De aanvraag is ingediend voor 20 april 2019 en 21 april 2019. verleend";2019-04-20;2019-04-21;Strandweg;1;Strandweg 1;SCHEVENINGEN;77880.105;457428.037;105;4.26164952891275;52.09971864699273
00080IPM18;het organiseren van een incidentele private markt genaamd de Braderie/snuffelmarkt gelegen aan de  De Stede op 21 en 22 september 2018. verleend;2018-09-21;2018-09-22;De Stede;1;De Stede 1 - De Stede (Escamp, De Stede);ESCAMP;77748.481;451040.68;106;4.261174456717656;52.042299408518375
00090IPM18;Le Marie Marche, Plein 5 en 6 oktober 2019 verleend;2019-10-05;2019-10-06;Plein;1;Plein 1 - Plein (Centrum, Plein);CENTRUM;81495.162;455173.946;107;4.314887587625159;52.07995365708993
00092IPM18;Le Marie Marché, 7 en 8 december 2019 verleend;2019-12-07;2019-12-08;Plein;1;Plein 1 - Plein (Centrum, plein);CENTRUM;81495.162;455173.946;108;4.314887587625159;52.07995365708993
00096IPM18;Hobbemastraat op 28 en 29 juli 2018 ingekomen;2018-10-13;2018-10-14;Hobbemastraat;3;Hobbemastraat 3 - Hobbemastraat (Hobbemastraat);CENTRUM;80968.484;454147.218;109;4.307428250211668;52.070656547563715
00099IPM18;Het organiseren van een incidentele private markt genaamd de Flagship Market ter hoogte van de Prins Hendrikstraat te Den Haag. De aanvraag is ingediend voor 16 december 2018. verleend;2018-12-08;2018-08-16;Prins Hendrikstraat;1;Prins Hendrikstraat 1;CENTRUM;80259.505;455581.03;110;4.296775277715412;52.08344660431202
00100IPM18;het organiseren van een private markt genaamd HS Markt ter hoogte van de Stationsweg 1 in Den Haag. De aanvraag is ingediend voor 24 en 25 augustus 2018. verleend;2018-08-25;2018-08-26;Stationsweg;1;Stationsweg 1 - Stationsplein (Stationsplein);CENTRUM;81636.797;454474.337;111;4.317103878495338;52.07368521423442
00103IPM18;het organiseren van een private markt genaamd HS Markt ter hoogte van de Stationsweg. De aanvraag is ingediend voor 24 en 25 november 2018. verleend;2018-11-24;2018-11-25;Stationsweg;1;Stationsweg 1 - Stationsplein (Stationsplein);CENTRUM;81636.797;454474.337;112;4.317103878495338;52.07368521423442
00115IPM18;BIZ Vereniging Hofkwartier organiseert zondag 7 oktober 2018 een braderie in centrum.   verleend;2018-10-07;2018-10-07;Prinsestraat;1;Prinsestraat 1;CENTRUM;80976.639;454962.405;113;4.307370358016654;52.077983520227065
00119IPM18;Sea Side Market  25 en 26 augustus 2018 ingekomen;2018-08-25;2018-08-26;Gevers Deynootplein;30;Gevers Deynootplein 30 - Gevers Deynootplein (Scheveningen, Gevers Deynootplein);SCHEVENINGEN;79304.166;458881.436;114;4.282106862223653;52.11297643636202
00129IPM18;Gevers Deynootweg, Jaarmarkt Scheveningen editie 25 augustus 2019 verleend;2019-08-25;2019-08-25;Gevers Deynootweg;970;Gevers Deynootweg 970;SCHEVENINGEN;79421.527;459008.24;115;4.283791792780519;52.11413202378329
00002IPM19;het organiseren van een incidentele private markt genaamd De Stoffenbeurs op de locatie Wijkpark Transvaal (Schalk Burgerplein) in Den Haag. De aanvraag is ingediend voor 23 juni 2019. verleend;2019-06-23;2019-06-23;Schalk Burgerstraat;1;Schalk Burgerstraat 1 - Schalk Burgerplein (wijkpark Transvaal);CENTRUM;79998.979;453876.451;116;4.29334962739922;52.068092810580254
00005IPM19;het organiseren van een incidentele private markt genaamd Voorjaarsmarkt op de locatie Goeverneurlaan, van de Genestetlaan tot aan de Hildebrandstraat. De aanvraag is ingediend voor 13 april 2019 en 14 april 2019. verleend;2019-04-13;2019-04-14;Goeverneurplein;2;Goeverneurplein 2 - Goeverneurplein (Laak, Goeverneurplein);LAAK;81403.818;452519.164;117;4.314127568918146;52.0560835948164
00012IPM19;Kleurrijk Oranjefeest 27-04-2019 aan de Santiagosingel. verleend;2019-04-27;2019-04-27;Zuiderpark;0;Zuiderpark ;ESCAMP;79326.32;452566.71;118;4.283831191090808;52.056231062859965
