Rijlabels;9410 - Lokale belastingen - waterschapslasten;9560 - I&M specifiek;Eindtotaal
200 OK;;1;1
2CoolMonkeys B.V.;;2;2
Aannemingsbedrijf Methorst en Zoon B.V.;;1;1
ABB B.V.;;7;7
AcquiMedia;;1;1
Adviesbureau STATEMA B.V.;;2;2
Aegolius B.V.;;2;2
Air Law Support;;1;1
Al Gusto;;1;1
Alcredis Finance B.V.;;1;1
ALIAS vastgoed;;1;1
All4Events B.V.;;1;1
Alnic B.V.;;5;5
Amadore Hotel Restaurant Arneville;;1;1
Andes B.V.;;3;3
Andeweg B.V.;;2;2
Anker & Anker Strafrechtadvocaten;;1;1
anoniem 109;;1;1
anoniem 112;;1;1
anoniem 123;;1;1
anoniem 124;;1;1
anoniem 129;;1;1
anoniem 130;;1;1
anoniem 131;;1;1
anoniem 135;;1;1
anoniem 136;;2;2
anoniem 137;;1;1
anoniem 140;;1;1
anoniem 146;;1;1
anoniem 149;;1;1
anoniem 154;;1;1
anoniem 155;;1;1
anoniem 219;;1;1
anoniem 340;;1;1
anoniem 372;;5;5
anoniem 373;;2;2
anoniem 374;;1;1
anoniem 375;;3;3
anoniem 377;;1;1
anoniem 378;;1;1
anoniem 380;;2;2
anoniem 382;;1;1
anoniem 383;;1;1
anoniem 385;;1;1
anoniem 386;;1;1
anoniem 387;;1;1
anoniem 388;;7;7
anoniem 389;;1;1
anoniem 391;;1;1
anoniem 392;;2;2
anoniem 393;;1;1
anoniem 394;;1;1
anoniem 395;;1;1
anoniem 396;;4;4
anoniem 398;;1;1
anoniem 399;;1;1
anoniem 400;;10;10
anoniem 402;;2;2
anoniem 403;;2;2
anoniem 404;;1;1
anoniem 405;;1;1
anoniem 407;;1;1
anoniem 45;;1;1
anoniem 47;;1;1
anoniem 50;;2;2
anoniem 53;;1;1
anoniem 58;;1;1
anoniem 59;;1;1
anoniem 72;;2;2
anoniem 78;;1;1
anoniem 80;;1;1
anoniem 9;;1;1
Arbo Inspectie Dienst B.V.;;1;1
ARC CONSTRUCTION N.V.;;1;1
ARCADIS Nederland;;1;1
Arche Architectuur Presentaties;;1;1
ARTeFACT! Advies en Onderzoek in Erfgoed;;1;1
Artiestenbureau van Otterloo B.V.;;1;1
ASB Security B.V.;;1;1
Aspentech;;3;3
Athlon Car Lease Nederland B.V.;;1;1
Athlon Car Lease Rental Services B.V.;;1;1
Attentie Attentie;;1;1
Autostalling de Bazuin;;1;1
Azerty;;2;2
B.&A. Services B.V.;;5;5
Baan Hofman Ongevallenanalyse;;2;2
Baggerbedrijf De Boer;;2;2
Bakkerij Dieteren B.V.;;1;1
Bakkhe Vastgoed B.V.;;1;1
Base Media;;1;1
Be7;;1;1
Beenen B.V.;;2;2
Beers Mobility innovation;;2;2
Bergerhof Tours B.V.;;1;1
'Betonvereniging';;3;3
Biljart Café Henk en Catry Jorissen;;1;1
BIRD Invest B.V.;;1;1
BK Bouw- en Milieuadvies B.V.;;1;1
BK Ruimte & Milieu;;2;2
Bloemenboutique Fonville;;1;1
BlueCity010 B.V.;;1;1
bol.com B.V.;;1;1
Bolina;;2;2
Boot & Stuurliedencoöp. 'De Koperen Ploeg' WA;;1;1
Bos Vlaggen B.V.;;1;1
Bossers & Cnossen B.V.;;1;1
Bouwbedrijf A.H. Visser en Zn. B.V.;;3;3
Bouwbedrijf Bos Terschelling B.V.;;1;1
Bouwbedrijf De Witte B.V.;;6;6
Bovenregionaal kantoor Noord;;2;2
Branchever. Recycling Breken en Sorteren;;2;2
Brasserie 't Zusje Scheveningen B.V.;;1;1
Brood- en Banketbakkerij Imminkhuizen;;1;1
Brouwer Tours;;1;1
Brouwershuys Moorees B.V.;;1;1
Bruisten GWW B.V.;;2;2
BSDV;;3;3
BTS;;4;4
BUNDESANSTALT F�R GEOWISSENSCHAFTEN;;1;1
Burdock Bouw en Infra B.V.;;4;4
Bureau PDOT;;2;2
Buro Nienhuis;;1;1
Business in Wind Projects B.V.;;1;1
BVR Advis. Sted. Ontw. en Management B.V.;;1;1
C.D. de Haan B.V.;;2;2
Cadeau Concepten B.V.;;1;1
Café Restaurant Land- en Zeezicht;;1;1
Café-Bar De Pub;;1;1
Café-Restaurant De Mol B.V.;;1;1
CameraNU.nl;;1;1
Catec B.V.;;1;1
Catering De Steiger V.O.F.;;1;1
CE Delft;;2;2
CED Nederland B.V.;;1;1
CHEFDADDY (PTY) LTD;;1;1
Chris Platteeuw Illustraties;;1;1
Chris v. Beest Maritieme Dienstverlening B.V.;;1;1
CMOU SECRETARIAT CARIBBEAN MEMORAND;;1;1
CNRS;;2;2
Coachen in contact;;2;2
Colsen, Adviesburo voor Milieutechniek B.V.;;1;1
