FID,gis_code,id__oud_,code_paustabel,gebied_uiterwaard,naam_maatregel,tranche,waterlichaam,fase,gerealiseerd,deelprogramma,jaar_van_oplevering,type_doelbereik,hoeveelheid_doelbereik,hoevlh_doelbereik_op_basis,gdb_geomattr_data,shape
rws_on_vlakmaatregelen.1,YS891a,Y50,Y3033,Vaalwaard,Niet permanente oevergeulen door kronkelwaard,1,IJssel,Gereed,Ja,Particulier,2013,UVER,5.9,,,"POLYGON ((201892.86349999905 447369.689100001, 202000.8137000017 447309.36400000006, 202092.8889000006 447258.56390000135, 202181.7890000008 447198.2388000004, 202277.03920000046 447090.2886000015, 202378.63940000162 446953.7633000016, 202442.13960000128 446775.9629999995, 202426.14550000057 446601.14820000157, 202365.2912000008 446450.3354000002, 202336.186999999 446381.54360000044, 202343.0661999993 446301.37469999865, 202301.7910999991 446333.91849999875, 202235.76410000026 446394.9622000009, 202146.86400000006 446591.8126000017, 202077.0137999989 446664.83769999817, 202047.7906000018 446746.6693000011, 202066.84070000052 446812.5507000014, 202026.2137000002 446874.3881999999, 201978.5885999985 446975.9884000011, 201880.16340000182 447061.71350000054, 201788.08819999918 447125.2137000002, 201746.81320000067 447179.18879999965, 201664.14400000125 447278.4829000011, 201550.3729000017 447352.566300001, 201494.8103 447368.44139999896, 201365.16420000046 447373.73310000077, 201296.3724000007 447360.50389999896, 201182.6013999991 447339.3372000009, 201052.95529999956 447302.2954000011, 200989.4550999999 447270.5452999994, 200955.05920000002 447244.0870000012, 200889.5615000017 447337.939100001, 201039.72610000148 447482.21240000054, 201224.934799999 447553.6501000002, 201341.35170000046 447577.4626000002, 201420.72679999843 447580.1085000001, 201523.91450000182 447572.1710000001, 201590.06049999967 447556.2958999984, 201658.85229999945 447532.4833999984, 201738.2274999991 447503.3790999986, 201814.95679999888 447450.46240000054, 201892.86349999905 447369.689100001))"
rws_on_vlakmaatregelen.2,YS891b,Y50,Y3033,Vaalwaard,Niet permanente oevergeulen door kronkelwaard,1,IJssel,Gereed,Ja,Particulier,2013,HZWP,3,,,"POLYGON ((202055.6563999988 446791.98970000073, 202059.77070000023 446744.67550000176, 201963.77070000023 446811.875500001, 201930.17069999874 446824.90399999917, 201860.91360000148 446927.07550000027, 201843.77070000023 446946.96119999886, 201794.65019999817 446971.2120999992, 201762.17069999874 446978.50400000066, 201779.99929999933 446995.6468999982, 201876.68499999866 447019.6468999982, 201889.0278000012 447031.98970000073, 201900.68499999866 447038.84690000117, 201941.82779999822 447012.7897000015, 201979.54210000113 446971.6468999982, 202026.17069999874 446857.13259999827, 202055.6563999988 446791.98970000073))"
rws_on_vlakmaatregelen.3,NL883a,NL120,"y3040, y3041, y3042",Meinerswijk,"Aanleg eenzijdige strang, verdieping groene rivier en verwijderen puin en vegetatie uit kribvlakken, Plas van Bruil en groene rivier",1,Nederrijn en Lek,Gereed,Ja,RvdR,2015,UVER,13,MIRT 3,,"POLYGON ((190692.91789999977 442949.0142999999, 190818.4574000016 442943.00979999825, 190903.9235999994 442943.72260000184, 190947.57990000024 442921.8944000006, 191039.09950000048 442858.18620000035, 191154.61210000142 442768.77760000154, 191197.44269999862 442730.9508000016, 191181.86789999902 442711.4642999992, 191126.05849999934 442718.3418999985, 191053.37629999965 442743.55970000103, 191020.9290000014 442757.31489999965, 190998.56069999933 442770.3313000016, 190967.41120000184 442785.00349999964, 190941.7573999986 442813.4818999991, 190928.77840000018 442823.79830000177, 190897.62889999896 442834.11459999904, 190863.88369999826 442839.84600000083, 190824.94680000097 442847.8698000014, 190766.5416000001 442847.8698000014, 190726.30680000037 442840.99219999835, 190693.85940000042 442830.6759000011, 190644.53940000013 442827.2371000014, 190600.41099999845 442818.0669, 190557.58049999923 442812.3355999999, 190509.55840000138 442814.6281000003, 190456.34470000118 442822.65199999884, 190366.78990000114 442852.45490000024, 190379.76889999956 442882.25780000165, 190372.77149999887 442878.2380999997, 190389.96939999983 442894.1130999997, 190401.87570000067 442902.0505999997, 190417.75070000067 442907.34230000153, 190428.33410000056 442912.6339999996, 190466.6986999996 442929.83199999854, 190557.31870000064 442947.0298999995, 190692.91789999977 442949.0142999999))"
rws_on_vlakmaatregelen.4,NL908a,NL131,"x9937a-b
x9938_c",Middelwaard,uiterwaardvergraving en nevengeul,1,Nederrijn en Lek,Gereed,Ja,RvdR,2015,UVER,1,MIRT 3,,"MULTIPOLYGON (((168235.3302000016 440154.98739999905, 168226.7311999984 440136.46649999917, 168152.64770000055 440160.27899999917, 168098.40799999982 440179.4613999985, 168014.40260000154 440192.6906000003, 167999.189100001 440201.9510000013, 168008.44949999824 440219.8104000017, 168110.31430000067 440194.0135000013, 168235.3302000016 440154.98739999905)), ((168524.38800000027 440090.8258000016, 168514.46609999985 440060.3986000009, 168450.96599999815 440084.21119999886, 168325.95010000095 440120.59149999917, 168336.53350000083 440133.1592000015, 168431.7837000005 440112.65399999917, 168474.11710000038 440105.37790000066, 168524.38800000027 440090.8258000016)))"
rws_on_vlakmaatregelen.5,NL913a,NL133,x9938-b,Tollewaard,uiterwaardverlaging,1,Nederrijn en Lek,Gereed,Ja,RvdR,2015,UVER,4,MIRT 3,,"POLYGON ((164627.4893000014 441989.21499999985, 164669.82279999927 441975.98580000177, 164694.95820000023 441991.86080000177, 164833.01309999824 441968.27270000055, 164905.3024000004 441936.2982000001, 165005.066300001 441889.65190000087, 164998.940200001 441882.63369999826, 164939.69830000028 441897.93360000104, 164876.1981999986 441924.3920000009, 164790.2083999999 441933.65239999816, 164737.2917000018 441931.0064999983, 164677.76029999927 441927.0377999991, 164617.79470000044 441930.69480000064, 164549.43710000068 441942.9127999991, 164472.7078000009 441969.371199999, 164417.1451999992 441990.5379000008, 164451.5410999991 442007.73589999974, 164554.72879999876 442020.96510000154, 164630.1352000013 442023.61089999974, 164627.4893000014 441989.21499999985))"
rws_on_vlakmaatregelen.9,BW948a,BW47,x9945,Munnikenland,Dijkverlegging Buitenpolder het Munnikenland,1,"Boven-Rijn, Waal",Gereed,Ja,RvdR,2015,UVER,125,MIRT 3,,"POLYGON ((130471.76150000095 424578.0208999999, 130578.25649999827 424497.32290000096, 130763.49309999868 424730.85830000043, 130892.44990000129 424693.1149000004, 130993.02899999917 424623.62900000066, 131172.9461000003 424581.29560000077, 131241.73790000007 424544.253800001, 131384.61320000142 424602.46229999885, 131506.32169999927 424581.29560000077, 131628.03029999882 424618.33729999885, 131755.03060000017 424549.5454999991, 131728.5722000003 424411.96189999953, 131807.94729999825 424380.21189999953, 131842.34319999814 424524.41010000184, 131934.9475999996 424533.6704999991, 132016.9686000012 424449.0036999993, 131977.2809999995 424337.8784000017, 131903.19750000164 424295.5450000018, 131956.1143000014 424221.4615000002, 131934.9475999996 424036.25279999897, 131977.2809999995 423930.4193000011, 132072.53119999915 424015.0861000009, 132019.61439999938 424094.46130000055, 132114.86459999904 424110.33630000055, 132104.28130000085 423683.03339999914, 131997.12480000034 423710.8147, 131703.43670000136 423857.6587000005, 131524.84259999916 423893.37750000134, 131465.28330000117 423805.9395000003, 131384.61320000142 423655.2520999983, 131278.77959999815 423745.2105999999, 131209.98779999837 423803.41899999976, 131139.87310000136 423828.5544999987, 131186.17529999837 423914.5443000011, 131051.23750000075 423893.37750000134, 131030.07079999894 423988.627700001, 130900.38740000129 423950.9571999982, 130785.29340000078 424014.4572999999, 130701.94949999824 424077.9574000016, 130563.04289999977 424046.2074000016, 130289.1986999996 424093.83249999955, 130086.79199999943 424216.86400000006, 130019.32310000062 424284.3328000009, 129916.13540000096 424617.7085000016, 130082.82319999859 424685.1774000004, 130209.82349999994 424641.52109999955, 130336.8236999996 424784.3962999992, 130440.01150000095 424720.89620000124, 130332.85500000045 424566.11470000073, 130412.23009999841 424518.48959999904, 130471.76150000095 424578.0208999999), (130535.26159999892 424351.8016999997, 130672.84530000016 424235.38479999825, 130709.88699999824 424261.84319999814, 130912.29360000044 424186.4367999993, 130951.98119999841 424272.42660000175, 130981.74689999968 424338.57250000164, 130676.81399999931 424529.07290000096, 130662.26190000027 424531.71880000085, 130514.09490000084 424362.3850999996, 130535.26159999892 424351.8016999997))"
rws_on_vlakmaatregelen.10,BW882b,BW10,Y3023,Stadswaard Nijmegen,"Stadswaard Nijmegen, uiterwaardverlaging",2,"Boven-Rijn, Waal",Gereed,Ja,RWS & Prov. Gelderland,2017,UVER,2.3,MIRT 3,,"POLYGON ((189105.90340000018 429467.1587000005, 189069.63690000027 429410.314199999, 189040.0022 429369.2652999982, 188999.4851000011 429338.499499999, 188976.125 429315.5163999982, 188963.4844999984 429301.68140000105, 188948.36360000074 429289.13610000163, 188914.57349999994 429316.63170000166, 188894.84479999915 429332.84800000116, 188880.40249999985 429344.86939999834, 188871.10770000145 429365.78869999945, 188991.11100000143 429455.9668000005, 189021.253800001 429509.6402999982, 189105.90340000018 429467.1587000005))"
rws_on_vlakmaatregelen.11,BW931a,,Y3010,Hurwenen,Verondieping zandwinplas,1,"Boven-Rijn, Waal",Gereed,Ja,KRW1-SBB,2015,HZWP,15,MIRT 3,,"POLYGON ((148779.8764999993 425644.1429999992, 148817.97659999877 425594.1365999989, 148910.05169999972 425541.7490000017, 148905.69539999962 425519.32880000025, 148757.21779999882 425544.07510000095, 148663.18200000003 425583.66910000145, 148517.1446999982 425614.77419999987, 148316.73429999873 425618.31390000135, 148242.49560000002 425608.4153999984, 148112.33139999956 425613.18670000136, 148243.30040000007 425687.7993000001, 148376.12539999932 425737.09600000083, 148473.48840000108 425786.2245000005, 148593.8924999982 425821.23330000043, 148633.03240000084 425821.1495999992, 148668.1312999986 425801.43620000035, 148779.8764999993 425644.1429999992))"
rws_on_vlakmaatregelen.12,YS917b,Y208,Y3047,Brummense waarden  en Cortenoever,versterken (kwel)moeras en natte natuur (diverse uiterwaarden),2,IJssel,Verkenning,Nee,RWS,,UVER,4,MIRT 2,,"MULTIPOLYGON (((207399.79520000145 454572.48490000144, 207320.12640000135 454445.8498999998, 207296.4486999996 454363.7600999996, 207243.60880000144 454320.6592999995, 207250.03810000047 454385.9851000011, 207293.4246999994 454467.1700000018, 207421.36939999834 454662.0518000014, 207523.68400000036 454821.9609999992, 207564.2446999997 454971.6149000004, 207592.02600000054 455047.0212999992, 207608.50429999828 454978.0601999983, 207584.2313000001 454893.2399000004, 207525.4937000014 454737.6645999998, 207399.79520000145 454572.48490000144)), ((207856.85330000147 454450.6759000011, 207751.0938999988 454379.31749999896, 207522.71570000052 454276.2093000002, 207648.20789999887 454396.7006999999, 207856.85330000147 454450.6759000011)), ((208258.77739999816 454844.61470000073, 208223.05849999934 454832.7083999999, 208307.24379999936 455172.0214000009, 208338.23189999908 455157.6545000002, 208296.27430000156 454999.2851999998, 208286.558699999 454923.9897999987, 208258.77739999816 454844.61470000073)), ((208569.78510000184 455250.71400000155, 208620.42650000006 455352.61569999903, 208719.37570000067 455436.15019999817, 208682.33909999952 455355.4255999997, 208569.78510000184 455250.71400000155)), ((208401.65260000154 454943.83359999955, 208318.308699999 454820.80209999904, 208302.433699999 454828.73959999904, 208445.30900000036 455054.9587999992, 208457.2151999995 455047.0212999992, 208401.65260000154 454943.83359999955)))"
rws_on_vlakmaatregelen.13,NL872a,NL117,TB004,Groene rivier Pannerden,Rijnwaardensche uiterwaarden; aantakken strang,1,Nederrijn en Lek,Gereed,Ja,KRW1-SBB,2015,UVER,13,MIRT 3,,"POLYGON ((198212.25769999996 435235.44110000134, 198357.7789000012 435130.9305000007, 198508.59169999883 434970.85720000044, 198672.63369999826 434764.4818000011, 198820.80059999973 434633.5128000006, 198917.37370000035 434513.1272, 198960.10869999975 434409.3445000015, 198953.09259999916 434337.1788999997, 198873.7173999995 434334.5329999998, 198831.3839999996 434359.66849999875, 198808.89440000057 434437.7208000012, 198815.5089999996 434505.1895999983, 198766.560899999 434526.3563000001, 198747.58960000053 434577.2232999988, 198692.4774999991 434599.1169000007, 198584.82889999822 434749.8434999995, 198475.5186999999 434887.5133000016, 198381.5914000012 435006.57609999925, 198181.57349999994 435177.5265999995, 198024.40320000052 435273.80579999834, 197823.31949999928 435383.60810000077, 197676.4754000008 435425.94150000066, 197499.20419999957 435476.21240000054, 197348.39139999822 435545.0042000003, 197269.01630000025 435660.0982000008, 197307.3808999993 435674.65029999986, 197487.29800000042 435621.7335000001, 197820.6735999994 435452.39990000054, 198033.66360000148 435355.8267999999, 198212.25769999996 435235.44110000134))"
