Ministerie;Leveranciers;8000 - Communicatie overig;8110 - Vakliteratuur, abonnementen en overige informatie;8210 - Vertaaldiensten;8310 - Relatiegeschenken niet voor eigen personeel;8410 - Evenementen en congresorganisatie;8510 - Diversen communicatie;Eindtotaal
AZ;&Maes B.V.;;;;;1;;1
AZ;(BBP) Beerens-Business Press B.V.;;1;;;;;1
AZ;About Flowers;;;;1;;;1
AZ;Accenture B.V.;2;;;;;;2
AZ;AD NieuwsMedia B.V.;;1;;;;;1
AZ;Adviesbureau ExPRtease B.V.;3;;;;;;3
AZ;Adviesbureau Hollander en van der Mey B.V.;2;;;;;;2
AZ;Amsterdam University Press AUP B.V.;;1;;1;;1;1
AZ;ANP Perssupport V.O.F.;;;;;;5;5
AZ;ANP Photo;1;;;;;;1
AZ;Arca Printersupplies B.V.;;;;1;;;1
AZ;Ardis Organisatieontwikkeling B.V.;2;;;;;;2
AZ;Arenda Oomen Fotografie;1;;;;;1;1
AZ;Arvato Benelux B.V.;2;;;;;;2
AZ;Atos Nederland B.V.;1;;;;;;1
AZ;Audax Publishing B.V.;;1;;;;;1
AZ;B.V. Alg. Ned. Drukkerij Onderneming A.N.D.O.;1;;;;;;1
AZ;B.V. Politiek Magazine;;1;;;;;1
AZ;B+B Vakmedianet B.V.;;1;;;;;1
AZ;Baltzer Science Publishers B.V.;;1;;;;;1
AZ;Banketbakkerij Boheemen;;;;1;;;1
AZ;Being There B.V.;1;;;;;;1
AZ;B-graphic;;;;;1;;1
AZ;Binnenlands Bestuur B.V.;;1;;;;;1
AZ;Blauw Research B.V.;3;;;;;;3
AZ;Bloemsierkunst 'Baccara';;;;1;;;1
AZ;Bobbe International B.V.;;3;;;;;3
AZ;Boekhandel Van Stockum;;1;;;;;1
AZ;Boekhandel voorheen W.J. van Hoogstraten B.V.;;1;;;;;1
AZ;Boekmanstichting;;1;;;;;1
AZ;bol.com B.V.;;1;;;;;1
AZ;Boom uitgevers Den Haag;;1;;;;;1
AZ;Bourgonje Geluid- en Lichtservice B.V.;;;;1;;;1
