FID,naam,se_anno_cad_data,gdb_geomattr_data,shape
2e_herziening_serie4_index.1,01b westervoort_1925,,,"POLYGON ((192355.5789999999 438789.2659999989, 192355.5789999999 442810.3909999989, 197860.7190000005 442810.3909999989, 197860.7190000005 438789.2659999989, 192355.5789999999 438789.2659999989))"
2e_herziening_serie4_index.2,02 reden_1925,,,"POLYGON ((197846.88199999928 442169.1479999982, 197846.88199999928 450208.72199999914, 203305.78700000048 450208.72199999914, 203305.78700000048 442169.1479999982, 197846.88199999928 442169.1479999982))"
2e_herziening_serie4_index.3,04 brummen_1925,,,"POLYGON ((204393.73699999973 451445.8530000001, 204393.73699999973 457190.3969999999, 212652.14699999988 457190.3969999999, 212652.14699999988 451445.8530000001, 204393.73699999973 451445.8530000001))"
2e_herziening_serie4_index.4,06 gorsel_noord_1925,,,"POLYGON ((205991.7190000005 469195.86400000006, 205991.7190000005 473206.86400000006, 211986.7190000005 473206.86400000006, 211986.7190000005 469195.86400000006, 205991.7190000005 469195.86400000006))"
2e_herziening_serie4_index.5,03 doesburg_1925,,,"POLYGON ((203286.0549999997 443448.7109999992, 203286.0549999997 451463.02800000086, 209363.91699999943 451463.02800000086, 209363.91699999943 443448.7109999992, 203286.0549999997 443448.7109999992))"
2e_herziening_serie4_index.6,05 zutfen_1925,,,"POLYGON ((208134.90799999982 457179.59899999946, 208134.90799999982 465215.0469999984, 213160.47899999842 465215.0469999984, 213160.47899999842 457179.59899999946, 208134.90799999982 457179.59899999946))"
2e_herziening_serie4_index.7,06 gorsel_zuid_1925,,,"POLYGON ((205991.9600000009 465199.52600000054, 205991.9600000009 469204.0949999988, 212012.90399999917 469204.0949999988, 212012.90399999917 465199.52600000054, 205991.9600000009 465199.52600000054))"
2e_herziening_serie4_index.8,09 wijhe_zuid_1927,,,"POLYGON ((201202.61400000006 486890.4470000006, 201202.61400000006 490779.6790000014, 207191.64799999818 490779.6790000014, 207191.64799999818 486890.4470000006, 201202.61400000006 486890.4470000006))"
2e_herziening_serie4_index.9,01a westervoort_1925,,,"POLYGON ((192359.7659999989 442778.4979999997, 192359.7659999989 446790.2800000012, 197858.52699999884 446790.2800000012, 197858.52699999884 442778.4979999997, 192359.7659999989 442778.4979999997))"
2e_herziening_serie4_index.10,10 hattem_oost_1931,,,"POLYGON ((203199.47800000012 494650.35599999875, 203199.47800000012 500165.42500000075, 207185.14799999818 500165.42500000075, 207185.14799999818 494650.35599999875, 203199.47800000012 494650.35599999875))"
