Leveranciersnaam;6000 - ICT overig;6110 - Aanschaf hardware;6120 - Beheer en onderhoud hardware;6210 - Aanschaf programmatuur & software;6220 - Beheer, onderhoud programmatuur & software;6310 - Aanschaf, beheer en onderhoud infrastructuur;6410 - Spraak en dataverbindingen;6510 - Uitbesteding ICT;Eindtotaal
1Password;;;;;;;;1;1
2CoolMonkeys B.V.;;;;1;;;;;1
7AM B.V.;;;;;;;;1;1
ABF RESEARCH;;;;4;;;;;4
Advanced Encryption Technology Europe B.V.;;;;2;;;;;2
Advisie Business Consultants;;;;4;2;;;;4
AEREA B.V.;;;;;;;2;;2
Akasia Group Limited;;;;;1;;;;1
Alten Nederland B.V.;;;;;;;;2;2
ALTERNATE COMPUTERVERSAND NEDERLAND;;;;;;1;;;1
AlterNET Internet B.V.;;;;1;3;1;;;3
Analys.io b.v.;;;;;;;;2;2
And International Publishers N.V.;;;;;5;;;;5
Anoniem 180;;;;;;;;3;3
Anoniem 356;;;;1;;;;1;1
Anoniem 358;;;;;;;;1;1
Anoniem 374;;6;1;;;;;1;6
Anoniem 387;;;1;;;;;;1
Anoniem 392;;;;;;;;1;1
Anoniem 490;;;;;;;;1;1
Anoniem 594;;;;;;1;;1;2
Anoniem 60;;;;;;;;2;2
Anoniem 646;;;1;;;;;;1
Anoniem 653;;;;;2;1;;2;3
Anoniem 671;;;;;;;1;;1
Anoniem 673;;;;;;;;1;1
Anoniem 695;;;;;;;1;;1
Anoniem 698;;;;;;;;1;1
Anoniem 752;;;;;;;;1;1
Anoniem 758;;;;;;;1;;1
Anoniem 759;;;;;;;;1;1
ARCADIS NEDERLAND B.V.;;;;4;;;;1;4
Archidat B.V.;;;;;1;;;;1
ArchiXL B.V.;;;;2;;;;;2
ARGUMENTENFABRIEK DE;;;;;;;;2;2
Asp4all Hosting B.V.;;1;2;;2;2;;3;4
ATOS NEDERLAND;;;;4;;;;;4
Atos Nederland B.V.;;;;1;4;;;3;5
Avontuurfabriek BV;;;;;;;;1;1
Azerty;;;;;;;;1;1
B.I.T. NETHERLANDS B.V.;;;;;;;;1;1
Backup Transport & Depot Services B.V.;;;3;;;;;;3
Banketbakkerij Boheemen;;;;;;;;1;1
BCC (Elektro-Speciaalzaken) B.V.;;1;;;;;;;1
BCM Music Systems B.V.;;;;1;;;;;1
BCN B.V.;;;;;;;;1;1
Between B.V.;;;;4;;;;3;4
Big Data Value Center;;;;;;;;1;1
BIS Bedrijfs Informatie Systemen B.V.;;4;2;;;;;;4
Bleyenberg;;;;;;;;1;1
Blinker B.V.;;;;;;;1;1;1
BlueBerry Media B.V.;;;;;;;;2;2
bol.com b.v.;;;;1;;;;;1
Boom B.V.;;;;;;;;3;3
Bouwregelgev. Informatiesystemen (Bris) B.V.;;;;1;;;;;1
BPI Services B.V.;;;;;;;;1;1
BrightContact Technology B.V.;;;;;;;;4;4
BRIS;;;;;;;;1;1
BroekHuizenWirtz;;;;;;;;1;1
BSI Group The Netherlands B.V.;;;;;;;;3;3
BT NEDERLAND N.V.;;1;2;;1;2;7;3;7
BT Professional Services Nederland B.V.;;;;1;;;;;1
BTC;;;1;;;;;;1
BTC Teleconsult;;;2;;;;7;;7
Bumicom Telecommunicatie B.V.;;;;;;;1;;1
Business Openers;;;;;;;;2;2
Buyitdirect.com N.V.;;7;1;;;;4;1;7
BWS Consulting B.V.;;;;;;;;2;2
Cafe Luden;;;;;;;;1;1
Cafe restaurant Polder;;;;;;;;1;1
Cambrium B.V.;;;;;;;1;;1
Canaldigitaal;;;;;;;2;;2
Canon Nederland N.V.;;4;2;;;2;;1;4
Cans B.V.;;;;;2;;;2;3
