Datum,Week,Maand,Dag,Musis_Kwartier,Gelerijdersplein,Kronenburg
20160101,53,januari,vrijdag,0,0,0
20160102,53,januari,zaterdag,0,0,0
20160103,53,januari,zondag,0,0,0
20160104,1,januari,maandag,264,160,341
20160105,1,januari,dinsdag,401,266,538
20160106,1,januari,woensdag,386,239,432
20160107,1,januari,donderdag,225,269,373
20160108,1,januari,vrijdag,700,481,559
20160109,1,januari,zaterdag,830,635,447
20160110,1,januari,zondag,684,432,0
20160111,2,januari,maandag,220,152,316
20160112,2,januari,dinsdag,301,190,449
20160113,2,januari,woensdag,336,250,392
20160114,2,januari,donderdag,238,320,343
20160115,2,januari,vrijdag,535,334,563
20160116,2,januari,zaterdag,937,366,395
20160117,2,januari,zondag,596,322,0
20160118,3,januari,maandag,358,166,383
20160119,3,januari,dinsdag,298,236,390
20160120,3,januari,woensdag,269,246,414
20160121,3,januari,donderdag,182,283,319
20160122,3,januari,vrijdag,204,327,530
20160123,3,januari,zaterdag,924,459,437
20160124,3,januari,zondag,334,325,0
20160125,4,januari,maandag,378,325,492
20160126,4,januari,dinsdag,391,325,481
20160127,4,januari,woensdag,243,171,304
20160128,4,januari,donderdag,546,543,543
20160129,4,januari,vrijdag,535,414,507
20160130,4,januari,zaterdag,455,150,191
20160131,4,januari,zondag,321,202,122
20160201,5,februari,maandag,234,295,289
20160202,5,februari,dinsdag,308,241,396
20160203,5,februari,woensdag,388,289,467
20160204,5,februari,donderdag,347,299,359
20160205,5,februari,vrijdag,505,331,437
20160206,5,februari,zaterdag,825,528,490
20160207,5,februari,zondag,441,286,0
20160208,6,februari,maandag,296,221,311
20160209,6,februari,dinsdag,220,130,276
20160210,6,februari,woensdag,435,290,359
20160211,6,februari,donderdag,611,474,369
20160212,6,februari,vrijdag,688,454,321
20160213,6,februari,zaterdag,722,524,445
20160214,6,februari,zondag,181,88,0
20160215,7,februari,maandag,195,216,272
20160216,7,februari,dinsdag,296,378,493
20160217,7,februari,woensdag,303,279,443
20160218,7,februari,donderdag,327,342,335
20160219,7,februari,vrijdag,400,453,490
20160220,7,februari,zaterdag,438,336,383
20160221,7,februari,zondag,134,119,0
20160222,8,februari,maandag,116,110,260
20160223,8,februari,dinsdag,341,247,434
20160224,8,februari,woensdag,304,282,449
20160225,8,februari,donderdag,336,300,458
20160226,8,februari,vrijdag,474,422,473
20160227,8,februari,zaterdag,900,539,575
20160228,8,februari,zondag,410,303,221
20160229,9,februari,maandag,215,278,395
20160301,9,maart,dinsdag,194,235,316
20160302,9,maart,woensdag,216,200,276
20160303,9,maart,donderdag,336,430,475
20160304,9,maart,vrijdag,207,134,244
20160305,9,maart,zaterdag,725,475,462
20160306,9,maart,zondag,430,313,0
20160307,10,maart,maandag,196,125,388
20160308,10,maart,dinsdag,318,139,408
20160309,10,maart,woensdag,261,324,380
20160310,10,maart,donderdag,444,369,472
20160311,10,maart,vrijdag,422,484,508
20160312,10,maart,zaterdag,828,602,539
20160313,10,maart,zondag,451,351,0
20160314,11,maart,maandag,207,301,438
20160315,11,maart,dinsdag,238,312,459
20160316,11,maart,woensdag,310,299,417
20160317,11,maart,donderdag,420,474,508
20160318,11,maart,vrijdag,481,415,485
20160319,11,maart,zaterdag,670,503,440
20160320,11,maart,zondag,286,275,0
20160321,12,maart,maandag,220,251,355
20160322,12,maart,dinsdag,312,278,508
20160323,12,maart,woensdag,385,360,510
20160324,12,maart,donderdag,1243,538,470
20160325,12,maart,vrijdag,685,313,343
20160326,12,maart,zaterdag,1314,781,595
20160327,12,maart,zondag,0,0,0
20160328,13,maart,maandag,114,125,0
20160329,13,maart,dinsdag,406,243,359
20160330,13,maart,woensdag,479,0,452
20160331,13,maart,donderdag,563,480,510
20160401,13,april,vrijdag,755,590,611
20160402,13,april,zaterdag,1059,704,578
20160403,13,april,zondag,878,447,0
20160404,14,april,maandag,251,275,469
20160405,14,april,dinsdag,273,306,414
20160406,14,april,woensdag,400,300,454
20160407,14,april,donderdag,469,424,410
20160408,14,april,vrijdag,674,508,638
20160409,14,april,zaterdag,1158,696,564
20160410,14,april,zondag,621,337,0
20160411,15,april,maandag,335,356,444
20160412,15,april,dinsdag,401,360,543
20160413,15,april,woensdag,354,411,553
20160414,15,april,donderdag,592,726,638
20160415,15,april,vrijdag,171,261,309
20160416,15,april,zaterdag,738,531,471
