boomnummer,lat_volledig,omtrek_cm,kiemjaar,eigendom,ned_naam,karakter,jaar_vaststelling,kwaliteit,leeftijd,omtrek,cultuurhistorie,natuurwetenschappelijk,latitude,longitude
01.55.890.0230,acer saccharinum,314,1930,particulier,zilveresdoorn,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.54342632704171,5.131832644267591
01.55.890.0240,acer saccharinum,314,1930,particulier,zilveresdoorn,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.54340800076522,5.131948589701891
01.55.890.0250,acer saccharinum,314,1930,particulier,zilveresdoorn,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.543509598391374,5.1312164915807585
01.55.890.0260,acer saccharinum,314,1930,particulier,zilveresdoorn,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.54349125274678,5.131319204184526
01.50.325.0098,populus canadensis,345,1930,gemeentelijk,canadese populier,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.57382732717476,5.097695184980059
01.50.325.0099,fagus sylvatica,251,1900,gemeentelijk,groene beuk,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek < 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.57367411151085,5.097871411557003
01.50.325.0100,fagus sylvatica,314,1900,gemeentelijk,groene beuk,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.573632747826686,5.0979267354411375
01.50.325.0101,fagus sylvatica,314,1900,gemeentelijk,groene beuk,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.57356135858362,5.098009730064293
01.50.325.0103,quercus robur,283,1900,gemeentelijk,inlandse eik,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.57325544510416,5.09835398116421
01.50.325.0105,populus canadensis,314,1930,gemeentelijk,canadese populier,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.573148564493536,5.0984972797433885
01.50.325.0111,populus canadensis,314,1930,gemeentelijk,canadese populier,niet van toepassing,2014,levensverwachting >10 jaar,leeftijd >80 jaar,omtrek > 250 cm,cultuurhistorische waarde niet aantoonbaar,natuurwetenschappelijke waarde niet aantoonbaar,51.57378499498638,5.09774776018621
